time_ms,time_ts,v4,v5,g4,g5
3564416,1762286352.011960,2.505646,2.507885,0.002823,0.003943
3564417,1762286352.012011,2.505966,2.507246,0.002983,0.003623
3564417,1762286352.012025,2.505326,2.507885,0.002663,0.003943
3564417,1762286352.012243,2.506286,2.507565,0.003143,0.003783
3564417,1762286352.012285,2.504686,2.507565,0.002343,0.003783
3564417,1762286352.012322,2.504046,2.507565,0.002023,0.003783
3564417,1762286352.012368,2.503726,2.507246,0.001863,0.003623
3564417,1762286352.012386,2.504046,2.508525,0.002023,0.004263
3564417,1762286352.012401,2.503086,2.508525,0.001543,0.004263
3564420,1762286352.015585,2.503726,2.507885,0.001863,0.003943
3564432,1762286352.027948,2.503086,2.507885,0.001543,0.003943
3564432,1762286352.027980,2.501806,2.508525,0.000903,0.004263
3564433,1762286352.027986,2.501806,2.506926,0.000903,0.003463
3564433,1762286352.027990,2.502126,2.508205,0.001063,0.004103
3564433,1762286352.027994,2.500846,2.507885,0.000423,0.003943
3564433,1762286352.027998,2.500206,2.507565,0.000103,0.003783
3564433,1762286352.028002,2.500526,2.507565,0.000263,0.003783
3564433,1762286352.028008,2.500526,2.508205,0.000263,0.004103
3564433,1762286352.028012,2.499566,2.508205,-0.000217,0.004103
3564433,1762286352.028015,2.500206,2.507885,0.000103,0.003943
3564448,1762286352.043556,2.499886,2.508525,-0.000057,0.004263
3564448,1762286352.043587,2.499566,2.509165,-0.000217,0.004583
3564448,1762286352.043592,2.499566,2.508845,-0.000217,0.004423
3564448,1762286352.043597,2.498606,2.509165,-0.000697,0.004583
3564448,1762286352.043648,2.498286,2.508205,-0.000857,0.004103
3564448,1762286352.043657,2.498926,2.509165,-0.000537,0.004583
3564448,1762286352.043662,2.498606,2.509165,-0.000697,0.004583
3564448,1762286352.043667,2.497646,2.509805,-0.001177,0.004903
3564448,1762286352.043672,2.497966,2.508845,-0.001017,0.004423
3564448,1762286352.043676,2.498286,2.509165,-0.000857,0.004583
3564465,1762286352.060899,2.497646,2.509485,-0.001177,0.004743
3564466,1762286352.061377,2.497646,2.510125,-0.001177,0.005063
3564466,1762286352.061385,2.496686,2.509165,-0.001657,0.004583
3564466,1762286352.061395,2.497966,2.510445,-0.001017,0.005223
3564466,1762286352.061400,2.497006,2.510445,-0.001497,0.005223
3564466,1762286352.061427,2.497006,2.509805,-0.001497,0.004903
3564466,1762286352.061444,2.497006,2.509165,-0.001497,0.004583
3564466,1762286352.061491,2.496686,2.509485,-0.001657,0.004743
3564466,1762286352.061509,2.496686,2.510125,-0.001657,0.005063
3564466,1762286352.061524,2.496046,2.509165,-0.001977,0.004583
3564478,1762286352.073640,2.497006,2.509805,-0.001497,0.004903
3564478,1762286352.073673,2.496686,2.509485,-0.001657,0.004743
3564478,1762286352.073681,2.496686,2.510765,-0.001657,0.005383
3564478,1762286352.073687,2.497006,2.509805,-0.001497,0.004903
3564478,1762286352.073692,2.497646,2.509485,-0.001177,0.004743
3564478,1762286352.073699,2.497006,2.509805,-0.001497,0.004903
3564478,1762286352.073706,2.497006,2.508845,-0.001497,0.004423
3564478,1762286352.073711,2.497646,2.510445,-0.001177,0.005223
3564478,1762286352.073732,2.498606,2.510125,-0.000697,0.005063
3564478,1762286352.073741,2.497646,2.510125,-0.001177,0.005063
3564478,1762286352.073906,2.498286,2.509805,-0.000857,0.004903
3564478,1762286352.073915,2.499246,2.509485,-0.000377,0.004743
3564478,1762286352.073921,2.498606,2.509165,-0.000697,0.004583
3564478,1762286352.073926,2.499246,2.509485,-0.000377,0.004743
3564478,1762286352.073934,2.498926,2.508525,-0.000537,0.004263
3564478,1762286352.073939,2.499566,2.508845,-0.000217,0.004423
3564478,1762286352.073944,2.499886,2.508845,-0.000057,0.004423
3564478,1762286352.073959,2.499566,2.509805,-0.000217,0.004903
3564478,1762286352.073976,2.500206,2.509805,0.000103,0.004903
3564479,1762286352.074010,2.500206,2.509485,0.000103,0.004743
3564493,1762286352.088605,2.499246,2.509165,-0.000377,0.004583
3564493,1762286352.088645,2.501806,2.509805,0.000903,0.004903
3564493,1762286352.088650,2.501486,2.511085,0.000743,0.005543
3564493,1762286352.088655,2.501166,2.509485,0.000583,0.004743
3564493,1762286352.088659,2.502126,2.509805,0.001063,0.004903
3564493,1762286352.088711,2.500846,2.506926,0.000423,0.003463
3564493,1762286352.088718,2.501806,2.509485,0.000903,0.004743
3564493,1762286352.088722,2.502766,2.509805,0.001383,0.004903
3564493,1762286352.088725,2.501486,2.511085,0.000743,0.005543
3564493,1762286352.088728,2.503406,2.514605,0.001703,0.007302
3564510,1762286352.105521,2.502446,2.509485,0.001223,0.004743
3564510,1762286352.105589,2.503726,2.512045,0.001863,0.006023
3564511,1762286352.106397,2.502446,2.506926,0.001223,0.003463
3564512,1762286352.107469,2.502446,2.508205,0.001223,0.004103
3564514,1762286352.109644,2.503086,2.515885,0.001543,0.007942
3564514,1762286352.109664,2.503726,2.510765,0.001863,0.005383
3564514,1762286352.109675,2.503726,2.516845,0.001863,0.008422
3564514,1762286352.109691,2.503406,2.509485,0.001703,0.004743
3564514,1762286352.109701,2.504046,2.509485,0.002023,0.004743
3564515,1762286352.110535,2.504046,2.513325,0.002023,0.006663
3564516,1762286352.111650,2.504046,2.516205,0.002023,0.008102
3564516,1762286352.111744,2.505646,2.511085,0.002823,0.005543
3564516,1762286352.111760,2.505326,2.507565,0.002663,0.003783
3564516,1762286352.111788,2.505646,2.498606,0.002823,-0.000697
3564516,1762286352.111801,2.505646,2.500846,0.002823,0.000423
3564517,1762286352.112141,2.506606,2.516525,0.003303,0.008262
3564517,1762286352.112152,2.505966,2.517165,0.002983,0.008582
3564517,1762286352.112161,2.506286,2.516845,0.003143,0.008422
3564517,1762286352.112201,2.508525,2.517805,0.004263,0.008902
3564517,1762286352.112225,2.506606,2.509485,0.003303,0.004743
3564525,1762286352.120289,2.507246,2.505966,0.003623,0.002983
3564525,1762286352.120316,2.507246,2.519405,0.003623,0.009702
3564525,1762286352.120325,2.506926,2.506286,0.003463,0.003143
3564525,1762286352.120334,2.508205,2.508525,0.004103,0.004263
3564525,1762286352.120352,2.506926,2.504366,0.003463,0.002183
3564525,1762286352.120358,2.506926,2.507246,0.003463,0.003623
3564525,1762286352.120363,2.507246,2.505966,0.003623,0.002983
3564525,1762286352.120378,2.508205,2.508845,0.004103,0.004423
3564525,1762286352.120394,2.507885,2.504686,0.003943,0.002343
3564525,1762286352.120413,2.508205,2.524524,0.004103,0.012262
3564525,1762286352.120676,2.507885,2.514925,0.003943,0.007462
3564525,1762286352.120685,2.507565,2.534124,0.003783,0.017062
3564525,1762286352.120690,2.507885,2.517485,0.003943,0.008742
