time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
3564404,1762286351.817371,ACCEL,0,0.00000,0.12000,0.06749,3564404
3564409,1762286351.922950,ACCEL,0,0.00000,0.12000,0.06749,3564409
3564414,1762286351.922994,ACCEL,1,0.00491,0.12000,0.06763,3564414
3564419,1762286351.923007,ACCEL,1,0.00491,0.12000,0.06763,3564419
3564424,1762286351.923017,ACCEL,1,0.00491,0.12000,0.06763,3564424
3564429,1762286351.923025,ACCEL,1,0.00491,0.12000,0.06763,3564429
3564434,1762286351.923033,ACCEL,1,0.00491,0.12000,0.06763,3564434
3564439,1762286351.923042,ACCEL,1,0.00491,0.12000,0.06763,3564439
3564444,1762286351.923048,ACCEL,1,0.00491,0.12000,0.06763,3564444
3564449,1762286351.923068,ACCEL,1,0.00491,0.12000,0.06763,3564449
3564454,1762286351.923078,ACCEL,2,0.00982,0.12000,0.06776,3564454
3564459,1762286351.923087,ACCEL,2,0.00982,0.12000,0.06776,3564459
3564464,1762286351.923094,ACCEL,2,0.00982,0.12000,0.06776,3564464
3564469,1762286351.923100,ACCEL,2,0.00982,0.12000,0.06776,3564469
3564474,1762286351.923110,ACCEL,2,0.00982,0.12000,0.06776,3564474
3564479,1762286351.923118,ACCEL,2,0.00982,0.12000,0.06776,3564479
3564484,1762286351.923125,ACCEL,2,0.00982,0.12000,0.06776,3564484
3564489,1762286351.923134,ACCEL,2,0.00982,0.12000,0.06776,3564489
3564494,1762286351.923142,ACCEL,3,0.01473,0.12000,0.06790,3564494
3564499,1762286351.923441,ACCEL,3,0.01473,0.12000,0.06790,3564499
3564504,1762286351.923450,ACCEL,3,0.01473,0.12000,0.06790,3564504
3564509,1762286351.923458,ACCEL,3,0.01473,0.12000,0.06790,3564509
3564514,1762286351.923468,ACCEL,3,0.01473,0.12000,0.06790,3564514
3564519,1762286351.923474,ACCEL,3,0.01473,0.12000,0.06790,3564519
3564524,1762286351.923480,ACCEL,3,0.01473,0.12000,0.06790,3564524
3564529,1762286351.923490,ACCEL,3,0.01473,0.12000,0.06790,3564529
3564534,1762286351.923497,ACCEL,4,0.01963,0.12000,0.06803,3564534
3564539,1762286351.923504,ACCEL,4,0.01963,0.12000,0.06803,3564539
3564544,1762286351.923511,ACCEL,4,0.01963,0.12000,0.06803,3564544
3564549,1762286351.923518,ACCEL,4,0.01963,0.12000,0.06803,3564549
3564554,1762286351.923551,ACCEL,4,0.01963,0.12000,0.06803,3564554
3564559,1762286351.923579,ACCEL,4,0.01963,0.12000,0.06803,3564559
3564564,1762286351.923590,ACCEL,4,0.01963,0.12000,0.06803,3564564
3564569,1762286351.923603,ACCEL,4,0.01963,0.12000,0.06803,3564569
3564574,1762286351.923609,ACCEL,4,0.01963,0.12000,0.06803,3564574
3564579,1762286351.923616,ACCEL,5,0.02454,0.12000,0.06817,3564579
3564584,1762286351.924195,ACCEL,5,0.02454,0.12000,0.06817,3564584
3564589,1762286351.924216,ACCEL,5,0.02454,0.12000,0.06817,3564589
3564594,1762286351.924224,ACCEL,5,0.02454,0.12000,0.06817,3564594
3564599,1762286351.924233,ACCEL,5,0.02454,0.12000,0.06817,3564599
3564604,1762286351.924239,ACCEL,5,0.02454,0.12000,0.06817,3564604
3564609,1762286351.924303,ACCEL,5,0.02454,0.12000,0.06817,3564609
3564614,1762286351.924326,ACCEL,5,0.02454,0.12000,0.06817,3564614
3564619,1762286351.924336,ACCEL,6,0.02945,0.12000,0.06831,3564619
3564624,1762286351.924344,ACCEL,6,0.02945,0.12000,0.06831,3564624
3564629,1762286351.924351,ACCEL,6,0.02945,0.12000,0.06831,3564629
3564634,1762286351.924357,ACCEL,6,0.02945,0.12000,0.06831,3564634
