time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1399184,1762295309.481927,ACCEL,0,0.00000,0.12000,0.06749,1399184
1399189,1762295309.584036,ACCEL,0,0.00000,0.12000,0.06749,1399189
1399194,1762295309.584088,ACCEL,1,0.00491,0.12000,0.06763,1399194
1399199,1762295309.584104,ACCEL,1,0.00491,0.12000,0.06763,1399199
1399204,1762295309.584115,ACCEL,1,0.00491,0.12000,0.06763,1399204
1399209,1762295309.584125,ACCEL,1,0.00491,0.12000,0.06763,1399209
1399214,1762295309.584134,ACCEL,1,0.00491,0.12000,0.06763,1399214
1399219,1762295309.584142,ACCEL,1,0.00491,0.12000,0.06763,1399219
1399224,1762295309.584151,ACCEL,1,0.00491,0.12000,0.06763,1399224
1399229,1762295309.584159,ACCEL,1,0.00491,0.12000,0.06763,1399229
1399234,1762295309.584688,ACCEL,2,0.00982,0.12000,0.06776,1399234
1399239,1762295309.584714,ACCEL,2,0.00982,0.12000,0.06776,1399239
1399244,1762295309.584728,ACCEL,2,0.00982,0.12000,0.06776,1399244
1399249,1762295309.584767,ACCEL,2,0.00982,0.12000,0.06776,1399249
1399254,1762295309.584789,ACCEL,2,0.00982,0.12000,0.06776,1399254
1399259,1762295309.584813,ACCEL,2,0.00982,0.12000,0.06776,1399259
1399264,1762295309.584823,ACCEL,2,0.00982,0.12000,0.06776,1399264
1399269,1762295309.584833,ACCEL,2,0.00982,0.12000,0.06776,1399269
1399274,1762295309.584841,ACCEL,3,0.01473,0.12000,0.06790,1399274
1399279,1762295309.584849,ACCEL,3,0.01473,0.12000,0.06790,1399279
1399284,1762295309.584857,ACCEL,3,0.01473,0.12000,0.06790,1399284
1399289,1762295309.584867,ACCEL,3,0.01473,0.12000,0.06790,1399289
1399294,1762295309.584958,ACCEL,3,0.01473,0.12000,0.06790,1399294
1399299,1762295309.585011,ACCEL,3,0.01473,0.12000,0.06790,1399299
1399304,1762295309.585048,ACCEL,3,0.01473,0.12000,0.06790,1399304
1399309,1762295309.585075,ACCEL,3,0.01473,0.12000,0.06790,1399309
