time_ms,time_ts,v4,v5,g4,g5
1399203,1762295309.703747,2.501166,2.582760,0.000583,0.041380
1399203,1762295309.703874,2.501486,2.583720,0.000743,0.041860
1399203,1762295309.703935,2.500206,2.585320,0.000103,0.042660
1399205,1762295309.705412,2.500846,2.584680,0.000423,0.042340
1399206,1762295309.707074,2.500846,2.585640,0.000423,0.042820
1399206,1762295309.707102,2.501166,2.587560,0.000583,0.043780
1399206,1762295309.707123,2.501166,2.587240,0.000583,0.043620
1399206,1762295309.707158,2.501166,2.587240,0.000583,0.043620
1399207,1762295309.707957,2.502126,2.587880,0.001063,0.043940
1399214,1762295309.714308,2.501806,2.589160,0.000903,0.044580
1399221,1762295309.721413,2.502766,2.588520,0.001383,0.044260
1399221,1762295309.721457,2.502126,2.589160,0.001063,0.044580
1399221,1762295309.721467,2.502126,2.588840,0.001063,0.044420
1399221,1762295309.721475,2.503406,2.589480,0.001703,0.044740
1399221,1762295309.721482,2.503086,2.589480,0.001543,0.044740
1399221,1762295309.721489,2.502446,2.590439,0.001223,0.045220
1399221,1762295309.721496,2.503086,2.590119,0.001543,0.045060
1399221,1762295309.721504,2.504366,2.589800,0.002183,0.044900
1399221,1762295309.721511,2.505006,2.589800,0.002503,0.044900
1399221,1762295309.721518,2.505326,2.589480,0.002663,0.044740
1399221,1762295309.721797,2.505646,2.590119,0.002823,0.045060
1399221,1762295309.721826,2.505006,2.590119,0.002503,0.045060
1399221,1762295309.721833,2.505646,2.589480,0.002823,0.044740
1399221,1762295309.721839,2.506606,2.589160,0.003303,0.044580
1399221,1762295309.721872,2.505326,2.589800,0.002663,0.044900
1399221,1762295309.721889,2.507885,2.590119,0.003943,0.045060
1399221,1762295309.721895,2.507246,2.589480,0.003623,0.044740
1399221,1762295309.722218,2.506926,2.589480,0.003463,0.044740
1399221,1762295309.722248,2.506926,2.588520,0.003463,0.044260
1399221,1762295309.722266,2.508205,2.587560,0.004103,0.043780
1399234,1762295309.734627,2.508205,2.587880,0.004103,0.043940
1399234,1762295309.734709,2.507885,2.588200,0.003943,0.044100
1399234,1762295309.734730,2.508525,2.587880,0.004263,0.043940
1399234,1762295309.734741,2.508525,2.587880,0.004263,0.043940
1399234,1762295309.734747,2.508525,2.587560,0.004263,0.043780
1399234,1762295309.734753,2.508845,2.586600,0.004423,0.043300
1399234,1762295309.734758,2.508845,2.587240,0.004423,0.043620
1399234,1762295309.734764,2.508525,2.587240,0.004263,0.043620
1399234,1762295309.734770,2.507885,2.585960,0.003943,0.042980
1399234,1762295309.734775,2.509165,2.585320,0.004583,0.042660
1399250,1762295309.750402,2.508845,2.583400,0.004423,0.041700
1399250,1762295309.750437,2.508525,2.584680,0.004263,0.042340
1399250,1762295309.750442,2.508525,2.583080,0.004263,0.041540
1399250,1762295309.750446,2.508525,2.583080,0.004263,0.041540
1399250,1762295309.750450,2.508525,2.582120,0.004263,0.041060
1399250,1762295309.750453,2.507246,2.581800,0.003623,0.040900
1399250,1762295309.750457,2.508845,2.579880,0.004423,0.039940
1399250,1762295309.750461,2.509165,2.578920,0.004583,0.039460
1399250,1762295309.750464,2.507565,2.575721,0.003783,0.037860
1399250,1762295309.750468,2.508525,2.579560,0.004263,0.039780
1399266,1762295309.766502,2.507885,2.567721,0.003943,0.033861
1399267,1762295309.767669,2.509165,2.575401,0.004583,0.037700
1399267,1762295309.767754,2.508525,2.581160,0.004263,0.040580
1399267,1762295309.767763,2.508525,2.572841,0.004263,0.036420
1399267,1762295309.767769,2.508525,2.572521,0.004263,0.036260
1399267,1762295309.767775,2.507885,2.577000,0.003943,0.038500
1399267,1762295309.767782,2.508525,2.582440,0.004263,0.041220
1399267,1762295309.767788,2.509165,2.566761,0.004583,0.033381
1399267,1762295309.767803,2.508845,2.570921,0.004423,0.035460
1399267,1762295309.767809,2.509165,2.565161,0.004583,0.032581
1399282,1762295309.783127,2.508845,2.566121,0.004423,0.033061
1399282,1762295309.783173,2.509165,2.569001,0.004583,0.034501
1399282,1762295309.783191,2.508205,2.564841,0.004103,0.032421
1399282,1762295309.783205,2.508205,2.582440,0.004103,0.041220
1399282,1762295309.783220,2.509485,2.562921,0.004743,0.031461
1399282,1762295309.783237,2.508525,2.565161,0.004263,0.032581
1399283,1762295309.783329,2.507885,2.557802,0.003943,0.028901
1399283,1762295309.783349,2.506926,2.565481,0.003463,0.032741
