time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1456284,1762295366.653856,ACCEL,0,0.00000,0.12000,0.06749,1456284
1456289,1762295366.755936,ACCEL,0,0.00000,0.12000,0.06749,1456289
1456294,1762295366.755959,ACCEL,1,0.00491,0.12000,0.06763,1456294
1456299,1762295366.755973,ACCEL,1,0.00491,0.12000,0.06763,1456299
1456304,1762295366.755983,ACCEL,1,0.00491,0.12000,0.06763,1456304
1456309,1762295366.755993,ACCEL,1,0.00491,0.12000,0.06763,1456309
1456314,1762295366.756002,ACCEL,1,0.00491,0.12000,0.06763,1456314
1456319,1762295366.756011,ACCEL,1,0.00491,0.12000,0.06763,1456319
1456324,1762295366.756019,ACCEL,1,0.00491,0.12000,0.06763,1456324
1456329,1762295366.756027,ACCEL,1,0.00491,0.12000,0.06763,1456329
1456334,1762295366.756036,ACCEL,2,0.00982,0.12000,0.06776,1456334
1456339,1762295366.756045,ACCEL,2,0.00982,0.12000,0.06776,1456339
1456344,1762295366.756053,ACCEL,2,0.00982,0.12000,0.06776,1456344
1456349,1762295366.756062,ACCEL,2,0.00982,0.12000,0.06776,1456349
1456354,1762295366.756069,ACCEL,2,0.00982,0.12000,0.06776,1456354
1456359,1762295366.756079,ACCEL,2,0.00982,0.12000,0.06776,1456359
1456364,1762295366.756090,ACCEL,2,0.00982,0.12000,0.06776,1456364
1456369,1762295366.756133,ACCEL,2,0.00982,0.12000,0.06776,1456369
1456374,1762295366.756176,ACCEL,3,0.01473,0.12000,0.06790,1456374
1456379,1762295366.756189,ACCEL,3,0.01473,0.12000,0.06790,1456379
1456384,1762295366.756199,ACCEL,3,0.01473,0.12000,0.06790,1456384
1456389,1762295366.756207,ACCEL,3,0.01473,0.12000,0.06790,1456389
1456394,1762295366.756222,ACCEL,3,0.01473,0.12000,0.06790,1456394
1456399,1762295366.756230,ACCEL,3,0.01473,0.12000,0.06790,1456399
1456404,1762295366.756240,ACCEL,3,0.01473,0.12000,0.06790,1456404
1456409,1762295366.756248,ACCEL,3,0.01473,0.12000,0.06790,1456409
1456414,1762295366.756257,ACCEL,4,0.01963,0.12000,0.06803,1456414
1456419,1762295366.756289,ACCEL,4,0.01963,0.12000,0.06803,1456419
1456424,1762295366.756301,ACCEL,4,0.01963,0.12000,0.06803,1456424
1456429,1762295366.756349,ACCEL,4,0.01963,0.12000,0.06803,1456429
1456434,1762295366.756364,ACCEL,4,0.01963,0.12000,0.06803,1456434
1456439,1762295366.756375,ACCEL,4,0.01963,0.12000,0.06803,1456439
1456444,1762295366.756383,ACCEL,4,0.01963,0.12000,0.06803,1456444
1456449,1762295366.756395,ACCEL,4,0.01963,0.12000,0.06803,1456449
1456454,1762295366.756403,ACCEL,4,0.01963,0.12000,0.06803,1456454
1456459,1762295366.756412,ACCEL,5,0.02454,0.12000,0.06817,1456459
1456464,1762295366.756420,ACCEL,5,0.02454,0.12000,0.06817,1456464
1456469,1762295366.756428,ACCEL,5,0.02454,0.12000,0.06817,1456469
1456474,1762295366.756437,ACCEL,5,0.02454,0.12000,0.06817,1456474
1456479,1762295366.756445,ACCEL,5,0.02454,0.12000,0.06817,1456479
1456484,1762295366.756453,ACCEL,5,0.02454,0.12000,0.06817,1456484
1456489,1762295366.756489,ACCEL,5,0.02454,0.12000,0.06817,1456489
1456494,1762295366.756499,ACCEL,5,0.02454,0.12000,0.06817,1456494
1456499,1762295366.756507,ACCEL,6,0.02945,0.12000,0.06831,1456499
1456504,1762295366.756516,ACCEL,6,0.02945,0.12000,0.06831,1456504
1456509,1762295366.756524,ACCEL,6,0.02945,0.12000,0.06831,1456509
1456514,1762295366.756532,ACCEL,6,0.02945,0.12000,0.06831,1456514
1456519,1762295366.756540,ACCEL,6,0.02945,0.12000,0.06831,1456519
1456639,1762295367.024585,ACCEL,9,0.04418,0.12000,0.06872,1456639
1456644,1762295367.024634,ACCEL,9,0.04418,0.12000,0.06872,1456644
1456649,1762295367.027847,ACCEL,9,0.04418,0.12000,0.06872,1456649
1456654,1762295367.027863,ACCEL,9,0.04418,0.12000,0.06872,1456654
1456659,1762295367.027873,ACCEL,9,0.04418,0.12000,0.06872,1456659
1456664,1762295367.027883,ACCEL,10,0.04909,0.12000,0.06885,1456664
1456669,1762295367.027890,ACCEL,10,0.04909,0.12000,0.06885,1456669
1456674,1762295367.027898,ACCEL,10,0.04909,0.12000,0.06885,1456674
1456679,1762295367.027905,ACCEL,10,0.04909,0.12000,0.06885,1456679
1456684,1762295367.027911,ACCEL,10,0.04909,0.12000,0.06885,1456684
1456689,1762295367.027919,ACCEL,10,0.04909,0.12000,0.06885,1456689
1456694,1762295367.027926,ACCEL,10,0.04909,0.12000,0.06885,1456694
1456699,1762295367.027933,ACCEL,10,0.04909,0.12000,0.06885,1456699
1456704,1762295367.027940,ACCEL,11,0.05400,0.12000,0.06899,1456704
1456709,1762295367.027946,ACCEL,11,0.05400,0.12000,0.06899,1456709
1456714,1762295367.027953,ACCEL,11,0.05400,0.12000,0.06899,1456714
1456719,1762295367.027960,ACCEL,11,0.05400,0.12000,0.06899,1456719
1456724,1762295367.027968,ACCEL,11,0.05400,0.12000,0.06899,1456724
1456729,1762295367.027975,ACCEL,11,0.05400,0.12000,0.06899,1456729
1456734,1762295367.027981,ACCEL,11,0.05400,0.12000,0.06899,1456734
1456739,1762295367.027987,ACCEL,11,0.05400,0.12000,0.06899,1456739
1456744,1762295367.027994,ACCEL,12,0.05890,0.12000,0.06912,1456744
1456749,1762295367.028000,ACCEL,12,0.05890,0.12000,0.06912,1456749
1456754,1762295367.028007,ACCEL,12,0.05890,0.12000,0.06912,1456754
1456759,1762295367.028014,ACCEL,12,0.05890,0.12000,0.06912,1456759
1456764,1762295367.028020,ACCEL,12,0.05890,0.12000,0.06912,1456764
1456769,1762295367.028027,ACCEL,12,0.05890,0.12000,0.06912,1456769
1456774,1762295367.028061,ACCEL,12,0.05890,0.12000,0.06912,1456774
1456779,1762295367.028083,ACCEL,12,0.05890,0.12000,0.06912,1456779
1456784,1762295367.028098,ACCEL,13,0.06381,0.12000,0.06926,1456784
1456789,1762295367.028106,ACCEL,13,0.06381,0.12000,0.06926,1456789
1456794,1762295367.028114,ACCEL,13,0.06381,0.12000,0.06926,1456794
1456799,1762295367.028121,ACCEL,13,0.06381,0.12000,0.06926,1456799
1456804,1762295367.028127,ACCEL,13,0.06381,0.12000,0.06926,1456804
1456809,1762295367.028134,ACCEL,13,0.06381,0.12000,0.06926,1456809
1456814,1762295367.028141,ACCEL,13,0.06381,0.12000,0.06926,1456814
1456819,1762295367.028151,ACCEL,13,0.06381,0.12000,0.06926,1456819
1456824,1762295367.028158,ACCEL,14,0.06872,0.12000,0.06940,1456824
1456829,1762295367.028164,ACCEL,14,0.06872,0.12000,0.06940,1456829
1456834,1762295367.028172,ACCEL,14,0.06872,0.12000,0.06940,1456834
1456839,1762295367.028178,ACCEL,14,0.06872,0.12000,0.06940,1456839
1456844,1762295367.028185,ACCEL,14,0.06872,0.12000,0.06940,1456844
1456849,1762295367.028192,ACCEL,14,0.06872,0.12000,0.06940,1456849
1456854,1762295367.028198,ACCEL,14,0.06872,0.12000,0.06940,1456854
1456859,1762295367.028205,ACCEL,14,0.06872,0.12000,0.06940,1456859
1456864,1762295367.028214,ACCEL,15,0.07363,0.12000,0.06953,1456864
1456869,1762295367.028220,ACCEL,15,0.07363,0.12000,0.06953,1456869
1456874,1762295367.028227,ACCEL,15,0.07363,0.12000,0.06953,1456874
1456879,1762295367.028233,ACCEL,15,0.07363,0.12000,0.06953,1456879
1456884,1762295367.028240,ACCEL,15,0.07363,0.12000,0.06953,1456884
1456909,1762295367.286824,ACCEL,16,0.07854,0.12000,0.06967,1456909
1456914,1762295367.286847,ACCEL,16,0.07854,0.12000,0.06967,1456914
1456919,1762295367.286926,ACCEL,16,0.07854,0.12000,0.06967,1456919
1456924,1762295367.286935,ACCEL,16,0.07854,0.12000,0.06967,1456924
1456929,1762295367.286943,ACCEL,16,0.07854,0.12000,0.06967,1456929
1456934,1762295367.286950,ACCEL,16,0.07854,0.12000,0.06967,1456934
1456939,1762295367.286957,ACCEL,16,0.07854,0.12000,0.06967,1456939
1456944,1762295367.286964,ACCEL,16,0.07854,0.12000,0.06967,1456944
1456949,1762295367.286971,ACCEL,17,0.08345,0.12000,0.06980,1456949
1456954,1762295367.286978,ACCEL,17,0.08345,0.12000,0.06980,1456954
1456959,1762295367.286984,ACCEL,17,0.08345,0.12000,0.06980,1456959
1456964,1762295367.286993,ACCEL,17,0.08345,0.12000,0.06980,1456964
1456969,1762295367.287003,ACCEL,17,0.08345,0.12000,0.06980,1456969
1456974,1762295367.287010,ACCEL,17,0.08345,0.12000,0.06980,1456974
1456979,1762295367.287016,ACCEL,17,0.08345,0.12000,0.06980,1456979
1456984,1762295367.287022,ACCEL,17,0.08345,0.12000,0.06980,1456984
1456989,1762295367.287029,ACCEL,18,0.08836,0.12000,0.06994,1456989
1456994,1762295367.287035,ACCEL,18,0.08836,0.12000,0.06994,1456994
1456999,1762295367.287041,ACCEL,18,0.08836,0.12000,0.06994,1456999
1457004,1762295367.287047,ACCEL,18,0.08836,0.12000,0.06994,1457004
1457009,1762295367.287054,ACCEL,18,0.08836,0.12000,0.06994,1457009
1457014,1762295367.287060,ACCEL,18,0.08836,0.12000,0.06994,1457014
1457019,1762295367.287066,ACCEL,18,0.08836,0.12000,0.06994,1457019
1457024,1762295367.287072,ACCEL,18,0.08836,0.12000,0.06994,1457024
1457029,1762295367.287078,ACCEL,19,0.09327,0.12000,0.07008,1457029
1457034,1762295367.287084,ACCEL,19,0.09327,0.12000,0.07008,1457034
1457039,1762295367.287090,ACCEL,19,0.09327,0.12000,0.07008,1457039
1457044,1762295367.287096,ACCEL,19,0.09327,0.12000,0.07008,1457044
1457049,1762295367.287102,ACCEL,19,0.09327,0.12000,0.07008,1457049
1457054,1762295367.287107,ACCEL,19,0.09327,0.12000,0.07008,1457054
1457059,1762295367.287114,ACCEL,19,0.09327,0.12000,0.07008,1457059
1457064,1762295367.287121,ACCEL,19,0.09327,0.12000,0.07008,1457064
1457069,1762295367.287127,ACCEL,20,0.09817,0.12000,0.07021,1457069
1457074,1762295367.287133,ACCEL,20,0.09817,0.12000,0.07021,1457074
1457079,1762295367.287138,ACCEL,20,0.09817,0.12000,0.07021,1457079
1457084,1762295367.287144,ACCEL,20,0.09817,0.12000,0.07021,1457084
1457089,1762295367.287150,ACCEL,20,0.09817,0.12000,0.07021,1457089
1457094,1762295367.287157,ACCEL,20,0.09817,0.12000,0.07021,1457094
1457099,1762295367.287163,ACCEL,20,0.09817,0.12000,0.07021,1457099
1457104,1762295367.287169,ACCEL,20,0.09817,0.12000,0.07021,1457104
1457109,1762295367.287174,ACCEL,20,0.09817,0.12000,0.07021,1457109
1457114,1762295367.287179,ACCEL,21,0.10308,0.12000,0.07035,1457114
1457119,1762295367.287185,ACCEL,21,0.10308,0.12000,0.07035,1457119
1457124,1762295367.287191,ACCEL,21,0.10308,0.12000,0.07035,1457124
1457129,1762295367.287196,ACCEL,21,0.10308,0.12000,0.07035,1457129
1457134,1762295367.287202,ACCEL,21,0.10308,0.12000,0.07035,1457134
1457139,1762295367.287208,ACCEL,21,0.10308,0.12000,0.07035,1457139
1457144,1762295367.287214,ACCEL,21,0.10308,0.12000,0.07035,1457144
1457149,1762295367.287219,ACCEL,21,0.10308,0.12000,0.07035,1457149
1457154,1762295367.287225,ACCEL,22,0.10799,0.12000,0.07048,1457154
1457169,1762295367.547395,ACCEL,22,0.10799,0.12000,0.07048,1457169
1457174,1762295367.547444,ACCEL,22,0.10799,0.12000,0.07048,1457174
1457179,1762295367.547560,ACCEL,22,0.10799,0.12000,0.07048,1457179
1457184,1762295367.547580,ACCEL,22,0.10799,0.12000,0.07048,1457184
1457189,1762295367.547598,ACCEL,22,0.10799,0.12000,0.07048,1457189
1457194,1762295367.547613,ACCEL,23,0.11290,0.12000,0.07062,1457194
1457199,1762295367.547629,ACCEL,23,0.11290,0.12000,0.07062,1457199
1457204,1762295367.547644,ACCEL,23,0.11290,0.12000,0.07062,1457204
1457209,1762295367.547660,ACCEL,23,0.11290,0.12000,0.07062,1457209
1457214,1762295367.547676,ACCEL,23,0.11290,0.12000,0.07062,1457214
1457219,1762295367.547691,ACCEL,23,0.11290,0.12000,0.07062,1457219
1457224,1762295367.547706,ACCEL,23,0.11290,0.12000,0.07062,1457224
1457229,1762295367.547733,ACCEL,23,0.11290,0.12000,0.07062,1457229
1457234,1762295367.547748,ACCEL,24,0.11781,0.12000,0.07075,1457234
1457239,1762295367.547765,ACCEL,24,0.11781,0.12000,0.07075,1457239
1457244,1762295367.547779,ACCEL,24,0.11781,0.12000,0.07075,1457244
1457249,1762295367.547797,ACCEL,24,0.11781,0.12000,0.07075,1457249
1457254,1762295367.547811,ACCEL,24,0.11781,0.12000,0.07075,1457254
1457259,1762295367.547826,ACCEL,24,0.11781,0.12000,0.07075,1457259
1457264,1762295367.547842,ACCEL,24,0.11781,0.12000,0.07075,1457264
1457269,1762295367.547857,ACCEL,24,0.11781,0.12000,0.07075,1457269
1457274,1762295367.547872,ACCEL,25,0.12272,0.12000,0.07089,1457274
1457279,1762295367.547886,ACCEL,25,0.12272,0.12000,0.07089,1457279
1457284,1762295367.547901,ACCEL,25,0.12272,0.12000,0.07089,1457284
1457289,1762295367.547915,ACCEL,25,0.12272,0.12000,0.07089,1457289
1457294,1762295367.547933,ACCEL,25,0.12272,0.12000,0.07089,1457294
1457299,1762295367.548001,ACCEL,25,0.12272,0.12000,0.07089,1457299
1457304,1762295367.548020,ACCEL,25,0.12272,0.12000,0.07089,1457304
1457309,1762295367.548030,ACCEL,25,0.12272,0.12000,0.07089,1457309
1457314,1762295367.548037,ACCEL,26,0.12763,0.12000,0.07103,1457314
1457319,1762295367.548045,ACCEL,26,0.12763,0.12000,0.07103,1457319
1457324,1762295367.548051,ACCEL,26,0.12763,0.12000,0.07103,1457324
1457329,1762295367.548058,ACCEL,26,0.12763,0.12000,0.07103,1457329
1457334,1762295367.548064,ACCEL,26,0.12763,0.12000,0.07103,1457334
1457339,1762295367.548071,ACCEL,26,0.12763,0.12000,0.07103,1457339
1457344,1762295367.548078,ACCEL,26,0.12763,0.12000,0.07103,1457344
1457349,1762295367.548084,ACCEL,26,0.12763,0.12000,0.07103,1457349
1457354,1762295367.548091,ACCEL,26,0.12763,0.12000,0.07103,1457354
1457359,1762295367.548096,ACCEL,27,0.13254,0.12000,0.07116,1457359
1457364,1762295367.548103,ACCEL,27,0.13254,0.12000,0.07116,1457364
1457369,1762295367.548109,ACCEL,27,0.13254,0.12000,0.07116,1457369
1457374,1762295367.548115,ACCEL,27,0.13254,0.12000,0.07116,1457374
1457379,1762295367.548121,ACCEL,27,0.13254,0.12000,0.07116,1457379
1457384,1762295367.548127,ACCEL,27,0.13254,0.12000,0.07116,1457384
1457389,1762295367.548133,ACCEL,27,0.13254,0.12000,0.07116,1457389
1457394,1762295367.548140,ACCEL,27,0.13254,0.12000,0.07116,1457394
1457399,1762295367.548146,ACCEL,28,0.13744,0.12000,0.07130,1457399
1457404,1762295367.548151,ACCEL,28,0.13744,0.12000,0.07130,1457404
1457409,1762295367.548157,ACCEL,28,0.13744,0.12000,0.07130,1457409
1457414,1762295367.548164,ACCEL,28,0.13744,0.12000,0.07130,1457414
1457429,1762295367.816803,ACCEL,28,0.13744,0.12000,0.07130,1457429
1457434,1762295367.816827,ACCEL,28,0.13744,0.12000,0.07130,1457434
1457439,1762295367.816875,ACCEL,29,0.14235,0.12000,0.07143,1457439
1457444,1762295367.816888,ACCEL,29,0.14235,0.12000,0.07143,1457444
1457449,1762295367.816897,ACCEL,29,0.14235,0.12000,0.07143,1457449
1457454,1762295367.816906,ACCEL,29,0.14235,0.12000,0.07143,1457454
1457459,1762295367.816914,ACCEL,29,0.14235,0.12000,0.07143,1457459
1457464,1762295367.816923,ACCEL,29,0.14235,0.12000,0.07143,1457464
1457469,1762295367.816931,ACCEL,29,0.14235,0.12000,0.07143,1457469
1457474,1762295367.816939,ACCEL,29,0.14235,0.12000,0.07143,1457474
1457479,1762295367.816947,ACCEL,30,0.14726,0.12000,0.07157,1457479
1457484,1762295367.816957,ACCEL,30,0.14726,0.12000,0.07157,1457484
1457489,1762295367.816965,ACCEL,30,0.14726,0.12000,0.07157,1457489
1457494,1762295367.816973,ACCEL,30,0.14726,0.12000,0.07157,1457494
1457499,1762295367.816981,ACCEL,30,0.14726,0.12000,0.07157,1457499
1457504,1762295367.816988,ACCEL,30,0.14726,0.12000,0.07157,1457504
1457509,1762295367.816996,ACCEL,30,0.14726,0.12000,0.07157,1457509
1457514,1762295367.817003,ACCEL,30,0.14726,0.12000,0.07157,1457514
1457519,1762295367.817012,ACCEL,31,0.15217,0.12000,0.07170,1457519
1457524,1762295367.817019,ACCEL,31,0.15217,0.12000,0.07170,1457524
1457529,1762295367.817027,ACCEL,31,0.15217,0.12000,0.07170,1457529
1457534,1762295367.817034,ACCEL,31,0.15217,0.12000,0.07170,1457534
1457539,1762295367.817042,ACCEL,31,0.15217,0.12000,0.07170,1457539
1457544,1762295367.817050,ACCEL,31,0.15217,0.12000,0.07170,1457544
1457549,1762295367.817058,ACCEL,31,0.15217,0.12000,0.07170,1457549
1457554,1762295367.817065,ACCEL,31,0.15217,0.12000,0.07170,1457554
