time_ms,time_ts,v4,v5,g4,g5
1509344,1762295420.014102,2.504046,2.544043,0.002023,0.022021
1509345,1762295420.014476,2.505006,2.548842,0.002503,0.024421
1509345,1762295420.015137,2.505006,2.548203,0.002503,0.024101
1509345,1762295420.015199,2.504366,2.545003,0.002183,0.022501
1509345,1762295420.015220,2.505006,2.551402,0.002503,0.025701
1509345,1762295420.015274,2.505326,2.556202,0.002663,0.028101
1509345,1762295420.015309,2.504046,2.550762,0.002023,0.025381
1509345,1762295420.015327,2.504686,2.555882,0.002343,0.027941
1509345,1762295420.015342,2.505326,2.555242,0.002663,0.027621
1509348,1762295420.018436,2.504046,2.552682,0.002023,0.026341
1509360,1762295420.029790,2.504686,2.557162,0.002343,0.028581
1509360,1762295420.029810,2.505006,2.555562,0.002503,0.027781
1509360,1762295420.029832,2.504046,2.555882,0.002023,0.027941
1509360,1762295420.029851,2.504046,2.560042,0.002023,0.030021
1509360,1762295420.029856,2.504686,2.558122,0.002343,0.029061
1509360,1762295420.029862,2.503726,2.561002,0.001863,0.030501
1509360,1762295420.029866,2.504686,2.561962,0.002343,0.030981
1509360,1762295420.029926,2.505966,2.561962,0.002983,0.030981
1509360,1762295420.029932,2.505646,2.564841,0.002823,0.032421
1509360,1762295420.029937,2.504366,2.568041,0.002183,0.034021
1509360,1762295420.030171,2.504686,2.564521,0.002343,0.032261
1509360,1762295420.030180,2.505646,2.567401,0.002823,0.033701
1509360,1762295420.030185,2.505326,2.566761,0.002663,0.033381
1509360,1762295420.030191,2.505006,2.570601,0.002503,0.035300
1509360,1762295420.030198,2.505646,2.571241,0.002823,0.035620
1509360,1762295420.030205,2.505646,2.574441,0.002823,0.037220
1509360,1762295420.030221,2.504366,2.575081,0.002183,0.037540
1509360,1762295420.030228,2.506286,2.577000,0.003143,0.038500
1509360,1762295420.030233,2.505646,2.581160,0.002823,0.040580
1509360,1762295420.030274,2.506926,2.578920,0.003463,0.039460
1509376,1762295420.045716,2.506606,2.585320,0.003303,0.042660
1509376,1762295420.045766,2.505646,2.584360,0.002823,0.042180
1509376,1762295420.045772,2.505966,2.586600,0.002983,0.043300
1509376,1762295420.045781,2.506286,2.585640,0.003143,0.042820
1509376,1762295420.045785,2.505966,2.589160,0.002983,0.044580
1509376,1762295420.045789,2.505646,2.587560,0.002823,0.043780
1509376,1762295420.045793,2.506286,2.591399,0.003143,0.045700
1509376,1762295420.045797,2.506286,2.590759,0.003143,0.045380
1509376,1762295420.045800,2.505966,2.594279,0.002983,0.047140
1509376,1762295420.045804,2.505646,2.597479,0.002823,0.048739
1509393,1762295420.062887,2.505966,2.596839,0.002983,0.048420
1509393,1762295420.062927,2.505966,2.599079,0.002983,0.049539
1509393,1762295420.062950,2.505326,2.598439,0.002663,0.049219
1509393,1762295420.062988,2.505966,2.601639,0.002983,0.050819
1509398,1762295420.068002,2.505966,2.601639,0.002983,0.050819
1509399,1762295420.068603,2.505326,2.603239,0.002663,0.051619
1509399,1762295420.068634,2.505326,2.603878,0.002663,0.051939
1509399,1762295420.069092,2.505966,2.604518,0.002983,0.052259
1509399,1762295420.069111,2.504686,2.606438,0.002343,0.053219
1509399,1762295420.069119,2.504366,2.607078,0.002183,0.053539
1509409,1762295420.078562,2.505006,2.609638,0.002503,0.054819
1509409,1762295420.078588,2.505966,2.609638,0.002983,0.054819
1509409,1762295420.078624,2.505326,2.610918,0.002663,0.055459
1509409,1762295420.078641,2.505646,2.609638,0.002823,0.054819
1509409,1762295420.078679,2.504366,2.611878,0.002183,0.055939
1509409,1762295420.078741,2.504366,2.612198,0.002183,0.056099
1509409,1762295420.078779,2.504686,2.612198,0.002343,0.056099
1509409,1762295420.078796,2.505646,2.611878,0.002823,0.055939
1509409,1762295420.078803,2.505646,2.614118,0.002823,0.057059
1509409,1762295420.078811,2.504686,2.613478,0.002343,0.056739
1509409,1762295420.079010,2.504686,2.615718,0.002343,0.057859
1509409,1762295420.079056,2.504046,2.616038,0.002023,0.058019
1509409,1762295420.079065,2.505326,2.616358,0.002663,0.058179
1509409,1762295420.079070,2.505326,2.615718,0.002663,0.057859
1509409,1762295420.079076,2.505326,2.615398,0.002663,0.057699
1509409,1762295420.079082,2.504366,2.616358,0.002183,0.058179
1509409,1762295420.079128,2.505326,2.616678,0.002663,0.058339
1509409,1762295420.079135,2.504686,2.616678,0.002343,0.058339
1509409,1762295420.079140,2.504686,2.616678,0.002343,0.058339
1509409,1762295420.079145,2.503726,2.616998,0.001863,0.058499
1509409,1762295420.079297,2.504686,2.616678,0.002343,0.058339
1509409,1762295420.079331,2.504686,2.617318,0.002343,0.058659
1509409,1762295420.079355,2.504686,2.616998,0.002343,0.058499
1509413,1762295420.083292,2.505006,2.616678,0.002503,0.058339
1509413,1762295420.083338,2.504046,2.616358,0.002023,0.058179
1509413,1762295420.083354,2.504046,2.616358,0.002023,0.058179
1509413,1762295420.083386,2.504686,2.616038,0.002343,0.058019
1509413,1762295420.083395,2.503726,2.615078,0.001863,0.057539
1509413,1762295420.083402,2.503726,2.614758,0.001863,0.057379
1509413,1762295420.083407,2.503086,2.616358,0.001543,0.058179
1509424,1762295420.093664,2.503406,2.613798,0.001703,0.056899
1509424,1762295420.093702,2.503406,2.614118,0.001703,0.057059
1509424,1762295420.093761,2.503406,2.613478,0.001703,0.056739
1509424,1762295420.093790,2.502766,2.612838,0.001383,0.056419
1509424,1762295420.093798,2.503406,2.612518,0.001703,0.056259
1509424,1762295420.093804,2.503726,2.611878,0.001863,0.055939
1509424,1762295420.093810,2.503086,2.611558,0.001543,0.055779
1509424,1762295420.093816,2.502446,2.609638,0.001223,0.054819
1509424,1762295420.093821,2.502446,2.611238,0.001223,0.055619
1509424,1762295420.093839,2.502766,2.608678,0.001383,0.054339
1509439,1762295420.108928,2.503406,2.608358,0.001703,0.054179
1509439,1762295420.108970,2.501806,2.607398,0.000903,0.053699
1509439,1762295420.108982,2.503086,2.605478,0.001543,0.052739
1509439,1762295420.108995,2.503086,2.605158,0.001543,0.052579
1509439,1762295420.109006,2.502446,2.606118,0.001223,0.053059
1509439,1762295420.109016,2.502446,2.604518,0.001223,0.052259
1509439,1762295420.109026,2.501806,2.602919,0.000903,0.051459
1509439,1762295420.109035,2.502446,2.604198,0.001223,0.052099
1509439,1762295420.109045,2.503086,2.602599,0.001543,0.051299
1509439,1762295420.109075,2.505006,2.601959,0.002503,0.050979
1509454,1762295420.124233,2.505326,2.601639,0.002663,0.050819
1509455,1762295420.125338,2.507565,2.601319,0.003783,0.050659
1509455,1762295420.125359,2.501806,2.600679,0.000903,0.050339
1509455,1762295420.125393,2.512045,2.600679,0.006023,0.050339
1509455,1762295420.125434,2.500846,2.599719,0.000423,0.049859
1509458,1762295420.128377,2.501166,2.599399,0.000583,0.049699
1509458,1762295420.128398,2.502126,2.600039,0.001063,0.050019
1509459,1762295420.128652,2.500846,2.599079,0.000423,0.049539
1509459,1762295420.128659,2.502126,2.599079,0.001063,0.049539
1509459,1762295420.128667,2.509165,2.598439,0.004583,0.049219
1509460,1762295420.130052,2.502126,2.597799,0.001063,0.048899
1509460,1762295420.130090,2.497966,2.598759,-0.001017,0.049379
1509460,1762295420.130105,2.502446,2.599719,0.001223,0.049859
1509460,1762295420.130147,2.501486,2.598439,0.000743,0.049219
1509460,1762295420.130160,2.501806,2.598119,0.000903,0.049059
1509460,1762295420.130171,2.500846,2.599399,0.000423,0.049699
1509460,1762295420.130181,2.499886,2.598439,-0.000057,0.049219
1509460,1762295420.130232,2.501806,2.598119,0.000903,0.049059
1509460,1762295420.130269,2.513325,2.597799,0.006663,0.048899
