time_ms,time_ts,v4,v5,g4,g5
1249030,1762295159.279389,2.504686,2.544683,0.002343,0.022341
1249030,1762295159.279479,2.505006,2.544363,0.002503,0.022181
1249030,1762295159.279527,2.503406,2.545323,0.001703,0.022661
1249030,1762295159.279541,2.503726,2.544043,0.001863,0.022021
1249030,1762295159.279550,2.503086,2.544043,0.001543,0.022021
1249031,1762295159.280057,2.503406,2.544683,0.001703,0.022341
1249031,1762295159.280116,2.502126,2.544043,0.001063,0.022021
1249031,1762295159.280145,2.503406,2.544363,0.001703,0.022181
1249031,1762295159.280260,2.502446,2.543083,0.001223,0.021541
1249034,1762295159.283374,2.502766,2.543723,0.001383,0.021861
1249045,1762295159.294904,2.501806,2.543723,0.000903,0.021861
1249046,1762295159.294935,2.501486,2.543083,0.000743,0.021541
1249046,1762295159.294940,2.502126,2.543083,0.001063,0.021541
1249046,1762295159.294944,2.502446,2.543083,0.001223,0.021541
1249046,1762295159.294948,2.501806,2.543083,0.000903,0.021541
1249046,1762295159.294952,2.502126,2.543403,0.001063,0.021701
1249046,1762295159.294956,2.501806,2.543723,0.000903,0.021861
1249046,1762295159.294960,2.502126,2.543403,0.001063,0.021701
1249046,1762295159.294964,2.502446,2.543083,0.001223,0.021541
1249046,1762295159.294968,2.502126,2.544363,0.001063,0.022181
1249063,1762295159.311985,2.502126,2.544363,0.001063,0.022181
1249063,1762295159.312050,2.502446,2.543403,0.001223,0.021701
1249063,1762295159.312066,2.503086,2.543403,0.001543,0.021701
1249063,1762295159.312075,2.502766,2.544363,0.001383,0.022181
1249063,1762295159.312090,2.503406,2.543723,0.001703,0.021861
1249063,1762295159.312102,2.503726,2.544683,0.001863,0.022341
1249063,1762295159.312112,2.503726,2.545643,0.001863,0.022821
1249063,1762295159.312124,2.504366,2.544683,0.002183,0.022341
1249066,1762295159.315916,2.505006,2.545643,0.002503,0.022821
1249067,1762295159.316454,2.504686,2.545003,0.002343,0.022501
1249080,1762295159.329685,2.505326,2.545323,0.002663,0.022661
1249080,1762295159.329740,2.506286,2.545003,0.003143,0.022501
1249080,1762295159.329747,2.506286,2.547243,0.003143,0.023621
1249080,1762295159.329754,2.507885,2.546923,0.003943,0.023461
1249080,1762295159.329759,2.506926,2.547243,0.003463,0.023621
1249080,1762295159.329797,2.508525,2.547243,0.004263,0.023621
1249080,1762295159.329876,2.507565,2.546283,0.003783,0.023141
1249080,1762295159.329917,2.509485,2.546923,0.004743,0.023461
1249081,1762295159.329979,2.509805,2.547883,0.004903,0.023941
1249081,1762295159.330045,2.510125,2.547883,0.005063,0.023941
1249081,1762295159.330865,2.512045,2.547243,0.006023,0.023621
1249081,1762295159.330897,2.512045,2.549162,0.006023,0.024581
1249081,1762295159.330904,2.512685,2.547883,0.006343,0.023941
1249081,1762295159.330911,2.513325,2.548842,0.006663,0.024421
1249081,1762295159.330916,2.514925,2.549482,0.007462,0.024741
1249082,1762295159.330924,2.515565,2.549802,0.007782,0.024901
1249082,1762295159.330930,2.514925,2.552042,0.007462,0.026021
1249082,1762295159.330934,2.517165,2.551082,0.008582,0.025541
1249082,1762295159.330940,2.517165,2.551402,0.008582,0.025701
1249082,1762295159.330945,2.518125,2.550762,0.009062,0.025381
1249094,1762295159.343196,2.517165,2.553322,0.008582,0.026661
1249094,1762295159.343219,2.519725,2.552042,0.009862,0.026021
1249094,1762295159.343227,2.520365,2.553322,0.010182,0.026661
1249094,1762295159.343233,2.518445,2.553322,0.009222,0.026661
1249094,1762295159.343238,2.520365,2.554922,0.010182,0.027461
1249094,1762295159.343244,2.520365,2.555242,0.010182,0.027621
1249094,1762295159.343249,2.521644,2.554282,0.010822,0.027141
1249094,1762295159.343254,2.521964,2.557162,0.010982,0.028581
1249094,1762295159.343259,2.521005,2.555882,0.010502,0.027941
1249094,1762295159.343264,2.522284,2.557482,0.011142,0.028741
1249094,1762295159.343563,2.522604,2.557802,0.011302,0.028901
1249094,1762295159.343573,2.522284,2.558442,0.011142,0.029221
1249094,1762295159.343578,2.522604,2.559402,0.011302,0.029701
1249094,1762295159.343584,2.523564,2.560042,0.011782,0.030021
1249094,1762295159.343598,2.521964,2.559402,0.010982,0.029701
1249094,1762295159.343605,2.522604,2.559722,0.011302,0.029861
1249094,1762295159.343653,2.522924,2.561642,0.011462,0.030821
1249094,1762295159.343660,2.523884,2.561962,0.011942,0.030981
1249094,1762295159.343665,2.523564,2.561962,0.011782,0.030981
1249094,1762295159.343670,2.522284,2.561962,0.011142,0.030981
1249110,1762295159.359061,2.523564,2.561962,0.011782,0.030981
1249110,1762295159.359115,2.522604,2.563241,0.011302,0.031621
1249110,1762295159.359127,2.522924,2.562282,0.011462,0.031141
1249110,1762295159.359136,2.523244,2.562282,0.011622,0.031141
1249110,1762295159.359146,2.522604,2.563561,0.011302,0.031781
1249110,1762295159.359157,2.522284,2.563561,0.011142,0.031781
1249110,1762295159.359168,2.522284,2.563561,0.011142,0.031781
1249110,1762295159.359183,2.521964,2.563561,0.010982,0.031781
1249110,1762295159.359193,2.521964,2.562282,0.010982,0.031141
1249110,1762295159.359202,2.522284,2.563561,0.011142,0.031781
1249126,1762295159.375502,2.521324,2.563241,0.010662,0.031621
1249126,1762295159.375543,2.521964,2.562601,0.010982,0.031301
1249126,1762295159.375598,2.521964,2.562282,0.010982,0.031141
1249126,1762295159.375648,2.520685,2.564201,0.010342,0.032101
1249126,1762295159.375689,2.521005,2.563561,0.010502,0.031781
1249126,1762295159.375696,2.521005,2.562921,0.010502,0.031461
1249126,1762295159.375700,2.519725,2.562601,0.009862,0.031301
1249126,1762295159.375704,2.520045,2.562282,0.010022,0.031141
1249126,1762295159.375708,2.519725,2.562282,0.009862,0.031141
1249128,1762295159.377618,2.519085,2.562601,0.009542,0.031301
1249141,1762295159.390775,2.518445,2.561322,0.009222,0.030661
1249143,1762295159.392681,2.519405,2.561962,0.009702,0.030981
1249144,1762295159.393147,2.518125,2.561962,0.009062,0.030981
1249144,1762295159.393164,2.517485,2.561322,0.008742,0.030661
1249144,1762295159.393206,2.516845,2.561322,0.008422,0.030661
1249144,1762295159.393250,2.515245,2.561642,0.007622,0.030821
1249144,1762295159.393266,2.515565,2.560362,0.007782,0.030181
1249144,1762295159.393275,2.515885,2.560362,0.007942,0.030181
1249144,1762295159.393284,2.515245,2.561002,0.007622,0.030501
1249144,1762295159.393358,2.513965,2.559722,0.006983,0.029861
1249144,1762295159.393545,2.514285,2.559722,0.007142,0.029861
1249144,1762295159.393555,2.512365,2.560042,0.006183,0.030021
1249144,1762295159.393561,2.511405,2.559402,0.005703,0.029701
1249144,1762295159.393567,2.512045,2.558122,0.006023,0.029061
1249144,1762295159.393625,2.511725,2.558122,0.005863,0.029061
1249144,1762295159.393639,2.511725,2.557482,0.005863,0.028741
1249144,1762295159.393649,2.509485,2.557482,0.004743,0.028741
1249144,1762295159.393676,2.509165,2.555562,0.004583,0.027781
1249145,1762295159.394228,2.509165,2.554922,0.004583,0.027461
1249145,1762295159.394292,2.508845,2.555882,0.004423,0.027941
1249145,1762295159.394529,2.508525,2.554282,0.004263,0.027141
1249146,1762295159.395183,2.508205,2.553642,0.004103,0.026821
1249146,1762295159.395197,2.508845,2.552362,0.004423,0.026181
1249146,1762295159.395231,2.507246,2.552682,0.003623,0.026341
1249146,1762295159.395263,2.507565,2.551402,0.003783,0.025701
1249146,1762295159.395292,2.506286,2.551402,0.003143,0.025701
1249146,1762295159.395318,2.505966,2.549802,0.002983,0.024901
1249146,1762295159.395342,2.506286,2.549482,0.003143,0.024741
1249146,1762295159.395381,2.505646,2.549162,0.002823,0.024581
1249146,1762295159.395411,2.505646,2.547243,0.002823,0.023621
1249157,1762295159.406615,2.505966,2.548203,0.002983,0.024101
1249157,1762295159.406666,2.504046,2.546283,0.002023,0.023141
1249157,1762295159.406719,2.505646,2.545643,0.002823,0.022821
1249157,1762295159.406742,2.504686,2.544683,0.002343,0.022341
1249157,1762295159.406749,2.504686,2.545003,0.002343,0.022501
1249157,1762295159.406754,2.504366,2.543723,0.002183,0.021861
1249157,1762295159.406760,2.503726,2.543723,0.001863,0.021861
1249157,1762295159.406765,2.504366,2.543083,0.002183,0.021541
1249157,1762295159.406770,2.503406,2.542763,0.001703,0.021381
1249157,1762295159.406786,2.503406,2.540843,0.001703,0.020422
1249173,1762295159.422480,2.503406,2.541803,0.001703,0.020902
1249173,1762295159.422517,2.502766,2.540843,0.001383,0.020422
1249173,1762295159.422587,2.502766,2.540203,0.001383,0.020102
1249173,1762295159.422593,2.501806,2.540523,0.000903,0.020262
1249173,1762295159.422597,2.501806,2.539243,0.000903,0.019622
1249173,1762295159.422601,2.501166,2.538603,0.000583,0.019302
1249173,1762295159.422605,2.502766,2.538603,0.001383,0.019302
1249173,1762295159.422609,2.500526,2.537963,0.000263,0.018982
1249173,1762295159.422612,2.501806,2.537643,0.000903,0.018822
1249173,1762295159.422616,2.500526,2.536043,0.000263,0.018022
1249190,1762295159.439630,2.500526,2.535403,0.000263,0.017702
1249190,1762295159.439673,2.501486,2.535083,0.000743,0.017542
1249190,1762295159.439693,2.499886,2.535083,-0.000057,0.017542
1249190,1762295159.439699,2.502126,2.534124,0.001063,0.017062
1249190,1762295159.439705,2.500846,2.534764,0.000423,0.017382
1249190,1762295159.439710,2.499886,2.533164,-0.000057,0.016582
1249190,1762295159.439717,2.499886,2.532844,-0.000057,0.016422
1249190,1762295159.439733,2.499566,2.531564,-0.000217,0.015782
1249190,1762295159.439750,2.500846,2.531244,0.000423,0.015622
1249190,1762295159.439758,2.500206,2.531244,0.000103,0.015622
1249195,1762295159.444121,2.499886,2.531244,-0.000057,0.015622
1249195,1762295159.444140,2.500206,2.529644,0.000103,0.014822
1249195,1762295159.444146,2.500526,2.529964,0.000263,0.014982
1249195,1762295159.444152,2.499566,2.529964,-0.000217,0.014982
1249195,1762295159.444157,2.499886,2.529644,-0.000057,0.014822
1249195,1762295159.444162,2.499566,2.529644,-0.000217,0.014822
1249195,1762295159.444177,2.499246,2.528684,-0.000377,0.014342
1249195,1762295159.444183,2.499246,2.529644,-0.000377,0.014822
1249195,1762295159.444188,2.499566,2.528044,-0.000217,0.014022
1249195,1762295159.444193,2.499886,2.528684,-0.000057,0.014342
1249205,1762295159.454576,2.499566,2.529324,-0.000217,0.014662
1249205,1762295159.454598,2.499566,2.529004,-0.000217,0.014502
1249205,1762295159.454605,2.499566,2.529004,-0.000217,0.014502
1249206,1762295159.455061,2.500206,2.528684,0.000103,0.014342
1249206,1762295159.455077,2.499886,2.529324,-0.000057,0.014662
1249206,1762295159.455084,2.499886,2.529324,-0.000057,0.014662
1249206,1762295159.455116,2.499246,2.529004,-0.000377,0.014502
1249206,1762295159.455132,2.498926,2.529964,-0.000537,0.014982
1249206,1762295159.455137,2.498926,2.530284,-0.000537,0.015142
1249206,1762295159.455169,2.498926,2.530284,-0.000537,0.015142
1249206,1762295159.455378,2.499246,2.530284,-0.000377,0.015142
1249206,1762295159.455400,2.500206,2.531564,0.000103,0.015782
1249206,1762295159.455407,2.498286,2.531564,-0.000857,0.015782
1249206,1762295159.455415,2.499246,2.530604,-0.000377,0.015302
1249206,1762295159.455420,2.498926,2.532844,-0.000537,0.016422
1249206,1762295159.455425,2.498926,2.531884,-0.000537,0.015942
1249206,1762295159.455434,2.499246,2.532844,-0.000377,0.016422
1249206,1762295159.455439,2.498926,2.532524,-0.000537,0.016262
1249206,1762295159.455445,2.499246,2.532844,-0.000377,0.016422
1249206,1762295159.455450,2.499566,2.533484,-0.000217,0.016742
1249220,1762295159.469413,2.499246,2.533804,-0.000377,0.016902
1249220,1762295159.469432,2.498606,2.534124,-0.000697,0.017062
1249220,1762295159.469442,2.499886,2.534124,-0.000057,0.017062
1249220,1762295159.469448,2.498606,2.534764,-0.000697,0.017382
1249220,1762295159.469473,2.498286,2.534124,-0.000857,0.017062
1249220,1762295159.469562,2.498926,2.534444,-0.000537,0.017222
1249220,1762295159.469570,2.499246,2.534444,-0.000377,0.017222
1249220,1762295159.469576,2.499246,2.534764,-0.000377,0.017382
1249220,1762295159.469640,2.499566,2.535083,-0.000217,0.017542
1249220,1762295159.469646,2.499566,2.535403,-0.000217,0.017702
1249236,1762295159.485395,2.499246,2.535403,-0.000377,0.017702
1249236,1762295159.485423,2.500206,2.535403,0.000103,0.017702
1249236,1762295159.485428,2.500206,2.536363,0.000103,0.018182
1249236,1762295159.485432,2.498926,2.536363,-0.000537,0.018182
1249236,1762295159.485436,2.499886,2.535723,-0.000057,0.017862
1249236,1762295159.485440,2.500846,2.536043,0.000423,0.018022
1249236,1762295159.485443,2.500526,2.536363,0.000263,0.018182
1249236,1762295159.485447,2.500846,2.536043,0.000423,0.018022
1249236,1762295159.485455,2.501166,2.537323,0.000583,0.018662
1249236,1762295159.485471,2.500846,2.537963,0.000423,0.018982
1249253,1762295159.502469,2.500526,2.536363,0.000263,0.018182
1249253,1762295159.502493,2.501486,2.537003,0.000743,0.018502
1249253,1762295159.502540,2.500526,2.538283,0.000263,0.019142
1249253,1762295159.502586,2.501486,2.537963,0.000743,0.018982
1249256,1762295159.505660,2.502446,2.536363,0.001223,0.018182
1249256,1762295159.505678,2.502446,2.537643,0.001223,0.018822
1249256,1762295159.505691,2.500846,2.537963,0.000423,0.018982
1249256,1762295159.505705,2.502446,2.537643,0.001223,0.018822
1249256,1762295159.505715,2.502126,2.537323,0.001063,0.018662
1249256,1762295159.505727,2.502446,2.538603,0.001223,0.019302
1249257,1762295159.506742,2.502446,2.538603,0.001223,0.019302
1249258,1762295159.507429,2.502446,2.538923,0.001223,0.019462
1249258,1762295159.507497,2.502126,2.538923,0.001063,0.019462
1249258,1762295159.507519,2.503406,2.538283,0.001703,0.019142
1249258,1762295159.507532,2.502126,2.538923,0.001063,0.019462
1249258,1762295159.507546,2.502446,2.537323,0.001223,0.018662
1249258,1762295159.507572,2.503726,2.537643,0.001863,0.018822
1249258,1762295159.507586,2.503406,2.537643,0.001703,0.018822
1249258,1762295159.507592,2.502766,2.537963,0.001383,0.018982
1249258,1762295159.507610,2.503726,2.537323,0.001863,0.018662
1249267,1762295159.516390,2.502766,2.536683,0.001383,0.018342
1249267,1762295159.516428,2.504366,2.537003,0.002183,0.018502
1249267,1762295159.516444,2.504046,2.537323,0.002023,0.018662
1249267,1762295159.516449,2.504366,2.536363,0.002183,0.018182
1249267,1762295159.516464,2.504366,2.537003,0.002183,0.018502
1249267,1762295159.516471,2.504686,2.536363,0.002343,0.018182
1249267,1762295159.516475,2.503726,2.546923,0.001863,0.023461
1249267,1762295159.516478,2.504686,2.537003,0.002343,0.018502
1249267,1762295159.516502,2.504686,2.551402,0.002343,0.025701
1249267,1762295159.516508,2.504686,2.543083,0.002343,0.021541
1249267,1762295159.516897,2.504046,2.534444,0.002023,0.017222
1249268,1762295159.516923,2.505006,2.533484,0.002503,0.016742
1249268,1762295159.516931,2.505646,2.533164,0.002823,0.016582
1249268,1762295159.516940,2.505966,2.550122,0.002983,0.025061
1249268,1762295159.516945,2.504686,2.532524,0.002343,0.016262
1249268,1762295159.516994,2.505966,2.533804,0.002983,0.016902
1249268,1762295159.517004,2.505966,2.527724,0.002983,0.013862
1249268,1762295159.517010,2.505326,2.535083,0.002663,0.017542
1249268,1762295159.517016,2.504686,2.544043,0.002343,0.022021
1249268,1762295159.517022,2.505326,2.537963,0.002663,0.018982
1249283,1762295159.532456,2.505646,2.528364,0.002823,0.014182
1249283,1762295159.532479,2.506926,2.543403,0.003463,0.021701
1249283,1762295159.532500,2.505966,2.549162,0.002983,0.024581
1249283,1762295159.532507,2.505326,2.530924,0.002663,0.015462
1249283,1762295159.532538,2.505326,2.527724,0.002663,0.013862
1249283,1762295159.532555,2.506926,2.536363,0.003463,0.018182
1249283,1762295159.532561,2.506286,2.530284,0.003143,0.015142
1249283,1762295159.532567,2.505966,2.540203,0.002983,0.020102
1249283,1762295159.532572,2.505966,2.531244,0.002983,0.015622
1249283,1762295159.532580,2.505326,2.523244,0.002663,0.011622
1249299,1762295159.548428,2.505646,2.534444,0.002823,0.017222
1249299,1762295159.548473,2.506286,2.526444,0.003143,0.013222
1249299,1762295159.548485,2.505966,2.534444,0.002983,0.017222
1249299,1762295159.548494,2.505646,2.537003,0.002823,0.018502
1249299,1762295159.548504,2.506606,2.529964,0.003303,0.014982
1249299,1762295159.548512,2.506606,2.524204,0.003303,0.012102
1249299,1762295159.548521,2.506286,2.539243,0.003143,0.019622
1249299,1762295159.548530,2.505326,2.531564,0.002663,0.015782
1249299,1762295159.548538,2.505646,2.533804,0.002823,0.016902
1249299,1762295159.548546,2.506606,2.534124,0.003303,0.017062
1249299,1762295159.548775,2.505326,2.550762,0.002663,0.025381
1249299,1762295159.548789,2.505646,2.527724,0.002823,0.013862
1249299,1762295159.548798,2.505646,2.529324,0.002823,0.014662
1249299,1762295159.548807,2.506606,2.526124,0.003303,0.013062
1249299,1762295159.548884,2.506926,2.526124,0.003463,0.013062
1249299,1762295159.548897,2.505966,2.534444,0.002983,0.017222
1249299,1762295159.548905,2.505966,2.522604,0.002983,0.011302
1249299,1762295159.548913,2.505646,2.532204,0.002823,0.016102
1249300,1762295159.548922,2.505966,2.532844,0.002983,0.016422
1249300,1762295159.548935,2.506606,2.529324,0.003303,0.014662
1249314,1762295159.563668,2.505966,2.526444,0.002983,0.013222
1249314,1762295159.563702,2.506606,2.532844,0.003303,0.016422
1249314,1762295159.563718,2.506286,2.527404,0.003143,0.013702
1249315,1762295159.564840,2.505326,2.531884,0.002663,0.015942
1249315,1762295159.564882,2.506606,2.535403,0.003303,0.017702
1249315,1762295159.564917,2.505646,2.532524,0.002823,0.016262
1249316,1762295159.564936,2.505966,2.530284,0.002983,0.015142
1249316,1762295159.564942,2.505326,2.532844,0.002663,0.016422
1249316,1762295159.564947,2.505646,2.530604,0.002823,0.015302
1249316,1762295159.564952,2.505326,2.532524,0.002663,0.016262
1249334,1762295159.583022,2.505646,2.533484,0.002823,0.016742
1249334,1762295159.583050,2.505646,2.534764,0.002823,0.017382
1249334,1762295159.583067,2.505646,2.545323,0.002823,0.022661
1249334,1762295159.583086,2.505326,2.536043,0.002663,0.018022
1249334,1762295159.583092,2.505006,2.539243,0.002503,0.019622
1249334,1762295159.583098,2.505646,2.541803,0.002823,0.020902
1249334,1762295159.583103,2.505006,2.541483,0.002503,0.020742
1249334,1762295159.583107,2.504686,2.546923,0.002343,0.023461
1249334,1762295159.583167,2.504046,2.545963,0.002023,0.022981
1249334,1762295159.583202,2.504366,2.548203,0.002183,0.024101
1249334,1762295159.583390,2.504046,2.546603,0.002023,0.023301
1249334,1762295159.583437,2.504046,2.546923,0.002023,0.023461
1249334,1762295159.583445,2.504686,2.551082,0.002343,0.025541
1249334,1762295159.583450,2.503406,2.553642,0.001703,0.026821
1249334,1762295159.583457,2.504366,2.550442,0.002183,0.025221
1249334,1762295159.583461,2.504366,2.548203,0.002183,0.024101
1249334,1762295159.583467,2.504366,2.552362,0.002183,0.026181
1249334,1762295159.583472,2.503086,2.558442,0.001543,0.029221
1249334,1762295159.583480,2.503086,2.557802,0.001543,0.028901
1249334,1762295159.583809,2.503406,2.553962,0.001703,0.026981
1249335,1762295159.584067,2.503726,2.558442,0.001863,0.029221
1249335,1762295159.584104,2.503406,2.563241,0.001703,0.031621
1249335,1762295159.584110,2.502766,2.561002,0.001383,0.030501
1249335,1762295159.584123,2.503406,2.559402,0.001703,0.029701
1249335,1762295159.584129,2.502766,2.565801,0.001383,0.032901
1249335,1762295159.584134,2.502766,2.560682,0.001383,0.030341
1249335,1762295159.584140,2.503086,2.567081,0.001543,0.033541
1249335,1762295159.584152,2.503726,2.568361,0.001863,0.034181
1249335,1762295159.584159,2.502766,2.572201,0.001383,0.036100
1249335,1762295159.584167,2.502446,2.573481,0.001223,0.036740
1249346,1762295159.595909,2.501806,2.569641,0.000903,0.034820
1249347,1762295159.595942,2.502446,2.572521,0.001223,0.036260
1249347,1762295159.595979,2.502126,2.569001,0.001063,0.034501
1249347,1762295159.595993,2.501486,2.576041,0.000743,0.038020
