time_ms,time_ts,v4,v5,g4,g5
1043753,1762294953.691238,2.499566,2.606438,-0.000217,0.053219
1043753,1762294953.691298,2.505006,2.608998,0.002503,0.054499
1043753,1762294953.691313,2.500526,2.608038,0.000263,0.054019
1043753,1762294953.691322,2.499566,2.608678,-0.000217,0.054339
1043753,1762294953.691331,2.501166,2.608358,0.000583,0.054179
1043753,1762294953.691363,2.501806,2.609638,0.000903,0.054819
1043753,1762294953.691411,2.500206,2.608998,0.000103,0.054499
1043753,1762294953.691430,2.507565,2.609958,0.003783,0.054979
1043753,1762294953.691439,2.507565,2.611238,0.003783,0.055619
1043756,1762294953.694543,2.505646,2.610278,0.002823,0.055139
1043772,1762294953.710000,2.506286,2.610918,0.003143,0.055459
1043772,1762294953.710439,2.503406,2.610278,0.001703,0.055139
1043772,1762294953.710474,2.507885,2.610278,0.003943,0.055139
1043772,1762294953.710483,2.504046,2.610918,0.002023,0.055459
1043772,1762294953.710488,2.510445,2.611238,0.005223,0.055619
1043772,1762294953.710505,2.512045,2.610598,0.006023,0.055299
1043772,1762294953.710790,2.508845,2.610598,0.004423,0.055299
1043772,1762294953.710797,2.510445,2.609958,0.005223,0.054979
1043772,1762294953.710804,2.512045,2.610918,0.006023,0.055459
1043772,1762294953.710810,2.514285,2.610278,0.007142,0.055139
1043785,1762294953.723593,2.508845,2.608678,0.004423,0.054339
1043785,1762294953.723663,2.512045,2.608678,0.006023,0.054339
1043785,1762294953.723726,2.512045,2.608678,0.006023,0.054339
1043785,1762294953.723749,2.513325,2.607398,0.006663,0.053699
1043785,1762294953.723786,2.514285,2.607078,0.007142,0.053539
1043785,1762294953.723813,2.514285,2.606438,0.007142,0.053219
1043785,1762294953.723828,2.513325,2.606438,0.006663,0.053219
1043785,1762294953.723844,2.515565,2.603878,0.007782,0.051939
1043785,1762294953.723857,2.514285,2.602599,0.007142,0.051299
1043785,1762294953.723872,2.515885,2.602279,0.007942,0.051139
1043801,1762294953.739094,2.519405,2.600359,0.009702,0.050179
1043801,1762294953.739153,2.519085,2.600039,0.009542,0.050019
1043801,1762294953.739169,2.516845,2.598439,0.008422,0.049219
1043801,1762294953.739189,2.510765,2.598759,0.005383,0.049379
1043801,1762294953.739245,2.518125,2.596839,0.009062,0.048420
1043801,1762294953.739294,2.542763,2.596199,0.021381,0.048100
1043801,1762294953.739301,2.523244,2.593959,0.011622,0.046980
1043801,1762294953.739308,2.517805,2.593959,0.008902,0.046980
1043801,1762294953.739313,2.522284,2.591719,0.011142,0.045860
1043801,1762294953.739318,2.518125,2.590759,0.009062,0.045380
1043817,1762294953.754995,2.517805,2.589800,0.008902,0.044900
1043817,1762294953.755086,2.524204,2.587240,0.012102,0.043620
1043817,1762294953.755103,2.524204,2.587560,0.012102,0.043780
1043817,1762294953.755108,2.522924,2.585320,0.011462,0.042660
1043817,1762294953.755113,2.521964,2.585640,0.010982,0.042820
1043817,1762294953.755116,2.518765,2.583400,0.009382,0.041700
1043817,1762294953.755120,2.521644,2.582760,0.010822,0.041380
1043817,1762294953.755124,2.520045,2.582120,0.010022,0.041060
1043817,1762294953.755128,2.529324,2.581480,0.014662,0.040740
