time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
91869,1762293582.232059,ACCEL,0,0.00000,0.12000,0.03374,91869
91874,1762293582.334410,ACCEL,0,0.00000,0.12000,0.03374,91874
91879,1762293582.334456,ACCEL,1,0.00491,0.12000,0.03381,91879
91884,1762293582.334486,ACCEL,1,0.00491,0.12000,0.03381,91884
91889,1762293582.334510,ACCEL,1,0.00491,0.12000,0.03381,91889
91894,1762293582.334535,ACCEL,1,0.00491,0.12000,0.03381,91894
91899,1762293582.334557,ACCEL,1,0.00491,0.12000,0.03381,91899
91904,1762293582.334578,ACCEL,1,0.00491,0.12000,0.03381,91904
91909,1762293582.335389,ACCEL,1,0.00491,0.12000,0.03381,91909
91914,1762293582.335431,ACCEL,1,0.00491,0.12000,0.03381,91914
91919,1762293582.335460,ACCEL,2,0.00982,0.12000,0.03388,91919
91924,1762293582.335472,ACCEL,2,0.00982,0.12000,0.03388,91924
91929,1762293582.335499,ACCEL,2,0.00982,0.12000,0.03388,91929
91934,1762293582.335565,ACCEL,2,0.00982,0.12000,0.03388,91934
91939,1762293582.335606,ACCEL,2,0.00982,0.12000,0.03388,91939
91944,1762293582.335637,ACCEL,2,0.00982,0.12000,0.03388,91944
91949,1762293582.335663,ACCEL,2,0.00982,0.12000,0.03388,91949
91954,1762293582.335688,ACCEL,2,0.00982,0.12000,0.03388,91954
91959,1762293582.335722,ACCEL,3,0.01473,0.12000,0.03395,91959
91964,1762293582.335740,ACCEL,3,0.01473,0.12000,0.03395,91964
91969,1762293582.336149,ACCEL,3,0.01473,0.12000,0.03395,91969
91974,1762293582.336186,ACCEL,3,0.01473,0.12000,0.03395,91974
91979,1762293582.336203,ACCEL,3,0.01473,0.12000,0.03395,91979
91984,1762293582.336212,ACCEL,3,0.01473,0.12000,0.03395,91984
91989,1762293582.336220,ACCEL,3,0.01473,0.12000,0.03395,91989
91994,1762293582.336229,ACCEL,3,0.01473,0.12000,0.03395,91994
91999,1762293582.336236,ACCEL,4,0.01963,0.12000,0.03402,91999
