time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
2591753,1762293094.642161,ACCEL,0,0.00000,0.12000,0.06749,2591753
2591758,1762293094.743524,ACCEL,0,0.00000,0.12000,0.06749,2591758
2591763,1762293094.744761,ACCEL,1,0.00491,0.12000,0.06763,2591763
2591768,1762293094.744807,ACCEL,1,0.00491,0.12000,0.06763,2591768
2591773,1762293094.744895,ACCEL,1,0.00491,0.12000,0.06763,2591773
2591778,1762293094.744953,ACCEL,1,0.00491,0.12000,0.06763,2591778
2591783,1762293094.744965,ACCEL,1,0.00491,0.12000,0.06763,2591783
2591788,1762293094.745019,ACCEL,1,0.00491,0.12000,0.06763,2591788
2591793,1762293094.745064,ACCEL,1,0.00491,0.12000,0.06763,2591793
2591798,1762293094.745093,ACCEL,1,0.00491,0.12000,0.06763,2591798
2591803,1762293094.745118,ACCEL,2,0.00982,0.12000,0.06776,2591803
2591808,1762293094.745140,ACCEL,2,0.00982,0.12000,0.06776,2591808
2591813,1762293094.745198,ACCEL,2,0.00982,0.12000,0.06776,2591813
2591818,1762293094.745214,ACCEL,2,0.00982,0.12000,0.06776,2591818
2591823,1762293094.745249,ACCEL,2,0.00982,0.12000,0.06776,2591823
2591828,1762293094.745276,ACCEL,2,0.00982,0.12000,0.06776,2591828
2591833,1762293094.745291,ACCEL,2,0.00982,0.12000,0.06776,2591833
2591838,1762293094.745304,ACCEL,2,0.00982,0.12000,0.06776,2591838
2591843,1762293094.745315,ACCEL,3,0.01473,0.12000,0.06790,2591843
2591848,1762293094.745325,ACCEL,3,0.01473,0.12000,0.06790,2591848
2591853,1762293094.745335,ACCEL,3,0.01473,0.12000,0.06790,2591853
2591858,1762293094.745347,ACCEL,3,0.01473,0.12000,0.06790,2591858
2591863,1762293094.745357,ACCEL,3,0.01473,0.12000,0.06790,2591863
2591868,1762293094.745367,ACCEL,3,0.01473,0.12000,0.06790,2591868
2591873,1762293094.745377,ACCEL,3,0.01473,0.12000,0.06790,2591873
2591878,1762293094.745387,ACCEL,3,0.01473,0.12000,0.06790,2591878
2591883,1762293094.745427,ACCEL,4,0.01963,0.12000,0.06803,2591883
2591888,1762293094.745440,ACCEL,4,0.01963,0.12000,0.06803,2591888
2591893,1762293094.745448,ACCEL,4,0.01963,0.12000,0.06803,2591893
2591898,1762293094.745456,ACCEL,4,0.01963,0.12000,0.06803,2591898
2591903,1762293094.745471,ACCEL,4,0.01963,0.12000,0.06803,2591903
2591908,1762293094.745485,ACCEL,4,0.01963,0.12000,0.06803,2591908
2591913,1762293094.745494,ACCEL,4,0.01963,0.12000,0.06803,2591913
2591918,1762293094.745507,ACCEL,4,0.01963,0.12000,0.06803,2591918
2591923,1762293094.745515,ACCEL,4,0.01963,0.12000,0.06803,2591923
2591928,1762293094.745525,ACCEL,5,0.02454,0.12000,0.06817,2591928
2591933,1762293094.745560,ACCEL,5,0.02454,0.12000,0.06817,2591933
2591938,1762293094.745569,ACCEL,5,0.02454,0.12000,0.06817,2591938
2591943,1762293094.745632,ACCEL,5,0.02454,0.12000,0.06817,2591943
2591948,1762293094.745641,ACCEL,5,0.02454,0.12000,0.06817,2591948
2591953,1762293094.745686,ACCEL,5,0.02454,0.12000,0.06817,2591953
2591958,1762293094.745719,ACCEL,5,0.02454,0.12000,0.06817,2591958
2591963,1762293094.745737,ACCEL,5,0.02454,0.12000,0.06817,2591963
2591968,1762293094.745754,ACCEL,6,0.02945,0.12000,0.06831,2591968
2591973,1762293094.745770,ACCEL,6,0.02945,0.12000,0.06831,2591973
2591978,1762293094.745785,ACCEL,6,0.02945,0.12000,0.06831,2591978
2591983,1762293094.745800,ACCEL,6,0.02945,0.12000,0.06831,2591983
2591988,1762293094.745815,ACCEL,6,0.02945,0.12000,0.06831,2591988
2592108,1762293095.017762,ACCEL,9,0.04418,0.12000,0.06872,2592108
2592113,1762293095.017787,ACCEL,9,0.04418,0.12000,0.06872,2592113
2592118,1762293095.020940,ACCEL,9,0.04418,0.12000,0.06872,2592118
2592123,1762293095.020954,ACCEL,9,0.04418,0.12000,0.06872,2592123
2592128,1762293095.020964,ACCEL,9,0.04418,0.12000,0.06872,2592128
2592133,1762293095.020973,ACCEL,10,0.04909,0.12000,0.06885,2592133
2592138,1762293095.020981,ACCEL,10,0.04909,0.12000,0.06885,2592138
2592143,1762293095.020988,ACCEL,10,0.04909,0.12000,0.06885,2592143
2592148,1762293095.020995,ACCEL,10,0.04909,0.12000,0.06885,2592148
2592153,1762293095.021002,ACCEL,10,0.04909,0.12000,0.06885,2592153
2592158,1762293095.021009,ACCEL,10,0.04909,0.12000,0.06885,2592158
2592163,1762293095.021016,ACCEL,10,0.04909,0.12000,0.06885,2592163
2592168,1762293095.021026,ACCEL,10,0.04909,0.12000,0.06885,2592168
2592173,1762293095.021075,ACCEL,11,0.05400,0.12000,0.06899,2592173
2592178,1762293095.021118,ACCEL,11,0.05400,0.12000,0.06899,2592178
2592183,1762293095.021129,ACCEL,11,0.05400,0.12000,0.06899,2592183
2592188,1762293095.021137,ACCEL,11,0.05400,0.12000,0.06899,2592188
2592193,1762293095.021149,ACCEL,11,0.05400,0.12000,0.06899,2592193
2592198,1762293095.021156,ACCEL,11,0.05400,0.12000,0.06899,2592198
2592203,1762293095.021164,ACCEL,11,0.05400,0.12000,0.06899,2592203
2592208,1762293095.021171,ACCEL,11,0.05400,0.12000,0.06899,2592208
2592213,1762293095.021178,ACCEL,12,0.05890,0.12000,0.06912,2592213
2592218,1762293095.021185,ACCEL,12,0.05890,0.12000,0.06912,2592218
2592223,1762293095.021193,ACCEL,12,0.05890,0.12000,0.06912,2592223
2592228,1762293095.021200,ACCEL,12,0.05890,0.12000,0.06912,2592228
2592233,1762293095.021207,ACCEL,12,0.05890,0.12000,0.06912,2592233
2592238,1762293095.021214,ACCEL,12,0.05890,0.12000,0.06912,2592238
2592243,1762293095.021221,ACCEL,12,0.05890,0.12000,0.06912,2592243
2592248,1762293095.021228,ACCEL,12,0.05890,0.12000,0.06912,2592248
2592253,1762293095.021273,ACCEL,13,0.06381,0.12000,0.06926,2592253
2592258,1762293095.021282,ACCEL,13,0.06381,0.12000,0.06926,2592258
2592263,1762293095.021290,ACCEL,13,0.06381,0.12000,0.06926,2592263
2592268,1762293095.021297,ACCEL,13,0.06381,0.12000,0.06926,2592268
2592273,1762293095.021303,ACCEL,13,0.06381,0.12000,0.06926,2592273
2592278,1762293095.021310,ACCEL,13,0.06381,0.12000,0.06926,2592278
2592283,1762293095.021317,ACCEL,13,0.06381,0.12000,0.06926,2592283
2592288,1762293095.021324,ACCEL,13,0.06381,0.12000,0.06926,2592288
2592293,1762293095.021330,ACCEL,14,0.06872,0.12000,0.06940,2592293
2592298,1762293095.021338,ACCEL,14,0.06872,0.12000,0.06940,2592298
2592303,1762293095.021344,ACCEL,14,0.06872,0.12000,0.06940,2592303
2592308,1762293095.021350,ACCEL,14,0.06872,0.12000,0.06940,2592308
2592313,1762293095.021356,ACCEL,14,0.06872,0.12000,0.06940,2592313
2592318,1762293095.021363,ACCEL,14,0.06872,0.12000,0.06940,2592318
2592323,1762293095.021369,ACCEL,14,0.06872,0.12000,0.06940,2592323
2592328,1762293095.021375,ACCEL,14,0.06872,0.12000,0.06940,2592328
2592333,1762293095.021384,ACCEL,15,0.07363,0.12000,0.06953,2592333
2592338,1762293095.021389,ACCEL,15,0.07363,0.12000,0.06953,2592338
2592343,1762293095.021395,ACCEL,15,0.07363,0.12000,0.06953,2592343
2592348,1762293095.021401,ACCEL,15,0.07363,0.12000,0.06953,2592348
2592353,1762293095.021408,ACCEL,15,0.07363,0.12000,0.06953,2592353
2592383,1762293095.278115,ACCEL,16,0.07854,0.12000,0.06967,2592383
2592388,1762293095.278135,ACCEL,16,0.07854,0.12000,0.06967,2592388
2592393,1762293095.278204,ACCEL,16,0.07854,0.12000,0.06967,2592393
2592398,1762293095.278218,ACCEL,16,0.07854,0.12000,0.06967,2592398
2592403,1762293095.278225,ACCEL,16,0.07854,0.12000,0.06967,2592403
2592408,1762293095.278233,ACCEL,16,0.07854,0.12000,0.06967,2592408
2592413,1762293095.278240,ACCEL,16,0.07854,0.12000,0.06967,2592413
