time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
606333,1762294515.382384,ACCEL,0,0.00000,0.12000,0.06749,606333
606338,1762294515.488495,ACCEL,0,0.00000,0.12000,0.06749,606338
606343,1762294515.488537,ACCEL,1,0.00491,0.12000,0.06763,606343
606348,1762294515.488562,ACCEL,1,0.00491,0.12000,0.06763,606348
606353,1762294515.488586,ACCEL,1,0.00491,0.12000,0.06763,606353
606358,1762294515.488606,ACCEL,1,0.00491,0.12000,0.06763,606358
606363,1762294515.488624,ACCEL,1,0.00491,0.12000,0.06763,606363
606368,1762294515.488642,ACCEL,1,0.00491,0.12000,0.06763,606368
606374,1762294515.488659,ACCEL,1,0.00491,0.12000,0.06763,606374
606379,1762294515.488678,ACCEL,1,0.00491,0.12000,0.06763,606379
606383,1762294515.488695,ACCEL,2,0.00982,0.12000,0.06776,606383
606388,1762294515.488712,ACCEL,2,0.00982,0.12000,0.06776,606388
606393,1762294515.488729,ACCEL,2,0.00982,0.12000,0.06776,606393
606398,1762294515.488746,ACCEL,2,0.00982,0.12000,0.06776,606398
606403,1762294515.488760,ACCEL,2,0.00982,0.12000,0.06776,606403
606408,1762294515.488777,ACCEL,2,0.00982,0.12000,0.06776,606408
606413,1762294515.488794,ACCEL,2,0.00982,0.12000,0.06776,606413
606418,1762294515.488812,ACCEL,2,0.00982,0.12000,0.06776,606418
606423,1762294515.488828,ACCEL,3,0.01473,0.12000,0.06790,606423
606428,1762294515.488845,ACCEL,3,0.01473,0.12000,0.06790,606428
606434,1762294515.488861,ACCEL,3,0.01473,0.12000,0.06790,606434
606438,1762294515.488877,ACCEL,3,0.01473,0.12000,0.06790,606438
606443,1762294515.488905,ACCEL,3,0.01473,0.12000,0.06790,606443
606448,1762294515.488936,ACCEL,3,0.01473,0.12000,0.06790,606448
606453,1762294515.488952,ACCEL,3,0.01473,0.12000,0.06790,606453
606459,1762294515.488970,ACCEL,3,0.01473,0.12000,0.06790,606459
606463,1762294515.488987,ACCEL,4,0.01963,0.12000,0.06803,606463
606468,1762294515.489004,ACCEL,4,0.01963,0.12000,0.06803,606468
606473,1762294515.489021,ACCEL,4,0.01963,0.12000,0.06803,606473
606479,1762294515.489037,ACCEL,4,0.01963,0.12000,0.06803,606479
606484,1762294515.489502,ACCEL,4,0.01963,0.12000,0.06803,606484
606488,1762294515.489539,ACCEL,4,0.01963,0.12000,0.06803,606488
606493,1762294515.489550,ACCEL,4,0.01963,0.12000,0.06803,606493
606498,1762294515.489564,ACCEL,4,0.01963,0.12000,0.06803,606498
606503,1762294515.489605,ACCEL,4,0.01963,0.12000,0.06803,606503
606508,1762294515.489617,ACCEL,5,0.02454,0.12000,0.06817,606508
606514,1762294515.489625,ACCEL,5,0.02454,0.12000,0.06817,606514
606518,1762294515.489656,ACCEL,5,0.02454,0.12000,0.06817,606518
606523,1762294515.489701,ACCEL,5,0.02454,0.12000,0.06817,606523
606528,1762294515.489719,ACCEL,5,0.02454,0.12000,0.06817,606528
606533,1762294515.489732,ACCEL,5,0.02454,0.12000,0.06817,606533
606539,1762294515.489745,ACCEL,5,0.02454,0.12000,0.06817,606539
606543,1762294515.489756,ACCEL,5,0.02454,0.12000,0.06817,606543
606548,1762294515.489765,ACCEL,6,0.02945,0.12000,0.06831,606548
