time_ms,time_ts,v4,v5,g4,g5
696510,1762294605.880210,2.503726,2.577000,0.001863,0.038500
696512,1762294605.882133,2.503406,2.577000,0.001703,0.038500
696512,1762294605.882223,2.504046,2.577640,0.002023,0.038820
696512,1762294605.882267,2.503726,2.577960,0.001863,0.038980
696516,1762294605.886064,2.503086,2.576680,0.001543,0.038340
696516,1762294605.886116,2.504046,2.577320,0.002023,0.038660
696517,1762294605.886463,2.504366,2.577640,0.002183,0.038820
696517,1762294605.886474,2.503406,2.578600,0.001703,0.039300
696517,1762294605.886483,2.504046,2.578280,0.002023,0.039140
696517,1762294605.886491,2.503406,2.577960,0.001703,0.038980
696528,1762294605.897867,2.503726,2.577640,0.001863,0.038820
696528,1762294605.897901,2.503726,2.578280,0.001863,0.039140
696528,1762294605.897945,2.504686,2.578280,0.002343,0.039140
696528,1762294605.897980,2.503726,2.577320,0.001863,0.038660
696528,1762294605.897988,2.504366,2.577320,0.002183,0.038660
696528,1762294605.897994,2.504046,2.577640,0.002023,0.038820
696528,1762294605.898013,2.503726,2.577320,0.001863,0.038660
696528,1762294605.898047,2.505326,2.577640,0.002663,0.038820
696528,1762294605.898055,2.505326,2.576360,0.002663,0.038180
696528,1762294605.898060,2.505326,2.577000,0.002663,0.038500
696528,1762294605.898294,2.505326,2.576360,0.002663,0.038180
696529,1762294605.898677,2.505646,2.575401,0.002823,0.037700
696529,1762294605.898684,2.506286,2.575081,0.003143,0.037540
696529,1762294605.898690,2.506606,2.575401,0.003303,0.037700
696529,1762294605.898695,2.507246,2.575081,0.003623,0.037540
696529,1762294605.898701,2.506926,2.575081,0.003463,0.037540
696529,1762294605.898707,2.505966,2.574121,0.002983,0.037060
696529,1762294605.898713,2.506286,2.573801,0.003143,0.036900
696529,1762294605.898718,2.506926,2.573801,0.003463,0.036900
696529,1762294605.898725,2.507565,2.573481,0.003783,0.036740
696541,1762294605.911235,2.506926,2.573481,0.003463,0.036740
696541,1762294605.911263,2.507246,2.571881,0.003623,0.035940
696541,1762294605.911269,2.507885,2.572201,0.003943,0.036100
696541,1762294605.911278,2.507885,2.571241,0.003943,0.035620
696541,1762294605.911294,2.508525,2.571881,0.004263,0.035940
696541,1762294605.911299,2.507885,2.570921,0.003943,0.035460
696541,1762294605.911322,2.508205,2.570601,0.004103,0.035300
696541,1762294605.911327,2.508205,2.568681,0.004103,0.034341
696542,1762294605.911331,2.508205,2.568361,0.004103,0.034181
696542,1762294605.911335,2.508205,2.568361,0.004103,0.034181
696556,1762294605.926170,2.507885,2.568041,0.003943,0.034021
696556,1762294605.926208,2.509485,2.567401,0.004743,0.033701
696556,1762294605.926214,2.508205,2.566761,0.004103,0.033381
696556,1762294605.926218,2.509165,2.566761,0.004583,0.033381
696556,1762294605.926222,2.509165,2.564841,0.004583,0.032421
696556,1762294605.926226,2.508525,2.566121,0.004263,0.033061
696556,1762294605.926229,2.508525,2.565161,0.004263,0.032581
696556,1762294605.926233,2.509165,2.563561,0.004583,0.031781
696556,1762294605.926237,2.509805,2.562282,0.004903,0.031141
696556,1762294605.926241,2.510445,2.561642,0.005223,0.030821
696572,1762294605.942158,2.509805,2.561962,0.004903,0.030981
696572,1762294605.942189,2.510445,2.560042,0.005223,0.030021
696574,1762294605.943540,2.510765,2.560362,0.005383,0.030181
696574,1762294605.943571,2.510765,2.559722,0.005383,0.029861
696574,1762294605.943603,2.510445,2.558442,0.005223,0.029221
696574,1762294605.943624,2.510765,2.556842,0.005383,0.028421
696574,1762294605.943629,2.511085,2.557482,0.005543,0.028741
696574,1762294605.943633,2.510765,2.556522,0.005383,0.028261
696574,1762294605.943637,2.511405,2.555882,0.005703,0.027941
696574,1762294605.943641,2.511405,2.554922,0.005703,0.027461
696588,1762294605.958292,2.511405,2.554282,0.005703,0.027141
696588,1762294605.958322,2.512365,2.554282,0.006183,0.027141
696588,1762294605.958327,2.511725,2.552362,0.005863,0.026181
696589,1762294605.958362,2.511405,2.553962,0.005703,0.026981
696589,1762294605.958370,2.512045,2.553322,0.006023,0.026661
696589,1762294605.958378,2.512045,2.553002,0.006023,0.026501
696589,1762294605.958429,2.511405,2.552042,0.005703,0.026021
696589,1762294605.958546,2.512365,2.553322,0.006183,0.026661
696589,1762294605.958568,2.511405,2.553002,0.005703,0.026501
696589,1762294605.958583,2.511405,2.551722,0.005703,0.025861
696590,1762294605.960330,2.511085,2.551722,0.005543,0.025861
696591,1762294605.960394,2.511405,2.551722,0.005703,0.025861
696591,1762294605.960420,2.511405,2.552042,0.005703,0.026021
696591,1762294605.960427,2.511405,2.552362,0.005703,0.026181
696591,1762294605.960432,2.511085,2.551402,0.005543,0.025701
696591,1762294605.960438,2.510765,2.553002,0.005383,0.026501
696591,1762294605.960443,2.510765,2.551722,0.005383,0.025861
696591,1762294605.960451,2.511085,2.552042,0.005543,0.026021
696591,1762294605.960456,2.510765,2.552042,0.005383,0.026021
696591,1762294605.960461,2.510445,2.552362,0.005223,0.026181
696591,1762294605.960677,2.511085,2.552682,0.005543,0.026341
696591,1762294605.960698,2.510765,2.552682,0.005383,0.026341
696591,1762294605.960705,2.511085,2.552682,0.005543,0.026341
696591,1762294605.960711,2.510765,2.553322,0.005383,0.026661
696591,1762294605.960716,2.511405,2.553962,0.005703,0.026981
696591,1762294605.960721,2.510765,2.553642,0.005383,0.026821
696591,1762294605.960726,2.510765,2.554282,0.005383,0.027141
696591,1762294605.960731,2.511085,2.554282,0.005543,0.027141
696591,1762294605.960736,2.511085,2.555882,0.005543,0.027941
696591,1762294605.960741,2.511085,2.555882,0.005543,0.027941
696604,1762294605.973491,2.510765,2.557162,0.005383,0.028581
696604,1762294605.973895,2.511725,2.557802,0.005863,0.028901
696604,1762294605.973904,2.511725,2.558442,0.005863,0.029221
696604,1762294605.973912,2.510445,2.559722,0.005223,0.029861
696604,1762294605.973918,2.511085,2.558442,0.005543,0.029221
696604,1762294605.973938,2.511405,2.559722,0.005703,0.029861
