time_ms,time_ts,v4,v5,g4,g5
890563,1762294800.235116,2.502446,2.617638,0.001223,0.058819
890563,1762294800.235188,2.501806,2.616998,0.000903,0.058499
890564,1762294800.236620,2.501486,2.619557,0.000743,0.059779
890564,1762294800.236700,2.501486,2.620837,0.000743,0.060419
890564,1762294800.236721,2.501806,2.622437,0.000903,0.061219
890565,1762294800.237278,2.501806,2.622117,0.000903,0.061059
890568,1762294800.240746,2.500846,2.623397,0.000423,0.061699
890569,1762294800.241914,2.501166,2.623717,0.000583,0.061859
890569,1762294800.241954,2.501166,2.626917,0.000583,0.063458
890569,1762294800.241971,2.501166,2.625957,0.000583,0.062978
890594,1762294800.266115,2.501166,2.627557,0.000583,0.063778
890594,1762294800.266155,2.502126,2.630117,0.001063,0.065058
890594,1762294800.266196,2.501166,2.630117,0.000583,0.065058
890594,1762294800.266231,2.502126,2.632036,0.001063,0.066018
890594,1762294800.266264,2.502126,2.632036,0.001063,0.066018
890594,1762294800.266279,2.501166,2.634916,0.000583,0.067458
890594,1762294800.266285,2.501166,2.633636,0.000583,0.066818
890594,1762294800.266291,2.501486,2.635236,0.000743,0.067618
890594,1762294800.266304,2.501486,2.636516,0.000743,0.068258
890594,1762294800.266309,2.502126,2.638436,0.001063,0.069218
890596,1762294800.268091,2.501486,2.638116,0.000743,0.069058
890596,1762294800.268120,2.501806,2.640356,0.000903,0.070178
890596,1762294800.268143,2.502446,2.641636,0.001223,0.070818
890596,1762294800.268153,2.502766,2.641636,0.001383,0.070818
890596,1762294800.268180,2.502446,2.643556,0.001223,0.071778
890596,1762294800.268199,2.502766,2.642276,0.001383,0.071138
890596,1762294800.268206,2.503406,2.644196,0.001703,0.072098
890596,1762294800.268211,2.503086,2.645475,0.001543,0.072738
890596,1762294800.268217,2.502766,2.644836,0.001383,0.072418
890596,1762294800.268221,2.504046,2.646755,0.002023,0.073378
890596,1762294800.268492,2.502446,2.648355,0.001223,0.074178
890596,1762294800.268506,2.503406,2.647715,0.001703,0.073858
890596,1762294800.268528,2.503726,2.647395,0.001863,0.073698
890596,1762294800.268553,2.503726,2.648355,0.001863,0.074178
890596,1762294800.268560,2.503726,2.647715,0.001863,0.073858
890596,1762294800.268567,2.503726,2.649315,0.001863,0.074658
890596,1762294800.268574,2.503726,2.647395,0.001863,0.073698
890596,1762294800.268580,2.504046,2.647715,0.002023,0.073858
890596,1762294800.268599,2.503726,2.647715,0.001863,0.073858
890596,1762294800.268639,2.503726,2.647715,0.001863,0.073858
890610,1762294800.282065,2.503726,2.647715,0.001863,0.073858
890610,1762294800.282096,2.504366,2.645795,0.002183,0.072898
890610,1762294800.282101,2.504686,2.646435,0.002343,0.073218
890610,1762294800.282105,2.502766,2.645795,0.001383,0.072898
890610,1762294800.282109,2.503086,2.643876,0.001543,0.071938
890610,1762294800.282113,2.505006,2.643876,0.002503,0.071938
890610,1762294800.282116,2.504046,2.643236,0.002023,0.071618
890610,1762294800.282120,2.504686,2.642596,0.002343,0.071298
890610,1762294800.282124,2.503726,2.640036,0.001863,0.070018
890610,1762294800.282128,2.504686,2.640676,0.002343,0.070338
890610,1762294800.282277,2.505006,2.639076,0.002503,0.069538
890610,1762294800.282283,2.504686,2.637796,0.002343,0.068898
890610,1762294800.282287,2.505646,2.635876,0.002823,0.067938
890610,1762294800.282291,2.504686,2.633636,0.002343,0.066818
890610,1762294800.282295,2.505966,2.634276,0.002983,0.067138
890610,1762294800.282299,2.505966,2.629797,0.002983,0.064898
890610,1762294800.282302,2.506286,2.630117,0.003143,0.065058
890610,1762294800.282306,2.505006,2.628517,0.002503,0.064258
890610,1762294800.282310,2.505326,2.629157,0.002663,0.064578
890610,1762294800.282313,2.506286,2.625637,0.003143,0.062818
890627,1762294800.299340,2.506286,2.626277,0.003143,0.063138
890627,1762294800.299398,2.506286,2.622437,0.003143,0.061219
890627,1762294800.299844,2.506926,2.624357,0.003463,0.062179
890627,1762294800.299852,2.506606,2.620517,0.003303,0.060259
890627,1762294800.299858,2.506286,2.617318,0.003143,0.058659
890627,1762294800.299865,2.505966,2.616998,0.002983,0.058499
890628,1762294800.300262,2.507246,2.614438,0.003623,0.057219
890631,1762294800.303956,2.507565,2.614118,0.003783,0.057059
890632,1762294800.304444,2.526124,2.610598,0.013062,0.055299
890632,1762294800.304492,2.509485,2.611878,0.004743,0.055939
890641,1762294800.313766,2.513005,2.608358,0.006503,0.054179
890641,1762294800.313788,2.503726,2.608678,0.001863,0.054339
890641,1762294800.313795,2.506286,2.604838,0.003143,0.052419
890641,1762294800.313800,2.511405,2.604838,0.005703,0.052419
890641,1762294800.313831,2.513005,2.602599,0.006503,0.051299
890641,1762294800.313837,2.506286,2.598759,0.003143,0.049379
890641,1762294800.313842,2.510445,2.599079,0.005223,0.049539
890641,1762294800.313852,2.503726,2.596519,0.001863,0.048260
890641,1762294800.313857,2.508205,2.596199,0.004103,0.048100
890641,1762294800.313861,2.510445,2.594599,0.005223,0.047300
890642,1762294800.314006,2.507246,2.594599,0.003623,0.047300
890642,1762294800.314028,2.501806,2.590439,0.000903,0.045220
890642,1762294800.314034,2.511725,2.590439,0.005863,0.045220
890642,1762294800.314039,2.512045,2.588520,0.006023,0.044260
890642,1762294800.314045,2.519085,2.585960,0.009542,0.042980
890642,1762294800.314049,2.505326,2.587240,0.002663,0.043620
890642,1762294800.314054,2.513325,2.584680,0.006663,0.042340
890642,1762294800.314059,2.513965,2.584040,0.006983,0.042020
890642,1762294800.314064,2.507246,2.582440,0.003623,0.041220
890642,1762294800.314069,2.528364,2.583080,0.014182,0.041540
890656,1762294800.328726,2.526444,2.580200,0.013222,0.040100
890656,1762294800.328760,2.512685,2.580520,0.006343,0.040260
890656,1762294800.328788,2.541483,2.579240,0.020742,0.039620
890656,1762294800.328818,2.502126,2.579560,0.001063,0.039780
890656,1762294800.328824,2.513645,2.578280,0.006823,0.039140
890656,1762294800.328829,2.509165,2.576360,0.004583,0.038180
890656,1762294800.328834,2.508845,2.577640,0.004423,0.038820
890656,1762294800.328840,2.509165,2.576360,0.004583,0.038180
890656,1762294800.328844,2.507885,2.576680,0.003943,0.038340
890656,1762294800.328884,2.551722,2.575081,0.025861,0.037540
890672,1762294800.344886,2.499566,2.575401,-0.000217,0.037700
890672,1762294800.344934,2.504686,2.575721,0.002343,0.037860
890672,1762294800.344945,2.507246,2.575401,0.003623,0.037700
890672,1762294800.344954,2.513645,2.575081,0.006823,0.037540
890672,1762294800.344963,2.506926,2.576041,0.003463,0.038020
890672,1762294800.344971,2.502126,2.576360,0.001063,0.038180
890672,1762294800.344980,2.504366,2.575721,0.002183,0.037860
890673,1762294800.345011,2.509165,2.575401,0.004583,0.037700
890673,1762294800.345047,2.503086,2.576041,0.001543,0.038020
890673,1762294800.345057,2.505646,2.575401,0.002823,0.037700
890673,1762294800.345185,2.508525,2.576680,0.004263,0.038340
890673,1762294800.345192,2.515885,2.576680,0.007942,0.038340
890673,1762294800.345196,2.519085,2.578280,0.009542,0.039140
890673,1762294800.345200,2.509165,2.577640,0.004583,0.038820
890673,1762294800.345204,2.525484,2.578280,0.012742,0.039140
890673,1762294800.345208,2.497006,2.579240,-0.001497,0.039620
890673,1762294800.345215,2.504046,2.580200,0.002023,0.040100
890673,1762294800.345218,2.505006,2.580840,0.002503,0.040420
