time_ms,time_ts,v4,v5,g4,g5
471658,1762294380.678461,2.497646,2.535723,-0.001177,0.017862
471659,1762294380.680171,2.505966,2.536043,0.002983,0.018022
471660,1762294380.680682,2.504366,2.537003,0.002183,0.018502
471663,1762294380.683473,2.501806,2.538283,0.000903,0.019142
471663,1762294380.683927,2.500846,2.537963,0.000423,0.018982
471663,1762294380.683966,2.503406,2.538923,0.001703,0.019462
471663,1762294380.683981,2.503726,2.539883,0.001863,0.019942
471663,1762294380.684012,2.494446,2.540203,-0.002777,0.020102
471663,1762294380.684024,2.503726,2.540203,0.001863,0.020102
471663,1762294380.684039,2.505646,2.541483,0.002823,0.020742
471674,1762294380.694867,2.495406,2.540843,-0.002297,0.020422
471674,1762294380.694887,2.519725,2.541803,0.009862,0.020902
471674,1762294380.694922,2.501486,2.541803,0.000743,0.020902
471674,1762294380.694929,2.510125,2.542763,0.005063,0.021381
471675,1762294380.695350,2.505326,2.542763,0.002663,0.021381
471675,1762294380.695357,2.497326,2.543403,-0.001337,0.021701
471675,1762294380.695363,2.497006,2.543083,-0.001497,0.021541
471675,1762294380.695369,2.509165,2.542763,0.004583,0.021381
471675,1762294380.695374,2.508845,2.544043,0.004423,0.022021
471675,1762294380.695379,2.499566,2.544043,-0.000217,0.022021
471690,1762294380.710638,2.498606,2.544043,-0.000697,0.022021
471690,1762294380.710679,2.509165,2.543403,0.004583,0.021701
471690,1762294380.710724,2.507885,2.544683,0.003943,0.022341
471690,1762294380.710753,2.503086,2.545003,0.001543,0.022501
471690,1762294380.710809,2.504046,2.544683,0.002023,0.022341
471690,1762294380.710816,2.517485,2.544363,0.008742,0.022181
471690,1762294380.710822,2.504046,2.545003,0.002023,0.022501
471690,1762294380.710848,2.503726,2.543403,0.001863,0.021701
471690,1762294380.710880,2.502446,2.543723,0.001223,0.021861
471690,1762294380.710904,2.501806,2.544683,0.000903,0.022341
471705,1762294380.725960,2.491567,2.544683,-0.004217,0.022341
471705,1762294380.726030,2.506606,2.543723,0.003303,0.021861
471705,1762294380.726045,2.506286,2.544043,0.003143,0.022021
471705,1762294380.726067,2.506926,2.544363,0.003463,0.022181
471705,1762294380.726081,2.506926,2.545003,0.003463,0.022501
471705,1762294380.726096,2.502766,2.544363,0.001383,0.022181
471705,1762294380.726110,2.513005,2.544363,0.006503,0.022181
471705,1762294380.726124,2.497966,2.544363,-0.001017,0.022181
471705,1762294380.726138,2.505646,2.543723,0.002823,0.021861
