time_ms,time_ts,v4,v5,g4,g5
529052,1762294438.151470,2.500846,2.555882,0.000423,0.027941
529053,1762294438.151562,2.501166,2.555562,0.000583,0.027781
529053,1762294438.151971,2.500526,2.554922,0.000263,0.027461
529053,1762294438.151998,2.500526,2.554602,0.000263,0.027301
529053,1762294438.152029,2.500846,2.554282,0.000423,0.027141
529053,1762294438.152053,2.500206,2.554602,0.000103,0.027301
529053,1762294438.152075,2.500846,2.552682,0.000423,0.026341
529053,1762294438.152093,2.500526,2.553002,0.000263,0.026501
529053,1762294438.152222,2.500526,2.552042,0.000263,0.026021
529053,1762294438.152240,2.500526,2.551082,0.000263,0.025541
529068,1762294438.166753,2.500206,2.551722,0.000103,0.025861
529068,1762294438.166895,2.501166,2.550122,0.000583,0.025061
529069,1762294438.167676,2.500526,2.551082,0.000263,0.025541
529069,1762294438.167830,2.500206,2.548842,0.000103,0.024421
529069,1762294438.167843,2.500206,2.548842,0.000103,0.024421
529069,1762294438.167857,2.500526,2.547883,0.000263,0.023941
529069,1762294438.167919,2.500846,2.547563,0.000423,0.023781
529069,1762294438.167955,2.500526,2.547883,0.000263,0.023941
529069,1762294438.167997,2.500206,2.545963,0.000103,0.022981
529069,1762294438.168044,2.500206,2.546283,0.000103,0.023141
529084,1762294438.182961,2.499886,2.545643,-0.000057,0.022821
529084,1762294438.182991,2.499886,2.545323,-0.000057,0.022661
529084,1762294438.183016,2.499566,2.545003,-0.000217,0.022501
529084,1762294438.183419,2.499566,2.543403,-0.000217,0.021701
529084,1762294438.183438,2.500526,2.544363,0.000263,0.022181
529084,1762294438.183444,2.499566,2.542763,-0.000217,0.021381
529084,1762294438.183476,2.500206,2.541803,0.000103,0.020902
529084,1762294438.183483,2.499246,2.543083,-0.000377,0.021541
529084,1762294438.183490,2.499886,2.541483,-0.000057,0.020742
529084,1762294438.183496,2.500526,2.539883,0.000263,0.019942
529100,1762294438.198700,2.499886,2.540203,-0.000057,0.020102
529100,1762294438.198727,2.500526,2.538283,0.000263,0.019142
529100,1762294438.198732,2.499566,2.539243,-0.000217,0.019622
529100,1762294438.198737,2.499246,2.537643,-0.000377,0.018822
529100,1762294438.198741,2.500526,2.537323,0.000263,0.018662
529100,1762294438.198745,2.501166,2.536363,0.000583,0.018182
529100,1762294438.198748,2.500846,2.536363,0.000423,0.018182
529100,1762294438.198752,2.499566,2.535403,-0.000217,0.017702
529100,1762294438.198755,2.500526,2.534124,0.000263,0.017062
529100,1762294438.198759,2.501806,2.533484,0.000903,0.016742
529116,1762294438.214734,2.500846,2.532204,0.000423,0.016102
529116,1762294438.214789,2.501486,2.532204,0.000743,0.016102
529116,1762294438.214796,2.501486,2.530604,0.000743,0.015302
529117,1762294438.216262,2.501486,2.531244,0.000743,0.015622
529117,1762294438.216303,2.501166,2.529324,0.000583,0.014662
529117,1762294438.216312,2.502126,2.529324,0.001063,0.014662
529117,1762294438.216356,2.503086,2.528364,0.001543,0.014182
529117,1762294438.216375,2.501806,2.527724,0.000903,0.013862
529117,1762294438.216382,2.503086,2.527724,0.001543,0.013862
529117,1762294438.216388,2.502766,2.527404,0.001383,0.013702
529121,1762294438.220037,2.502126,2.526444,0.001063,0.013222
529122,1762294438.220639,2.503726,2.524844,0.001863,0.012422
529122,1762294438.220684,2.504046,2.525804,0.002023,0.012902
529122,1762294438.220708,2.502766,2.526444,0.001383,0.013222
529122,1762294438.220715,2.502766,2.525164,0.001383,0.012582
529122,1762294438.220720,2.503406,2.524844,0.001703,0.012422
529122,1762294438.220726,2.503726,2.524844,0.001863,0.012422
529122,1762294438.220732,2.503086,2.525484,0.001543,0.012742
529122,1762294438.221069,2.504046,2.524844,0.002023,0.012422
529122,1762294438.221087,2.503406,2.523884,0.001703,0.011942
529135,1762294438.233960,2.505326,2.525164,0.002663,0.012582
529135,1762294438.233985,2.504046,2.524844,0.002023,0.012422
529135,1762294438.233991,2.503726,2.524844,0.001863,0.012422
529135,1762294438.234006,2.504366,2.523884,0.002183,0.011942
529135,1762294438.234012,2.504366,2.524844,0.002183,0.012422
529135,1762294438.234021,2.503406,2.524524,0.001703,0.012262
529135,1762294438.234026,2.504686,2.524524,0.002343,0.012262
529135,1762294438.234085,2.504366,2.524204,0.002183,0.012102
529135,1762294438.234094,2.504686,2.524524,0.002343,0.012262
529135,1762294438.234098,2.505646,2.524524,0.002823,0.012262
529136,1762294438.234583,2.505006,2.525164,0.002503,0.012582
529136,1762294438.234593,2.504366,2.523884,0.002183,0.011942
529136,1762294438.234598,2.504686,2.525164,0.002343,0.012582
529136,1762294438.234607,2.504046,2.524844,0.002023,0.012422
529136,1762294438.234612,2.505006,2.524844,0.002503,0.012422
529136,1762294438.234617,2.505326,2.525484,0.002663,0.012742
529136,1762294438.234622,2.505646,2.524844,0.002823,0.012422
529136,1762294438.234630,2.506286,2.525804,0.003143,0.012902
529136,1762294438.234635,2.505326,2.525164,0.002663,0.012582
529136,1762294438.234640,2.506606,2.524524,0.003303,0.012262
529147,1762294438.246114,2.506286,2.526444,0.003143,0.013222
529147,1762294438.246177,2.505646,2.525164,0.002823,0.012582
529147,1762294438.246202,2.505646,2.525484,0.002823,0.012742
529147,1762294438.246209,2.506926,2.525804,0.003463,0.012902
529147,1762294438.246214,2.506926,2.526444,0.003463,0.013222
529147,1762294438.246220,2.506926,2.526444,0.003463,0.013222
529147,1762294438.246224,2.505646,2.527404,0.002823,0.013702
529147,1762294438.246229,2.506606,2.527724,0.003303,0.013862
529147,1762294438.246234,2.506286,2.528364,0.003143,0.014182
529147,1762294438.246239,2.507246,2.528364,0.003623,0.014182
529163,1762294438.261739,2.506286,2.529644,0.003143,0.014822
529163,1762294438.261761,2.506606,2.530604,0.003303,0.015302
529163,1762294438.261766,2.507246,2.531564,0.003623,0.015782
529163,1762294438.261774,2.506286,2.533484,0.003143,0.016742
529163,1762294438.261777,2.506606,2.533164,0.003303,0.016582
529163,1762294438.261781,2.506286,2.534764,0.003143,0.017382
529163,1762294438.261786,2.505966,2.534764,0.002983,0.017382
