time_ms,time_ts,v4,v5,g4,g5
135333,1762294043.858206,2.542443,2.556522,0.021221,0.028261
135334,1762294043.859487,2.540523,2.554922,0.020262,0.027461
135334,1762294043.859522,2.541163,2.556202,0.020582,0.028101
135334,1762294043.859534,2.539243,2.556202,0.019622,0.028101
135334,1762294043.859573,2.539883,2.556202,0.019942,0.028101
135334,1762294043.859585,2.537323,2.556842,0.018662,0.028421
135334,1762294043.859592,2.536363,2.555562,0.018182,0.027781
135338,1762294043.863459,2.536363,2.555562,0.018182,0.027781
135339,1762294043.864033,2.534444,2.555882,0.017222,0.027941
135339,1762294043.864068,2.533484,2.554922,0.016742,0.027461
135349,1762294043.874274,2.532524,2.555882,0.016262,0.027941
135349,1762294043.874316,2.532524,2.555562,0.016262,0.027781
135349,1762294043.874331,2.531244,2.553962,0.015622,0.026981
135349,1762294043.874352,2.530284,2.553962,0.015142,0.026981
135349,1762294043.874369,2.529964,2.554282,0.014982,0.027141
135349,1762294043.874400,2.527724,2.553002,0.013862,0.026501
135349,1762294043.874417,2.527404,2.552362,0.013702,0.026181
135349,1762294043.874432,2.526124,2.551722,0.013062,0.025861
135349,1762294043.874446,2.524524,2.551402,0.012262,0.025701
135349,1762294043.874460,2.525484,2.549802,0.012742,0.024901
135365,1762294043.890569,2.523564,2.550442,0.011782,0.025221
135366,1762294043.890614,2.523244,2.549802,0.011622,0.024901
135366,1762294043.890634,2.521964,2.548842,0.010982,0.024421
135366,1762294043.890650,2.522604,2.549802,0.011302,0.024901
135366,1762294043.890666,2.520365,2.547563,0.010182,0.023781
135366,1762294043.890682,2.520045,2.548842,0.010022,0.024421
135366,1762294043.890702,2.519405,2.547563,0.009702,0.023781
135366,1762294043.890744,2.518445,2.545323,0.009222,0.022661
135366,1762294043.890774,2.517485,2.545643,0.008742,0.022821
135366,1762294043.890788,2.517165,2.545643,0.008582,0.022821
135381,1762294043.906223,2.516205,2.545643,0.008102,0.022821
135381,1762294043.906261,2.515885,2.544363,0.007942,0.022181
135381,1762294043.906265,2.515245,2.544043,0.007622,0.022021
135381,1762294043.906270,2.514605,2.543403,0.007302,0.021701
135381,1762294043.906274,2.513325,2.543083,0.006663,0.021541
135381,1762294043.906278,2.513645,2.542443,0.006823,0.021221
135381,1762294043.906281,2.512045,2.541163,0.006023,0.020582
135381,1762294043.906285,2.511085,2.541163,0.005543,0.020582
135381,1762294043.906288,2.511405,2.539563,0.005703,0.019782
135381,1762294043.906292,2.510765,2.540203,0.005383,0.020102
135381,1762294043.906462,2.511085,2.538603,0.005543,0.019302
135381,1762294043.906470,2.509805,2.538283,0.004903,0.019142
135381,1762294043.906474,2.509805,2.537643,0.004903,0.018822
135381,1762294043.906478,2.508525,2.537963,0.004263,0.018982
135381,1762294043.906481,2.508845,2.535723,0.004423,0.017862
135381,1762294043.906484,2.509165,2.536363,0.004583,0.018182
135381,1762294043.906488,2.508205,2.533804,0.004103,0.016902
135381,1762294043.906492,2.508845,2.533804,0.004423,0.016902
135381,1762294043.906495,2.507885,2.533164,0.003943,0.016582
135381,1762294043.906499,2.508205,2.530924,0.004103,0.015462
135398,1762294043.923302,2.507246,2.532204,0.003623,0.016102
135398,1762294043.923362,2.507885,2.529964,0.003943,0.014982
135398,1762294043.923372,2.508205,2.530924,0.004103,0.015462
135398,1762294043.923385,2.506926,2.529644,0.003463,0.014822
135398,1762294043.923392,2.507885,2.528684,0.003943,0.014342
135398,1762294043.923395,2.508205,2.528364,0.004103,0.014182
135398,1762294043.923398,2.507885,2.526444,0.003943,0.013222
135398,1762294043.923403,2.509165,2.527404,0.004583,0.013702
135398,1762294043.923426,2.506606,2.526124,0.003303,0.013062
135401,1762294043.925654,2.507885,2.525164,0.003943,0.012582
135404,1762294043.928887,2.507885,2.525164,0.003943,0.012582
135404,1762294043.928959,2.507246,2.525484,0.003623,0.012742
135404,1762294043.928967,2.507246,2.523244,0.003623,0.011622
135404,1762294043.928972,2.507885,2.524204,0.003943,0.012102
135404,1762294043.929018,2.507565,2.523884,0.003783,0.011942
135404,1762294043.929034,2.507246,2.523244,0.003623,0.011622
135404,1762294043.929049,2.507246,2.524204,0.003623,0.012102
135404,1762294043.929096,2.506926,2.522284,0.003463,0.011142
135404,1762294043.929473,2.507885,2.523884,0.003943,0.011942
135404,1762294043.929496,2.507246,2.521005,0.003623,0.010502
135413,1762294043.938196,2.507246,2.521324,0.003623,0.010662
135413,1762294043.938224,2.506286,2.521964,0.003143,0.010982
135413,1762294043.938233,2.506606,2.521005,0.003303,0.010502
135413,1762294043.938238,2.506926,2.520685,0.003463,0.010342
135413,1762294043.938244,2.506606,2.521005,0.003303,0.010502
135413,1762294043.938249,2.505966,2.521005,0.002983,0.010502
135413,1762294043.938254,2.505966,2.520045,0.002983,0.010022
135413,1762294043.938262,2.506606,2.520045,0.003303,0.010022
135413,1762294043.938267,2.505646,2.520045,0.002823,0.010022
135413,1762294043.938276,2.506286,2.519725,0.003143,0.009862
135413,1762294043.938497,2.506926,2.519725,0.003463,0.009862
135413,1762294043.938513,2.505966,2.519725,0.002983,0.009862
135413,1762294043.938519,2.506286,2.518125,0.003143,0.009062
135413,1762294043.938543,2.505966,2.517805,0.002983,0.008902
