time_ms,time_ts,v4,v5,g4,g5
1976795,1762295888.173238,2.500846,2.557482,0.000423,0.028741
1976795,1762295888.173297,2.499886,2.556202,-0.000057,0.028101
1976795,1762295888.173326,2.499246,2.555882,-0.000377,0.027941
1976795,1762295888.173336,2.498606,2.554602,-0.000697,0.027301
1976795,1762295888.173344,2.498286,2.554282,-0.000857,0.027141
1976795,1762295888.173357,2.498286,2.554282,-0.000857,0.027141
1976795,1762295888.173367,2.497646,2.553962,-0.001177,0.026981
1976795,1762295888.173376,2.497326,2.552042,-0.001337,0.026021
1976795,1762295888.173385,2.497966,2.550442,-0.001017,0.025221
1976798,1762295888.176458,2.496686,2.550762,-0.001657,0.025381
1976810,1762295888.188437,2.497006,2.549162,-0.001497,0.024581
1976811,1762295888.189647,2.496366,2.548842,-0.001817,0.024421
1976811,1762295888.189687,2.496366,2.547243,-0.001817,0.023621
1976811,1762295888.189703,2.496686,2.546603,-0.001657,0.023301
1976811,1762295888.189746,2.497006,2.544363,-0.001497,0.022181
1976811,1762295888.189765,2.496686,2.545643,-0.001657,0.022821
1976811,1762295888.189803,2.495726,2.543723,-0.002137,0.021861
1976811,1762295888.189819,2.495726,2.542123,-0.002137,0.021061
1976811,1762295888.189831,2.496046,2.539883,-0.001977,0.019942
1976811,1762295888.189845,2.495726,2.537963,-0.002137,0.018982
1976826,1762295888.204403,2.496686,2.538283,-0.001657,0.019142
1976826,1762295888.204432,2.495726,2.536683,-0.002137,0.018342
1976826,1762295888.204438,2.495086,2.536363,-0.002457,0.018182
1976826,1762295888.204454,2.494766,2.533804,-0.002617,0.016902
1976826,1762295888.204465,2.494766,2.534124,-0.002617,0.017062
1976826,1762295888.204498,2.494126,2.532844,-0.002937,0.016422
1976826,1762295888.204504,2.494766,2.532204,-0.002617,0.016102
1976826,1762295888.204513,2.493487,2.531244,-0.003257,0.015622
1976826,1762295888.204518,2.493167,2.530924,-0.003417,0.015462
1976826,1762295888.204523,2.493167,2.528044,-0.003417,0.014022
1976842,1762295888.220544,2.494446,2.526764,-0.002777,0.013382
1976842,1762295888.220602,2.493167,2.527724,-0.003417,0.013862
1976842,1762295888.220644,2.493487,2.524844,-0.003257,0.012422
1976842,1762295888.220676,2.492847,2.525164,-0.003577,0.012582
1976842,1762295888.220705,2.493487,2.524204,-0.003257,0.012102
1976842,1762295888.220749,2.492527,2.524204,-0.003737,0.012102
1976842,1762295888.220763,2.492847,2.522924,-0.003577,0.011462
1976842,1762295888.220801,2.493167,2.522604,-0.003417,0.011302
1976842,1762295888.220834,2.493487,2.520685,-0.003257,0.010342
1976842,1762295888.220862,2.492847,2.521644,-0.003577,0.010822
1976858,1762295888.236456,2.492527,2.520365,-0.003737,0.010182
1976858,1762295888.236509,2.492207,2.520365,-0.003897,0.010182
1976858,1762295888.236521,2.492207,2.519085,-0.003897,0.009542
1976858,1762295888.236530,2.491887,2.518445,-0.004057,0.009222
1976858,1762295888.236540,2.492527,2.518445,-0.003737,0.009222
1976858,1762295888.236550,2.493487,2.518125,-0.003257,0.009062
1976858,1762295888.236560,2.491567,2.518445,-0.004217,0.009222
1976858,1762295888.236570,2.491567,2.518125,-0.004217,0.009062
1976858,1762295888.236580,2.492847,2.516525,-0.003577,0.008262
1976858,1762295888.236590,2.492527,2.516845,-0.003737,0.008422
1976874,1762295888.252459,2.492847,2.517165,-0.003577,0.008582
1976874,1762295888.252482,2.492207,2.517805,-0.003897,0.008902
1976874,1762295888.252488,2.493487,2.517485,-0.003257,0.008742
1976874,1762295888.252494,2.493806,2.517805,-0.003097,0.008902
1976874,1762295888.252500,2.493806,2.517805,-0.003097,0.008902
1976874,1762295888.252505,2.494446,2.518125,-0.002777,0.009062
1976874,1762295888.252510,2.494446,2.519405,-0.002777,0.009702
1976874,1762295888.252515,2.495726,2.518445,-0.002137,0.009222
1976874,1762295888.252519,2.496046,2.520045,-0.001977,0.010022
1976874,1762295888.252524,2.495086,2.520045,-0.002457,0.010022
1976874,1762295888.252702,2.497006,2.520685,-0.001497,0.010342
1976874,1762295888.252753,2.497006,2.522284,-0.001497,0.011142
1976875,1762295888.253092,2.497326,2.522924,-0.001337,0.011462
1976875,1762295888.253099,2.497646,2.523884,-0.001177,0.011942
1976875,1762295888.253122,2.499246,2.523564,-0.000377,0.011782
1976875,1762295888.253431,2.500206,2.524844,0.000103,0.012422
1976875,1762295888.253441,2.499886,2.525484,-0.000057,0.012742
1976875,1762295888.253447,2.500846,2.527404,0.000423,0.013702
1976875,1762295888.253488,2.501486,2.527404,0.000743,0.013702
1976875,1762295888.253496,2.502126,2.528684,0.001063,0.014342
1976890,1762295888.268774,2.503726,2.528684,0.001863,0.014342
1976890,1762295888.268817,2.504046,2.530604,0.002023,0.015302
1976890,1762295888.268824,2.506286,2.533164,0.003143,0.016582
1976890,1762295888.268829,2.504686,2.532844,0.002343,0.016422
1976890,1762295888.268835,2.506926,2.534764,0.003463,0.017382
1976890,1762295888.268840,2.506286,2.535083,0.003143,0.017542
1976890,1762295888.268846,2.508525,2.537323,0.004263,0.018662
1976890,1762295888.268853,2.510125,2.537003,0.005063,0.018502
1976890,1762295888.268858,2.509165,2.540203,0.004583,0.020102
1976890,1762295888.268863,2.511725,2.538923,0.005863,0.019462
1976891,1762295888.269053,2.510765,2.541163,0.005383,0.020582
1976891,1762295888.269078,2.513325,2.541163,0.006663,0.020582
1976891,1762295888.269084,2.513005,2.543723,0.006503,0.021861
1976891,1762295888.269089,2.514285,2.546283,0.007142,0.023141
1976891,1762295888.269114,2.515565,2.545323,0.007782,0.022661
1976891,1762295888.269156,2.516525,2.547883,0.008262,0.023941
1976891,1762295888.269173,2.518765,2.547883,0.009382,0.023941
1976891,1762295888.269179,2.518125,2.549802,0.009062,0.024901
1976891,1762295888.269184,2.519085,2.550122,0.009542,0.025061
1976891,1762295888.269189,2.521644,2.551722,0.010822,0.025861
1976905,1762295888.283395,2.521324,2.552042,0.010662,0.026021
1976905,1762295888.283414,2.523564,2.554282,0.011782,0.027141
1976905,1762295888.283419,2.523244,2.554602,0.011622,0.027301
1976905,1762295888.283431,2.524204,2.557802,0.012102,0.028901
1976905,1762295888.283435,2.524524,2.558442,0.012262,0.029221
1976905,1762295888.283439,2.526124,2.558762,0.013062,0.029381
1976905,1762295888.283443,2.528364,2.560682,0.014182,0.030341
1976905,1762295888.283446,2.528364,2.561962,0.014182,0.030981
1976905,1762295888.283450,2.529004,2.562921,0.014502,0.031461
1976905,1762295888.283464,2.529324,2.562601,0.014662,0.031301
1976921,1762295888.299314,2.531564,2.565801,0.015782,0.032901
1976921,1762295888.299336,2.530924,2.566121,0.015462,0.033061
1976921,1762295888.299340,2.531564,2.569321,0.015782,0.034661
1976921,1762295888.299344,2.533484,2.568041,0.016742,0.034021
1976921,1762295888.299349,2.532844,2.569001,0.016422,0.034501
1976921,1762295888.299352,2.535723,2.570281,0.017862,0.035140
1976921,1762295888.299356,2.535723,2.570921,0.017862,0.035460
1976921,1762295888.299360,2.537323,2.572201,0.018662,0.036100
1976921,1762295888.299364,2.536363,2.572201,0.018182,0.036100
1976921,1762295888.299370,2.537323,2.573481,0.018662,0.036740
1976926,1762295888.304798,2.538923,2.571561,0.019462,0.035780
1976927,1762295888.305092,2.538923,2.573481,0.019462,0.036740
1976927,1762295888.305099,2.539563,2.575401,0.019782,0.037700
1976927,1762295888.305105,2.539243,2.574761,0.019622,0.037380
1976927,1762295888.305120,2.540843,2.575081,0.020422,0.037540
1976927,1762295888.305135,2.541483,2.576360,0.020742,0.038180
1976927,1762295888.305185,2.541163,2.576680,0.020582,0.038340
1976927,1762295888.305202,2.540843,2.575081,0.020422,0.037540
1976927,1762295888.305210,2.541803,2.575721,0.020902,0.037860
1976927,1762295888.305216,2.541803,2.575721,0.020902,0.037860
1976937,1762295888.315880,2.542443,2.576041,0.021221,0.038020
1976938,1762295888.316336,2.543083,2.576680,0.021541,0.038340
1976938,1762295888.316361,2.540523,2.576041,0.020262,0.038020
1976938,1762295888.316367,2.542763,2.575721,0.021381,0.037860
1976938,1762295888.316373,2.542763,2.574761,0.021381,0.037380
1976938,1762295888.316379,2.542763,2.575081,0.021381,0.037540
1976938,1762295888.316385,2.541803,2.575721,0.020902,0.037860
1976938,1762295888.316390,2.543083,2.573801,0.021541,0.036900
1976938,1762295888.316396,2.542763,2.574121,0.021381,0.037060
1976938,1762295888.316406,2.542763,2.573801,0.021381,0.036900
1976938,1762295888.316616,2.542763,2.574121,0.021381,0.037060
1976938,1762295888.316660,2.542123,2.573161,0.021061,0.036580
1976938,1762295888.316674,2.541163,2.572201,0.020582,0.036100
1976939,1762295888.317017,2.542443,2.572201,0.021221,0.036100
1976939,1762295888.317024,2.542443,2.573481,0.021221,0.036740
1976939,1762295888.317029,2.540203,2.571881,0.020102,0.035940
1976939,1762295888.317042,2.540523,2.570921,0.020262,0.035460
1976939,1762295888.317047,2.540203,2.570921,0.020102,0.035460
1976939,1762295888.317060,2.541483,2.570281,0.020742,0.035140
1976939,1762295888.317083,2.539243,2.571241,0.019622,0.035620
1976953,1762295888.331343,2.539563,2.569321,0.019782,0.034661
1976953,1762295888.331378,2.538603,2.569641,0.019302,0.034820
1976953,1762295888.331386,2.537643,2.569641,0.018822,0.034820
1976953,1762295888.331390,2.537003,2.569001,0.018502,0.034501
1976953,1762295888.331395,2.537003,2.568681,0.018502,0.034341
1976953,1762295888.331402,2.536683,2.568681,0.018342,0.034341
1976954,1762295888.332452,2.535403,2.567401,0.017702,0.033701
1976954,1762295888.332469,2.534764,2.567401,0.017382,0.033701
1976954,1762295888.332475,2.533804,2.566761,0.016902,0.033381
1976954,1762295888.332483,2.533484,2.567081,0.016742,0.033541
1976969,1762295888.347439,2.532524,2.567081,0.016262,0.033541
1976969,1762295888.347490,2.530924,2.565481,0.015462,0.032741
1976969,1762295888.347501,2.531244,2.566121,0.015622,0.033061
1976969,1762295888.347511,2.529964,2.565481,0.014982,0.032741
1976969,1762295888.347521,2.529324,2.564841,0.014662,0.032421
1976969,1762295888.347531,2.528364,2.564521,0.014182,0.032261
1976969,1762295888.347540,2.528364,2.564201,0.014182,0.032101
1976969,1762295888.347550,2.526764,2.563561,0.013382,0.031781
1976969,1762295888.347561,2.525164,2.562921,0.012582,0.031461
1976969,1762295888.347571,2.525164,2.563561,0.012582,0.031781
1976969,1762295888.347826,2.524204,2.562921,0.012102,0.031461
1976969,1762295888.347858,2.523244,2.563241,0.011622,0.031621
1976969,1762295888.347862,2.521964,2.563241,0.010982,0.031621
1976969,1762295888.347866,2.520365,2.561962,0.010182,0.030981
1976969,1762295888.347870,2.521005,2.561962,0.010502,0.030981
1976969,1762295888.347873,2.520365,2.561962,0.010182,0.030981
1976969,1762295888.347877,2.519725,2.562282,0.009862,0.031141
1976969,1762295888.347880,2.518765,2.561002,0.009382,0.030501
1976969,1762295888.347884,2.518445,2.560682,0.009222,0.030341
1976969,1762295888.347891,2.517805,2.562601,0.008902,0.031301
1976986,1762295888.364249,2.514925,2.562282,0.007462,0.031141
1976986,1762295888.364337,2.515245,2.561322,0.007622,0.030661
1976986,1762295888.364415,2.514605,2.561642,0.007302,0.030821
1976986,1762295888.364444,2.515565,2.562282,0.007782,0.031141
1976986,1762295888.364450,2.512365,2.562282,0.006183,0.031141
1976987,1762295888.365263,2.513005,2.561962,0.006503,0.030981
1976987,1762295888.365693,2.511405,2.561962,0.005703,0.030981
1976987,1762295888.365734,2.510445,2.563241,0.005223,0.031621
1976987,1762295888.365751,2.511405,2.562921,0.005703,0.031461
1976987,1762295888.365757,2.510125,2.562282,0.005063,0.031141
1977000,1762295888.378922,2.511085,2.563561,0.005543,0.031781
1977001,1762295888.378948,2.508525,2.563881,0.004263,0.031941
1977001,1762295888.378968,2.507246,2.563241,0.003623,0.031621
1977001,1762295888.378985,2.507885,2.563241,0.003943,0.031621
1977001,1762295888.378991,2.507565,2.564201,0.003783,0.032101
1977001,1762295888.378997,2.507246,2.565161,0.003623,0.032581
1977001,1762295888.379002,2.505646,2.564841,0.002823,0.032421
1977001,1762295888.379007,2.506286,2.563881,0.003143,0.031941
1977001,1762295888.379039,2.505646,2.564841,0.002823,0.032421
1977001,1762295888.379050,2.504686,2.565481,0.002343,0.032741
1977001,1762295888.379348,2.505326,2.564521,0.002663,0.032261
1977001,1762295888.379364,2.504046,2.565801,0.002023,0.032901
1977001,1762295888.379372,2.503086,2.565161,0.001543,0.032581
1977001,1762295888.379399,2.502766,2.566121,0.001383,0.033061
1977001,1762295888.379405,2.502126,2.564201,0.001063,0.032101
1977001,1762295888.379410,2.503086,2.565481,0.001543,0.032741
1977001,1762295888.379415,2.501166,2.565161,0.000583,0.032581
1977001,1762295888.379437,2.501806,2.565161,0.000903,0.032581
1977001,1762295888.379457,2.501806,2.565481,0.000903,0.032741
1977001,1762295888.379474,2.501166,2.565801,0.000583,0.032901
1977016,1762295888.394383,2.500526,2.565161,0.000263,0.032581
1977016,1762295888.394418,2.501166,2.564841,0.000583,0.032421
1977016,1762295888.394426,2.501486,2.564521,0.000743,0.032261
1977016,1762295888.394432,2.500206,2.565161,0.000103,0.032581
1977016,1762295888.394437,2.500526,2.565161,0.000263,0.032581
1977016,1762295888.394442,2.500846,2.564841,0.000423,0.032421
1977016,1762295888.394447,2.500846,2.564841,0.000423,0.032421
1977016,1762295888.394452,2.500526,2.564841,0.000263,0.032421
1977016,1762295888.394457,2.500526,2.564201,0.000263,0.032101
1977016,1762295888.394463,2.501806,2.564201,0.000903,0.032101
1977032,1762295888.410182,2.501166,2.565161,0.000583,0.032581
1977032,1762295888.410212,2.500526,2.563561,0.000263,0.031781
1977032,1762295888.410218,2.501166,2.564841,0.000583,0.032421
1977032,1762295888.410221,2.500846,2.564201,0.000423,0.032101
1977032,1762295888.410225,2.500846,2.563561,0.000423,0.031781
1977032,1762295888.410229,2.501486,2.563881,0.000743,0.031941
1977032,1762295888.410232,2.501166,2.564201,0.000583,0.032101
1977032,1762295888.410236,2.500846,2.563881,0.000423,0.031941
1977032,1762295888.410239,2.501166,2.563561,0.000583,0.031781
1977032,1762295888.410243,2.501486,2.564201,0.000743,0.032101
1977032,1762295888.410397,2.501806,2.564201,0.000903,0.032101
1977032,1762295888.410409,2.501166,2.564201,0.000583,0.032101
1977032,1762295888.410414,2.502126,2.564201,0.001063,0.032101
1977032,1762295888.410417,2.502126,2.565161,0.001063,0.032581
1977032,1762295888.410421,2.502126,2.564521,0.001063,0.032261
1977032,1762295888.410425,2.501806,2.565161,0.000903,0.032581
1977032,1762295888.410429,2.502126,2.564201,0.001063,0.032101
1977032,1762295888.410433,2.503726,2.564841,0.001863,0.032421
1977032,1762295888.410436,2.502446,2.565481,0.001223,0.032741
1977032,1762295888.410439,2.503406,2.565481,0.001703,0.032741
1977049,1762295888.427296,2.503086,2.566441,0.001543,0.033221
1977050,1762295888.428872,2.504046,2.565481,0.002023,0.032741
1977053,1762295888.431044,2.505326,2.565801,0.002663,0.032901
1977053,1762295888.431065,2.505006,2.567081,0.002503,0.033541
1977053,1762295888.431701,2.505326,2.566121,0.002663,0.033061
1977053,1762295888.431736,2.505326,2.566761,0.002663,0.033381
1977053,1762295888.431743,2.505966,2.567721,0.002983,0.033861
1977054,1762295888.432031,2.506286,2.562921,0.003143,0.031461
1977054,1762295888.432153,2.506286,2.566121,0.003143,0.033061
1977054,1762295888.432159,2.506286,2.568361,0.003143,0.034181
1977065,1762295888.443055,2.505966,2.567401,0.002983,0.033701
1977067,1762295888.445763,2.506926,2.581160,0.003463,0.040580
1977067,1762295888.445788,2.506926,2.570601,0.003463,0.035300
1977068,1762295888.446277,2.507565,2.574761,0.003783,0.037380
1977068,1762295888.446332,2.509485,2.568041,0.004743,0.034021
1977068,1762295888.446340,2.508845,2.576041,0.004423,0.038020
1977068,1762295888.446346,2.509485,2.569001,0.004743,0.034501
1977068,1762295888.446351,2.508525,2.585960,0.004263,0.042980
1977068,1762295888.446412,2.509165,2.595559,0.004583,0.047780
1977068,1762295888.446431,2.508845,2.588200,0.004423,0.044100
1977068,1762295888.446641,2.509485,2.576680,0.004743,0.038340
1977068,1762295888.446737,2.509485,2.582440,0.004743,0.041220
1977068,1762295888.446788,2.510445,2.596199,0.005223,0.048100
1977068,1762295888.446823,2.510125,2.576041,0.005063,0.038020
1977069,1762295888.447228,2.509165,2.581480,0.004583,0.040740
1977069,1762295888.447339,2.509165,2.579240,0.004583,0.039620
1977069,1762295888.447345,2.509485,2.592359,0.004743,0.046180
1977069,1762295888.447351,2.510125,2.594279,0.005063,0.047140
1977069,1762295888.447356,2.510125,2.577960,0.005063,0.038980
1977069,1762295888.447362,2.510125,2.586280,0.005063,0.043140
1977069,1762295888.447498,2.509805,2.598439,0.004903,0.049219
1977069,1762295888.447508,2.509805,2.592999,0.004903,0.046500
1977069,1762295888.447531,2.509485,2.603559,0.004743,0.051779
1977069,1762295888.447583,2.509485,2.593319,0.004743,0.046660
1977069,1762295888.447592,2.510765,2.593959,0.005383,0.046980
1977069,1762295888.447617,2.510765,2.604518,0.005383,0.052259
1977069,1762295888.447627,2.510445,2.598439,0.005223,0.049219
1977069,1762295888.447632,2.510765,2.606438,0.005383,0.053219
1977069,1762295888.447653,2.510765,2.602279,0.005383,0.051139
1977069,1762295888.447729,2.510125,2.594279,0.005063,0.047140
1977080,1762295888.458424,2.512045,2.612838,0.006023,0.056419
1977080,1762295888.458464,2.509805,2.597799,0.004903,0.048899
1977080,1762295888.458472,2.511725,2.618917,0.005863,0.059459
1977080,1762295888.458478,2.512045,2.598759,0.006023,0.049379
1977080,1762295888.458508,2.513005,2.611238,0.006503,0.055619
1977080,1762295888.458516,2.513645,2.605158,0.006823,0.052579
1977080,1762295888.458522,2.512365,2.613798,0.006183,0.056899
1977080,1762295888.458528,2.515245,2.620197,0.007622,0.060099
1977080,1762295888.458534,2.514925,2.604198,0.007462,0.052099
1977080,1762295888.458539,2.514925,2.604518,0.007462,0.052259
1977095,1762295888.473869,2.514925,2.602919,0.007462,0.051459
1977095,1762295888.473902,2.515885,2.613798,0.007942,0.056899
1977095,1762295888.473912,2.517165,2.600359,0.008582,0.050179
1977095,1762295888.473916,2.516205,2.612518,0.008102,0.056259
1977096,1762295888.473939,2.517165,2.611558,0.008582,0.055779
1977096,1762295888.473945,2.517485,2.610278,0.008742,0.055139
1977096,1762295888.473949,2.517485,2.610278,0.008742,0.055139
1977096,1762295888.473963,2.518125,2.607398,0.009062,0.053699
1977096,1762295888.473969,2.518445,2.612518,0.009222,0.056259
1977096,1762295888.473974,2.519725,2.609318,0.009862,0.054659
1977112,1762295888.490403,2.520045,2.604518,0.010022,0.052259
1977112,1762295888.490433,2.519725,2.608998,0.009862,0.054499
1977112,1762295888.490442,2.519405,2.613158,0.009702,0.056579
1977112,1762295888.490450,2.521005,2.613478,0.010502,0.056739
1977112,1762295888.490457,2.521964,2.611558,0.010982,0.055779
1977112,1762295888.490463,2.521005,2.613478,0.010502,0.056739
1977112,1762295888.490470,2.522604,2.599719,0.011302,0.049859
1977112,1762295888.490478,2.522604,2.610918,0.011302,0.055459
1977112,1762295888.490520,2.522604,2.609318,0.011302,0.054659
1977112,1762295888.490567,2.523884,2.601639,0.011942,0.050819
1977113,1762295888.491344,2.523884,2.603239,0.011942,0.051619
