time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1976786,1762295887.957044,ACCEL,1,0.00491,0.12000,0.06763,1976786
1976791,1762295888.061274,ACCEL,1,0.00491,0.12000,0.06763,1976791
1976796,1762295888.061296,ACCEL,1,0.00491,0.12000,0.06763,1976796
1976801,1762295888.061306,ACCEL,1,0.00491,0.12000,0.06763,1976801
1976806,1762295888.061314,ACCEL,1,0.00491,0.12000,0.06763,1976806
1976811,1762295888.061322,ACCEL,1,0.00491,0.12000,0.06763,1976811
1976816,1762295888.061330,ACCEL,1,0.00491,0.12000,0.06763,1976816
1976821,1762295888.061337,ACCEL,1,0.00491,0.12000,0.06763,1976821
1976826,1762295888.061344,ACCEL,2,0.00982,0.12000,0.06776,1976826
1976831,1762295888.061351,ACCEL,2,0.00982,0.12000,0.06776,1976831
1976836,1762295888.061358,ACCEL,2,0.00982,0.12000,0.06776,1976836
1976841,1762295888.061365,ACCEL,2,0.00982,0.12000,0.06776,1976841
1976846,1762295888.061372,ACCEL,2,0.00982,0.12000,0.06776,1976846
1976851,1762295888.061384,ACCEL,2,0.00982,0.12000,0.06776,1976851
1976856,1762295888.061390,ACCEL,2,0.00982,0.12000,0.06776,1976856
1976861,1762295888.061397,ACCEL,2,0.00982,0.12000,0.06776,1976861
1976866,1762295888.061403,ACCEL,3,0.01473,0.12000,0.06790,1976866
1976871,1762295888.061411,ACCEL,3,0.01473,0.12000,0.06790,1976871
1976876,1762295888.061418,ACCEL,3,0.01473,0.12000,0.06790,1976876
1976881,1762295888.061424,ACCEL,3,0.01473,0.12000,0.06790,1976881
1976886,1762295888.061431,ACCEL,3,0.01473,0.12000,0.06790,1976886
1976891,1762295888.061437,ACCEL,3,0.01473,0.12000,0.06790,1976891
1976896,1762295888.061447,ACCEL,3,0.01473,0.12000,0.06790,1976896
1976901,1762295888.061454,ACCEL,3,0.01473,0.12000,0.06790,1976901
1976906,1762295888.061460,ACCEL,4,0.01963,0.12000,0.06803,1976906
1976911,1762295888.061468,ACCEL,4,0.01963,0.12000,0.06803,1976911
1976916,1762295888.061474,ACCEL,4,0.01963,0.12000,0.06803,1976916
1976921,1762295888.061481,ACCEL,4,0.01963,0.12000,0.06803,1976921
1976926,1762295888.061488,ACCEL,4,0.01963,0.12000,0.06803,1976926
1976931,1762295888.061494,ACCEL,4,0.01963,0.12000,0.06803,1976931
