time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
2083999,1762295995.339102,ACCEL,0,0.00000,0.12000,0.06749,2083999
2084004,1762295995.439960,ACCEL,1,0.00491,0.12000,0.06763,2084004
2084009,1762295995.439981,ACCEL,1,0.00491,0.12000,0.06763,2084009
2084014,1762295995.439993,ACCEL,1,0.00491,0.12000,0.06763,2084014
2084019,1762295995.440017,ACCEL,1,0.00491,0.12000,0.06763,2084019
2084024,1762295995.440038,ACCEL,1,0.00491,0.12000,0.06763,2084024
2084029,1762295995.440048,ACCEL,1,0.00491,0.12000,0.06763,2084029
2084034,1762295995.440086,ACCEL,1,0.00491,0.12000,0.06763,2084034
2084039,1762295995.440095,ACCEL,1,0.00491,0.12000,0.06763,2084039
2084044,1762295995.440119,ACCEL,2,0.00982,0.12000,0.06776,2084044
2084049,1762295995.440126,ACCEL,2,0.00982,0.12000,0.06776,2084049
2084054,1762295995.440134,ACCEL,2,0.00982,0.12000,0.06776,2084054
2084059,1762295995.440213,ACCEL,2,0.00982,0.12000,0.06776,2084059
2084064,1762295995.440248,ACCEL,2,0.00982,0.12000,0.06776,2084064
2084069,1762295995.440264,ACCEL,2,0.00982,0.12000,0.06776,2084069
2084074,1762295995.440276,ACCEL,2,0.00982,0.12000,0.06776,2084074
2084079,1762295995.440287,ACCEL,2,0.00982,0.12000,0.06776,2084079
2084084,1762295995.440304,ACCEL,3,0.01473,0.12000,0.06790,2084084
2084089,1762295995.440314,ACCEL,3,0.01473,0.12000,0.06790,2084089
2084094,1762295995.440326,ACCEL,3,0.01473,0.12000,0.06790,2084094
2084099,1762295995.440337,ACCEL,3,0.01473,0.12000,0.06790,2084099
2084104,1762295995.440349,ACCEL,3,0.01473,0.12000,0.06790,2084104
2084109,1762295995.440409,ACCEL,3,0.01473,0.12000,0.06790,2084109
2084114,1762295995.440441,ACCEL,3,0.01473,0.12000,0.06790,2084114
2084119,1762295995.440458,ACCEL,3,0.01473,0.12000,0.06790,2084119
2084124,1762295995.440473,ACCEL,4,0.01963,0.12000,0.06803,2084124
2084129,1762295995.440486,ACCEL,4,0.01963,0.12000,0.06803,2084129
2084134,1762295995.440499,ACCEL,4,0.01963,0.12000,0.06803,2084134
2084139,1762295995.440511,ACCEL,4,0.01963,0.12000,0.06803,2084139
2084144,1762295995.440523,ACCEL,4,0.01963,0.12000,0.06803,2084144
2084149,1762295995.440534,ACCEL,4,0.01963,0.12000,0.06803,2084149
2084154,1762295995.440546,ACCEL,4,0.01963,0.12000,0.06803,2084154
2084159,1762295995.440581,ACCEL,4,0.01963,0.12000,0.06803,2084159
2084164,1762295995.440596,ACCEL,4,0.01963,0.12000,0.06803,2084164
2084169,1762295995.440607,ACCEL,5,0.02454,0.12000,0.06817,2084169
2084174,1762295995.440617,ACCEL,5,0.02454,0.12000,0.06817,2084174
2084179,1762295995.440628,ACCEL,5,0.02454,0.12000,0.06817,2084179
2084184,1762295995.440652,ACCEL,5,0.02454,0.12000,0.06817,2084184
2084189,1762295995.440665,ACCEL,5,0.02454,0.12000,0.06817,2084189
2084194,1762295995.440676,ACCEL,5,0.02454,0.12000,0.06817,2084194
2084199,1762295995.440686,ACCEL,5,0.02454,0.12000,0.06817,2084199
2084204,1762295995.440696,ACCEL,5,0.02454,0.12000,0.06817,2084204
2084209,1762295995.440706,ACCEL,6,0.02945,0.12000,0.06831,2084209
2084214,1762295995.440717,ACCEL,6,0.02945,0.12000,0.06831,2084214
2084219,1762295995.440728,ACCEL,6,0.02945,0.12000,0.06831,2084219
2084224,1762295995.440739,ACCEL,6,0.02945,0.12000,0.06831,2084224
2084229,1762295995.440750,ACCEL,6,0.02945,0.12000,0.06831,2084229
2084234,1762295995.440760,ACCEL,6,0.02945,0.12000,0.06831,2084234
2084239,1762295995.440771,ACCEL,6,0.02945,0.12000,0.06831,2084239
2084369,1762295995.721509,ACCEL,9,0.04418,0.12000,0.06872,2084369
2084374,1762295995.724677,ACCEL,10,0.04909,0.12000,0.06885,2084374
2084379,1762295995.724693,ACCEL,10,0.04909,0.12000,0.06885,2084379
2084384,1762295995.724704,ACCEL,10,0.04909,0.12000,0.06885,2084384
2084389,1762295995.724714,ACCEL,10,0.04909,0.12000,0.06885,2084389
2084394,1762295995.724723,ACCEL,10,0.04909,0.12000,0.06885,2084394
2084399,1762295995.724732,ACCEL,10,0.04909,0.12000,0.06885,2084399
2084404,1762295995.724740,ACCEL,10,0.04909,0.12000,0.06885,2084404
2084409,1762295995.724749,ACCEL,10,0.04909,0.12000,0.06885,2084409
2084414,1762295995.724758,ACCEL,11,0.05400,0.12000,0.06899,2084414
2084419,1762295995.724766,ACCEL,11,0.05400,0.12000,0.06899,2084419
2084424,1762295995.724775,ACCEL,11,0.05400,0.12000,0.06899,2084424
2084429,1762295995.724783,ACCEL,11,0.05400,0.12000,0.06899,2084429
2084434,1762295995.724791,ACCEL,11,0.05400,0.12000,0.06899,2084434
2084439,1762295995.724802,ACCEL,11,0.05400,0.12000,0.06899,2084439
2084444,1762295995.724810,ACCEL,11,0.05400,0.12000,0.06899,2084444
2084449,1762295995.724820,ACCEL,11,0.05400,0.12000,0.06899,2084449
2084454,1762295995.724828,ACCEL,12,0.05890,0.12000,0.06912,2084454
2084459,1762295995.724837,ACCEL,12,0.05890,0.12000,0.06912,2084459
2084464,1762295995.724844,ACCEL,12,0.05890,0.12000,0.06912,2084464
2084469,1762295995.724853,ACCEL,12,0.05890,0.12000,0.06912,2084469
2084474,1762295995.724861,ACCEL,12,0.05890,0.12000,0.06912,2084474
