time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1791677,1762295702.559689,ACCEL,0,0.00000,0.12000,0.06749,1791677
1791682,1762295702.660390,ACCEL,0,0.00000,0.12000,0.06749,1791682
1791687,1762295702.660411,ACCEL,1,0.00491,0.12000,0.06763,1791687
1791692,1762295702.660424,ACCEL,1,0.00491,0.12000,0.06763,1791692
1791697,1762295702.660433,ACCEL,1,0.00491,0.12000,0.06763,1791697
1791702,1762295702.660442,ACCEL,1,0.00491,0.12000,0.06763,1791702
1791707,1762295702.660450,ACCEL,1,0.00491,0.12000,0.06763,1791707
1791712,1762295702.660459,ACCEL,1,0.00491,0.12000,0.06763,1791712
1791717,1762295702.660467,ACCEL,1,0.00491,0.12000,0.06763,1791717
1791722,1762295702.660476,ACCEL,1,0.00491,0.12000,0.06763,1791722
1791727,1762295702.660484,ACCEL,2,0.00982,0.12000,0.06776,1791727
1791732,1762295702.660491,ACCEL,2,0.00982,0.12000,0.06776,1791732
1791737,1762295702.660498,ACCEL,2,0.00982,0.12000,0.06776,1791737
1791742,1762295702.660506,ACCEL,2,0.00982,0.12000,0.06776,1791742
1791747,1762295702.660537,ACCEL,2,0.00982,0.12000,0.06776,1791747
1791752,1762295702.660585,ACCEL,2,0.00982,0.12000,0.06776,1791752
1791757,1762295702.660599,ACCEL,2,0.00982,0.12000,0.06776,1791757
1791762,1762295702.660609,ACCEL,2,0.00982,0.12000,0.06776,1791762
1791767,1762295702.660618,ACCEL,3,0.01473,0.12000,0.06790,1791767
1791772,1762295702.660626,ACCEL,3,0.01473,0.12000,0.06790,1791772
1791777,1762295702.660634,ACCEL,3,0.01473,0.12000,0.06790,1791777
1791782,1762295702.660641,ACCEL,3,0.01473,0.12000,0.06790,1791782
1791787,1762295702.660652,ACCEL,3,0.01473,0.12000,0.06790,1791787
1791792,1762295702.660660,ACCEL,3,0.01473,0.12000,0.06790,1791792
1791797,1762295702.660668,ACCEL,3,0.01473,0.12000,0.06790,1791797
1791802,1762295702.660676,ACCEL,3,0.01473,0.12000,0.06790,1791802
1791807,1762295702.660683,ACCEL,4,0.01963,0.12000,0.06803,1791807
1791812,1762295702.660691,ACCEL,4,0.01963,0.12000,0.06803,1791812
1791817,1762295702.660699,ACCEL,4,0.01963,0.12000,0.06803,1791817
1791822,1762295702.660706,ACCEL,4,0.01963,0.12000,0.06803,1791822
1791827,1762295702.660713,ACCEL,4,0.01963,0.12000,0.06803,1791827
1791832,1762295702.660721,ACCEL,4,0.01963,0.12000,0.06803,1791832
