time_ms,time_ts,v4,v5,g4,g5
1896741,1762295808.027766,2.499566,2.521644,-0.000217,0.010822
1896741,1762295808.027822,2.500206,2.520365,0.000103,0.010182
1896741,1762295808.027848,2.498926,2.519405,-0.000537,0.009702
1896741,1762295808.027888,2.499566,2.524844,-0.000217,0.012422
1896741,1762295808.027918,2.499566,2.519085,-0.000217,0.009542
1896741,1762295808.027969,2.499246,2.517485,-0.000377,0.008742
1896741,1762295808.027983,2.498926,2.521005,-0.000537,0.010502
1896741,1762295808.028018,2.498606,2.522924,-0.000697,0.011462
1896741,1762295808.028049,2.497966,2.517485,-0.001017,0.008742
1896744,1762295808.031193,2.498926,2.521964,-0.000537,0.010982
1896756,1762295808.043004,2.498606,2.521324,-0.000697,0.010662
1896756,1762295808.043042,2.498286,2.524844,-0.000857,0.012422
1896756,1762295808.043066,2.498286,2.520365,-0.000857,0.010182
1896756,1762295808.043090,2.497966,2.518765,-0.001017,0.009382
1896756,1762295808.043096,2.498926,2.518765,-0.000537,0.009382
1896756,1762295808.043101,2.498606,2.523244,-0.000697,0.011622
1896756,1762295808.043107,2.498286,2.521324,-0.000857,0.010662
1896756,1762295808.043112,2.497646,2.521964,-0.001177,0.010982
1896756,1762295808.043116,2.498926,2.517485,-0.000537,0.008742
1896756,1762295808.043121,2.497966,2.520045,-0.001017,0.010022
1896772,1762295808.059114,2.498606,2.518765,-0.000697,0.009382
1896772,1762295808.059154,2.498926,2.518445,-0.000537,0.009222
1896772,1762295808.059159,2.499246,2.513645,-0.000377,0.006823
1896772,1762295808.059163,2.499566,2.517485,-0.000217,0.008742
1896772,1762295808.059167,2.499886,2.516525,-0.000057,0.008262
1896772,1762295808.059172,2.500526,2.517485,0.000263,0.008742
1896772,1762295808.059176,2.501166,2.517485,0.000583,0.008742
1896772,1762295808.059180,2.500526,2.517485,0.000263,0.008742
1896772,1762295808.059184,2.500206,2.517165,0.000103,0.008582
1896772,1762295808.059188,2.500206,2.513645,0.000103,0.006823
1896788,1762295808.074742,2.501486,2.518445,0.000743,0.009222
1896788,1762295808.074781,2.502126,2.517805,0.001063,0.008902
1896788,1762295808.074791,2.500206,2.515885,0.000103,0.007942
1896788,1762295808.074827,2.500846,2.518125,0.000423,0.009062
1896788,1762295808.074848,2.500846,2.517165,0.000423,0.008582
1896788,1762295808.074855,2.501166,2.516845,0.000583,0.008422
1896788,1762295808.074891,2.502126,2.516845,0.001063,0.008422
1896788,1762295808.074913,2.502126,2.517165,0.001063,0.008582
1896788,1762295808.074980,2.502766,2.517165,0.001383,0.008582
1896788,1762295808.075019,2.502126,2.516845,0.001063,0.008422
1896788,1762295808.075316,2.503086,2.517805,0.001543,0.008902
1896788,1762295808.075333,2.502766,2.517805,0.001383,0.008902
1896788,1762295808.075341,2.503726,2.517805,0.001863,0.008902
1896789,1762295808.075769,2.504366,2.517485,0.002183,0.008742
1896789,1762295808.075803,2.503726,2.516845,0.001863,0.008422
1896789,1762295808.075823,2.504686,2.517165,0.002343,0.008582
1896789,1762295808.075842,2.504366,2.517485,0.002183,0.008742
1896789,1762295808.075856,2.504686,2.516205,0.002343,0.008102
1896789,1762295808.075864,2.503726,2.517485,0.001863,0.008742
1896789,1762295808.075869,2.504046,2.516845,0.002023,0.008422
1896789,1762295808.076139,2.504686,2.515565,0.002343,0.007782
1896789,1762295808.076150,2.505966,2.516845,0.002983,0.008422
1896789,1762295808.076157,2.505646,2.515885,0.002823,0.007942
1896789,1762295808.076509,2.507565,2.516205,0.003783,0.008102
1896789,1762295808.076549,2.506926,2.515885,0.003463,0.007942
1896789,1762295808.076581,2.507885,2.516205,0.003943,0.008102
1896790,1762295808.077140,2.508205,2.516205,0.004103,0.008102
1896790,1762295808.077154,2.508525,2.516525,0.004263,0.008262
1896790,1762295808.077161,2.507565,2.515565,0.003783,0.007782
1896790,1762295808.077178,2.509805,2.516205,0.004903,0.008102
1896805,1762295808.092328,2.509805,2.516205,0.004903,0.008102
1896806,1762295808.092753,2.510125,2.516205,0.005063,0.008102
1896806,1762295808.092799,2.510765,2.515885,0.005383,0.007942
1896806,1762295808.092820,2.511725,2.515245,0.005863,0.007622
1896806,1762295808.092830,2.511725,2.514605,0.005863,0.007302
1896806,1762295808.093174,2.510765,2.514605,0.005383,0.007302
1896806,1762295808.093453,2.511725,2.514285,0.005863,0.007142
1896806,1762295808.093470,2.513325,2.514925,0.006663,0.007462
1896806,1762295808.093479,2.512045,2.515245,0.006023,0.007622
1896806,1762295808.093492,2.513005,2.515245,0.006503,0.007622
1896819,1762295808.105827,2.512685,2.514605,0.006343,0.007302
1896819,1762295808.105879,2.513645,2.515565,0.006823,0.007782
1896819,1762295808.105937,2.513645,2.515565,0.006823,0.007782
1896819,1762295808.105954,2.513645,2.516205,0.006823,0.008102
1896819,1762295808.105962,2.513965,2.516205,0.006983,0.008102
1896819,1762295808.105991,2.514285,2.516205,0.007142,0.008102
1896819,1762295808.106001,2.513645,2.514925,0.006823,0.007462
1896819,1762295808.106012,2.513325,2.514925,0.006663,0.007462
1896819,1762295808.106030,2.514925,2.515885,0.007462,0.007942
1896819,1762295808.106054,2.514925,2.515245,0.007462,0.007622
1896819,1762295808.106328,2.514285,2.515245,0.007142,0.007622
1896819,1762295808.106348,2.513965,2.514925,0.006983,0.007462
1896819,1762295808.106370,2.515245,2.514925,0.007622,0.007462
1896819,1762295808.106404,2.514285,2.514925,0.007142,0.007462
1896819,1762295808.106412,2.515885,2.514925,0.007942,0.007462
1896819,1762295808.106455,2.515565,2.514605,0.007782,0.007302
1896819,1762295808.106496,2.513965,2.515565,0.006983,0.007782
1896819,1762295808.106511,2.513965,2.515245,0.006983,0.007622
1896820,1762295808.106949,2.513965,2.514285,0.006983,0.007142
1896820,1762295808.107002,2.514925,2.514285,0.007462,0.007142
1896837,1762295808.123782,2.514605,2.515565,0.007302,0.007782
1896837,1762295808.123855,2.515245,2.514925,0.007622,0.007462
1896837,1762295808.123949,2.514285,2.514925,0.007142,0.007462
1896837,1762295808.123986,2.510765,2.515245,0.005383,0.007622
1896837,1762295808.123993,2.513645,2.514605,0.006823,0.007302
1896837,1762295808.123999,2.514605,2.514925,0.007302,0.007462
1896837,1762295808.124022,2.513645,2.514925,0.006823,0.007462
1896837,1762295808.124045,2.513965,2.514605,0.006983,0.007302
1896837,1762295808.124053,2.513645,2.513965,0.006823,0.006983
1896837,1762295808.124077,2.523244,2.514605,0.011622,0.007302
1896851,1762295808.138028,2.511725,2.513965,0.005863,0.006983
1896851,1762295808.138059,2.520365,2.513965,0.010182,0.006983
1896851,1762295808.138086,2.520045,2.514925,0.010022,0.007462
1896851,1762295808.138094,2.510765,2.514285,0.005383,0.007142
1896851,1762295808.138100,2.514925,2.514925,0.007462,0.007462
1896851,1762295808.138104,2.510125,2.515245,0.005063,0.007622
1896851,1762295808.138122,2.523884,2.515565,0.011942,0.007782
1896851,1762295808.138152,2.500526,2.514925,0.000263,0.007462
1896851,1762295808.138172,2.511085,2.515885,0.005543,0.007942
1896851,1762295808.138182,2.512365,2.516525,0.006183,0.008262
1896852,1762295808.139222,2.509165,2.515885,0.004583,0.007942
1896852,1762295808.139264,2.503406,2.515885,0.001703,0.007942
1896852,1762295808.139328,2.507885,2.515885,0.003943,0.007942
1896852,1762295808.139416,2.524524,2.516205,0.012262,0.008102
1896852,1762295808.139464,2.518445,2.516205,0.009222,0.008102
1896853,1762295808.139926,2.499566,2.516205,-0.000217,0.008102
1896853,1762295808.139939,2.501806,2.517165,0.000903,0.008582
1896853,1762295808.139945,2.513005,2.516205,0.006503,0.008102
1896853,1762295808.140051,2.497646,2.516845,-0.001177,0.008422
1896853,1762295808.140076,2.500206,2.517485,0.000103,0.008742
1896868,1762295808.155565,2.508845,2.518445,0.004423,0.009222
1896869,1762295808.156201,2.508525,2.517485,0.004263,0.008742
1896869,1762295808.156261,2.501166,2.517805,0.000583,0.008902
1896869,1762295808.156268,2.517485,2.517165,0.008742,0.008582
1896870,1762295808.156693,2.504686,2.517165,0.002343,0.008582
1896870,1762295808.156712,2.511085,2.517165,0.005543,0.008582
1896870,1762295808.156718,2.512685,2.517485,0.006343,0.008742
1896870,1762295808.156724,2.523564,2.517165,0.011782,0.008582
1896870,1762295808.156730,2.486767,2.517485,-0.006617,0.008742
1896870,1762295808.156739,2.485167,2.517165,-0.007416,0.008582
1896882,1762295808.169139,2.497966,2.517805,-0.001017,0.008902
1896882,1762295808.169171,2.497006,2.518125,-0.001497,0.009062
1896882,1762295808.169572,2.513965,2.517485,0.006983,0.008742
1896882,1762295808.169580,2.504686,2.517165,0.002343,0.008582
1896882,1762295808.169586,2.520685,2.517165,0.010342,0.008582
1896882,1762295808.169592,2.510125,2.517165,0.005063,0.008582
1896882,1762295808.169595,2.508845,2.518125,0.004423,0.009062
1896882,1762295808.169612,2.522924,2.518125,0.011462,0.009062
1896882,1762295808.169618,2.509805,2.518765,0.004903,0.009382
1896882,1762295808.169622,2.500206,2.518765,0.000103,0.009382
1896883,1762295808.169882,2.491567,2.518445,-0.004217,0.009222
1896883,1762295808.169889,2.487727,2.518445,-0.006137,0.009222
1896883,1762295808.169894,2.506606,2.518445,0.003303,0.009222
1896883,1762295808.169898,2.520685,2.518765,0.010342,0.009382
1896883,1762295808.169901,2.504046,2.519405,0.002023,0.009702
1896883,1762295808.169905,2.503726,2.518765,0.001863,0.009382
1896883,1762295808.169909,2.503726,2.518765,0.001863,0.009382
1896883,1762295808.169912,2.502766,2.519085,0.001383,0.009542
1896883,1762295808.169915,2.507565,2.520365,0.003783,0.010182
1896883,1762295808.169922,2.500526,2.519725,0.000263,0.009862
1896898,1762295808.184883,2.504046,2.519405,0.002023,0.009702
1896899,1762295808.186669,2.501486,2.520045,0.000743,0.010022
1896900,1762295808.186680,2.496686,2.520365,-0.001657,0.010182
1896900,1762295808.186702,2.502446,2.519725,0.001223,0.009862
1896901,1762295808.187788,2.500526,2.519405,0.000263,0.009702
1896902,1762295808.188685,2.494766,2.520045,-0.002617,0.010022
1896902,1762295808.188723,2.500846,2.520045,0.000423,0.010022
1896902,1762295808.188730,2.505006,2.520365,0.002503,0.010182
