time_ms,time_ts,v4,v5,g4,g5
1393397,1762291894.684300,2.503406,2.542123,0.001703,0.021061
1393397,1762291894.684364,2.501806,2.544363,0.000903,0.022181
1393397,1762291894.684376,2.502126,2.542123,0.001063,0.021061
1393398,1762291894.684384,2.503406,2.545323,0.001703,0.022661
1393398,1762291894.684391,2.501806,2.545003,0.000903,0.022501
1393398,1762291894.684400,2.502446,2.545323,0.001223,0.022661
1393398,1762291894.684407,2.502766,2.545643,0.001383,0.022821
1393398,1762291894.684413,2.502126,2.547883,0.001063,0.023941
1393398,1762291894.684420,2.502126,2.547563,0.001063,0.023781
1393401,1762291894.687517,2.502446,2.550122,0.001223,0.025061
1393413,1762291894.699516,2.502126,2.549802,0.001063,0.024901
1393414,1762291894.700709,2.501486,2.551722,0.000743,0.025861
1393414,1762291894.700774,2.501486,2.553962,0.000743,0.026981
1393414,1762291894.700808,2.501166,2.553642,0.000583,0.026821
1393414,1762291894.700820,2.502446,2.555562,0.001223,0.027781
1393415,1762291894.702267,2.502446,2.554922,0.001223,0.027461
1393418,1762291894.704767,2.501806,2.558762,0.000903,0.029381
1393418,1762291894.704801,2.501486,2.557482,0.000743,0.028741
1393418,1762291894.704844,2.502446,2.560682,0.001223,0.030341
1393418,1762291894.704898,2.501806,2.560682,0.000903,0.030341
1393430,1762291894.717252,2.502126,2.562601,0.001063,0.031301
1393430,1762291894.717291,2.502766,2.564521,0.001383,0.032261
1393430,1762291894.717326,2.502446,2.564521,0.001223,0.032261
1393430,1762291894.717338,2.501806,2.566441,0.000903,0.033221
1393430,1762291894.717372,2.502446,2.566441,0.001223,0.033221
1393431,1762291894.717385,2.502446,2.569001,0.001223,0.034501
1393431,1762291894.717396,2.502446,2.569001,0.001223,0.034501
1393431,1762291894.717417,2.502126,2.569961,0.001063,0.034980
1393431,1762291894.717429,2.502446,2.570281,0.001223,0.035140
1393431,1762291894.717439,2.503086,2.572841,0.001543,0.036420
1393445,1762291894.732254,2.503086,2.572201,0.001543,0.036100
1393445,1762291894.732306,2.503726,2.573161,0.001863,0.036580
1393445,1762291894.732314,2.503406,2.575721,0.001703,0.037860
1393445,1762291894.732323,2.503726,2.575081,0.001863,0.037540
1393445,1762291894.732328,2.504686,2.576360,0.002343,0.038180
1393445,1762291894.732334,2.504046,2.576680,0.002023,0.038340
1393445,1762291894.732339,2.505326,2.579240,0.002663,0.039620
1393445,1762291894.732345,2.505966,2.578920,0.002983,0.039460
1393445,1762291894.732349,2.505646,2.579240,0.002823,0.039620
1393445,1762291894.732355,2.505966,2.579240,0.002983,0.039620
1393461,1762291894.747527,2.506926,2.580200,0.003463,0.040100
1393461,1762291894.747559,2.505966,2.580200,0.002983,0.040100
1393461,1762291894.747564,2.507885,2.581160,0.003943,0.040580
1393461,1762291894.747568,2.506606,2.581480,0.003303,0.040740
1393461,1762291894.747572,2.507565,2.581480,0.003783,0.040740
1393461,1762291894.747576,2.508525,2.582760,0.004263,0.041380
1393461,1762291894.747580,2.508845,2.583080,0.004423,0.041540
1393461,1762291894.747620,2.508525,2.582760,0.004263,0.041380
1393461,1762291894.747657,2.509485,2.583080,0.004743,0.041540
1393461,1762291894.747667,2.509165,2.583080,0.004583,0.041540
1393461,1762291894.747919,2.509805,2.584040,0.004903,0.042020
1393461,1762291894.747939,2.508845,2.583400,0.004423,0.041700
1393461,1762291894.747946,2.510125,2.584360,0.005063,0.042180
1393461,1762291894.747952,2.509805,2.584360,0.004903,0.042180
1393461,1762291894.747957,2.509805,2.584360,0.004903,0.042180
1393461,1762291894.747963,2.510125,2.585000,0.005063,0.042500
1393461,1762291894.747967,2.509805,2.584360,0.004903,0.042180
1393461,1762291894.747972,2.511085,2.584680,0.005543,0.042340
1393461,1762291894.747977,2.510765,2.584040,0.005383,0.042020
1393461,1762291894.747983,2.510445,2.584040,0.005223,0.042020
1393477,1762291894.763767,2.512045,2.582440,0.006023,0.041220
1393477,1762291894.763797,2.511725,2.583080,0.005863,0.041540
1393477,1762291894.763803,2.511725,2.582440,0.005863,0.041220
1393477,1762291894.763808,2.511085,2.582440,0.005543,0.041220
1393477,1762291894.763813,2.511405,2.581800,0.005703,0.040900
1393477,1762291894.763820,2.513005,2.581480,0.006503,0.040740
1393477,1762291894.763873,2.512365,2.580200,0.006183,0.040100
1393477,1762291894.763881,2.513005,2.580200,0.006503,0.040100
