time_ms,time_ts,v4,v5,g4,g5
1196253,1762291697.269501,2.503406,2.522604,0.001703,0.011302
1196253,1762291697.270077,2.505326,2.522284,0.002663,0.011142
1196253,1762291697.270164,2.505006,2.522284,0.002503,0.011142
1196254,1762291697.270509,2.505326,2.522284,0.002663,0.011142
1196254,1762291697.270524,2.505646,2.521964,0.002823,0.010982
1196254,1762291697.270533,2.505326,2.521644,0.002663,0.010822
1196254,1762291697.270566,2.505966,2.521324,0.002983,0.010662
1196254,1762291697.271009,2.505966,2.521644,0.002983,0.010822
1196254,1762291697.271043,2.505326,2.521324,0.002663,0.010662
1196258,1762291697.274390,2.506926,2.521324,0.003463,0.010662
1196267,1762291697.283549,2.506286,2.521644,0.003143,0.010822
1196267,1762291697.283568,2.506286,2.521005,0.003143,0.010502
1196267,1762291697.283576,2.505326,2.521644,0.002663,0.010822
1196267,1762291697.283582,2.505966,2.520045,0.002983,0.010022
1196267,1762291697.283588,2.507565,2.520365,0.003783,0.010182
1196267,1762291697.283593,2.505966,2.520045,0.002983,0.010022
1196267,1762291697.283598,2.506286,2.521005,0.003143,0.010502
1196267,1762291697.283604,2.506286,2.519725,0.003143,0.009862
1196267,1762291697.283610,2.506926,2.520045,0.003463,0.010022
1196267,1762291697.283620,2.506606,2.519725,0.003303,0.009862
1196267,1762291697.283941,2.507246,2.519725,0.003623,0.009862
1196267,1762291697.283965,2.506926,2.518445,0.003463,0.009222
1196267,1762291697.283971,2.506926,2.518765,0.003463,0.009382
1196267,1762291697.283976,2.507885,2.518765,0.003943,0.009382
1196267,1762291697.283981,2.508525,2.518765,0.004263,0.009382
1196267,1762291697.283987,2.508205,2.518445,0.004103,0.009222
1196267,1762291697.283992,2.507246,2.517805,0.003623,0.008902
1196267,1762291697.283998,2.507565,2.516845,0.003783,0.008422
1196267,1762291697.284003,2.508205,2.516525,0.004103,0.008262
1196267,1762291697.284008,2.509165,2.516845,0.004583,0.008422
1196282,1762291697.298840,2.507885,2.516845,0.003943,0.008422
1196283,1762291697.299954,2.508525,2.515565,0.004263,0.007782
1196283,1762291697.299991,2.508845,2.515565,0.004423,0.007782
1196283,1762291697.300001,2.509165,2.515885,0.004583,0.007942
1196283,1762291697.300006,2.508525,2.515565,0.004263,0.007782
1196283,1762291697.300012,2.508205,2.514925,0.004103,0.007462
1196283,1762291697.300017,2.509805,2.514285,0.004903,0.007142
1196285,1762291697.301511,2.508845,2.514925,0.004423,0.007462
1196288,1762291697.304844,2.508845,2.514285,0.004423,0.007142
1196288,1762291697.304877,2.509485,2.513965,0.004743,0.006983
1196298,1762291697.315113,2.508845,2.515245,0.004423,0.007622
1196299,1762291697.315890,2.508845,2.513965,0.004423,0.006983
1196299,1762291697.315902,2.509165,2.514605,0.004583,0.007302
1196299,1762291697.315908,2.508845,2.514925,0.004423,0.007462
1196302,1762291697.318486,2.508525,2.513325,0.004263,0.006663
1196302,1762291697.318507,2.509485,2.514605,0.004743,0.007302
1196302,1762291697.318528,2.508525,2.513965,0.004263,0.006983
1196302,1762291697.318554,2.508845,2.513965,0.004423,0.006983
1196302,1762291697.318561,2.507885,2.514925,0.003943,0.007462
1196302,1762291697.318566,2.508205,2.513645,0.004103,0.006823
1196302,1762291697.318891,2.507885,2.514925,0.003943,0.007462
1196303,1762291697.319362,2.507246,2.513645,0.003623,0.006823
1196303,1762291697.319383,2.507885,2.514285,0.003943,0.007142
1196303,1762291697.319389,2.508205,2.514925,0.004103,0.007462
1196303,1762291697.319398,2.507246,2.513645,0.003623,0.006823
1196303,1762291697.319515,2.507885,2.514285,0.003943,0.007142
1196303,1762291697.319528,2.507565,2.514605,0.003783,0.007302
1196303,1762291697.319535,2.508205,2.514605,0.004103,0.007302
1196303,1762291697.319557,2.507246,2.514925,0.003623,0.007462
1196303,1762291697.319563,2.508205,2.514605,0.004103,0.007302
1196313,1762291697.329715,2.507565,2.514925,0.003783,0.007462
1196313,1762291697.329739,2.507246,2.514285,0.003623,0.007142
1196313,1762291697.329756,2.507565,2.514605,0.003783,0.007302
1196313,1762291697.329761,2.507565,2.515885,0.003783,0.007942
1196313,1762291697.329767,2.507565,2.515565,0.003783,0.007782
1196313,1762291697.329774,2.507565,2.515245,0.003783,0.007622
1196313,1762291697.329827,2.508205,2.514925,0.004103,0.007462
1196313,1762291697.329848,2.507246,2.515885,0.003623,0.007942
1196313,1762291697.329854,2.507885,2.515885,0.003943,0.007942
1196313,1762291697.329860,2.507885,2.516525,0.003943,0.008262
1196329,1762291697.345471,2.508845,2.516845,0.004423,0.008422
1196329,1762291697.345527,2.508845,2.517485,0.004423,0.008742
1196329,1762291697.345564,2.507885,2.516845,0.003943,0.008422
1196329,1762291697.345569,2.508525,2.518445,0.004263,0.009222
1196329,1762291697.345573,2.509485,2.518445,0.004743,0.009222
1196329,1762291697.345577,2.507885,2.518765,0.003943,0.009382
1196329,1762291697.345581,2.508205,2.518765,0.004103,0.009382
1196329,1762291697.345588,2.509165,2.520045,0.004583,0.010022
1196329,1762291697.345592,2.508845,2.520685,0.004423,0.010342
1196329,1762291697.345596,2.507565,2.521964,0.003783,0.010982
1196346,1762291697.362630,2.508845,2.521644,0.004423,0.010822
1196346,1762291697.362697,2.508525,2.522924,0.004263,0.011462
1196346,1762291697.362724,2.507885,2.523884,0.003943,0.011942
1196346,1762291697.362731,2.506926,2.523884,0.003463,0.011942
1196346,1762291697.362736,2.508205,2.524204,0.004103,0.012102
1196346,1762291697.362740,2.508525,2.524524,0.004263,0.012262
1196346,1762291697.362744,2.507885,2.525164,0.003943,0.012582
1196346,1762291697.362748,2.507565,2.525804,0.003783,0.012902
1196346,1762291697.362752,2.506926,2.527404,0.003463,0.013702
1196346,1762291697.362756,2.506926,2.527084,0.003463,0.013542
1196350,1762291697.367136,2.507246,2.528364,0.003623,0.014182
1196351,1762291697.367438,2.507565,2.527404,0.003783,0.013702
1196351,1762291697.367449,2.506606,2.528684,0.003303,0.014342
1196351,1762291697.367460,2.506926,2.529964,0.003463,0.014982
1196351,1762291697.367466,2.506286,2.529324,0.003143,0.014662
1196351,1762291697.367548,2.507246,2.530604,0.003623,0.015302
1196351,1762291697.367556,2.506286,2.531244,0.003143,0.015622
1196351,1762291697.367562,2.505966,2.530284,0.002983,0.015142
1196351,1762291697.367568,2.507246,2.531564,0.003623,0.015782
1196351,1762291697.368195,2.506286,2.533804,0.003143,0.016902
1196360,1762291697.376504,2.506286,2.532524,0.003143,0.016262
1196360,1762291697.376539,2.505966,2.533164,0.002983,0.016582
1196360,1762291697.376554,2.505966,2.533804,0.002983,0.016902
1196360,1762291697.376565,2.505646,2.533804,0.002823,0.016902
1196360,1762291697.376582,2.505326,2.533804,0.002663,0.016902
1196360,1762291697.376590,2.505966,2.535403,0.002983,0.017702
1196360,1762291697.376916,2.504686,2.534764,0.002343,0.017382
1196360,1762291697.376926,2.505966,2.535723,0.002983,0.017862
1196360,1762291697.376932,2.505646,2.535723,0.002823,0.017862
1196360,1762291697.376939,2.504686,2.535723,0.002343,0.017862
1196360,1762291697.377123,2.505966,2.537323,0.002983,0.018662
1196360,1762291697.377131,2.505326,2.537963,0.002663,0.018982
1196360,1762291697.377137,2.504686,2.538283,0.002343,0.019142
1196360,1762291697.377144,2.505006,2.537323,0.002503,0.018662
1196360,1762291697.377149,2.504686,2.539243,0.002343,0.019622
1196360,1762291697.377156,2.504366,2.539243,0.002183,0.019622
1196360,1762291697.377161,2.504366,2.539563,0.002183,0.019782
1196360,1762291697.377175,2.505006,2.539883,0.002503,0.019942
1196360,1762291697.377180,2.504046,2.541163,0.002023,0.020582
1196360,1762291697.377185,2.505006,2.540523,0.002503,0.020262
1196376,1762291697.392470,2.504686,2.541483,0.002343,0.020742
1196376,1762291697.392517,2.504366,2.542443,0.002183,0.021221
1196376,1762291697.392545,2.503726,2.541803,0.001863,0.020902
1196376,1762291697.392584,2.503726,2.542123,0.001863,0.021061
1196376,1762291697.392627,2.503406,2.542443,0.001703,0.021221
1196376,1762291697.392648,2.503726,2.543083,0.001863,0.021541
1196376,1762291697.392656,2.504366,2.543403,0.002183,0.021701
1196376,1762291697.392662,2.503086,2.544363,0.001543,0.022181
