time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1248320,1762291749.226390,ACCEL,0,0.00000,0.12000,0.06749,1248320
1248325,1762291749.328942,ACCEL,0,0.00000,0.12000,0.06749,1248325
1248330,1762291749.328967,ACCEL,1,0.00491,0.12000,0.06763,1248330
1248335,1762291749.328979,ACCEL,1,0.00491,0.12000,0.06763,1248335
1248340,1762291749.328990,ACCEL,1,0.00491,0.12000,0.06763,1248340
1248345,1762291749.328998,ACCEL,1,0.00491,0.12000,0.06763,1248345
1248350,1762291749.329007,ACCEL,1,0.00491,0.12000,0.06763,1248350
1248355,1762291749.329014,ACCEL,1,0.00491,0.12000,0.06763,1248355
1248360,1762291749.329021,ACCEL,1,0.00491,0.12000,0.06763,1248360
1248365,1762291749.329030,ACCEL,1,0.00491,0.12000,0.06763,1248365
1248370,1762291749.329037,ACCEL,2,0.00982,0.12000,0.06776,1248370
1248375,1762291749.329045,ACCEL,2,0.00982,0.12000,0.06776,1248375
1248380,1762291749.329052,ACCEL,2,0.00982,0.12000,0.06776,1248380
1248385,1762291749.329059,ACCEL,2,0.00982,0.12000,0.06776,1248385
1248390,1762291749.329068,ACCEL,2,0.00982,0.12000,0.06776,1248390
1248395,1762291749.329074,ACCEL,2,0.00982,0.12000,0.06776,1248395
1248400,1762291749.329087,ACCEL,2,0.00982,0.12000,0.06776,1248400
1248405,1762291749.329097,ACCEL,2,0.00982,0.12000,0.06776,1248405
1248410,1762291749.329104,ACCEL,3,0.01473,0.12000,0.06790,1248410
1248415,1762291749.329111,ACCEL,3,0.01473,0.12000,0.06790,1248415
1248420,1762291749.329118,ACCEL,3,0.01473,0.12000,0.06790,1248420
1248425,1762291749.329126,ACCEL,3,0.01473,0.12000,0.06790,1248425
1248430,1762291749.329133,ACCEL,3,0.01473,0.12000,0.06790,1248430
1248435,1762291749.329140,ACCEL,3,0.01473,0.12000,0.06790,1248435
1248440,1762291749.330633,ACCEL,3,0.01473,0.12000,0.06790,1248440
1248445,1762291749.330659,ACCEL,3,0.01473,0.12000,0.06790,1248445
1248450,1762291749.330671,ACCEL,4,0.01963,0.12000,0.06803,1248450
1248455,1762291749.330682,ACCEL,4,0.01963,0.12000,0.06803,1248455
1248460,1762291749.330692,ACCEL,4,0.01963,0.12000,0.06803,1248460
1248465,1762291749.330701,ACCEL,4,0.01963,0.12000,0.06803,1248465
1248470,1762291749.330710,ACCEL,4,0.01963,0.12000,0.06803,1248470
1248475,1762291749.330719,ACCEL,4,0.01963,0.12000,0.06803,1248475
1248480,1762291749.330727,ACCEL,4,0.01963,0.12000,0.06803,1248480
1248485,1762291749.330738,ACCEL,4,0.01963,0.12000,0.06803,1248485
1248490,1762291749.330747,ACCEL,4,0.01963,0.12000,0.06803,1248490
1248495,1762291749.330755,ACCEL,5,0.02454,0.12000,0.06817,1248495
1248500,1762291749.330763,ACCEL,5,0.02454,0.12000,0.06817,1248500
1248505,1762291749.330771,ACCEL,5,0.02454,0.12000,0.06817,1248505
1248510,1762291749.330779,ACCEL,5,0.02454,0.12000,0.06817,1248510
1248515,1762291749.330787,ACCEL,5,0.02454,0.12000,0.06817,1248515
1248520,1762291749.330795,ACCEL,5,0.02454,0.12000,0.06817,1248520
1248525,1762291749.330804,ACCEL,5,0.02454,0.12000,0.06817,1248525
1248530,1762291749.330812,ACCEL,5,0.02454,0.12000,0.06817,1248530
1248535,1762291749.330821,ACCEL,6,0.02945,0.12000,0.06831,1248535
1248540,1762291749.330827,ACCEL,6,0.02945,0.12000,0.06831,1248540
1248545,1762291749.330834,ACCEL,6,0.02945,0.12000,0.06831,1248545
1248550,1762291749.332696,ACCEL,6,0.02945,0.12000,0.06831,1248550
1248555,1762291749.332719,ACCEL,6,0.02945,0.12000,0.06831,1248555
1248560,1762291749.332731,ACCEL,6,0.02945,0.12000,0.06831,1248560
1248565,1762291749.332743,ACCEL,6,0.02945,0.12000,0.06831,1248565
1248700,1762291749.605504,ACCEL,10,0.04909,0.12000,0.06885,1248700
1248705,1762291749.605530,ACCEL,10,0.04909,0.12000,0.06885,1248705
1248710,1762291749.605539,ACCEL,10,0.04909,0.12000,0.06885,1248710
1248715,1762291749.605548,ACCEL,10,0.04909,0.12000,0.06885,1248715
1248720,1762291749.605556,ACCEL,10,0.04909,0.12000,0.06885,1248720
1248725,1762291749.605562,ACCEL,10,0.04909,0.12000,0.06885,1248725
1248730,1762291749.605570,ACCEL,10,0.04909,0.12000,0.06885,1248730
1248735,1762291749.605577,ACCEL,10,0.04909,0.12000,0.06885,1248735
1248740,1762291749.605585,ACCEL,11,0.05400,0.12000,0.06899,1248740
1248745,1762291749.605592,ACCEL,11,0.05400,0.12000,0.06899,1248745
