time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1301318,1762291802.282372,ACCEL,0,0.00000,0.12000,0.06749,1301318
1301323,1762291802.384932,ACCEL,0,0.00000,0.12000,0.06749,1301323
1301328,1762291802.384955,ACCEL,1,0.00491,0.12000,0.06763,1301328
1301333,1762291802.384968,ACCEL,1,0.00491,0.12000,0.06763,1301333
1301338,1762291802.384978,ACCEL,1,0.00491,0.12000,0.06763,1301338
1301343,1762291802.384988,ACCEL,1,0.00491,0.12000,0.06763,1301343
1301348,1762291802.384997,ACCEL,1,0.00491,0.12000,0.06763,1301348
1301353,1762291802.385006,ACCEL,1,0.00491,0.12000,0.06763,1301353
1301358,1762291802.385013,ACCEL,1,0.00491,0.12000,0.06763,1301358
1301363,1762291802.385022,ACCEL,1,0.00491,0.12000,0.06763,1301363
1301368,1762291802.385029,ACCEL,2,0.00982,0.12000,0.06776,1301368
1301373,1762291802.385036,ACCEL,2,0.00982,0.12000,0.06776,1301373
1301378,1762291802.386261,ACCEL,2,0.00982,0.12000,0.06776,1301378
1301383,1762291802.386289,ACCEL,2,0.00982,0.12000,0.06776,1301383
1301388,1762291802.386301,ACCEL,2,0.00982,0.12000,0.06776,1301388
1301393,1762291802.386310,ACCEL,2,0.00982,0.12000,0.06776,1301393
1301398,1762291802.386318,ACCEL,2,0.00982,0.12000,0.06776,1301398
1301403,1762291802.386327,ACCEL,2,0.00982,0.12000,0.06776,1301403
1301408,1762291802.386335,ACCEL,3,0.01473,0.12000,0.06790,1301408
1301413,1762291802.386343,ACCEL,3,0.01473,0.12000,0.06790,1301413
1301418,1762291802.386350,ACCEL,3,0.01473,0.12000,0.06790,1301418
1301423,1762291802.386357,ACCEL,3,0.01473,0.12000,0.06790,1301423
1301428,1762291802.386369,ACCEL,3,0.01473,0.12000,0.06790,1301428
1301433,1762291802.386378,ACCEL,3,0.01473,0.12000,0.06790,1301433
1301438,1762291802.386385,ACCEL,3,0.01473,0.12000,0.06790,1301438
1301443,1762291802.386393,ACCEL,3,0.01473,0.12000,0.06790,1301443
1301448,1762291802.386400,ACCEL,4,0.01963,0.12000,0.06803,1301448
1301453,1762291802.386441,ACCEL,4,0.01963,0.12000,0.06803,1301453
1301458,1762291802.386448,ACCEL,4,0.01963,0.12000,0.06803,1301458
1301463,1762291802.387194,ACCEL,4,0.01963,0.12000,0.06803,1301463
1301468,1762291802.387218,ACCEL,4,0.01963,0.12000,0.06803,1301468
1301473,1762291802.387229,ACCEL,4,0.01963,0.12000,0.06803,1301473
1301478,1762291802.387239,ACCEL,4,0.01963,0.12000,0.06803,1301478
1301483,1762291802.387253,ACCEL,4,0.01963,0.12000,0.06803,1301483
1301488,1762291802.387261,ACCEL,4,0.01963,0.12000,0.06803,1301488
1301493,1762291802.387269,ACCEL,5,0.02454,0.12000,0.06817,1301493
1301498,1762291802.387277,ACCEL,5,0.02454,0.12000,0.06817,1301498
1301503,1762291802.387284,ACCEL,5,0.02454,0.12000,0.06817,1301503
1301508,1762291802.387291,ACCEL,5,0.02454,0.12000,0.06817,1301508
1301513,1762291802.387302,ACCEL,5,0.02454,0.12000,0.06817,1301513
1301518,1762291802.387310,ACCEL,5,0.02454,0.12000,0.06817,1301518
1301523,1762291802.387317,ACCEL,5,0.02454,0.12000,0.06817,1301523
1301528,1762291802.387325,ACCEL,5,0.02454,0.12000,0.06817,1301528
1301533,1762291802.387346,ACCEL,6,0.02945,0.12000,0.06831,1301533
1301538,1762291802.387354,ACCEL,6,0.02945,0.12000,0.06831,1301538
1301543,1762291802.387361,ACCEL,6,0.02945,0.12000,0.06831,1301543
1301548,1762291802.387368,ACCEL,6,0.02945,0.12000,0.06831,1301548
1301553,1762291802.387375,ACCEL,6,0.02945,0.12000,0.06831,1301553
1301678,1762291802.659560,ACCEL,9,0.04418,0.12000,0.06872,1301678
1301683,1762291802.659583,ACCEL,9,0.04418,0.12000,0.06872,1301683
1301688,1762291802.662705,ACCEL,9,0.04418,0.12000,0.06872,1301688
1301693,1762291802.662720,ACCEL,9,0.04418,0.12000,0.06872,1301693
1301698,1762291802.662731,ACCEL,10,0.04909,0.12000,0.06885,1301698
1301703,1762291802.662742,ACCEL,10,0.04909,0.12000,0.06885,1301703
1301708,1762291802.662751,ACCEL,10,0.04909,0.12000,0.06885,1301708
1301713,1762291802.662759,ACCEL,10,0.04909,0.12000,0.06885,1301713
1301718,1762291802.662767,ACCEL,10,0.04909,0.12000,0.06885,1301718
1301723,1762291802.662775,ACCEL,10,0.04909,0.12000,0.06885,1301723
1301728,1762291802.662783,ACCEL,10,0.04909,0.12000,0.06885,1301728
1301733,1762291802.662791,ACCEL,10,0.04909,0.12000,0.06885,1301733
1301738,1762291802.662799,ACCEL,11,0.05400,0.12000,0.06899,1301738
1301743,1762291802.662806,ACCEL,11,0.05400,0.12000,0.06899,1301743
1301748,1762291802.662813,ACCEL,11,0.05400,0.12000,0.06899,1301748
1301753,1762291802.662821,ACCEL,11,0.05400,0.12000,0.06899,1301753
1301758,1762291802.662840,ACCEL,11,0.05400,0.12000,0.06899,1301758
1301763,1762291802.662852,ACCEL,11,0.05400,0.12000,0.06899,1301763
1301768,1762291802.662860,ACCEL,11,0.05400,0.12000,0.06899,1301768
1301773,1762291802.662868,ACCEL,11,0.05400,0.12000,0.06899,1301773
1301778,1762291802.662876,ACCEL,12,0.05890,0.12000,0.06912,1301778
1301783,1762291802.662884,ACCEL,12,0.05890,0.12000,0.06912,1301783
1301788,1762291802.662891,ACCEL,12,0.05890,0.12000,0.06912,1301788
1301793,1762291802.662900,ACCEL,12,0.05890,0.12000,0.06912,1301793
1301798,1762291802.662907,ACCEL,12,0.05890,0.12000,0.06912,1301798
1301803,1762291802.662915,ACCEL,12,0.05890,0.12000,0.06912,1301803
1301808,1762291802.662922,ACCEL,12,0.05890,0.12000,0.06912,1301808
1301813,1762291802.662930,ACCEL,12,0.05890,0.12000,0.06912,1301813
1301818,1762291802.662938,ACCEL,13,0.06381,0.12000,0.06926,1301818
1301823,1762291802.662948,ACCEL,13,0.06381,0.12000,0.06926,1301823
1301828,1762291802.662956,ACCEL,13,0.06381,0.12000,0.06926,1301828
1301833,1762291802.662964,ACCEL,13,0.06381,0.12000,0.06926,1301833
1301838,1762291802.662971,ACCEL,13,0.06381,0.12000,0.06926,1301838
1301843,1762291802.662979,ACCEL,13,0.06381,0.12000,0.06926,1301843
1301848,1762291802.662986,ACCEL,13,0.06381,0.12000,0.06926,1301848
1301853,1762291802.662994,ACCEL,13,0.06381,0.12000,0.06926,1301853
1301858,1762291802.663002,ACCEL,14,0.06872,0.12000,0.06940,1301858
1301863,1762291802.663009,ACCEL,14,0.06872,0.12000,0.06940,1301863
1301868,1762291802.663017,ACCEL,14,0.06872,0.12000,0.06940,1301868
1301873,1762291802.663024,ACCEL,14,0.06872,0.12000,0.06940,1301873
1301878,1762291802.663032,ACCEL,14,0.06872,0.12000,0.06940,1301878
1301883,1762291802.663039,ACCEL,14,0.06872,0.12000,0.06940,1301883
1301888,1762291802.663047,ACCEL,14,0.06872,0.12000,0.06940,1301888
1301893,1762291802.663056,ACCEL,14,0.06872,0.12000,0.06940,1301893
1301898,1762291802.663063,ACCEL,15,0.07363,0.12000,0.06953,1301898
1301903,1762291802.663073,ACCEL,15,0.07363,0.12000,0.06953,1301903
1301908,1762291802.663080,ACCEL,15,0.07363,0.12000,0.06953,1301908
1301913,1762291802.663090,ACCEL,15,0.07363,0.12000,0.06953,1301913
1301918,1762291802.663097,ACCEL,15,0.07363,0.12000,0.06953,1301918
1301953,1762291802.948776,ACCEL,16,0.07854,0.12000,0.06967,1301953
1301958,1762291802.948798,ACCEL,16,0.07854,0.12000,0.06967,1301958
1301963,1762291802.948808,ACCEL,16,0.07854,0.12000,0.06967,1301963
1301968,1762291802.948982,ACCEL,16,0.07854,0.12000,0.06967,1301968
1301973,1762291802.948991,ACCEL,16,0.07854,0.12000,0.06967,1301973
1301978,1762291802.948997,ACCEL,16,0.07854,0.12000,0.06967,1301978
1301983,1762291802.949005,ACCEL,17,0.08345,0.12000,0.06980,1301983
1301988,1762291802.949012,ACCEL,17,0.08345,0.12000,0.06980,1301988
1301993,1762291802.949020,ACCEL,17,0.08345,0.12000,0.06980,1301993
1301998,1762291802.949027,ACCEL,17,0.08345,0.12000,0.06980,1301998
1302003,1762291802.949034,ACCEL,17,0.08345,0.12000,0.06980,1302003
1302008,1762291802.949041,ACCEL,17,0.08345,0.12000,0.06980,1302008
1302013,1762291802.949050,ACCEL,17,0.08345,0.12000,0.06980,1302013
1302018,1762291802.949056,ACCEL,17,0.08345,0.12000,0.06980,1302018
1302023,1762291802.949062,ACCEL,18,0.08836,0.12000,0.06994,1302023
1302028,1762291802.949069,ACCEL,18,0.08836,0.12000,0.06994,1302028
1302033,1762291802.949075,ACCEL,18,0.08836,0.12000,0.06994,1302033
1302038,1762291802.949081,ACCEL,18,0.08836,0.12000,0.06994,1302038
