time_ms,time_ts,v4,v5,g4,g5
980661,1762291481.331338,2.502446,2.523244,0.001223,0.011622
980661,1762291481.331398,2.502126,2.522604,0.001063,0.011302
980661,1762291481.331411,2.501806,2.523884,0.000903,0.011942
980661,1762291481.331419,2.502126,2.522924,0.001063,0.011462
980661,1762291481.331427,2.502126,2.522284,0.001063,0.011142
980661,1762291481.331435,2.502126,2.523244,0.001063,0.011622
980662,1762291481.331443,2.500846,2.524204,0.000423,0.012102
980662,1762291481.331450,2.500526,2.524844,0.000263,0.012422
980662,1762291481.331458,2.501166,2.523884,0.000583,0.011942
980662,1762291481.331465,2.501166,2.524204,0.000583,0.012102
980677,1762291481.347330,2.501166,2.523884,0.000583,0.011942
980679,1762291481.348684,2.501166,2.525484,0.000583,0.012742
980679,1762291481.348774,2.499886,2.524524,-0.000057,0.012262
980679,1762291481.348850,2.500526,2.525164,0.000263,0.012582
980679,1762291481.348860,2.500526,2.525164,0.000263,0.012582
980679,1762291481.348900,2.499566,2.525484,-0.000217,0.012742
980679,1762291481.348908,2.501806,2.525164,0.000903,0.012582
980679,1762291481.348939,2.501166,2.526124,0.000583,0.013062
980679,1762291481.348966,2.500846,2.527724,0.000423,0.013862
980680,1762291481.349668,2.501486,2.526764,0.000743,0.013382
980694,1762291481.363658,2.500206,2.527724,0.000103,0.013862
980694,1762291481.363691,2.500846,2.527724,0.000423,0.013862
980694,1762291481.363726,2.500206,2.527724,0.000103,0.013862
980694,1762291481.364212,2.501486,2.528044,0.000743,0.014022
980694,1762291481.364237,2.500526,2.528684,0.000263,0.014342
980694,1762291481.364252,2.500846,2.529644,0.000423,0.014822
980694,1762291481.364262,2.500526,2.530284,0.000263,0.015142
980694,1762291481.364271,2.501486,2.529644,0.000743,0.014822
980694,1762291481.364280,2.501166,2.529964,0.000583,0.014982
980694,1762291481.364288,2.501806,2.531884,0.000903,0.015942
980708,1762291481.377822,2.499566,2.530604,-0.000217,0.015302
980708,1762291481.377938,2.501806,2.532524,0.000903,0.016262
980708,1762291481.377995,2.501486,2.532204,0.000743,0.016102
980708,1762291481.378001,2.501486,2.533484,0.000743,0.016742
980708,1762291481.378031,2.501166,2.533164,0.000583,0.016582
980708,1762291481.378050,2.501806,2.533804,0.000903,0.016902
980709,1762291481.378496,2.501806,2.533804,0.000903,0.016902
980709,1762291481.378510,2.501806,2.535083,0.000903,0.017542
980709,1762291481.378559,2.501806,2.536363,0.000903,0.018182
980709,1762291481.378572,2.501806,2.536683,0.000903,0.018342
980724,1762291481.393746,2.501806,2.537323,0.000903,0.018662
980724,1762291481.393801,2.503086,2.536363,0.001543,0.018182
980724,1762291481.393806,2.502446,2.537963,0.001223,0.018982
980724,1762291481.393811,2.502126,2.539243,0.001063,0.019622
980724,1762291481.393815,2.502446,2.539243,0.001223,0.019622
