time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
980651,1762291481.132983,ACCEL,0,0.00000,0.12000,0.06749,980651
980656,1762291481.233755,ACCEL,1,0.00491,0.12000,0.06763,980656
980661,1762291481.233778,ACCEL,1,0.00491,0.12000,0.06763,980661
980666,1762291481.233791,ACCEL,1,0.00491,0.12000,0.06763,980666
980671,1762291481.233801,ACCEL,1,0.00491,0.12000,0.06763,980671
980676,1762291481.233812,ACCEL,1,0.00491,0.12000,0.06763,980676
980681,1762291481.233821,ACCEL,1,0.00491,0.12000,0.06763,980681
980686,1762291481.233829,ACCEL,1,0.00491,0.12000,0.06763,980686
980691,1762291481.233838,ACCEL,1,0.00491,0.12000,0.06763,980691
980696,1762291481.233847,ACCEL,2,0.00982,0.12000,0.06776,980696
980701,1762291481.233855,ACCEL,2,0.00982,0.12000,0.06776,980701
980706,1762291481.233864,ACCEL,2,0.00982,0.12000,0.06776,980706
980711,1762291481.233872,ACCEL,2,0.00982,0.12000,0.06776,980711
980716,1762291481.233881,ACCEL,2,0.00982,0.12000,0.06776,980716
980721,1762291481.233889,ACCEL,2,0.00982,0.12000,0.06776,980721
980726,1762291481.233897,ACCEL,2,0.00982,0.12000,0.06776,980726
980731,1762291481.233905,ACCEL,2,0.00982,0.12000,0.06776,980731
980736,1762291481.233914,ACCEL,3,0.01473,0.12000,0.06790,980736
980741,1762291481.233922,ACCEL,3,0.01473,0.12000,0.06790,980741
980746,1762291481.233931,ACCEL,3,0.01473,0.12000,0.06790,980746
980751,1762291481.233939,ACCEL,3,0.01473,0.12000,0.06790,980751
980756,1762291481.233947,ACCEL,3,0.01473,0.12000,0.06790,980756
980761,1762291481.233957,ACCEL,3,0.01473,0.12000,0.06790,980761
980766,1762291481.233965,ACCEL,3,0.01473,0.12000,0.06790,980766
980771,1762291481.233973,ACCEL,3,0.01473,0.12000,0.06790,980771
980776,1762291481.233980,ACCEL,4,0.01963,0.12000,0.06803,980776
980781,1762291481.233988,ACCEL,4,0.01963,0.12000,0.06803,980781
980786,1762291481.233995,ACCEL,4,0.01963,0.12000,0.06803,980786
980791,1762291481.234003,ACCEL,4,0.01963,0.12000,0.06803,980791
980796,1762291481.234011,ACCEL,4,0.01963,0.12000,0.06803,980796
980801,1762291481.234018,ACCEL,4,0.01963,0.12000,0.06803,980801
980806,1762291481.234025,ACCEL,4,0.01963,0.12000,0.06803,980806
980811,1762291481.234033,ACCEL,4,0.01963,0.12000,0.06803,980811
980816,1762291481.234042,ACCEL,4,0.01963,0.12000,0.06803,980816
980822,1762291481.234050,ACCEL,5,0.02454,0.12000,0.06817,980822
980826,1762291481.234096,ACCEL,5,0.02454,0.12000,0.06817,980826
980831,1762291481.234123,ACCEL,5,0.02454,0.12000,0.06817,980831
980836,1762291481.234135,ACCEL,5,0.02454,0.12000,0.06817,980836
980841,1762291481.234145,ACCEL,5,0.02454,0.12000,0.06817,980841
