time_ms,time_ts,v4,v5,g4,g5
1088065,1762291588.887519,2.509805,2.532844,0.004903,0.016422
1088065,1762291588.887579,2.509165,2.533164,0.004583,0.016582
1088065,1762291588.887667,2.508205,2.533804,0.004103,0.016902
1088065,1762291588.887710,2.508205,2.532844,0.004103,0.016422
1088065,1762291588.887745,2.508525,2.534444,0.004263,0.017222
1088065,1762291588.887930,2.506926,2.533804,0.003463,0.016902
1088065,1762291588.887943,2.507246,2.533804,0.003623,0.016902
1088065,1762291588.887952,2.506926,2.533804,0.003463,0.016902
1088065,1762291588.887969,2.507246,2.533484,0.003623,0.016742
1088068,1762291588.891040,2.507246,2.534444,0.003623,0.017222
1088080,1762291588.902278,2.506286,2.534764,0.003143,0.017382
1088080,1762291588.902304,2.505326,2.534764,0.002663,0.017382
1088080,1762291588.902309,2.505966,2.534124,0.002983,0.017062
1088080,1762291588.902313,2.505646,2.534124,0.002823,0.017062
1088080,1762291588.902317,2.504686,2.534124,0.002343,0.017062
1088080,1762291588.902321,2.504686,2.534124,0.002343,0.017062
1088080,1762291588.902325,2.504686,2.534764,0.002343,0.017382
1088080,1762291588.902329,2.503406,2.534444,0.001703,0.017222
1088080,1762291588.902332,2.503406,2.534764,0.001703,0.017382
1088080,1762291588.902335,2.503086,2.535403,0.001543,0.017702
1088095,1762291588.918005,2.503406,2.534764,0.001703,0.017382
1088095,1762291588.918050,2.502766,2.534124,0.001383,0.017062
1088096,1762291588.919121,2.503086,2.533804,0.001543,0.016902
1088096,1762291588.919142,2.503086,2.534444,0.001543,0.017222
1088096,1762291588.919149,2.501806,2.535083,0.000903,0.017542
1088096,1762291588.919193,2.502126,2.533804,0.001063,0.016902
1088096,1762291588.919199,2.502126,2.534124,0.001063,0.017062
1088096,1762291588.919205,2.502126,2.534764,0.001063,0.017382
1088096,1762291588.919211,2.501806,2.533484,0.000903,0.016742
1088098,1762291588.920275,2.501806,2.532524,0.000903,0.016262
1088110,1762291588.933132,2.502766,2.532204,0.001383,0.016102
1088110,1762291588.933176,2.501486,2.532844,0.000743,0.016422
1088110,1762291588.933210,2.501166,2.532204,0.000583,0.016102
1088110,1762291588.933218,2.501806,2.531244,0.000903,0.015622
1088110,1762291588.933224,2.501806,2.530604,0.000903,0.015302
1088110,1762291588.933230,2.501486,2.531564,0.000743,0.015782
1088111,1762291588.933277,2.500846,2.530924,0.000423,0.015462
1088111,1762291588.933284,2.501806,2.530284,0.000903,0.015142
1088111,1762291588.933290,2.502446,2.530284,0.001223,0.015142
1088111,1762291588.933295,2.501486,2.530284,0.000743,0.015142
1088111,1762291588.933482,2.501806,2.528684,0.000903,0.014342
1088111,1762291588.933517,2.502126,2.529004,0.001063,0.014502
1088111,1762291588.933524,2.502766,2.528044,0.001383,0.014022
1088111,1762291588.933529,2.502126,2.528684,0.001063,0.014342
1088111,1762291588.933538,2.502446,2.526764,0.001223,0.013382
1088111,1762291588.933544,2.503086,2.528044,0.001543,0.014022
1088111,1762291588.933549,2.502766,2.527084,0.001383,0.013542
1088111,1762291588.933554,2.502766,2.527084,0.001383,0.013542
1088111,1762291588.933560,2.502766,2.527084,0.001383,0.013542
