time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
2035604,1762290131.285778,ACCEL,0,0.00000,0.12000,0.03374,2035604
2035609,1762290131.386900,ACCEL,0,0.00000,0.12000,0.03374,2035609
2035614,1762290131.386922,ACCEL,1,0.00491,0.12000,0.03381,2035614
2035619,1762290131.386935,ACCEL,1,0.00491,0.12000,0.03381,2035619
2035624,1762290131.386945,ACCEL,1,0.00491,0.12000,0.03381,2035624
2035629,1762290131.386954,ACCEL,1,0.00491,0.12000,0.03381,2035629
2035634,1762290131.387913,ACCEL,1,0.00491,0.12000,0.03381,2035634
2035639,1762290131.387933,ACCEL,1,0.00491,0.12000,0.03381,2035639
2035644,1762290131.387943,ACCEL,1,0.00491,0.12000,0.03381,2035644
2035649,1762290131.387951,ACCEL,1,0.00491,0.12000,0.03381,2035649
2035654,1762290131.387959,ACCEL,2,0.00982,0.12000,0.03388,2035654
2035659,1762290131.387967,ACCEL,2,0.00982,0.12000,0.03388,2035659
2035664,1762290131.387976,ACCEL,2,0.00982,0.12000,0.03388,2035664
2035669,1762290131.387984,ACCEL,2,0.00982,0.12000,0.03388,2035669
2035674,1762290131.387994,ACCEL,2,0.00982,0.12000,0.03388,2035674
2035679,1762290131.388002,ACCEL,2,0.00982,0.12000,0.03388,2035679
2035684,1762290131.388010,ACCEL,2,0.00982,0.12000,0.03388,2035684
2035689,1762290131.388018,ACCEL,2,0.00982,0.12000,0.03388,2035689
2035694,1762290131.388026,ACCEL,3,0.01473,0.12000,0.03395,2035694
2035699,1762290131.388033,ACCEL,3,0.01473,0.12000,0.03395,2035699
2035704,1762290131.388041,ACCEL,3,0.01473,0.12000,0.03395,2035704
2035709,1762290131.388048,ACCEL,3,0.01473,0.12000,0.03395,2035709
2035714,1762290131.388056,ACCEL,3,0.01473,0.12000,0.03395,2035714
2035719,1762290131.388063,ACCEL,3,0.01473,0.12000,0.03395,2035719
2035724,1762290131.388070,ACCEL,3,0.01473,0.12000,0.03395,2035724
2035729,1762290131.388078,ACCEL,3,0.01473,0.12000,0.03395,2035729
2035734,1762290131.388086,ACCEL,4,0.01963,0.12000,0.03402,2035734
2035739,1762290131.388094,ACCEL,4,0.01963,0.12000,0.03402,2035739
2035744,1762290131.388101,ACCEL,4,0.01963,0.12000,0.03402,2035744
2035749,1762290131.388108,ACCEL,4,0.01963,0.12000,0.03402,2035749
2035754,1762290131.388115,ACCEL,4,0.01963,0.12000,0.03402,2035754
2035759,1762290131.388123,ACCEL,4,0.01963,0.12000,0.03402,2035759
2035764,1762290131.388130,ACCEL,4,0.01963,0.12000,0.03402,2035764
2035769,1762290131.388139,ACCEL,4,0.01963,0.12000,0.03402,2035769
2035774,1762290131.388146,ACCEL,4,0.01963,0.12000,0.03402,2035774
2035779,1762290131.388154,ACCEL,5,0.02454,0.12000,0.03409,2035779
2035784,1762290131.388161,ACCEL,5,0.02454,0.12000,0.03409,2035784
2035789,1762290131.388168,ACCEL,5,0.02454,0.12000,0.03409,2035789
2035794,1762290131.388176,ACCEL,5,0.02454,0.12000,0.03409,2035794
2035799,1762290131.388184,ACCEL,5,0.02454,0.12000,0.03409,2035799
2035804,1762290131.388191,ACCEL,5,0.02454,0.12000,0.03409,2035804
2035809,1762290131.388199,ACCEL,5,0.02454,0.12000,0.03409,2035809
2035814,1762290131.388206,ACCEL,5,0.02454,0.12000,0.03409,2035814
2035819,1762290131.388213,ACCEL,6,0.02945,0.12000,0.03415,2035819
2035824,1762290131.388221,ACCEL,6,0.02945,0.12000,0.03415,2035824
2035829,1762290131.388228,ACCEL,6,0.02945,0.12000,0.03415,2035829
2035834,1762290131.388236,ACCEL,6,0.02945,0.12000,0.03415,2035834
2035839,1762290131.388243,ACCEL,6,0.02945,0.12000,0.03415,2035839
2035959,1762290131.648570,ACCEL,9,0.04418,0.12000,0.03436,2035959
2035964,1762290131.648617,ACCEL,9,0.04418,0.12000,0.03436,2035964
2035969,1762290131.650006,ACCEL,9,0.04418,0.12000,0.03436,2035969
2035974,1762290131.650020,ACCEL,9,0.04418,0.12000,0.03436,2035974
2035979,1762290131.650029,ACCEL,9,0.04418,0.12000,0.03436,2035979
