time_ms,time_ts,v4,v5,g4,g5
2035615,1762290131.490378,2.500206,2.559722,0.000103,0.029861
2035615,1762290131.490481,2.500526,2.558442,0.000263,0.029221
2035615,1762290131.490595,2.499886,2.556522,-0.000057,0.028261
2035615,1762290131.490635,2.499886,2.557162,-0.000057,0.028581
2035615,1762290131.490650,2.500206,2.555882,0.000103,0.027941
2035615,1762290131.490679,2.499566,2.556202,-0.000217,0.028101
2035615,1762290131.490716,2.499566,2.554282,-0.000217,0.027141
2035615,1762290131.490772,2.499566,2.555562,-0.000217,0.027781
2035615,1762290131.490800,2.499886,2.554922,-0.000057,0.027461
2035618,1762290131.494188,2.500846,2.554602,0.000423,0.027301
2035630,1762290131.505601,2.499566,2.555242,-0.000217,0.027621
2035630,1762290131.505630,2.499886,2.554282,-0.000057,0.027141
2035630,1762290131.505636,2.499886,2.553642,-0.000057,0.026821
2035630,1762290131.505642,2.499886,2.553642,-0.000057,0.026821
2035630,1762290131.505648,2.499566,2.554922,-0.000217,0.027461
2035630,1762290131.505653,2.499566,2.554922,-0.000217,0.027461
2035630,1762290131.505658,2.500846,2.553962,0.000423,0.026981
2035630,1762290131.505668,2.500846,2.554602,0.000423,0.027301
2035630,1762290131.505673,2.501166,2.554922,0.000583,0.027461
2035630,1762290131.505677,2.499886,2.554922,-0.000057,0.027461
2035646,1762290131.521691,2.499886,2.555562,-0.000057,0.027781
2035646,1762290131.521724,2.501166,2.555562,0.000583,0.027781
2035646,1762290131.521729,2.501166,2.556202,0.000583,0.028101
2035646,1762290131.521733,2.500526,2.557162,0.000263,0.028581
2035646,1762290131.521737,2.502126,2.557162,0.001063,0.028581
2035646,1762290131.521741,2.501486,2.558442,0.000743,0.029221
2035646,1762290131.521745,2.501806,2.557162,0.000903,0.028581
2035646,1762290131.521749,2.502126,2.559402,0.001063,0.029701
2035646,1762290131.521753,2.501486,2.560042,0.000743,0.030021
2035646,1762290131.521756,2.501486,2.560362,0.000743,0.030181
2035661,1762290131.537088,2.502126,2.561322,0.001063,0.030661
2035663,1762290131.538408,2.502126,2.561642,0.001063,0.030821
2035663,1762290131.538436,2.502126,2.563241,0.001063,0.031621
2035663,1762290131.538447,2.502126,2.565161,0.001063,0.032581
2035663,1762290131.538452,2.501806,2.564841,0.000903,0.032421
2035663,1762290131.538457,2.501486,2.566761,0.000743,0.033381
2035663,1762290131.538462,2.501486,2.566441,0.000743,0.033221
2035663,1762290131.538475,2.502446,2.569321,0.001223,0.034661
2035663,1762290131.538479,2.501806,2.569641,0.000903,0.034820
2035663,1762290131.538483,2.500846,2.571241,0.000423,0.035620
2035679,1762290131.554681,2.502126,2.570921,0.001063,0.035460
2035679,1762290131.554711,2.503406,2.572841,0.001703,0.036420
2035679,1762290131.554718,2.502446,2.574121,0.001223,0.037060
2035679,1762290131.554723,2.502446,2.575721,0.001223,0.037860
2035679,1762290131.554729,2.502446,2.578280,0.001223,0.039140
2035679,1762290131.554734,2.502446,2.577960,0.001223,0.038980
