time_ms,time_ts,v4,v5,g4,g5
69360,1762290568.653455,2.501806,2.515245,0.000903,0.007622
69360,1762290568.653515,2.500846,2.515565,0.000423,0.007782
69360,1762290568.653533,2.500846,2.515885,0.000423,0.007942
69360,1762290568.653546,2.501166,2.515565,0.000583,0.007782
69360,1762290568.653573,2.500526,2.514925,0.000263,0.007462
69360,1762290568.653588,2.500206,2.515245,0.000103,0.007622
69360,1762290568.653600,2.500526,2.514605,0.000263,0.007302
69360,1762290568.653611,2.499566,2.514605,-0.000217,0.007302
69360,1762290568.653623,2.498286,2.514285,-0.000857,0.007142
69360,1762290568.653638,2.499566,2.513965,-0.000217,0.006983
69375,1762290568.668902,2.499246,2.513005,-0.000377,0.006503
69375,1762290568.668972,2.499566,2.513005,-0.000217,0.006503
69375,1762290568.668989,2.498606,2.511405,-0.000697,0.005703
69376,1762290568.669513,2.499566,2.513325,-0.000217,0.006663
69376,1762290568.669955,2.499566,2.513965,-0.000217,0.006983
69376,1762290568.669983,2.498286,2.513965,-0.000857,0.006983
69376,1762290568.670006,2.498926,2.510765,-0.000537,0.005383
69377,1762290568.670021,2.498286,2.512685,-0.000857,0.006343
69377,1762290568.670028,2.499246,2.512685,-0.000377,0.006343
69377,1762290568.670034,2.498606,2.511725,-0.000697,0.005863
69392,1762290568.686013,2.499566,2.513325,-0.000217,0.006663
69393,1762290568.686053,2.499246,2.513005,-0.000377,0.006503
69393,1762290568.686061,2.498606,2.513005,-0.000697,0.006503
69393,1762290568.686066,2.499246,2.514285,-0.000377,0.007142
69393,1762290568.686071,2.499566,2.512365,-0.000217,0.006183
69393,1762290568.686076,2.499246,2.512365,-0.000377,0.006183
69394,1762290568.687133,2.500206,2.512045,0.000103,0.006023
69394,1762290568.687574,2.499246,2.513005,-0.000377,0.006503
69394,1762290568.687613,2.499886,2.511725,-0.000057,0.005863
69394,1762290568.687620,2.499886,2.511725,-0.000057,0.005863
69407,1762290568.700076,2.500206,2.512365,0.000103,0.006183
69407,1762290568.700101,2.500206,2.513005,0.000103,0.006503
69407,1762290568.700150,2.499566,2.512685,-0.000217,0.006343
69407,1762290568.700158,2.499246,2.512365,-0.000377,0.006183
69407,1762290568.700163,2.500206,2.512365,0.000103,0.006183
69407,1762290568.700168,2.499566,2.512045,-0.000217,0.006023
69407,1762290568.700174,2.500206,2.512045,0.000103,0.006023
69407,1762290568.700179,2.501166,2.512685,0.000583,0.006343
69407,1762290568.700189,2.500206,2.511405,0.000103,0.005703
69407,1762290568.700194,2.499886,2.512365,-0.000057,0.006183
69423,1762290568.716899,2.499566,2.512365,-0.000217,0.006183
69423,1762290568.716942,2.499886,2.511085,-0.000057,0.005543
69423,1762290568.716978,2.500526,2.512685,0.000263,0.006343
69423,1762290568.716985,2.501486,2.512045,0.000743,0.006023
69423,1762290568.716990,2.500206,2.512365,0.000103,0.006183
69423,1762290568.716997,2.500846,2.512045,0.000423,0.006023
69423,1762290568.717002,2.500206,2.511725,0.000103,0.005863
69423,1762290568.717015,2.500526,2.510765,0.000263,0.005383
69424,1762290568.717021,2.501166,2.511085,0.000583,0.005543
69424,1762290568.717027,2.501806,2.512365,0.000903,0.006183
69428,1762290568.721573,2.501166,2.511405,0.000583,0.005703
69428,1762290568.721603,2.501166,2.513005,0.000583,0.006503
69428,1762290568.721629,2.501486,2.512045,0.000743,0.006023
69428,1762290568.721637,2.502446,2.512045,0.001223,0.006023
69428,1762290568.721642,2.501806,2.511725,0.000903,0.005863
69428,1762290568.721648,2.502126,2.512365,0.001063,0.006183
69428,1762290568.721653,2.503086,2.512365,0.001543,0.006183
69428,1762290568.721658,2.502766,2.512685,0.001383,0.006343
69428,1762290568.721664,2.503406,2.512045,0.001703,0.006023
69429,1762290568.722072,2.503086,2.512365,0.001543,0.006183
69441,1762290568.734211,2.503726,2.513325,0.001863,0.006663
69441,1762290568.734802,2.504686,2.512365,0.002343,0.006183
69441,1762290568.734812,2.504366,2.512365,0.002183,0.006183
69441,1762290568.734817,2.503726,2.512685,0.001863,0.006343
69441,1762290568.734823,2.505006,2.512365,0.002503,0.006183
69441,1762290568.734830,2.505326,2.512045,0.002663,0.006023
69441,1762290568.734853,2.505326,2.511725,0.002663,0.005863
69441,1762290568.734858,2.506286,2.511725,0.003143,0.005863
69441,1762290568.734913,2.506286,2.513005,0.003143,0.006503
69441,1762290568.734921,2.505646,2.512365,0.002823,0.006183
69442,1762290568.735487,2.506286,2.512365,0.003143,0.006183
69442,1762290568.735503,2.505326,2.512045,0.002663,0.006023
69442,1762290568.735510,2.506606,2.512365,0.003303,0.006183
69442,1762290568.735515,2.505966,2.511725,0.002983,0.005863
69442,1762290568.735524,2.506286,2.514285,0.003143,0.007142
69442,1762290568.735529,2.507246,2.512685,0.003623,0.006343
69442,1762290568.735534,2.506606,2.512365,0.003303,0.006183
69442,1762290568.735542,2.506606,2.512685,0.003303,0.006343
69442,1762290568.735547,2.506286,2.513005,0.003143,0.006503
69442,1762290568.735552,2.506926,2.511085,0.003463,0.005543
69454,1762290568.747500,2.508205,2.512045,0.004103,0.006023
69454,1762290568.747561,2.507565,2.512045,0.003783,0.006023
69454,1762290568.747608,2.507885,2.512685,0.003943,0.006343
69454,1762290568.747631,2.507246,2.512365,0.003623,0.006183
69454,1762290568.747638,2.507565,2.512365,0.003783,0.006183
69454,1762290568.747675,2.507885,2.512045,0.003943,0.006023
69454,1762290568.747685,2.507885,2.512045,0.003943,0.006023
69454,1762290568.747692,2.508845,2.511725,0.004423,0.005863
69454,1762290568.747699,2.508845,2.512685,0.004423,0.006343
69454,1762290568.747705,2.508525,2.512365,0.004263,0.006183
69469,1762290568.762938,2.508845,2.513325,0.004423,0.006663
69469,1762290568.762986,2.507565,2.513965,0.003783,0.006983
69469,1762290568.762998,2.509165,2.513005,0.004583,0.006503
69469,1762290568.763012,2.509485,2.513005,0.004743,0.006503
69470,1762290568.763022,2.509485,2.513325,0.004743,0.006663
69470,1762290568.763033,2.508205,2.512685,0.004103,0.006343
69470,1762290568.763043,2.509165,2.513965,0.004583,0.006983
69470,1762290568.763053,2.508525,2.513645,0.004263,0.006823
69470,1762290568.763063,2.509165,2.513645,0.004583,0.006823
69470,1762290568.763093,2.508845,2.514285,0.004423,0.007142
69487,1762290568.780092,2.509485,2.514285,0.004743,0.007142
69487,1762290568.780149,2.508845,2.514605,0.004423,0.007302
69487,1762290568.780159,2.509165,2.515565,0.004583,0.007782
69487,1762290568.780182,2.508525,2.514925,0.004263,0.007462
69487,1762290568.780648,2.508525,2.514285,0.004263,0.007142
69487,1762290568.780658,2.508525,2.515565,0.004263,0.007782
69487,1762290568.780666,2.509165,2.515565,0.004583,0.007782
69487,1762290568.780673,2.509165,2.516525,0.004583,0.008262
69487,1762290568.780680,2.507565,2.516525,0.003783,0.008262
69488,1762290568.781107,2.508205,2.516205,0.004103,0.008102
69491,1762290568.784630,2.507885,2.516525,0.003943,0.008262
69491,1762290568.784646,2.508205,2.516525,0.004103,0.008262
69491,1762290568.784654,2.508525,2.517805,0.004263,0.008902
69491,1762290568.784660,2.507246,2.517485,0.003623,0.008742
69491,1762290568.784668,2.507565,2.518125,0.003783,0.009062
69491,1762290568.784674,2.507246,2.518125,0.003623,0.009062
69491,1762290568.784682,2.506926,2.516845,0.003463,0.008422
69491,1762290568.784689,2.506926,2.517485,0.003463,0.008742
69491,1762290568.784695,2.506286,2.517805,0.003143,0.008902
69491,1762290568.784726,2.507246,2.518765,0.003623,0.009382
69501,1762290568.794656,2.505646,2.517485,0.002823,0.008742
69501,1762290568.794705,2.506926,2.518765,0.003463,0.009382
69501,1762290568.794712,2.505006,2.518445,0.002503,0.009222
69501,1762290568.794718,2.505646,2.518445,0.002823,0.009222
69501,1762290568.794723,2.504686,2.519085,0.002343,0.009542
69501,1762290568.794729,2.505006,2.518125,0.002503,0.009062
69501,1762290568.794734,2.505326,2.518445,0.002663,0.009222
69501,1762290568.794741,2.504686,2.518765,0.002343,0.009382
69501,1762290568.794746,2.506286,2.518445,0.003143,0.009222
69501,1762290568.794754,2.504046,2.519085,0.002023,0.009542
69503,1762290568.796283,2.503406,2.519085,0.001703,0.009542
69503,1762290568.796375,2.504046,2.518445,0.002023,0.009222
69503,1762290568.796416,2.503406,2.518445,0.001703,0.009222
69503,1762290568.796431,2.504046,2.518765,0.002023,0.009382
69503,1762290568.796448,2.503406,2.519085,0.001703,0.009542
69503,1762290568.796455,2.503086,2.518445,0.001543,0.009222
69503,1762290568.796497,2.503726,2.518445,0.001863,0.009222
69503,1762290568.796516,2.503406,2.518765,0.001703,0.009382
69503,1762290568.796522,2.502766,2.518445,0.001383,0.009222
69503,1762290568.796528,2.501806,2.518125,0.000903,0.009062
69517,1762290568.810729,2.502766,2.518125,0.001383,0.009062
69517,1762290568.810786,2.502126,2.519405,0.001063,0.009702
69517,1762290568.810794,2.501166,2.519725,0.000583,0.009862
69517,1762290568.810799,2.502126,2.517165,0.001063,0.008582
69517,1762290568.810812,2.501486,2.517165,0.000743,0.008582
69517,1762290568.810817,2.500846,2.519085,0.000423,0.009542
69517,1762290568.810837,2.500846,2.518445,0.000423,0.009222
69517,1762290568.810852,2.501806,2.517805,0.000903,0.008902
69517,1762290568.810879,2.501486,2.519085,0.000743,0.009542
69517,1762290568.810888,2.500206,2.519725,0.000103,0.009862
69533,1762290568.826204,2.501166,2.518445,0.000583,0.009222
69533,1762290568.826222,2.500206,2.518765,0.000103,0.009382
69533,1762290568.826227,2.500526,2.517485,0.000263,0.008742
69533,1762290568.826231,2.501486,2.517485,0.000743,0.008742
69533,1762290568.826235,2.500526,2.518125,0.000263,0.009062
69533,1762290568.826238,2.500206,2.518125,0.000103,0.009062
69533,1762290568.826241,2.500526,2.517805,0.000263,0.008902
69533,1762290568.826245,2.500526,2.516845,0.000263,0.008422
69533,1762290568.826248,2.500846,2.516525,0.000423,0.008262
69533,1762290568.826252,2.500846,2.518445,0.000423,0.009222
69533,1762290568.826370,2.500206,2.516525,0.000103,0.008262
69533,1762290568.826376,2.500206,2.515565,0.000103,0.007782
69533,1762290568.826380,2.501486,2.516525,0.000743,0.008262
69533,1762290568.826384,2.501806,2.516845,0.000903,0.008422
69533,1762290568.826387,2.500846,2.516205,0.000423,0.008102
69533,1762290568.826391,2.500846,2.515885,0.000423,0.007942
69533,1762290568.826394,2.501806,2.515245,0.000903,0.007622
69533,1762290568.826401,2.501166,2.515245,0.000583,0.007622
69533,1762290568.826404,2.502126,2.515565,0.001063,0.007782
69533,1762290568.826408,2.502446,2.514605,0.001223,0.007302
69548,1762290568.841894,2.502446,2.515245,0.001223,0.007622
69548,1762290568.841960,2.502126,2.514925,0.001063,0.007462
69548,1762290568.841980,2.501806,2.513965,0.000903,0.006983
