time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
56480,1762290287.090285,ACCEL,0,0.00000,0.12000,0.13498,56480
56485,1762290287.192587,ACCEL,0,0.00000,0.12000,0.13498,56485
56490,1762290287.192608,ACCEL,1,0.00491,0.12000,0.13525,56490
56495,1762290287.192620,ACCEL,1,0.00491,0.12000,0.13525,56495
56500,1762290287.192629,ACCEL,1,0.00491,0.12000,0.13525,56500
56505,1762290287.192638,ACCEL,1,0.00491,0.12000,0.13525,56505
56510,1762290287.192645,ACCEL,1,0.00491,0.12000,0.13525,56510
56515,1762290287.192653,ACCEL,1,0.00491,0.12000,0.13525,56515
56520,1762290287.192661,ACCEL,1,0.00491,0.12000,0.13525,56520
56525,1762290287.192669,ACCEL,1,0.00491,0.12000,0.13525,56525
56530,1762290287.192676,ACCEL,2,0.00982,0.12000,0.13552,56530
56535,1762290287.193373,ACCEL,2,0.00982,0.12000,0.13552,56535
56540,1762290287.193390,ACCEL,2,0.00982,0.12000,0.13552,56540
56545,1762290287.193400,ACCEL,2,0.00982,0.12000,0.13552,56545
56550,1762290287.193408,ACCEL,2,0.00982,0.12000,0.13552,56550
56555,1762290287.193416,ACCEL,2,0.00982,0.12000,0.13552,56555
56560,1762290287.193423,ACCEL,2,0.00982,0.12000,0.13552,56560
56565,1762290287.193435,ACCEL,2,0.00982,0.12000,0.13552,56565
56570,1762290287.193443,ACCEL,3,0.01473,0.12000,0.13580,56570
56575,1762290287.193451,ACCEL,3,0.01473,0.12000,0.13580,56575
56580,1762290287.193458,ACCEL,3,0.01473,0.12000,0.13580,56580
56585,1762290287.193465,ACCEL,3,0.01473,0.12000,0.13580,56585
56590,1762290287.193473,ACCEL,3,0.01473,0.12000,0.13580,56590
56595,1762290287.193480,ACCEL,3,0.01473,0.12000,0.13580,56595
56600,1762290287.193487,ACCEL,3,0.01473,0.12000,0.13580,56600
56605,1762290287.193495,ACCEL,3,0.01473,0.12000,0.13580,56605
56610,1762290287.193502,ACCEL,4,0.01963,0.12000,0.13607,56610
56615,1762290287.193510,ACCEL,4,0.01963,0.12000,0.13607,56615
56620,1762290287.193518,ACCEL,4,0.01963,0.12000,0.13607,56620
56625,1762290287.193525,ACCEL,4,0.01963,0.12000,0.13607,56625
56630,1762290287.193532,ACCEL,4,0.01963,0.12000,0.13607,56630
56635,1762290287.193539,ACCEL,4,0.01963,0.12000,0.13607,56635
56640,1762290287.193546,ACCEL,4,0.01963,0.12000,0.13607,56640
56645,1762290287.193557,ACCEL,4,0.01963,0.12000,0.13607,56645
56650,1762290287.193564,ACCEL,4,0.01963,0.12000,0.13607,56650
56655,1762290287.193570,ACCEL,5,0.02454,0.12000,0.13634,56655
56660,1762290287.193578,ACCEL,5,0.02454,0.12000,0.13634,56660
56665,1762290287.193585,ACCEL,5,0.02454,0.12000,0.13634,56665
56670,1762290287.193592,ACCEL,5,0.02454,0.12000,0.13634,56670
56675,1762290287.193599,ACCEL,5,0.02454,0.12000,0.13634,56675
56680,1762290287.193607,ACCEL,5,0.02454,0.12000,0.13634,56680
56685,1762290287.193614,ACCEL,5,0.02454,0.12000,0.13634,56685
56690,1762290287.193622,ACCEL,5,0.02454,0.12000,0.13634,56690
56695,1762290287.193630,ACCEL,6,0.02945,0.12000,0.13661,56695
56700,1762290287.193637,ACCEL,6,0.02945,0.12000,0.13661,56700
56705,1762290287.193644,ACCEL,6,0.02945,0.12000,0.13661,56705
56710,1762290287.193650,ACCEL,6,0.02945,0.12000,0.13661,56710
56715,1762290287.193658,ACCEL,6,0.02945,0.12000,0.13661,56715
56720,1762290287.193664,ACCEL,6,0.02945,0.12000,0.13661,56720
56725,1762290287.193671,ACCEL,6,0.02945,0.12000,0.13661,56725
56850,1762290287.452147,ACCEL,9,0.04418,0.12000,0.13743,56850
56855,1762290287.452173,ACCEL,9,0.04418,0.12000,0.13743,56855
56860,1762290287.452183,ACCEL,10,0.04909,0.12000,0.13770,56860
56865,1762290287.452192,ACCEL,10,0.04909,0.12000,0.13770,56865
56870,1762290287.452199,ACCEL,10,0.04909,0.12000,0.13770,56870
56875,1762290287.452207,ACCEL,10,0.04909,0.12000,0.13770,56875
56880,1762290287.452213,ACCEL,10,0.04909,0.12000,0.13770,56880
56885,1762290287.452220,ACCEL,10,0.04909,0.12000,0.13770,56885
56890,1762290287.452227,ACCEL,10,0.04909,0.12000,0.13770,56890
56895,1762290287.452234,ACCEL,10,0.04909,0.12000,0.13770,56895
56900,1762290287.452241,ACCEL,11,0.05400,0.12000,0.13797,56900
56905,1762290287.452248,ACCEL,11,0.05400,0.12000,0.13797,56905
56910,1762290287.452254,ACCEL,11,0.05400,0.12000,0.13797,56910
56915,1762290287.452260,ACCEL,11,0.05400,0.12000,0.13797,56915
56920,1762290287.452266,ACCEL,11,0.05400,0.12000,0.13797,56920
56925,1762290287.452275,ACCEL,11,0.05400,0.12000,0.13797,56925
56930,1762290287.452282,ACCEL,11,0.05400,0.12000,0.13797,56930
56935,1762290287.452288,ACCEL,11,0.05400,0.12000,0.13797,56935
56940,1762290287.452295,ACCEL,12,0.05890,0.12000,0.13825,56940
56945,1762290287.452301,ACCEL,12,0.05890,0.12000,0.13825,56945
56950,1762290287.452307,ACCEL,12,0.05890,0.12000,0.13825,56950
56955,1762290287.452314,ACCEL,12,0.05890,0.12000,0.13825,56955
56960,1762290287.452323,ACCEL,12,0.05890,0.12000,0.13825,56960
56965,1762290287.452329,ACCEL,12,0.05890,0.12000,0.13825,56965
56970,1762290287.452335,ACCEL,12,0.05890,0.12000,0.13825,56970
