time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
791421,1762291291.625880,ACCEL,0,0.00000,0.12000,0.06749,791421
791426,1762291291.728881,ACCEL,0,0.00000,0.12000,0.06749,791426
791431,1762291291.728904,ACCEL,1,0.00491,0.12000,0.06763,791431
791436,1762291291.728916,ACCEL,1,0.00491,0.12000,0.06763,791436
791441,1762291291.728926,ACCEL,1,0.00491,0.12000,0.06763,791441
791446,1762291291.728936,ACCEL,1,0.00491,0.12000,0.06763,791446
791451,1762291291.728944,ACCEL,1,0.00491,0.12000,0.06763,791451
791456,1762291291.728952,ACCEL,1,0.00491,0.12000,0.06763,791456
791462,1762291291.728970,ACCEL,1,0.00491,0.12000,0.06763,791462
791467,1762291291.728978,ACCEL,1,0.00491,0.12000,0.06763,791467
791471,1762291291.728986,ACCEL,2,0.00982,0.12000,0.06776,791471
791476,1762291291.729034,ACCEL,2,0.00982,0.12000,0.06776,791476
791481,1762291291.729063,ACCEL,2,0.00982,0.12000,0.06776,791481
791486,1762291291.729075,ACCEL,2,0.00982,0.12000,0.06776,791486
791491,1762291291.729085,ACCEL,2,0.00982,0.12000,0.06776,791491
791496,1762291291.729093,ACCEL,2,0.00982,0.12000,0.06776,791496
791501,1762291291.729102,ACCEL,2,0.00982,0.12000,0.06776,791501
791506,1762291291.729117,ACCEL,2,0.00982,0.12000,0.06776,791506
791511,1762291291.729127,ACCEL,3,0.01473,0.12000,0.06790,791511
791516,1762291291.729135,ACCEL,3,0.01473,0.12000,0.06790,791516
791522,1762291291.729144,ACCEL,3,0.01473,0.12000,0.06790,791522
791526,1762291291.729152,ACCEL,3,0.01473,0.12000,0.06790,791526
791531,1762291291.729160,ACCEL,3,0.01473,0.12000,0.06790,791531
791536,1762291291.729169,ACCEL,3,0.01473,0.12000,0.06790,791536
791541,1762291291.729177,ACCEL,3,0.01473,0.12000,0.06790,791541
791547,1762291291.729186,ACCEL,3,0.01473,0.12000,0.06790,791547
791551,1762291291.729193,ACCEL,4,0.01963,0.12000,0.06803,791551
791556,1762291291.729202,ACCEL,4,0.01963,0.12000,0.06803,791556
791561,1762291291.729210,ACCEL,4,0.01963,0.12000,0.06803,791561
791567,1762291291.729218,ACCEL,4,0.01963,0.12000,0.06803,791567
791572,1762291291.729226,ACCEL,4,0.01963,0.12000,0.06803,791572
791576,1762291291.729234,ACCEL,4,0.01963,0.12000,0.06803,791576
791581,1762291291.729241,ACCEL,4,0.01963,0.12000,0.06803,791581
791586,1762291291.729251,ACCEL,4,0.01963,0.12000,0.06803,791586
791591,1762291291.729259,ACCEL,4,0.01963,0.12000,0.06803,791591
791596,1762291291.729267,ACCEL,5,0.02454,0.12000,0.06817,791596
791602,1762291291.729275,ACCEL,5,0.02454,0.12000,0.06817,791602
791606,1762291291.729283,ACCEL,5,0.02454,0.12000,0.06817,791606
791611,1762291291.729290,ACCEL,5,0.02454,0.12000,0.06817,791611
791616,1762291291.729298,ACCEL,5,0.02454,0.12000,0.06817,791616
