time_ms,time_ts,v4,v5,g4,g5
845373,1762291345.840421,2.500846,2.550122,0.000423,0.025061
845374,1762291345.841599,2.500846,2.548523,0.000423,0.024261
845374,1762291345.841661,2.501806,2.550122,0.000903,0.025061
845374,1762291345.841683,2.500206,2.550442,0.000103,0.025221
845374,1762291345.841695,2.500526,2.551722,0.000263,0.025861
845374,1762291345.841719,2.501166,2.551722,0.000583,0.025861
845375,1762291345.842173,2.500526,2.553642,0.000263,0.026821
845378,1762291345.845510,2.500206,2.552362,0.000103,0.026181
845378,1762291345.845595,2.501166,2.555562,0.000583,0.027781
845378,1762291345.845622,2.500526,2.557482,0.000263,0.028741
845389,1762291345.856933,2.501166,2.556842,0.000583,0.028421
845389,1762291345.856957,2.501486,2.558442,0.000743,0.029221
845390,1762291345.856963,2.501486,2.557482,0.000743,0.028741
845390,1762291345.856968,2.500846,2.560042,0.000423,0.030021
845390,1762291345.856975,2.501166,2.560362,0.000583,0.030181
845390,1762291345.856981,2.501806,2.561002,0.000903,0.030501
845390,1762291345.856985,2.501806,2.561002,0.000903,0.030501
845390,1762291345.857026,2.502446,2.562601,0.001223,0.031301
845390,1762291345.857033,2.502446,2.565481,0.001223,0.032741
845390,1762291345.857050,2.502126,2.563881,0.001063,0.031941
845406,1762291345.873162,2.502766,2.564841,0.001383,0.032421
845406,1762291345.873217,2.502766,2.565481,0.001383,0.032741
845406,1762291345.873226,2.503406,2.565481,0.001703,0.032741
845406,1762291345.873234,2.503086,2.565801,0.001543,0.032901
845406,1762291345.873241,2.503726,2.566761,0.001863,0.033381
845406,1762291345.873249,2.503086,2.567081,0.001543,0.033541
845406,1762291345.873256,2.502766,2.568361,0.001383,0.034181
845406,1762291345.873265,2.502766,2.568041,0.001383,0.034021
845406,1762291345.873272,2.504046,2.569321,0.002023,0.034661
845406,1762291345.873279,2.503726,2.569001,0.001863,0.034501
845421,1762291345.888415,2.503406,2.569001,0.001703,0.034501
845421,1762291345.888451,2.503726,2.569321,0.001863,0.034661
845421,1762291345.888456,2.503726,2.569641,0.001863,0.034820
845421,1762291345.888465,2.503726,2.568681,0.001863,0.034341
845421,1762291345.888469,2.503726,2.569961,0.001863,0.034980
845421,1762291345.888474,2.504686,2.569001,0.002343,0.034501
845421,1762291345.888478,2.504686,2.569321,0.002343,0.034661
845421,1762291345.888481,2.503726,2.569961,0.001863,0.034980
845421,1762291345.888485,2.504046,2.569321,0.002023,0.034661
845421,1762291345.888489,2.504366,2.568681,0.002183,0.034341
845439,1762291345.906112,2.504686,2.569001,0.002343,0.034501
845443,1762291345.910224,2.505326,2.569961,0.002663,0.034980
845443,1762291345.910305,2.504366,2.569961,0.002183,0.034980
845443,1762291345.910850,2.505006,2.570281,0.002503,0.035140
845443,1762291345.910897,2.504366,2.568041,0.002183,0.034021
845444,1762291345.911225,2.505646,2.568041,0.002823,0.034021
845444,1762291345.911236,2.505646,2.569321,0.002823,0.034661
845444,1762291345.911242,2.504686,2.568681,0.002343,0.034341
845444,1762291345.911269,2.505326,2.567721,0.002663,0.033861
845444,1762291345.911284,2.505006,2.567401,0.002503,0.033701
845444,1762291345.911553,2.506286,2.567401,0.003143,0.033701
845444,1762291345.911581,2.506286,2.566761,0.003143,0.033381
845444,1762291345.911603,2.505326,2.567081,0.002663,0.033541
845444,1762291345.911958,2.506286,2.566121,0.003143,0.033061
845445,1762291345.912000,2.505966,2.566121,0.002983,0.033061
845445,1762291345.912020,2.506286,2.565801,0.003143,0.032901
845445,1762291345.912035,2.507246,2.566121,0.003623,0.033061
845445,1762291345.912072,2.506926,2.564841,0.003463,0.032421
845445,1762291345.912090,2.506286,2.563881,0.003143,0.031941
845445,1762291345.912104,2.506926,2.562921,0.003463,0.031461
845454,1762291345.921775,2.507565,2.563561,0.003783,0.031781
845454,1762291345.921806,2.506926,2.563881,0.003463,0.031941
845454,1762291345.921813,2.507565,2.563241,0.003783,0.031621
845454,1762291345.921841,2.506606,2.561642,0.003303,0.030821
845454,1762291345.921878,2.508205,2.561322,0.004103,0.030661
845454,1762291345.921912,2.506926,2.561002,0.003463,0.030501
845454,1762291345.921920,2.507885,2.559722,0.003943,0.029861
845455,1762291345.921997,2.507885,2.560042,0.003943,0.030021
845455,1762291345.922026,2.508525,2.559082,0.004263,0.029541
845455,1762291345.922036,2.507246,2.560042,0.003623,0.030021
845455,1762291345.922317,2.507246,2.557482,0.003623,0.028741
845455,1762291345.922342,2.506926,2.556522,0.003463,0.028261
845455,1762291345.922385,2.507246,2.556202,0.003623,0.028101
845455,1762291345.922415,2.507246,2.555882,0.003623,0.027941
845455,1762291345.922441,2.508205,2.554922,0.004103,0.027461
845455,1762291345.922452,2.507885,2.554282,0.003943,0.027141
845455,1762291345.922461,2.508205,2.553962,0.004103,0.026981
845455,1762291345.922473,2.507246,2.552362,0.003623,0.026181
845455,1762291345.922521,2.507885,2.553002,0.003943,0.026501
845455,1762291345.922557,2.507565,2.551722,0.003783,0.025861
845470,1762291345.937200,2.507885,2.550762,0.003943,0.025381
845470,1762291345.937253,2.508525,2.550122,0.004263,0.025061
845470,1762291345.937283,2.507246,2.548203,0.003623,0.024101
845470,1762291345.937316,2.507246,2.548842,0.003623,0.024421
845470,1762291345.937359,2.507565,2.548203,0.003783,0.024101
845470,1762291345.937388,2.508205,2.547243,0.004103,0.023621
845470,1762291345.937396,2.508525,2.546283,0.004263,0.023141
845470,1762291345.937406,2.508205,2.546923,0.004103,0.023461
845470,1762291345.937414,2.507885,2.545323,0.003943,0.022661
845470,1762291345.937423,2.508525,2.544683,0.004263,0.022341
845484,1762291345.951648,2.507565,2.545003,0.003783,0.022501
845484,1762291345.951680,2.507565,2.544043,0.003783,0.022021
845484,1762291345.951688,2.507565,2.542763,0.003783,0.021381
845484,1762291345.951696,2.508205,2.541803,0.004103,0.020902
845484,1762291345.951700,2.507885,2.541483,0.003943,0.020742
845484,1762291345.951704,2.508525,2.540843,0.004263,0.020422
845484,1762291345.951708,2.507885,2.541483,0.003943,0.020742
845484,1762291345.951711,2.508525,2.540203,0.004263,0.020102
845484,1762291345.951729,2.508525,2.540523,0.004263,0.020262
845484,1762291345.952288,2.507246,2.539883,0.003623,0.019942
845485,1762291345.952696,2.508205,2.539243,0.004103,0.019622
845485,1762291345.952710,2.508205,2.538923,0.004103,0.019462
845485,1762291345.952718,2.507565,2.538923,0.003783,0.019462
845485,1762291345.952724,2.508205,2.537963,0.004103,0.018982
845485,1762291345.952729,2.508845,2.537963,0.004423,0.018982
845485,1762291345.952734,2.507885,2.537643,0.003943,0.018822
845485,1762291345.952739,2.507885,2.537643,0.003943,0.018822
845485,1762291345.952744,2.507885,2.537643,0.003943,0.018822
845485,1762291345.952748,2.507246,2.537003,0.003623,0.018502
845485,1762291345.952755,2.507246,2.537003,0.003623,0.018502
845499,1762291345.966843,2.507565,2.536683,0.003783,0.018342
845499,1762291345.966877,2.506606,2.537323,0.003303,0.018662
845499,1762291345.966885,2.506606,2.537003,0.003303,0.018502
845499,1762291345.966891,2.506606,2.537323,0.003303,0.018662
845499,1762291345.966896,2.506926,2.537003,0.003463,0.018502
