time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
897500,1762291397.857352,ACCEL,0,0.00000,0.12000,0.06749,897500
897505,1762291397.960230,ACCEL,0,0.00000,0.12000,0.06749,897505
897510,1762291397.960253,ACCEL,1,0.00491,0.12000,0.06763,897510
897515,1762291397.960267,ACCEL,1,0.00491,0.12000,0.06763,897515
897520,1762291397.960276,ACCEL,1,0.00491,0.12000,0.06763,897520
897525,1762291397.960302,ACCEL,1,0.00491,0.12000,0.06763,897525
897530,1762291397.960312,ACCEL,1,0.00491,0.12000,0.06763,897530
897535,1762291397.960321,ACCEL,1,0.00491,0.12000,0.06763,897535
897540,1762291397.960330,ACCEL,1,0.00491,0.12000,0.06763,897540
897545,1762291397.960338,ACCEL,1,0.00491,0.12000,0.06763,897545
897550,1762291397.960346,ACCEL,2,0.00982,0.12000,0.06776,897550
897555,1762291397.960354,ACCEL,2,0.00982,0.12000,0.06776,897555
897560,1762291397.960361,ACCEL,2,0.00982,0.12000,0.06776,897560
897565,1762291397.960369,ACCEL,2,0.00982,0.12000,0.06776,897565
897570,1762291397.960376,ACCEL,2,0.00982,0.12000,0.06776,897570
897575,1762291397.960384,ACCEL,2,0.00982,0.12000,0.06776,897575
897580,1762291397.960392,ACCEL,2,0.00982,0.12000,0.06776,897580
897585,1762291397.960400,ACCEL,2,0.00982,0.12000,0.06776,897585
897590,1762291397.960407,ACCEL,3,0.01473,0.12000,0.06790,897590
897595,1762291397.960414,ACCEL,3,0.01473,0.12000,0.06790,897595
897600,1762291397.960422,ACCEL,3,0.01473,0.12000,0.06790,897600
897605,1762291397.960429,ACCEL,3,0.01473,0.12000,0.06790,897605
897610,1762291397.960439,ACCEL,3,0.01473,0.12000,0.06790,897610
897615,1762291397.960447,ACCEL,3,0.01473,0.12000,0.06790,897615
897620,1762291397.960454,ACCEL,3,0.01473,0.12000,0.06790,897620
897625,1762291397.960462,ACCEL,3,0.01473,0.12000,0.06790,897625
897630,1762291397.960469,ACCEL,4,0.01963,0.12000,0.06803,897630
897635,1762291397.960477,ACCEL,4,0.01963,0.12000,0.06803,897635
897640,1762291397.960484,ACCEL,4,0.01963,0.12000,0.06803,897640
897645,1762291397.960491,ACCEL,4,0.01963,0.12000,0.06803,897645
897650,1762291397.960499,ACCEL,4,0.01963,0.12000,0.06803,897650
897655,1762291397.960507,ACCEL,4,0.01963,0.12000,0.06803,897655
897660,1762291397.960514,ACCEL,4,0.01963,0.12000,0.06803,897660
897665,1762291397.960522,ACCEL,4,0.01963,0.12000,0.06803,897665
897670,1762291397.960530,ACCEL,4,0.01963,0.12000,0.06803,897670
897676,1762291397.960537,ACCEL,5,0.02454,0.12000,0.06817,897676
897680,1762291397.960544,ACCEL,5,0.02454,0.12000,0.06817,897680
897685,1762291397.960551,ACCEL,5,0.02454,0.12000,0.06817,897685
897690,1762291397.960558,ACCEL,5,0.02454,0.12000,0.06817,897690
897695,1762291397.960565,ACCEL,5,0.02454,0.12000,0.06817,897695
897700,1762291397.960573,ACCEL,5,0.02454,0.12000,0.06817,897700
897705,1762291397.960581,ACCEL,5,0.02454,0.12000,0.06817,897705
897710,1762291397.960588,ACCEL,5,0.02454,0.12000,0.06817,897710
897715,1762291397.960595,ACCEL,6,0.02945,0.12000,0.06831,897715
897720,1762291397.960602,ACCEL,6,0.02945,0.12000,0.06831,897720
897725,1762291397.960608,ACCEL,6,0.02945,0.12000,0.06831,897725
897730,1762291397.960615,ACCEL,6,0.02945,0.12000,0.06831,897730
897735,1762291397.960622,ACCEL,6,0.02945,0.12000,0.06831,897735
897860,1762291398.232412,ACCEL,9,0.04418,0.12000,0.06872,897860
897865,1762291398.232436,ACCEL,9,0.04418,0.12000,0.06872,897865
897870,1762291398.235567,ACCEL,9,0.04418,0.12000,0.06872,897870
897876,1762291398.235582,ACCEL,9,0.04418,0.12000,0.06872,897876
897880,1762291398.235593,ACCEL,10,0.04909,0.12000,0.06885,897880
897885,1762291398.235603,ACCEL,10,0.04909,0.12000,0.06885,897885
897890,1762291398.235611,ACCEL,10,0.04909,0.12000,0.06885,897890
897895,1762291398.235619,ACCEL,10,0.04909,0.12000,0.06885,897895
897900,1762291398.235627,ACCEL,10,0.04909,0.12000,0.06885,897900
897905,1762291398.235635,ACCEL,10,0.04909,0.12000,0.06885,897905
897911,1762291398.235643,ACCEL,10,0.04909,0.12000,0.06885,897911
897915,1762291398.235651,ACCEL,10,0.04909,0.12000,0.06885,897915
897920,1762291398.235659,ACCEL,11,0.05400,0.12000,0.06899,897920
897925,1762291398.235667,ACCEL,11,0.05400,0.12000,0.06899,897925
897930,1762291398.235674,ACCEL,11,0.05400,0.12000,0.06899,897930
897935,1762291398.235682,ACCEL,11,0.05400,0.12000,0.06899,897935
897940,1762291398.235689,ACCEL,11,0.05400,0.12000,0.06899,897940
897945,1762291398.235698,ACCEL,11,0.05400,0.12000,0.06899,897945
897950,1762291398.235705,ACCEL,11,0.05400,0.12000,0.06899,897950
897955,1762291398.235713,ACCEL,11,0.05400,0.12000,0.06899,897955
897960,1762291398.235721,ACCEL,12,0.05890,0.12000,0.06912,897960
897965,1762291398.235732,ACCEL,12,0.05890,0.12000,0.06912,897965
897971,1762291398.235739,ACCEL,12,0.05890,0.12000,0.06912,897971
897975,1762291398.235747,ACCEL,12,0.05890,0.12000,0.06912,897975
897980,1762291398.235754,ACCEL,12,0.05890,0.12000,0.06912,897980
897985,1762291398.235762,ACCEL,12,0.05890,0.12000,0.06912,897985
897990,1762291398.235770,ACCEL,12,0.05890,0.12000,0.06912,897990
897995,1762291398.235777,ACCEL,12,0.05890,0.12000,0.06912,897995
898001,1762291398.235785,ACCEL,13,0.06381,0.12000,0.06926,898001
898005,1762291398.235794,ACCEL,13,0.06381,0.12000,0.06926,898005
898010,1762291398.235801,ACCEL,13,0.06381,0.12000,0.06926,898010
898015,1762291398.235809,ACCEL,13,0.06381,0.12000,0.06926,898015
898020,1762291398.235816,ACCEL,13,0.06381,0.12000,0.06926,898020
898025,1762291398.235823,ACCEL,13,0.06381,0.12000,0.06926,898025
898030,1762291398.235831,ACCEL,13,0.06381,0.12000,0.06926,898030
898035,1762291398.235838,ACCEL,13,0.06381,0.12000,0.06926,898035
898040,1762291398.235846,ACCEL,14,0.06872,0.12000,0.06940,898040
898046,1762291398.235853,ACCEL,14,0.06872,0.12000,0.06940,898046
898050,1762291398.235861,ACCEL,14,0.06872,0.12000,0.06940,898050
898055,1762291398.235868,ACCEL,14,0.06872,0.12000,0.06940,898055
898060,1762291398.235875,ACCEL,14,0.06872,0.12000,0.06940,898060
898065,1762291398.235883,ACCEL,14,0.06872,0.12000,0.06940,898065
898070,1762291398.235890,ACCEL,14,0.06872,0.12000,0.06940,898070
898075,1762291398.235898,ACCEL,14,0.06872,0.12000,0.06940,898075
898080,1762291398.235905,ACCEL,15,0.07363,0.12000,0.06953,898080
898086,1762291398.235914,ACCEL,15,0.07363,0.12000,0.06953,898086
898090,1762291398.235922,ACCEL,15,0.07363,0.12000,0.06953,898090
898095,1762291398.235930,ACCEL,15,0.07363,0.12000,0.06953,898095
898100,1762291398.235938,ACCEL,15,0.07363,0.12000,0.06953,898100
898130,1762291398.493248,ACCEL,16,0.07854,0.12000,0.06967,898130
898136,1762291398.493271,ACCEL,16,0.07854,0.12000,0.06967,898136
898140,1762291398.493280,ACCEL,16,0.07854,0.12000,0.06967,898140
898145,1762291398.493355,ACCEL,16,0.07854,0.12000,0.06967,898145
898150,1762291398.493363,ACCEL,16,0.07854,0.12000,0.06967,898150
898155,1762291398.493371,ACCEL,16,0.07854,0.12000,0.06967,898155
898160,1762291398.493378,ACCEL,16,0.07854,0.12000,0.06967,898160
898165,1762291398.493384,ACCEL,17,0.08345,0.12000,0.06980,898165
898170,1762291398.493391,ACCEL,17,0.08345,0.12000,0.06980,898170
898175,1762291398.493397,ACCEL,17,0.08345,0.12000,0.06980,898175
898180,1762291398.493403,ACCEL,17,0.08345,0.12000,0.06980,898180
898185,1762291398.493410,ACCEL,17,0.08345,0.12000,0.06980,898185
898190,1762291398.493420,ACCEL,17,0.08345,0.12000,0.06980,898190
898195,1762291398.493426,ACCEL,17,0.08345,0.12000,0.06980,898195
898200,1762291398.493432,ACCEL,17,0.08345,0.12000,0.06980,898200
898205,1762291398.493439,ACCEL,18,0.08836,0.12000,0.06994,898205
898210,1762291398.493445,ACCEL,18,0.08836,0.12000,0.06994,898210
898215,1762291398.493452,ACCEL,18,0.08836,0.12000,0.06994,898215
898220,1762291398.493458,ACCEL,18,0.08836,0.12000,0.06994,898220
898225,1762291398.493464,ACCEL,18,0.08836,0.12000,0.06994,898225
898230,1762291398.493471,ACCEL,18,0.08836,0.12000,0.06994,898230
898235,1762291398.493477,ACCEL,18,0.08836,0.12000,0.06994,898235
898240,1762291398.493483,ACCEL,18,0.08836,0.12000,0.06994,898240
898245,1762291398.493490,ACCEL,19,0.09327,0.12000,0.07008,898245
898250,1762291398.493496,ACCEL,19,0.09327,0.12000,0.07008,898250
898255,1762291398.493502,ACCEL,19,0.09327,0.12000,0.07008,898255
898260,1762291398.493509,ACCEL,19,0.09327,0.12000,0.07008,898260
898265,1762291398.493515,ACCEL,19,0.09327,0.12000,0.07008,898265
898270,1762291398.493521,ACCEL,19,0.09327,0.12000,0.07008,898270
898275,1762291398.493526,ACCEL,19,0.09327,0.12000,0.07008,898275
898280,1762291398.493532,ACCEL,19,0.09327,0.12000,0.07008,898280
898285,1762291398.493538,ACCEL,20,0.09817,0.12000,0.07021,898285
898290,1762291398.493546,ACCEL,20,0.09817,0.12000,0.07021,898290
898295,1762291398.493552,ACCEL,20,0.09817,0.12000,0.07021,898295
898300,1762291398.493558,ACCEL,20,0.09817,0.12000,0.07021,898300
898305,1762291398.493564,ACCEL,20,0.09817,0.12000,0.07021,898305
898310,1762291398.493570,ACCEL,20,0.09817,0.12000,0.07021,898310
898315,1762291398.493576,ACCEL,20,0.09817,0.12000,0.07021,898315
898320,1762291398.493582,ACCEL,20,0.09817,0.12000,0.07021,898320
898325,1762291398.493588,ACCEL,20,0.09817,0.12000,0.07021,898325
898330,1762291398.493599,ACCEL,21,0.10308,0.12000,0.07035,898330
898335,1762291398.493605,ACCEL,21,0.10308,0.12000,0.07035,898335
898340,1762291398.493610,ACCEL,21,0.10308,0.12000,0.07035,898340
898345,1762291398.493616,ACCEL,21,0.10308,0.12000,0.07035,898345
898350,1762291398.493622,ACCEL,21,0.10308,0.12000,0.07035,898350
898355,1762291398.493628,ACCEL,21,0.10308,0.12000,0.07035,898355
898360,1762291398.493634,ACCEL,21,0.10308,0.12000,0.07035,898360
898365,1762291398.493640,ACCEL,21,0.10308,0.12000,0.07035,898365
898370,1762291398.493646,ACCEL,22,0.10799,0.12000,0.07048,898370
898375,1762291398.493652,ACCEL,22,0.10799,0.12000,0.07048,898375
898390,1762291398.753695,ACCEL,22,0.10799,0.12000,0.07048,898390
898396,1762291398.753722,ACCEL,22,0.10799,0.12000,0.07048,898396
898400,1762291398.753736,ACCEL,22,0.10799,0.12000,0.07048,898400
898405,1762291398.755094,ACCEL,22,0.10799,0.12000,0.07048,898405
898410,1762291398.755140,ACCEL,23,0.11290,0.12000,0.07062,898410
898415,1762291398.755165,ACCEL,23,0.11290,0.12000,0.07062,898415
898420,1762291398.755178,ACCEL,23,0.11290,0.12000,0.07062,898420
898425,1762291398.755189,ACCEL,23,0.11290,0.12000,0.07062,898425
898430,1762291398.755199,ACCEL,23,0.11290,0.12000,0.07062,898430
898435,1762291398.755208,ACCEL,23,0.11290,0.12000,0.07062,898435
898440,1762291398.755218,ACCEL,23,0.11290,0.12000,0.07062,898440
898445,1762291398.755227,ACCEL,23,0.11290,0.12000,0.07062,898445
898450,1762291398.755237,ACCEL,24,0.11781,0.12000,0.07075,898450
898455,1762291398.755246,ACCEL,24,0.11781,0.12000,0.07075,898455
898460,1762291398.755255,ACCEL,24,0.11781,0.12000,0.07075,898460
898465,1762291398.755263,ACCEL,24,0.11781,0.12000,0.07075,898465
898470,1762291398.755272,ACCEL,24,0.11781,0.12000,0.07075,898470
898475,1762291398.755281,ACCEL,24,0.11781,0.12000,0.07075,898475
898480,1762291398.755290,ACCEL,24,0.11781,0.12000,0.07075,898480
898485,1762291398.755298,ACCEL,24,0.11781,0.12000,0.07075,898485
898490,1762291398.755307,ACCEL,25,0.12272,0.12000,0.07089,898490
898495,1762291398.755316,ACCEL,25,0.12272,0.12000,0.07089,898495
898500,1762291398.755325,ACCEL,25,0.12272,0.12000,0.07089,898500
898505,1762291398.755334,ACCEL,25,0.12272,0.12000,0.07089,898505
898510,1762291398.755343,ACCEL,25,0.12272,0.12000,0.07089,898510
898515,1762291398.755352,ACCEL,25,0.12272,0.12000,0.07089,898515
898520,1762291398.755362,ACCEL,25,0.12272,0.12000,0.07089,898520
898525,1762291398.755371,ACCEL,25,0.12272,0.12000,0.07089,898525
898530,1762291398.755380,ACCEL,26,0.12763,0.12000,0.07103,898530
898535,1762291398.755389,ACCEL,26,0.12763,0.12000,0.07103,898535
898540,1762291398.755398,ACCEL,26,0.12763,0.12000,0.07103,898540
898545,1762291398.755407,ACCEL,26,0.12763,0.12000,0.07103,898545
898551,1762291398.755415,ACCEL,26,0.12763,0.12000,0.07103,898551
