time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
599614,1762291099.523517,ACCEL,0,0.00000,0.12000,0.06749,599614
599619,1762291099.625298,ACCEL,0,0.00000,0.12000,0.06749,599619
599624,1762291099.625332,ACCEL,1,0.00491,0.12000,0.06763,599624
599629,1762291099.625345,ACCEL,1,0.00491,0.12000,0.06763,599629
599634,1762291099.625355,ACCEL,1,0.00491,0.12000,0.06763,599634
599639,1762291099.625365,ACCEL,1,0.00491,0.12000,0.06763,599639
599644,1762291099.625372,ACCEL,1,0.00491,0.12000,0.06763,599644
599649,1762291099.625381,ACCEL,1,0.00491,0.12000,0.06763,599649
599654,1762291099.625389,ACCEL,1,0.00491,0.12000,0.06763,599654
599659,1762291099.625397,ACCEL,1,0.00491,0.12000,0.06763,599659
599664,1762291099.626048,ACCEL,2,0.00982,0.12000,0.06776,599664
599669,1762291099.626071,ACCEL,2,0.00982,0.12000,0.06776,599669
599674,1762291099.626083,ACCEL,2,0.00982,0.12000,0.06776,599674
599679,1762291099.626093,ACCEL,2,0.00982,0.12000,0.06776,599679
599684,1762291099.626101,ACCEL,2,0.00982,0.12000,0.06776,599684
599689,1762291099.626109,ACCEL,2,0.00982,0.12000,0.06776,599689
599694,1762291099.626117,ACCEL,2,0.00982,0.12000,0.06776,599694
599699,1762291099.626125,ACCEL,2,0.00982,0.12000,0.06776,599699
599705,1762291099.626133,ACCEL,3,0.01473,0.12000,0.06790,599705
599709,1762291099.626141,ACCEL,3,0.01473,0.12000,0.06790,599709
599714,1762291099.626148,ACCEL,3,0.01473,0.12000,0.06790,599714
599719,1762291099.626156,ACCEL,3,0.01473,0.12000,0.06790,599719
599724,1762291099.626168,ACCEL,3,0.01473,0.12000,0.06790,599724
599730,1762291099.626175,ACCEL,3,0.01473,0.12000,0.06790,599730
599734,1762291099.626183,ACCEL,3,0.01473,0.12000,0.06790,599734
599739,1762291099.626191,ACCEL,3,0.01473,0.12000,0.06790,599739
599745,1762291099.626199,ACCEL,4,0.01963,0.12000,0.06803,599745
599750,1762291099.626206,ACCEL,4,0.01963,0.12000,0.06803,599750
599754,1762291099.626214,ACCEL,4,0.01963,0.12000,0.06803,599754
599759,1762291099.626221,ACCEL,4,0.01963,0.12000,0.06803,599759
599764,1762291099.626229,ACCEL,4,0.01963,0.12000,0.06803,599764
599769,1762291099.626236,ACCEL,4,0.01963,0.12000,0.06803,599769
599774,1762291099.626243,ACCEL,4,0.01963,0.12000,0.06803,599774
599779,1762291099.626252,ACCEL,4,0.01963,0.12000,0.06803,599779
599784,1762291099.626259,ACCEL,4,0.01963,0.12000,0.06803,599784
599789,1762291099.626267,ACCEL,5,0.02454,0.12000,0.06817,599789
599794,1762291099.626274,ACCEL,5,0.02454,0.12000,0.06817,599794
599799,1762291099.626284,ACCEL,5,0.02454,0.12000,0.06817,599799
599804,1762291099.626293,ACCEL,5,0.02454,0.12000,0.06817,599804
599810,1762291099.626300,ACCEL,5,0.02454,0.12000,0.06817,599810
599814,1762291099.626307,ACCEL,5,0.02454,0.12000,0.06817,599814
599819,1762291099.626316,ACCEL,5,0.02454,0.12000,0.06817,599819
599824,1762291099.626323,ACCEL,5,0.02454,0.12000,0.06817,599824
599829,1762291099.626330,ACCEL,6,0.02945,0.12000,0.06831,599829
599834,1762291099.626361,ACCEL,6,0.02945,0.12000,0.06831,599834
599839,1762291099.626384,ACCEL,6,0.02945,0.12000,0.06831,599839
599844,1762291099.626422,ACCEL,6,0.02945,0.12000,0.06831,599844
599849,1762291099.626434,ACCEL,6,0.02945,0.12000,0.06831,599849
