time_ms,time_ts,v4,v5,g4,g5
653800,1762291153.980565,2.502766,2.509485,0.001383,0.004743
653800,1762291153.980625,2.503406,2.509805,0.001703,0.004903
653800,1762291153.980643,2.502766,2.511405,0.001383,0.005703
653800,1762291153.980686,2.502446,2.510765,0.001223,0.005383
653801,1762291153.981003,2.502766,2.511405,0.001383,0.005703
653801,1762291153.981025,2.503086,2.510445,0.001543,0.005223
653802,1762291153.982027,2.502766,2.511725,0.001383,0.005863
653802,1762291153.982078,2.502446,2.511725,0.001223,0.005863
653802,1762291153.982096,2.502766,2.511085,0.001383,0.005543
653802,1762291153.982142,2.502766,2.512365,0.001383,0.006183
653816,1762291153.996414,2.502446,2.512365,0.001223,0.006183
653816,1762291153.996459,2.501806,2.511725,0.000903,0.005863
653816,1762291153.996469,2.502126,2.512365,0.001063,0.006183
653816,1762291153.996477,2.502126,2.513325,0.001063,0.006663
653816,1762291153.996485,2.502446,2.513005,0.001223,0.006503
653816,1762291153.996493,2.501806,2.513005,0.000903,0.006503
653816,1762291153.996502,2.502126,2.513325,0.001063,0.006663
653816,1762291153.996512,2.502766,2.514285,0.001383,0.007142
653816,1762291153.996521,2.502446,2.514285,0.001223,0.007142
653816,1762291153.996529,2.503086,2.514285,0.001543,0.007142
653832,1762291154.012415,2.502766,2.515885,0.001383,0.007942
653834,1762291154.013781,2.501806,2.515885,0.000903,0.007942
653834,1762291154.013817,2.502126,2.517485,0.001063,0.008742
653834,1762291154.013824,2.502126,2.516525,0.001063,0.008262
653834,1762291154.013828,2.503086,2.517485,0.001543,0.008742
653834,1762291154.013833,2.501806,2.516525,0.000903,0.008262
653834,1762291154.014282,2.501806,2.518445,0.000903,0.009222
653834,1762291154.014290,2.502766,2.516845,0.001383,0.008422
653836,1762291154.015995,2.503086,2.518445,0.001543,0.009222
653836,1762291154.016019,2.502126,2.519085,0.001063,0.009542
653848,1762291154.028738,2.502446,2.519085,0.001223,0.009542
653849,1762291154.028767,2.502126,2.518445,0.001063,0.009222
653849,1762291154.028774,2.502766,2.519405,0.001383,0.009702
653849,1762291154.028784,2.502766,2.520365,0.001383,0.010182
653849,1762291154.028790,2.501486,2.520365,0.000743,0.010182
653849,1762291154.028795,2.502446,2.520045,0.001223,0.010022
653849,1762291154.028801,2.502446,2.516845,0.001223,0.008422
653849,1762291154.028806,2.502446,2.513325,0.001223,0.006663
653849,1762291154.028812,2.502126,2.517165,0.001063,0.008582
653849,1762291154.028817,2.502446,2.533164,0.001223,0.016582
653849,1762291154.029071,2.502446,2.522924,0.001223,0.011462
653849,1762291154.029083,2.501806,2.517165,0.000903,0.008582
653849,1762291154.029090,2.501166,2.518765,0.000583,0.009382
653849,1762291154.029095,2.502126,2.523244,0.001063,0.011622
653849,1762291154.029100,2.502446,2.532204,0.001223,0.016102
653849,1762291154.029106,2.502446,2.513965,0.001223,0.006983
653849,1762291154.029111,2.502446,2.503086,0.001223,0.001543
653849,1762291154.029116,2.501806,2.511405,0.000903,0.005703
653849,1762291154.029120,2.502766,2.521964,0.001383,0.010982
653849,1762291154.029128,2.502446,2.525804,0.001223,0.012902
653864,1762291154.044576,2.502446,2.522924,0.001223,0.011462
653864,1762291154.044649,2.503406,2.511725,0.001703,0.005863
653864,1762291154.044659,2.504046,2.536683,0.002023,0.018342
653864,1762291154.044667,2.503086,2.524524,0.001543,0.012262
653864,1762291154.044674,2.503406,2.521644,0.001703,0.010822
653864,1762291154.044681,2.504046,2.523564,0.002023,0.011782
653864,1762291154.044687,2.504046,2.541483,0.002023,0.020742
653864,1762291154.044693,2.504046,2.530604,0.002023,0.015302
653865,1762291154.044781,2.503726,2.518765,0.001863,0.009382
653865,1762291154.044809,2.503406,2.522284,0.001703,0.011142
653880,1762291154.060432,2.504686,2.528364,0.002343,0.014182
653880,1762291154.060472,2.503406,2.528044,0.001703,0.014022
653880,1762291154.060484,2.504366,2.514285,0.002183,0.007142
653880,1762291154.060493,2.504686,2.531564,0.002343,0.015782
653880,1762291154.060503,2.504366,2.525804,0.002183,0.012902
653880,1762291154.060515,2.505006,2.523564,0.002503,0.011782
653880,1762291154.060526,2.504366,2.525164,0.002183,0.012582
653880,1762291154.060604,2.505006,2.526444,0.002503,0.013222
653880,1762291154.060619,2.505006,2.531564,0.002503,0.015782
653880,1762291154.060630,2.505326,2.533164,0.002663,0.016582
653881,1762291154.060899,2.505966,2.537003,0.002983,0.018502
653881,1762291154.060917,2.505006,2.528364,0.002503,0.014182
653881,1762291154.060927,2.505006,2.531884,0.002503,0.015942
653881,1762291154.060936,2.505646,2.531244,0.002823,0.015622
653881,1762291154.060944,2.506286,2.530924,0.003143,0.015462
653881,1762291154.060953,2.505006,2.532204,0.002503,0.016102
653881,1762291154.060961,2.504686,2.530284,0.002343,0.015142
653881,1762291154.060973,2.505326,2.520045,0.002663,0.010022
653881,1762291154.060981,2.505646,2.532524,0.002823,0.016262
653881,1762291154.060989,2.505966,2.548203,0.002983,0.024101
653898,1762291154.078008,2.505326,2.533484,0.002663,0.016742
653898,1762291154.078094,2.505646,2.535083,0.002823,0.017542
653898,1762291154.078135,2.506286,2.534764,0.003143,0.017382
653898,1762291154.078144,2.506286,2.533804,0.003143,0.016902
653898,1762291154.078176,2.506606,2.535723,0.003303,0.017862
653902,1762291154.082385,2.506606,2.535723,0.003303,0.017862
653902,1762291154.082408,2.506286,2.531564,0.003143,0.015782
653902,1762291154.082460,2.505646,2.533484,0.002823,0.016742
653902,1762291154.082468,2.505966,2.535403,0.002983,0.017702
653902,1762291154.082474,2.506606,2.532844,0.003303,0.016422
653911,1762291154.091523,2.506606,2.534444,0.003303,0.017222
653911,1762291154.091583,2.506606,2.531244,0.003303,0.015622
653911,1762291154.091599,2.506286,2.532524,0.003143,0.016262
653911,1762291154.091619,2.505646,2.533484,0.002823,0.016742
653911,1762291154.091641,2.505326,2.534444,0.002663,0.017222
653911,1762291154.091655,2.506286,2.530604,0.003143,0.015302
653911,1762291154.091669,2.507885,2.523564,0.003943,0.011782
653912,1762291154.091974,2.507565,2.538923,0.003783,0.019462
653912,1762291154.091992,2.507246,2.535083,0.003623,0.017542
653912,1762291154.092062,2.507565,2.543403,0.003783,0.021701
653912,1762291154.092758,2.507246,2.529964,0.003623,0.014982
653913,1762291154.093134,2.506606,2.537643,0.003303,0.018822
653913,1762291154.093178,2.506926,2.532204,0.003463,0.016102
653913,1762291154.093210,2.506926,2.539243,0.003463,0.019622
653913,1762291154.093253,2.506606,2.534444,0.003303,0.017222
653913,1762291154.093266,2.506926,2.534444,0.003463,0.017222
653913,1762291154.093278,2.506926,2.532844,0.003463,0.016422
653913,1762291154.093289,2.506286,2.537003,0.003143,0.018502
653913,1762291154.093301,2.506606,2.536683,0.003303,0.018342
653913,1762291154.093314,2.507246,2.535403,0.003623,0.017702
653914,1762291154.094684,2.506606,2.537003,0.003303,0.018502
653914,1762291154.094732,2.506926,2.535723,0.003463,0.017862
653914,1762291154.094746,2.506286,2.537003,0.003143,0.018502
653914,1762291154.094752,2.506606,2.538603,0.003303,0.019302
653914,1762291154.094758,2.506926,2.540843,0.003463,0.020422
653915,1762291154.094765,2.505646,2.537963,0.002823,0.018982
653915,1762291154.094863,2.507246,2.537323,0.003623,0.018662
653915,1762291154.094881,2.506286,2.539883,0.003143,0.019942
653915,1762291154.094887,2.507565,2.536683,0.003783,0.018342
653915,1762291154.094892,2.507246,2.537643,0.003623,0.018822
653927,1762291154.107503,2.507565,2.541483,0.003783,0.020742
653928,1762291154.107995,2.507885,2.538283,0.003943,0.019142
653928,1762291154.108001,2.506926,2.540203,0.003463,0.020102
653928,1762291154.108014,2.507885,2.538923,0.003943,0.019462
653928,1762291154.108021,2.508205,2.541803,0.004103,0.020902
653928,1762291154.108348,2.507565,2.539883,0.003783,0.019942
653928,1762291154.108396,2.507246,2.539243,0.003623,0.019622
653928,1762291154.108403,2.507885,2.533484,0.003943,0.016742
653928,1762291154.108408,2.507885,2.539883,0.003943,0.019942
653928,1762291154.108416,2.507885,2.537643,0.003943,0.018822
653944,1762291154.124530,2.506926,2.535403,0.003463,0.017702
653944,1762291154.124552,2.507246,2.539243,0.003623,0.019622
653944,1762291154.124559,2.507885,2.538283,0.003943,0.019142
653944,1762291154.124567,2.507565,2.541483,0.003783,0.020742
653944,1762291154.124654,2.508205,2.540523,0.004103,0.020262
653944,1762291154.124674,2.508205,2.540523,0.004103,0.020262
653944,1762291154.124682,2.507246,2.541483,0.003623,0.020742
653944,1762291154.124688,2.507246,2.540523,0.003623,0.020262
653944,1762291154.124693,2.507565,2.541483,0.003783,0.020742
653944,1762291154.124699,2.507246,2.542443,0.003623,0.021221
653959,1762291154.139449,2.505646,2.540843,0.002823,0.020422
653959,1762291154.139474,2.506926,2.540523,0.003463,0.020262
653959,1762291154.139480,2.506926,2.540523,0.003463,0.020262
653959,1762291154.139486,2.507246,2.541483,0.003623,0.020742
653959,1762291154.139491,2.507246,2.540843,0.003623,0.020422
653959,1762291154.139496,2.506286,2.540203,0.003143,0.020102
653959,1762291154.139501,2.505966,2.541163,0.002983,0.020582
653959,1762291154.139506,2.506286,2.539563,0.003143,0.019782
653959,1762291154.139511,2.506606,2.539563,0.003303,0.019782
653959,1762291154.139520,2.506286,2.538603,0.003143,0.019302
653961,1762291154.141299,2.506606,2.538283,0.003303,0.019142
653962,1762291154.142310,2.506926,2.539563,0.003463,0.019782
653962,1762291154.142342,2.505966,2.538603,0.002983,0.019302
653962,1762291154.142361,2.506286,2.537643,0.003143,0.018822
653963,1762291154.143206,2.505966,2.538283,0.002983,0.019142
653963,1762291154.143245,2.505966,2.537323,0.002983,0.018662
653963,1762291154.143253,2.506286,2.536683,0.003143,0.018342
653963,1762291154.143258,2.505006,2.536043,0.002503,0.018022
653963,1762291154.143264,2.506286,2.534764,0.003143,0.017382
653963,1762291154.143269,2.506926,2.534124,0.003463,0.017062
653976,1762291154.155899,2.505966,2.535083,0.002983,0.017542
653976,1762291154.156404,2.505646,2.534124,0.002823,0.017062
653976,1762291154.156465,2.505966,2.533804,0.002983,0.016902
653976,1762291154.156479,2.506606,2.532524,0.003303,0.016262
653976,1762291154.156485,2.505646,2.532844,0.002823,0.016422
653976,1762291154.156491,2.506606,2.532204,0.003303,0.016102
653976,1762291154.156505,2.505646,2.531244,0.002823,0.015622
653976,1762291154.156511,2.506286,2.531244,0.003143,0.015622
653976,1762291154.156516,2.506606,2.531564,0.003303,0.015782
653977,1762291154.156895,2.506606,2.530284,0.003303,0.015142
653978,1762291154.158409,2.506286,2.529964,0.003143,0.014982
653978,1762291154.158427,2.505646,2.529644,0.002823,0.014822
653978,1762291154.158433,2.506286,2.529004,0.003143,0.014502
653978,1762291154.158443,2.505326,2.529964,0.002663,0.014982
653978,1762291154.158448,2.505646,2.528044,0.002823,0.014022
653978,1762291154.158453,2.506286,2.528364,0.003143,0.014182
653978,1762291154.158459,2.505646,2.527724,0.002823,0.013862
653978,1762291154.158464,2.506606,2.526764,0.003303,0.013382
653978,1762291154.158469,2.505966,2.527724,0.002983,0.013862
653978,1762291154.158474,2.505966,2.526764,0.002983,0.013382
653990,1762291154.170314,2.505006,2.527084,0.002503,0.013542
653990,1762291154.170333,2.505326,2.526124,0.002663,0.013062
653990,1762291154.170339,2.505966,2.526444,0.002983,0.013222
653990,1762291154.170343,2.506286,2.525484,0.003143,0.012742
653990,1762291154.170346,2.506606,2.525804,0.003303,0.012902
653990,1762291154.170350,2.506606,2.524844,0.003303,0.012422
653990,1762291154.170354,2.506286,2.525804,0.003143,0.012902
653990,1762291154.170357,2.506926,2.524844,0.003463,0.012422
653990,1762291154.170361,2.506286,2.524204,0.003143,0.012102
653990,1762291154.170364,2.508205,2.523244,0.004103,0.011622
654006,1762291154.185862,2.507565,2.523564,0.003783,0.011782
654006,1762291154.185891,2.507885,2.523884,0.003943,0.011942
654006,1762291154.185896,2.507565,2.522604,0.003783,0.011302
654006,1762291154.185900,2.508205,2.522924,0.004103,0.011462
654006,1762291154.185904,2.507246,2.522924,0.003623,0.011462
654006,1762291154.185907,2.508525,2.522604,0.004263,0.011302
654006,1762291154.185911,2.508845,2.522284,0.004423,0.011142
654006,1762291154.185914,2.508525,2.522924,0.004263,0.011462
654006,1762291154.185918,2.508205,2.521964,0.004103,0.010982
654006,1762291154.185931,2.508845,2.522284,0.004423,0.011142
654021,1762291154.201727,2.512045,2.521964,0.006023,0.010982
654022,1762291154.202207,2.509485,2.522284,0.004743,0.011142
654022,1762291154.202228,2.508205,2.522284,0.004103,0.011142
654022,1762291154.202278,2.517805,2.521964,0.008902,0.010982
654022,1762291154.202317,2.494446,2.521005,-0.002777,0.010502
654022,1762291154.202352,2.500846,2.521324,0.000423,0.010662
654022,1762291154.202408,2.516205,2.520685,0.008102,0.010342
654022,1762291154.202725,2.509805,2.521644,0.004903,0.010822
654022,1762291154.202736,2.511725,2.521964,0.005863,0.010982
654022,1762291154.202751,2.509165,2.521964,0.004583,0.010982
654023,1762291154.202963,2.520045,2.521324,0.010022,0.010662
654023,1762291154.202979,2.507565,2.521324,0.003783,0.010662
654023,1762291154.202989,2.513645,2.521644,0.006823,0.010822
654023,1762291154.202997,2.506606,2.521324,0.003303,0.010662
654023,1762291154.203006,2.506926,2.520685,0.003463,0.010342
654023,1762291154.203015,2.525804,2.521324,0.012902,0.010662
654023,1762291154.203024,2.508525,2.521005,0.004263,0.010502
654023,1762291154.203032,2.508845,2.520045,0.004423,0.010022
654023,1762291154.203040,2.511725,2.521005,0.005863,0.010502
654023,1762291154.203051,2.516205,2.520685,0.008102,0.010342
654038,1762291154.217871,2.506926,2.518765,0.003463,0.009382
654038,1762291154.217939,2.508525,2.520365,0.004263,0.010182
654038,1762291154.217990,2.509485,2.520045,0.004743,0.010022
654038,1762291154.218029,2.516845,2.520365,0.008422,0.010182
654038,1762291154.218059,2.504046,2.520045,0.002023,0.010022
654038,1762291154.218108,2.502766,2.520685,0.001383,0.010342
654038,1762291154.218125,2.512365,2.520045,0.006183,0.010022
654038,1762291154.218140,2.508845,2.520365,0.004423,0.010182
654038,1762291154.218154,2.507246,2.519725,0.003623,0.009862
654038,1762291154.218200,2.510125,2.519725,0.005063,0.009862
654038,1762291154.218601,2.511085,2.520045,0.005543,0.010022
654038,1762291154.218634,2.519725,2.519725,0.009862,0.009862
654038,1762291154.218675,2.519725,2.519405,0.009862,0.009702
654038,1762291154.218699,2.500206,2.520045,0.000103,0.010022
654038,1762291154.218746,2.508845,2.520365,0.004423,0.010182
654039,1762291154.218768,2.515565,2.520365,0.007782,0.010182
654039,1762291154.218791,2.501486,2.519725,0.000743,0.009862
654039,1762291154.218801,2.509485,2.520685,0.004743,0.010342
654039,1762291154.218808,2.502766,2.519725,0.001383,0.009862
654039,1762291154.218812,2.509165,2.520045,0.004583,0.010022
654053,1762291154.232873,2.519405,2.520365,0.009702,0.010182
654053,1762291154.232905,2.503406,2.520045,0.001703,0.010022
654053,1762291154.232910,2.508205,2.520685,0.004103,0.010342
654053,1762291154.232914,2.507246,2.521644,0.003623,0.010822
654053,1762291154.232919,2.505646,2.520045,0.002823,0.010022
654053,1762291154.232923,2.511085,2.520685,0.005543,0.010342
654053,1762291154.232927,2.508205,2.521644,0.004103,0.010822
654053,1762291154.232931,2.510445,2.521005,0.005223,0.010502
654053,1762291154.232935,2.511085,2.521324,0.005543,0.010662
654053,1762291154.232939,2.509165,2.522604,0.004583,0.011302
654070,1762291154.250036,2.510125,2.521644,0.005063,0.010822
654070,1762291154.250109,2.506926,2.522284,0.003463,0.011142
654070,1762291154.250174,2.507885,2.522924,0.003943,0.011462
654070,1762291154.250184,2.508205,2.523884,0.004103,0.011942
654070,1762291154.250194,2.521644,2.523244,0.010822,0.011622
654070,1762291154.250200,2.515245,2.523564,0.007622,0.011782
654071,1762291154.251733,2.509165,2.524524,0.004583,0.012262
654074,1762291154.254548,2.510125,2.524524,0.005063,0.012262
654074,1762291154.254608,2.525804,2.525484,0.012902,0.012742
654074,1762291154.254630,2.504366,2.525164,0.002183,0.012582
654076,1762291154.256017,2.507246,2.527084,0.003623,0.013542
654076,1762291154.256032,2.514285,2.525164,0.007142,0.012582
654076,1762291154.256082,2.504046,2.527084,0.002023,0.013542
654076,1762291154.256097,2.506926,2.528364,0.003463,0.014182
654076,1762291154.256110,2.504366,2.529324,0.002183,0.014662
654076,1762291154.256116,2.506286,2.529644,0.003143,0.014822
654076,1762291154.256132,2.513005,2.530284,0.006503,0.015142
654076,1762291154.256138,2.503726,2.531244,0.001863,0.015622
654076,1762291154.256144,2.507565,2.530604,0.003783,0.015302
654077,1762291154.257576,2.506286,2.531564,0.003143,0.015782
654085,1762291154.265203,2.510765,2.532204,0.005383,0.016102
654087,1762291154.267224,2.502126,2.534124,0.001063,0.017062
654088,1762291154.267849,2.513325,2.533804,0.006663,0.016902
654088,1762291154.267878,2.513005,2.534764,0.006503,0.017382
654088,1762291154.267896,2.509805,2.536363,0.004903,0.018182
654088,1762291154.267956,2.505966,2.536043,0.002983,0.018022
654088,1762291154.267964,2.511405,2.537643,0.005703,0.018822
654088,1762291154.267970,2.511085,2.537643,0.005543,0.018822
654088,1762291154.267985,2.506606,2.538923,0.003303,0.019462
654088,1762291154.267991,2.506926,2.538923,0.003463,0.019462
654088,1762291154.268146,2.513325,2.540523,0.006663,0.020262
654088,1762291154.268155,2.507885,2.540843,0.003943,0.020422
654088,1762291154.268161,2.506286,2.542443,0.003143,0.021221
654088,1762291154.268166,2.501806,2.541483,0.000903,0.020742
654088,1762291154.268171,2.505006,2.542763,0.002503,0.021381
654088,1762291154.268176,2.508525,2.543723,0.004263,0.021861
654088,1762291154.268181,2.507246,2.543403,0.003623,0.021701
654088,1762291154.268186,2.499566,2.543723,-0.000217,0.021861
654088,1762291154.268191,2.508205,2.544043,0.004103,0.022021
654088,1762291154.268196,2.507246,2.545323,0.003623,0.022661
654100,1762291154.279967,2.514925,2.545963,0.007462,0.022981
654100,1762291154.280009,2.504046,2.544683,0.002023,0.022341
654100,1762291154.280029,2.498286,2.544363,-0.000857,0.022181
654100,1762291154.280035,2.504046,2.545643,0.002023,0.022821
654100,1762291154.280042,2.503726,2.546923,0.001863,0.023461
654100,1762291154.280047,2.507246,2.545643,0.003623,0.022821
654100,1762291154.280091,2.507565,2.545963,0.003783,0.022981
654100,1762291154.280103,2.505646,2.545643,0.002823,0.022821
654100,1762291154.280109,2.504686,2.546283,0.002343,0.023141
654100,1762291154.280129,2.506286,2.545643,0.003143,0.022821
654116,1762291154.296181,2.505326,2.545643,0.002663,0.022821
654116,1762291154.296223,2.504046,2.545643,0.002023,0.022821
654116,1762291154.296235,2.502766,2.545003,0.001383,0.022501
654116,1762291154.296244,2.505646,2.545003,0.002823,0.022501
654116,1762291154.296252,2.505966,2.545003,0.002983,0.022501
654116,1762291154.296261,2.504686,2.544363,0.002343,0.022181
654116,1762291154.296269,2.505966,2.544363,0.002983,0.022181
654116,1762291154.296279,2.506286,2.542763,0.003143,0.021381
654116,1762291154.296288,2.505646,2.544043,0.002823,0.022021
654116,1762291154.296302,2.506606,2.544043,0.003303,0.022021
654133,1762291154.313612,2.505326,2.542763,0.002663,0.021381
654133,1762291154.313647,2.505326,2.541803,0.002663,0.020902
654133,1762291154.313654,2.506606,2.542763,0.003303,0.021381
654133,1762291154.313659,2.505966,2.541803,0.002983,0.020902
654133,1762291154.313676,2.505646,2.542763,0.002823,0.021381
654133,1762291154.313681,2.506606,2.542123,0.003303,0.021061
654135,1762291154.315054,2.505326,2.539883,0.002663,0.019942
654137,1762291154.317235,2.505646,2.539563,0.002823,0.019782
654137,1762291154.317257,2.505646,2.538923,0.002823,0.019462
654137,1762291154.317262,2.505646,2.538923,0.002823,0.019462
654138,1762291154.318027,2.505646,2.537963,0.002823,0.018982
654138,1762291154.318063,2.505966,2.538283,0.002983,0.019142
654138,1762291154.318109,2.505006,2.537323,0.002503,0.018662
654138,1762291154.318456,2.504366,2.535723,0.002183,0.017862
654138,1762291154.318471,2.505646,2.536043,0.002823,0.018022
654138,1762291154.318476,2.505646,2.536043,0.002823,0.018022
654138,1762291154.318481,2.504366,2.533804,0.002183,0.016902
654138,1762291154.318514,2.505326,2.533484,0.002663,0.016742
654138,1762291154.318521,2.505646,2.531884,0.002823,0.015942
654138,1762291154.318527,2.505646,2.531244,0.002823,0.015622
654150,1762291154.330503,2.505646,2.530924,0.002823,0.015462
654150,1762291154.330525,2.506286,2.529964,0.003143,0.014982
654150,1762291154.330532,2.505966,2.530284,0.002983,0.015142
654150,1762291154.330538,2.505966,2.529004,0.002983,0.014502
654150,1762291154.330588,2.506286,2.528684,0.003143,0.014342
654150,1762291154.330643,2.506606,2.527084,0.003303,0.013542
654150,1762291154.330662,2.506606,2.525164,0.003303,0.012582
654150,1762291154.330676,2.506606,2.526444,0.003303,0.013222
654150,1762291154.330684,2.506286,2.525484,0.003143,0.012742
654150,1762291154.330692,2.506926,2.524204,0.003463,0.012102
654151,1762291154.331228,2.506606,2.524204,0.003303,0.012102
654151,1762291154.331255,2.506926,2.524844,0.003463,0.012422
654151,1762291154.331263,2.507246,2.523884,0.003623,0.011942
654151,1762291154.331269,2.506606,2.522924,0.003303,0.011462
654151,1762291154.331275,2.506286,2.521964,0.003143,0.010982
654151,1762291154.331281,2.507565,2.522284,0.003783,0.011142
654151,1762291154.331295,2.507885,2.521964,0.003943,0.010982
654151,1762291154.331301,2.506926,2.521005,0.003463,0.010502
654151,1762291154.331340,2.507246,2.521005,0.003623,0.010502
654151,1762291154.331346,2.507246,2.521005,0.003623,0.010502
654164,1762291154.344321,2.507246,2.521005,0.003623,0.010502
654164,1762291154.344352,2.507246,2.520685,0.003623,0.010342
654164,1762291154.344360,2.506926,2.520365,0.003463,0.010182
654164,1762291154.344371,2.506926,2.520685,0.003463,0.010342
654164,1762291154.344377,2.506926,2.520365,0.003463,0.010182
654164,1762291154.344383,2.506926,2.520685,0.003463,0.010342
654164,1762291154.344388,2.506926,2.519405,0.003463,0.009702
654164,1762291154.344394,2.507246,2.519725,0.003623,0.009862
654164,1762291154.344400,2.507565,2.519725,0.003783,0.009862
654164,1762291154.344405,2.506606,2.519725,0.003303,0.009862
654180,1762291154.360085,2.506926,2.519085,0.003463,0.009542
654180,1762291154.360134,2.507885,2.520365,0.003943,0.010182
654180,1762291154.360160,2.506926,2.520365,0.003463,0.010182
654180,1762291154.360165,2.507246,2.519725,0.003623,0.009862
654180,1762291154.360169,2.507246,2.519405,0.003623,0.009702
654180,1762291154.360173,2.507565,2.520045,0.003783,0.010022
654180,1762291154.360178,2.506926,2.520045,0.003463,0.010022
654180,1762291154.360181,2.507885,2.519725,0.003943,0.009862
654180,1762291154.360184,2.507246,2.520365,0.003623,0.010182
654180,1762291154.360188,2.507565,2.520045,0.003783,0.010022
654180,1762291154.360342,2.507246,2.521005,0.003623,0.010502
654180,1762291154.360348,2.506926,2.520685,0.003463,0.010342
654180,1762291154.360352,2.507565,2.520365,0.003783,0.010182
