time_ms,time_ts,v4,v5,g4,g5
705561,1762291205.822416,2.502766,2.524524,0.001383,0.012262
705561,1762291205.822537,2.503406,2.508845,0.001703,0.004423
705562,1762291205.823336,2.502766,2.524204,0.001383,0.012102
705563,1762291205.824498,2.503086,2.526444,0.001543,0.013222
705563,1762291205.824511,2.502766,2.530604,0.001383,0.015302
705565,1762291205.826399,2.503406,2.533484,0.001703,0.016742
705565,1762291205.826432,2.503086,2.530924,0.001543,0.015462
705565,1762291205.826442,2.503086,2.531564,0.001543,0.015782
705566,1762291205.826972,2.503406,2.527084,0.001703,0.013542
705566,1762291205.827327,2.502446,2.531564,0.001223,0.015782
705578,1762291205.838905,2.502446,2.530284,0.001223,0.015142
705578,1762291205.838981,2.502126,2.526444,0.001063,0.013222
705578,1762291205.839003,2.502766,2.529324,0.001383,0.014662
705578,1762291205.839010,2.502126,2.528044,0.001063,0.014022
705578,1762291205.839016,2.501806,2.530284,0.000903,0.015142
705578,1762291205.839039,2.502126,2.526124,0.001063,0.013062
705578,1762291205.839095,2.504046,2.529644,0.002023,0.014822
705578,1762291205.839115,2.502766,2.530924,0.001383,0.015462
705578,1762291205.839124,2.502766,2.524204,0.001383,0.012102
705578,1762291205.839132,2.503086,2.529644,0.001543,0.014822
705579,1762291205.840447,2.502766,2.529644,0.001383,0.014822
705579,1762291205.840490,2.503086,2.527084,0.001543,0.013542
705579,1762291205.840540,2.503406,2.527404,0.001703,0.013702
705579,1762291205.840561,2.504046,2.528364,0.002023,0.014182
705579,1762291205.840619,2.504366,2.527724,0.002183,0.013862
705579,1762291205.840634,2.504046,2.526444,0.002023,0.013222
705579,1762291205.840642,2.504046,2.525164,0.002023,0.012582
705579,1762291205.840648,2.504366,2.526764,0.002183,0.013382
705579,1762291205.840653,2.504046,2.525484,0.002023,0.012742
705579,1762291205.840659,2.504686,2.528044,0.002343,0.014022
705592,1762291205.853530,2.505966,2.525484,0.002983,0.012742
705592,1762291205.853559,2.505006,2.525804,0.002503,0.012902
705592,1762291205.853693,2.504686,2.527404,0.002343,0.013702
705592,1762291205.853742,2.504046,2.524524,0.002023,0.012262
705592,1762291205.853768,2.505326,2.526444,0.002663,0.013222
705592,1762291205.853787,2.505646,2.523564,0.002823,0.011782
705592,1762291205.853853,2.506286,2.523564,0.003143,0.011782
705592,1762291205.853863,2.505646,2.524844,0.002823,0.012422
705592,1762291205.853870,2.505646,2.525164,0.002823,0.012582
705592,1762291205.853879,2.505646,2.524524,0.002823,0.012262
705608,1762291205.869289,2.505646,2.523244,0.002823,0.011622
705608,1762291205.869323,2.506286,2.523884,0.003143,0.011942
705608,1762291205.869328,2.506286,2.524524,0.003143,0.012262
705608,1762291205.869332,2.505966,2.524844,0.002983,0.012422
705608,1762291205.869336,2.506286,2.525484,0.003143,0.012742
705608,1762291205.869340,2.505646,2.524524,0.002823,0.012262
705608,1762291205.869344,2.506606,2.524844,0.003303,0.012422
705608,1762291205.869347,2.507885,2.524204,0.003943,0.012102
