time_ms,time_ts,v4,v5,g4,g5
390615,1762290890.418149,2.503726,2.521324,0.001863,0.010662
390615,1762290890.418216,2.504046,2.520685,0.002023,0.010342
390615,1762290890.418231,2.504366,2.520365,0.002183,0.010182
390615,1762290890.418242,2.504366,2.521005,0.002183,0.010502
390615,1762290890.418251,2.503406,2.521644,0.001703,0.010822
390615,1762290890.418261,2.503406,2.520685,0.001703,0.010342
390615,1762290890.418270,2.504366,2.520685,0.002183,0.010342
390615,1762290890.418279,2.503726,2.520045,0.001863,0.010022
390615,1762290890.418289,2.505006,2.520685,0.002503,0.010342
390615,1762290890.418299,2.503406,2.520365,0.001703,0.010182
390631,1762290890.434284,2.504686,2.519405,0.002343,0.009702
390631,1762290890.434360,2.504046,2.520045,0.002023,0.010022
390631,1762290890.434389,2.504046,2.518765,0.002023,0.009382
390631,1762290890.434396,2.504366,2.519405,0.002183,0.009702
390631,1762290890.434402,2.503726,2.518765,0.001863,0.009382
390631,1762290890.434407,2.505326,2.519085,0.002663,0.009542
390631,1762290890.434412,2.504366,2.519405,0.002183,0.009702
390631,1762290890.434422,2.506286,2.518765,0.003143,0.009382
390631,1762290890.434427,2.505006,2.519405,0.002503,0.009702
390631,1762290890.434433,2.505326,2.518125,0.002663,0.009062
390647,1762290890.450490,2.505326,2.517805,0.002663,0.008902
390647,1762290890.450516,2.505646,2.518445,0.002823,0.009222
390647,1762290890.450523,2.505966,2.517165,0.002983,0.008582
390647,1762290890.450529,2.505646,2.517805,0.002823,0.008902
390647,1762290890.450534,2.505966,2.517165,0.002983,0.008582
390647,1762290890.450540,2.506286,2.517805,0.003143,0.008902
390647,1762290890.450690,2.505966,2.516845,0.002983,0.008422
390647,1762290890.450711,2.506286,2.516205,0.003143,0.008102
390647,1762290890.450718,2.506286,2.518125,0.003143,0.009062
390647,1762290890.450765,2.505646,2.516205,0.002823,0.008102
390663,1762290890.466137,2.507246,2.516845,0.003623,0.008422
390663,1762290890.466177,2.505646,2.516205,0.002823,0.008102
390663,1762290890.466182,2.506926,2.515565,0.003463,0.007782
390663,1762290890.466191,2.505326,2.516845,0.002663,0.008422
390663,1762290890.466195,2.505646,2.515885,0.002823,0.007942
390663,1762290890.466199,2.506286,2.516205,0.003143,0.008102
390663,1762290890.466203,2.506606,2.515245,0.003303,0.007622
