time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
504724,1762291004.501924,ACCEL,0,0.00000,0.12000,0.06749,504724
504729,1762291004.604228,ACCEL,1,0.00491,0.12000,0.06763,504729
504734,1762291004.604250,ACCEL,1,0.00491,0.12000,0.06763,504734
504739,1762291004.604263,ACCEL,1,0.00491,0.12000,0.06763,504739
504744,1762291004.604273,ACCEL,1,0.00491,0.12000,0.06763,504744
504749,1762291004.604282,ACCEL,1,0.00491,0.12000,0.06763,504749
504754,1762291004.604289,ACCEL,1,0.00491,0.12000,0.06763,504754
504759,1762291004.604295,ACCEL,1,0.00491,0.12000,0.06763,504759
504764,1762291004.604303,ACCEL,1,0.00491,0.12000,0.06763,504764
504769,1762291004.604330,ACCEL,2,0.00982,0.12000,0.06776,504769
504774,1762291004.604339,ACCEL,2,0.00982,0.12000,0.06776,504774
504779,1762291004.604346,ACCEL,2,0.00982,0.12000,0.06776,504779
504784,1762291004.604352,ACCEL,2,0.00982,0.12000,0.06776,504784
504789,1762291004.604359,ACCEL,2,0.00982,0.12000,0.06776,504789
504794,1762291004.604367,ACCEL,2,0.00982,0.12000,0.06776,504794
504799,1762291004.604402,ACCEL,2,0.00982,0.12000,0.06776,504799
504804,1762291004.604410,ACCEL,2,0.00982,0.12000,0.06776,504804
504809,1762291004.604417,ACCEL,3,0.01473,0.12000,0.06790,504809
504814,1762291004.604423,ACCEL,3,0.01473,0.12000,0.06790,504814
504819,1762291004.604432,ACCEL,3,0.01473,0.12000,0.06790,504819
504824,1762291004.604439,ACCEL,3,0.01473,0.12000,0.06790,504824
504829,1762291004.604469,ACCEL,3,0.01473,0.12000,0.06790,504829
504834,1762291004.604477,ACCEL,3,0.01473,0.12000,0.06790,504834
504839,1762291004.604489,ACCEL,3,0.01473,0.12000,0.06790,504839
504844,1762291004.604498,ACCEL,3,0.01473,0.12000,0.06790,504844
504849,1762291004.604506,ACCEL,4,0.01963,0.12000,0.06803,504849
504854,1762291004.604512,ACCEL,4,0.01963,0.12000,0.06803,504854
504859,1762291004.604518,ACCEL,4,0.01963,0.12000,0.06803,504859
