time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1972167,1762292474.163238,ACCEL,1,0.00491,0.12000,0.06763,1972167
1972172,1762292474.264590,ACCEL,1,0.00491,0.12000,0.06763,1972172
1972177,1762292474.264635,ACCEL,1,0.00491,0.12000,0.06763,1972177
1972182,1762292474.264661,ACCEL,1,0.00491,0.12000,0.06763,1972182
1972187,1762292474.264700,ACCEL,1,0.00491,0.12000,0.06763,1972187
1972192,1762292474.264725,ACCEL,1,0.00491,0.12000,0.06763,1972192
1972197,1762292474.264737,ACCEL,1,0.00491,0.12000,0.06763,1972197
1972202,1762292474.264779,ACCEL,1,0.00491,0.12000,0.06763,1972202
1972207,1762292474.264801,ACCEL,2,0.00982,0.12000,0.06776,1972207
1972212,1762292474.264814,ACCEL,2,0.00982,0.12000,0.06776,1972212
1972217,1762292474.264823,ACCEL,2,0.00982,0.12000,0.06776,1972217
1972222,1762292474.264888,ACCEL,2,0.00982,0.12000,0.06776,1972222
1972227,1762292474.264916,ACCEL,2,0.00982,0.12000,0.06776,1972227
1972232,1762292474.264935,ACCEL,2,0.00982,0.12000,0.06776,1972232
1972237,1762292474.264960,ACCEL,2,0.00982,0.12000,0.06776,1972237
1972242,1762292474.264975,ACCEL,2,0.00982,0.12000,0.06776,1972242
1972247,1762292474.264992,ACCEL,3,0.01473,0.12000,0.06790,1972247
1972252,1762292474.265008,ACCEL,3,0.01473,0.12000,0.06790,1972252
1972257,1762292474.265021,ACCEL,3,0.01473,0.12000,0.06790,1972257
1972262,1762292474.265038,ACCEL,3,0.01473,0.12000,0.06790,1972262
1972267,1762292474.265054,ACCEL,3,0.01473,0.12000,0.06790,1972267
1972272,1762292474.265070,ACCEL,3,0.01473,0.12000,0.06790,1972272
1972277,1762292474.265098,ACCEL,3,0.01473,0.12000,0.06790,1972277
1972282,1762292474.265110,ACCEL,3,0.01473,0.12000,0.06790,1972282
1972287,1762292474.265126,ACCEL,4,0.01963,0.12000,0.06803,1972287
1972292,1762292474.265141,ACCEL,4,0.01963,0.12000,0.06803,1972292
1972297,1762292474.265157,ACCEL,4,0.01963,0.12000,0.06803,1972297
1972302,1762292474.265215,ACCEL,4,0.01963,0.12000,0.06803,1972302
1972307,1762292474.265281,ACCEL,4,0.01963,0.12000,0.06803,1972307
1972312,1762292474.265350,ACCEL,4,0.01963,0.12000,0.06803,1972312
1972317,1762292474.265382,ACCEL,4,0.01963,0.12000,0.06803,1972317
1972322,1762292474.265405,ACCEL,4,0.01963,0.12000,0.06803,1972322
1972327,1762292474.265425,ACCEL,4,0.01963,0.12000,0.06803,1972327
1972332,1762292474.265446,ACCEL,5,0.02454,0.12000,0.06817,1972332
1972337,1762292474.265562,ACCEL,5,0.02454,0.12000,0.06817,1972337
1972342,1762292474.265635,ACCEL,5,0.02454,0.12000,0.06817,1972342
1972347,1762292474.265666,ACCEL,5,0.02454,0.12000,0.06817,1972347
1972352,1762292474.265703,ACCEL,5,0.02454,0.12000,0.06817,1972352
1972357,1762292474.265725,ACCEL,5,0.02454,0.12000,0.06817,1972357
1972362,1762292474.266314,ACCEL,5,0.02454,0.12000,0.06817,1972362
1972367,1762292474.266330,ACCEL,5,0.02454,0.12000,0.06817,1972367
1972372,1762292474.266341,ACCEL,6,0.02945,0.12000,0.06831,1972372
1972377,1762292474.266350,ACCEL,6,0.02945,0.12000,0.06831,1972377
1972382,1762292474.266359,ACCEL,6,0.02945,0.12000,0.06831,1972382
1972387,1762292474.266367,ACCEL,6,0.02945,0.12000,0.06831,1972387
1972392,1762292474.266376,ACCEL,6,0.02945,0.12000,0.06831,1972392
1972397,1762292474.266384,ACCEL,6,0.02945,0.12000,0.06831,1972397
1972402,1762292474.266392,ACCEL,6,0.02945,0.12000,0.06831,1972402
1972407,1762292474.266399,ACCEL,6,0.02945,0.12000,0.06831,1972407
1972527,1762292474.540989,ACCEL,9,0.04418,0.12000,0.06872,1972527
1972532,1762292474.544845,ACCEL,9,0.04418,0.12000,0.06872,1972532
1972537,1762292474.544861,ACCEL,10,0.04909,0.12000,0.06885,1972537
1972542,1762292474.544871,ACCEL,10,0.04909,0.12000,0.06885,1972542
1972547,1762292474.544881,ACCEL,10,0.04909,0.12000,0.06885,1972547
1972552,1762292474.544890,ACCEL,10,0.04909,0.12000,0.06885,1972552
1972557,1762292474.544897,ACCEL,10,0.04909,0.12000,0.06885,1972557
1972562,1762292474.544905,ACCEL,10,0.04909,0.12000,0.06885,1972562
1972567,1762292474.544912,ACCEL,10,0.04909,0.12000,0.06885,1972567
1972572,1762292474.544921,ACCEL,10,0.04909,0.12000,0.06885,1972572
1972577,1762292474.544929,ACCEL,11,0.05400,0.12000,0.06899,1972577
1972582,1762292474.544937,ACCEL,11,0.05400,0.12000,0.06899,1972582
1972587,1762292474.544944,ACCEL,11,0.05400,0.12000,0.06899,1972587
1972592,1762292474.544951,ACCEL,11,0.05400,0.12000,0.06899,1972592
1972597,1762292474.544959,ACCEL,11,0.05400,0.12000,0.06899,1972597
1972602,1762292474.544967,ACCEL,11,0.05400,0.12000,0.06899,1972602
1972607,1762292474.544976,ACCEL,11,0.05400,0.12000,0.06899,1972607
1972612,1762292474.544983,ACCEL,11,0.05400,0.12000,0.06899,1972612
1972617,1762292474.544990,ACCEL,12,0.05890,0.12000,0.06912,1972617
1972622,1762292474.545001,ACCEL,12,0.05890,0.12000,0.06912,1972622
1972627,1762292474.545008,ACCEL,12,0.05890,0.12000,0.06912,1972627
1972632,1762292474.545015,ACCEL,12,0.05890,0.12000,0.06912,1972632
1972637,1762292474.545023,ACCEL,12,0.05890,0.12000,0.06912,1972637
1972642,1762292474.545030,ACCEL,12,0.05890,0.12000,0.06912,1972642
1972647,1762292474.545037,ACCEL,12,0.05890,0.12000,0.06912,1972647
1972652,1762292474.545044,ACCEL,12,0.05890,0.12000,0.06912,1972652
1972657,1762292474.545053,ACCEL,13,0.06381,0.12000,0.06926,1972657
1972662,1762292474.545059,ACCEL,13,0.06381,0.12000,0.06926,1972662
1972667,1762292474.545069,ACCEL,13,0.06381,0.12000,0.06926,1972667
1972672,1762292474.545077,ACCEL,13,0.06381,0.12000,0.06926,1972672
1972677,1762292474.545084,ACCEL,13,0.06381,0.12000,0.06926,1972677
1972682,1762292474.545091,ACCEL,13,0.06381,0.12000,0.06926,1972682
1972687,1762292474.545099,ACCEL,13,0.06381,0.12000,0.06926,1972687
1972692,1762292474.545106,ACCEL,13,0.06381,0.12000,0.06926,1972692
1972697,1762292474.545114,ACCEL,14,0.06872,0.12000,0.06940,1972697
1972702,1762292474.545121,ACCEL,14,0.06872,0.12000,0.06940,1972702
1972707,1762292474.545128,ACCEL,14,0.06872,0.12000,0.06940,1972707
1972712,1762292474.545135,ACCEL,14,0.06872,0.12000,0.06940,1972712
1972717,1762292474.545141,ACCEL,14,0.06872,0.12000,0.06940,1972717
1972722,1762292474.545148,ACCEL,14,0.06872,0.12000,0.06940,1972722
1972727,1762292474.545156,ACCEL,14,0.06872,0.12000,0.06940,1972727
1972732,1762292474.545162,ACCEL,14,0.06872,0.12000,0.06940,1972732
1972737,1762292474.545169,ACCEL,15,0.07363,0.12000,0.06953,1972737
1972742,1762292474.545176,ACCEL,15,0.07363,0.12000,0.06953,1972742
1972747,1762292474.545186,ACCEL,15,0.07363,0.12000,0.06953,1972747
1972752,1762292474.545194,ACCEL,15,0.07363,0.12000,0.06953,1972752
1972757,1762292474.545201,ACCEL,15,0.07363,0.12000,0.06953,1972757
1972762,1762292474.545208,ACCEL,15,0.07363,0.12000,0.06953,1972762
1972767,1762292474.545215,ACCEL,15,0.07363,0.12000,0.06953,1972767
1972802,1762292474.804167,ACCEL,16,0.07854,0.12000,0.06967,1972802
1972807,1762292474.804188,ACCEL,16,0.07854,0.12000,0.06967,1972807
1972812,1762292474.804264,ACCEL,16,0.07854,0.12000,0.06967,1972812
1972817,1762292474.804273,ACCEL,16,0.07854,0.12000,0.06967,1972817
1972822,1762292474.804281,ACCEL,17,0.08345,0.12000,0.06980,1972822
1972827,1762292474.804288,ACCEL,17,0.08345,0.12000,0.06980,1972827
1972832,1762292474.804296,ACCEL,17,0.08345,0.12000,0.06980,1972832
1972837,1762292474.804303,ACCEL,17,0.08345,0.12000,0.06980,1972837
1972842,1762292474.804310,ACCEL,17,0.08345,0.12000,0.06980,1972842
1972847,1762292474.804317,ACCEL,17,0.08345,0.12000,0.06980,1972847
1972852,1762292474.804323,ACCEL,17,0.08345,0.12000,0.06980,1972852
1972857,1762292474.804334,ACCEL,17,0.08345,0.12000,0.06980,1972857
1972862,1762292474.804341,ACCEL,18,0.08836,0.12000,0.06994,1972862
1972867,1762292474.804348,ACCEL,18,0.08836,0.12000,0.06994,1972867
1972872,1762292474.804354,ACCEL,18,0.08836,0.12000,0.06994,1972872
1972877,1762292474.804360,ACCEL,18,0.08836,0.12000,0.06994,1972877
1972882,1762292474.804367,ACCEL,18,0.08836,0.12000,0.06994,1972882
1972887,1762292474.804374,ACCEL,18,0.08836,0.12000,0.06994,1972887
1972892,1762292474.804380,ACCEL,18,0.08836,0.12000,0.06994,1972892
1972897,1762292474.804387,ACCEL,18,0.08836,0.12000,0.06994,1972897
1972902,1762292474.804394,ACCEL,19,0.09327,0.12000,0.07008,1972902
1972907,1762292474.804406,ACCEL,19,0.09327,0.12000,0.07008,1972907
1972912,1762292474.804413,ACCEL,19,0.09327,0.12000,0.07008,1972912
1972917,1762292474.804420,ACCEL,19,0.09327,0.12000,0.07008,1972917
1972922,1762292474.804427,ACCEL,19,0.09327,0.12000,0.07008,1972922
1972927,1762292474.804434,ACCEL,19,0.09327,0.12000,0.07008,1972927
1972932,1762292474.804440,ACCEL,19,0.09327,0.12000,0.07008,1972932
1972937,1762292474.804447,ACCEL,19,0.09327,0.12000,0.07008,1972937
1972942,1762292474.804453,ACCEL,20,0.09817,0.12000,0.07021,1972942
1972947,1762292474.804459,ACCEL,20,0.09817,0.12000,0.07021,1972947
1972952,1762292474.804465,ACCEL,20,0.09817,0.12000,0.07021,1972952
1972957,1762292474.804473,ACCEL,20,0.09817,0.12000,0.07021,1972957
1972962,1762292474.804479,ACCEL,20,0.09817,0.12000,0.07021,1972962
