time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
2026424,1762292528.547199,ACCEL,0,0.00000,0.12000,0.06749,2026424
2026429,1762292528.648355,ACCEL,0,0.00000,0.12000,0.06749,2026429
2026434,1762292528.650526,ACCEL,1,0.00491,0.12000,0.06763,2026434
2026439,1762292528.650556,ACCEL,1,0.00491,0.12000,0.06763,2026439
2026444,1762292528.650568,ACCEL,1,0.00491,0.12000,0.06763,2026444
2026449,1762292528.650582,ACCEL,1,0.00491,0.12000,0.06763,2026449
2026454,1762292528.650591,ACCEL,1,0.00491,0.12000,0.06763,2026454
2026459,1762292528.650599,ACCEL,1,0.00491,0.12000,0.06763,2026459
2026464,1762292528.650608,ACCEL,1,0.00491,0.12000,0.06763,2026464
2026469,1762292528.650617,ACCEL,1,0.00491,0.12000,0.06763,2026469
2026474,1762292528.650625,ACCEL,2,0.00982,0.12000,0.06776,2026474
2026479,1762292528.650634,ACCEL,2,0.00982,0.12000,0.06776,2026479
2026484,1762292528.650642,ACCEL,2,0.00982,0.12000,0.06776,2026484
2026489,1762292528.650651,ACCEL,2,0.00982,0.12000,0.06776,2026489
2026494,1762292528.650659,ACCEL,2,0.00982,0.12000,0.06776,2026494
2026499,1762292528.650666,ACCEL,2,0.00982,0.12000,0.06776,2026499
2026504,1762292528.650674,ACCEL,2,0.00982,0.12000,0.06776,2026504
2026509,1762292528.650683,ACCEL,2,0.00982,0.12000,0.06776,2026509
2026514,1762292528.650691,ACCEL,3,0.01473,0.12000,0.06790,2026514
2026519,1762292528.650699,ACCEL,3,0.01473,0.12000,0.06790,2026519
2026524,1762292528.650706,ACCEL,3,0.01473,0.12000,0.06790,2026524
2026529,1762292528.650713,ACCEL,3,0.01473,0.12000,0.06790,2026529
2026534,1762292528.650721,ACCEL,3,0.01473,0.12000,0.06790,2026534
2026539,1762292528.650728,ACCEL,3,0.01473,0.12000,0.06790,2026539
2026544,1762292528.650736,ACCEL,3,0.01473,0.12000,0.06790,2026544
2026549,1762292528.650744,ACCEL,3,0.01473,0.12000,0.06790,2026549
2026554,1762292528.650752,ACCEL,4,0.01963,0.12000,0.06803,2026554
2026559,1762292528.650760,ACCEL,4,0.01963,0.12000,0.06803,2026559
2026564,1762292528.650768,ACCEL,4,0.01963,0.12000,0.06803,2026564
2026569,1762292528.650774,ACCEL,4,0.01963,0.12000,0.06803,2026569
2026574,1762292528.650782,ACCEL,4,0.01963,0.12000,0.06803,2026574
2026579,1762292528.650791,ACCEL,4,0.01963,0.12000,0.06803,2026579
2026584,1762292528.650798,ACCEL,4,0.01963,0.12000,0.06803,2026584
2026589,1762292528.650813,ACCEL,4,0.01963,0.12000,0.06803,2026589
2026594,1762292528.650820,ACCEL,4,0.01963,0.12000,0.06803,2026594
2026599,1762292528.650827,ACCEL,5,0.02454,0.12000,0.06817,2026599
2026604,1762292528.650834,ACCEL,5,0.02454,0.12000,0.06817,2026604
2026609,1762292528.650842,ACCEL,5,0.02454,0.12000,0.06817,2026609
2026614,1762292528.650849,ACCEL,5,0.02454,0.12000,0.06817,2026614
2026619,1762292528.650857,ACCEL,5,0.02454,0.12000,0.06817,2026619
2026624,1762292528.650864,ACCEL,5,0.02454,0.12000,0.06817,2026624
2026629,1762292528.650872,ACCEL,5,0.02454,0.12000,0.06817,2026629
2026634,1762292528.650881,ACCEL,5,0.02454,0.12000,0.06817,2026634
2026639,1762292528.650889,ACCEL,6,0.02945,0.12000,0.06831,2026639
2026644,1762292528.650897,ACCEL,6,0.02945,0.12000,0.06831,2026644
2026649,1762292528.650904,ACCEL,6,0.02945,0.12000,0.06831,2026649
2026654,1762292528.650912,ACCEL,6,0.02945,0.12000,0.06831,2026654
2026659,1762292528.650919,ACCEL,6,0.02945,0.12000,0.06831,2026659
2026664,1762292528.650927,ACCEL,6,0.02945,0.12000,0.06831,2026664
2026669,1762292528.650934,ACCEL,6,0.02945,0.12000,0.06831,2026669
2026829,1762292528.917348,ACCEL,10,0.04909,0.12000,0.06885,2026829
2026834,1762292528.917375,ACCEL,10,0.04909,0.12000,0.06885,2026834
2026839,1762292528.917385,ACCEL,10,0.04909,0.12000,0.06885,2026839
2026844,1762292528.917393,ACCEL,11,0.05400,0.12000,0.06899,2026844
2026849,1762292528.917400,ACCEL,11,0.05400,0.12000,0.06899,2026849
2026854,1762292528.917407,ACCEL,11,0.05400,0.12000,0.06899,2026854
2026859,1762292528.917414,ACCEL,11,0.05400,0.12000,0.06899,2026859
2026864,1762292528.917421,ACCEL,11,0.05400,0.12000,0.06899,2026864
2026869,1762292528.917428,ACCEL,11,0.05400,0.12000,0.06899,2026869
2026874,1762292528.917435,ACCEL,11,0.05400,0.12000,0.06899,2026874
2026879,1762292528.917441,ACCEL,11,0.05400,0.12000,0.06899,2026879
2026884,1762292528.917447,ACCEL,12,0.05890,0.12000,0.06912,2026884
2026889,1762292528.917454,ACCEL,12,0.05890,0.12000,0.06912,2026889
2026894,1762292528.917460,ACCEL,12,0.05890,0.12000,0.06912,2026894
2026899,1762292528.917467,ACCEL,12,0.05890,0.12000,0.06912,2026899
2026904,1762292528.917475,ACCEL,12,0.05890,0.12000,0.06912,2026904
2026909,1762292528.917480,ACCEL,12,0.05890,0.12000,0.06912,2026909
2026914,1762292528.917487,ACCEL,12,0.05890,0.12000,0.06912,2026914
2026919,1762292528.917507,ACCEL,12,0.05890,0.12000,0.06912,2026919
2026924,1762292528.917513,ACCEL,13,0.06381,0.12000,0.06926,2026924
2026929,1762292528.917522,ACCEL,13,0.06381,0.12000,0.06926,2026929
2026934,1762292528.917529,ACCEL,13,0.06381,0.12000,0.06926,2026934
2026939,1762292528.917535,ACCEL,13,0.06381,0.12000,0.06926,2026939
2026944,1762292528.917541,ACCEL,13,0.06381,0.12000,0.06926,2026944
2026949,1762292528.917547,ACCEL,13,0.06381,0.12000,0.06926,2026949
2026954,1762292528.917554,ACCEL,13,0.06381,0.12000,0.06926,2026954
2026959,1762292528.917560,ACCEL,13,0.06381,0.12000,0.06926,2026959
2026964,1762292528.917567,ACCEL,14,0.06872,0.12000,0.06940,2026964
2026969,1762292528.917573,ACCEL,14,0.06872,0.12000,0.06940,2026969
2026974,1762292528.917579,ACCEL,14,0.06872,0.12000,0.06940,2026974
2026979,1762292528.917585,ACCEL,14,0.06872,0.12000,0.06940,2026979
2026984,1762292528.917591,ACCEL,14,0.06872,0.12000,0.06940,2026984
2026989,1762292528.917598,ACCEL,14,0.06872,0.12000,0.06940,2026989
2026994,1762292528.917603,ACCEL,14,0.06872,0.12000,0.06940,2026994
2026999,1762292528.917609,ACCEL,14,0.06872,0.12000,0.06940,2026999
2027004,1762292528.917615,ACCEL,15,0.07363,0.12000,0.06953,2027004
2027009,1762292528.917622,ACCEL,15,0.07363,0.12000,0.06953,2027009
2027014,1762292528.917628,ACCEL,15,0.07363,0.12000,0.06953,2027014
2027019,1762292528.917634,ACCEL,15,0.07363,0.12000,0.06953,2027019
2027024,1762292528.917640,ACCEL,15,0.07363,0.12000,0.06953,2027024
2027029,1762292528.917645,ACCEL,15,0.07363,0.12000,0.06953,2027029
2027034,1762292528.917653,ACCEL,15,0.07363,0.12000,0.06953,2027034
2027039,1762292528.917659,ACCEL,15,0.07363,0.12000,0.06953,2027039
2027044,1762292528.917666,ACCEL,15,0.07363,0.12000,0.06953,2027044
2027049,1762292528.917672,ACCEL,16,0.07854,0.12000,0.06967,2027049
2027054,1762292528.917678,ACCEL,16,0.07854,0.12000,0.06967,2027054
2027059,1762292528.917683,ACCEL,16,0.07854,0.12000,0.06967,2027059
2027064,1762292528.917689,ACCEL,16,0.07854,0.12000,0.06967,2027064
2027069,1762292528.917695,ACCEL,16,0.07854,0.12000,0.06967,2027069
2027074,1762292528.917701,ACCEL,16,0.07854,0.12000,0.06967,2027074
2027094,1762292529.178447,ACCEL,17,0.08345,0.12000,0.06980,2027094
2027099,1762292529.178472,ACCEL,17,0.08345,0.12000,0.06980,2027099
2027104,1762292529.178482,ACCEL,17,0.08345,0.12000,0.06980,2027104
2027109,1762292529.178489,ACCEL,17,0.08345,0.12000,0.06980,2027109
2027114,1762292529.178496,ACCEL,17,0.08345,0.12000,0.06980,2027114
2027119,1762292529.178504,ACCEL,17,0.08345,0.12000,0.06980,2027119
2027124,1762292529.178510,ACCEL,17,0.08345,0.12000,0.06980,2027124
2027129,1762292529.178517,ACCEL,18,0.08836,0.12000,0.06994,2027129
2027134,1762292529.178524,ACCEL,18,0.08836,0.12000,0.06994,2027134
2027139,1762292529.178533,ACCEL,18,0.08836,0.12000,0.06994,2027139
2027144,1762292529.178540,ACCEL,18,0.08836,0.12000,0.06994,2027144
2027149,1762292529.178546,ACCEL,18,0.08836,0.12000,0.06994,2027149
2027154,1762292529.178552,ACCEL,18,0.08836,0.12000,0.06994,2027154
2027159,1762292529.178558,ACCEL,18,0.08836,0.12000,0.06994,2027159
2027164,1762292529.178564,ACCEL,18,0.08836,0.12000,0.06994,2027164
2027169,1762292529.178570,ACCEL,19,0.09327,0.12000,0.07008,2027169
2027174,1762292529.178577,ACCEL,19,0.09327,0.12000,0.07008,2027174
2027179,1762292529.178582,ACCEL,19,0.09327,0.12000,0.07008,2027179
2027184,1762292529.178589,ACCEL,19,0.09327,0.12000,0.07008,2027184
2027189,1762292529.178595,ACCEL,19,0.09327,0.12000,0.07008,2027189
2027194,1762292529.178601,ACCEL,19,0.09327,0.12000,0.07008,2027194
2027199,1762292529.178608,ACCEL,19,0.09327,0.12000,0.07008,2027199
2027204,1762292529.178613,ACCEL,19,0.09327,0.12000,0.07008,2027204
2027209,1762292529.178620,ACCEL,20,0.09817,0.12000,0.07021,2027209
2027214,1762292529.178626,ACCEL,20,0.09817,0.12000,0.07021,2027214
2027219,1762292529.178638,ACCEL,20,0.09817,0.12000,0.07021,2027219
2027224,1762292529.178644,ACCEL,20,0.09817,0.12000,0.07021,2027224
2027229,1762292529.178650,ACCEL,20,0.09817,0.12000,0.07021,2027229
2027234,1762292529.178655,ACCEL,20,0.09817,0.12000,0.07021,2027234
2027239,1762292529.178663,ACCEL,20,0.09817,0.12000,0.07021,2027239
2027244,1762292529.178669,ACCEL,20,0.09817,0.12000,0.07021,2027244
2027249,1762292529.178675,ACCEL,20,0.09817,0.12000,0.07021,2027249
2027254,1762292529.178681,ACCEL,21,0.10308,0.12000,0.07035,2027254
2027259,1762292529.178687,ACCEL,21,0.10308,0.12000,0.07035,2027259
2027264,1762292529.178694,ACCEL,21,0.10308,0.12000,0.07035,2027264
2027269,1762292529.178700,ACCEL,21,0.10308,0.12000,0.07035,2027269
2027274,1762292529.178706,ACCEL,21,0.10308,0.12000,0.07035,2027274
2027279,1762292529.178712,ACCEL,21,0.10308,0.12000,0.07035,2027279
2027284,1762292529.178717,ACCEL,21,0.10308,0.12000,0.07035,2027284
2027289,1762292529.178724,ACCEL,21,0.10308,0.12000,0.07035,2027289
2027294,1762292529.178729,ACCEL,22,0.10799,0.12000,0.07048,2027294
2027299,1762292529.178735,ACCEL,22,0.10799,0.12000,0.07048,2027299
2027304,1762292529.178741,ACCEL,22,0.10799,0.12000,0.07048,2027304
2027309,1762292529.178746,ACCEL,22,0.10799,0.12000,0.07048,2027309
2027314,1762292529.178752,ACCEL,22,0.10799,0.12000,0.07048,2027314
2027319,1762292529.178757,ACCEL,22,0.10799,0.12000,0.07048,2027319
2027324,1762292529.178763,ACCEL,22,0.10799,0.12000,0.07048,2027324
2027329,1762292529.178769,ACCEL,22,0.10799,0.12000,0.07048,2027329
2027334,1762292529.178775,ACCEL,23,0.11290,0.12000,0.07062,2027334
2027339,1762292529.178782,ACCEL,23,0.11290,0.12000,0.07062,2027339
2027354,1762292529.438919,ACCEL,23,0.11290,0.12000,0.07062,2027354
2027359,1762292529.438942,ACCEL,23,0.11290,0.12000,0.07062,2027359
2027364,1762292529.438951,ACCEL,23,0.11290,0.12000,0.07062,2027364
2027369,1762292529.438959,ACCEL,23,0.11290,0.12000,0.07062,2027369
2027374,1762292529.438967,ACCEL,24,0.11781,0.12000,0.07075,2027374
2027379,1762292529.438974,ACCEL,24,0.11781,0.12000,0.07075,2027379
2027384,1762292529.438981,ACCEL,24,0.11781,0.12000,0.07075,2027384
2027389,1762292529.438988,ACCEL,24,0.11781,0.12000,0.07075,2027389
2027394,1762292529.438994,ACCEL,24,0.11781,0.12000,0.07075,2027394
2027399,1762292529.439001,ACCEL,24,0.11781,0.12000,0.07075,2027399
2027404,1762292529.439007,ACCEL,24,0.11781,0.12000,0.07075,2027404
2027409,1762292529.439013,ACCEL,24,0.11781,0.12000,0.07075,2027409
2027414,1762292529.439020,ACCEL,25,0.12272,0.12000,0.07089,2027414
2027419,1762292529.439026,ACCEL,25,0.12272,0.12000,0.07089,2027419
2027424,1762292529.439033,ACCEL,25,0.12272,0.12000,0.07089,2027424
2027429,1762292529.439040,ACCEL,25,0.12272,0.12000,0.07089,2027429
2027434,1762292529.439047,ACCEL,25,0.12272,0.12000,0.07089,2027434
2027439,1762292529.439054,ACCEL,25,0.12272,0.12000,0.07089,2027439
2027444,1762292529.439060,ACCEL,25,0.12272,0.12000,0.07089,2027444
2027449,1762292529.439067,ACCEL,25,0.12272,0.12000,0.07089,2027449
2027454,1762292529.439073,ACCEL,26,0.12763,0.12000,0.07103,2027454
2027459,1762292529.439080,ACCEL,26,0.12763,0.12000,0.07103,2027459
2027464,1762292529.439086,ACCEL,26,0.12763,0.12000,0.07103,2027464
2027469,1762292529.439097,ACCEL,26,0.12763,0.12000,0.07103,2027469
2027474,1762292529.439103,ACCEL,26,0.12763,0.12000,0.07103,2027474
2027479,1762292529.439109,ACCEL,26,0.12763,0.12000,0.07103,2027479
2027484,1762292529.439116,ACCEL,26,0.12763,0.12000,0.07103,2027484
2027489,1762292529.439122,ACCEL,26,0.12763,0.12000,0.07103,2027489
2027494,1762292529.439128,ACCEL,26,0.12763,0.12000,0.07103,2027494
2027499,1762292529.439134,ACCEL,27,0.13254,0.12000,0.07116,2027499
2027504,1762292529.439140,ACCEL,27,0.13254,0.12000,0.07116,2027504
2027509,1762292529.439147,ACCEL,27,0.13254,0.12000,0.07116,2027509
2027514,1762292529.439153,ACCEL,27,0.13254,0.12000,0.07116,2027514
2027519,1762292529.439159,ACCEL,27,0.13254,0.12000,0.07116,2027519
2027524,1762292529.439165,ACCEL,27,0.13254,0.12000,0.07116,2027524
2027529,1762292529.439171,ACCEL,27,0.13254,0.12000,0.07116,2027529
2027534,1762292529.439177,ACCEL,27,0.13254,0.12000,0.07116,2027534
2027539,1762292529.439183,ACCEL,28,0.13744,0.12000,0.07130,2027539
2027544,1762292529.439189,ACCEL,28,0.13744,0.12000,0.07130,2027544
2027549,1762292529.439195,ACCEL,28,0.13744,0.12000,0.07130,2027549
2027554,1762292529.439201,ACCEL,28,0.13744,0.12000,0.07130,2027554
2027559,1762292529.439207,ACCEL,28,0.13744,0.12000,0.07130,2027559
2027564,1762292529.439213,ACCEL,28,0.13744,0.12000,0.07130,2027564
2027569,1762292529.439219,ACCEL,28,0.13744,0.12000,0.07130,2027569
2027574,1762292529.439224,ACCEL,28,0.13744,0.12000,0.07130,2027574
2027579,1762292529.439230,ACCEL,29,0.14235,0.12000,0.07143,2027579
2027584,1762292529.439237,ACCEL,29,0.14235,0.12000,0.07143,2027584
2027589,1762292529.439243,ACCEL,29,0.14235,0.12000,0.07143,2027589
2027594,1762292529.439248,ACCEL,29,0.14235,0.12000,0.07143,2027594
2027599,1762292529.439255,ACCEL,29,0.14235,0.12000,0.07143,2027599
2027614,1762292529.699380,ACCEL,29,0.14235,0.12000,0.07143,2027614
2027619,1762292529.699413,ACCEL,30,0.14726,0.12000,0.07157,2027619
2027624,1762292529.699424,ACCEL,30,0.14726,0.12000,0.07157,2027624
2027629,1762292529.699433,ACCEL,30,0.14726,0.12000,0.07157,2027629
2027634,1762292529.699441,ACCEL,30,0.14726,0.12000,0.07157,2027634
2027639,1762292529.699449,ACCEL,30,0.14726,0.12000,0.07157,2027639
2027644,1762292529.699456,ACCEL,30,0.14726,0.12000,0.07157,2027644
2027649,1762292529.699463,ACCEL,30,0.14726,0.12000,0.07157,2027649
2027654,1762292529.699470,ACCEL,30,0.14726,0.12000,0.07157,2027654
2027659,1762292529.699477,ACCEL,31,0.15217,0.12000,0.07170,2027659
2027664,1762292529.699484,ACCEL,31,0.15217,0.12000,0.07170,2027664
2027669,1762292529.699490,ACCEL,31,0.15217,0.12000,0.07170,2027669
2027674,1762292529.699497,ACCEL,31,0.15217,0.12000,0.07170,2027674
2027679,1762292529.699503,ACCEL,31,0.15217,0.12000,0.07170,2027679
2027684,1762292529.699510,ACCEL,31,0.15217,0.12000,0.07170,2027684
2027689,1762292529.699516,ACCEL,31,0.15217,0.12000,0.07170,2027689
2027694,1762292529.699522,ACCEL,31,0.15217,0.12000,0.07170,2027694
2027699,1762292529.699529,ACCEL,31,0.15217,0.12000,0.07170,2027699
2027704,1762292529.699536,ACCEL,32,0.15708,0.12000,0.07184,2027704
2027709,1762292529.699542,ACCEL,32,0.15708,0.12000,0.07184,2027709
2027714,1762292529.699548,ACCEL,32,0.15708,0.12000,0.07184,2027714
2027719,1762292529.699554,ACCEL,32,0.15708,0.12000,0.07184,2027719
2027724,1762292529.699561,ACCEL,32,0.15708,0.12000,0.07184,2027724
2027729,1762292529.699567,ACCEL,32,0.15708,0.12000,0.07184,2027729
2027734,1762292529.699573,ACCEL,32,0.15708,0.12000,0.07184,2027734
2027739,1762292529.699580,ACCEL,32,0.15708,0.12000,0.07184,2027739
2027744,1762292529.699586,ACCEL,33,0.16199,0.12000,0.07197,2027744
2027749,1762292529.699592,ACCEL,33,0.16199,0.12000,0.07197,2027749
2027754,1762292529.699598,ACCEL,33,0.16199,0.12000,0.07197,2027754
2027759,1762292529.699604,ACCEL,33,0.16199,0.12000,0.07197,2027759
2027764,1762292529.699610,ACCEL,33,0.16199,0.12000,0.07197,2027764
2027769,1762292529.699616,ACCEL,33,0.16199,0.12000,0.07197,2027769
2027774,1762292529.699623,ACCEL,33,0.16199,0.12000,0.07197,2027774
2027779,1762292529.699632,ACCEL,33,0.16199,0.12000,0.07197,2027779
2027784,1762292529.699638,ACCEL,34,0.16690,0.12000,0.07211,2027784
2027789,1762292529.699645,ACCEL,34,0.16690,0.12000,0.07211,2027789
2027794,1762292529.699651,ACCEL,34,0.16690,0.12000,0.07211,2027794
2027799,1762292529.699657,ACCEL,34,0.16690,0.12000,0.07211,2027799
2027804,1762292529.699663,ACCEL,34,0.16690,0.12000,0.07211,2027804
2027809,1762292529.699669,ACCEL,34,0.16690,0.12000,0.07211,2027809
2027814,1762292529.699675,ACCEL,34,0.16690,0.12000,0.07211,2027814
2027819,1762292529.699682,ACCEL,34,0.16690,0.12000,0.07211,2027819
2027824,1762292529.699688,ACCEL,35,0.17181,0.12000,0.07224,2027824
2027829,1762292529.699694,ACCEL,35,0.17181,0.12000,0.07224,2027829
2027834,1762292529.699700,ACCEL,35,0.17181,0.12000,0.07224,2027834
2027839,1762292529.699706,ACCEL,35,0.17181,0.12000,0.07224,2027839
2027844,1762292529.699712,ACCEL,35,0.17181,0.12000,0.07224,2027844
2027849,1762292529.699718,ACCEL,35,0.17181,0.12000,0.07224,2027849
2027854,1762292529.699724,ACCEL,35,0.17181,0.12000,0.07224,2027854
2027859,1762292529.699730,ACCEL,35,0.17181,0.12000,0.07224,2027859
2027874,1762292529.977306,ACCEL,36,0.17671,0.12000,0.07238,2027874
2027879,1762292529.977328,ACCEL,36,0.17671,0.12000,0.07238,2027879
2027884,1762292529.977338,ACCEL,36,0.17671,0.12000,0.07238,2027884
2027889,1762292529.977347,ACCEL,36,0.17671,0.12000,0.07238,2027889
2027894,1762292529.977355,ACCEL,36,0.17671,0.12000,0.07238,2027894
2027899,1762292529.977364,ACCEL,36,0.17671,0.12000,0.07238,2027899
2027904,1762292529.977371,ACCEL,37,0.18162,0.12000,0.07251,2027904
2027909,1762292529.977378,ACCEL,37,0.18162,0.12000,0.07251,2027909
