time_ms,time_ts,v4,v5,g4,g5
2085301,1762292587.681350,2.507885,2.519085,0.003943,0.009542
2085302,1762292587.681430,2.507246,2.519725,0.003623,0.009862
2085302,1762292587.681509,2.507246,2.520365,0.003623,0.010182
2085302,1762292587.681525,2.505966,2.519405,0.002983,0.009702
2085302,1762292587.681561,2.506926,2.519725,0.003463,0.009862
2085302,1762292587.681572,2.505646,2.519725,0.002823,0.009862
2085302,1762292587.681590,2.505326,2.519725,0.002663,0.009862
2085302,1762292587.681636,2.505966,2.519085,0.002983,0.009542
2085302,1762292587.681647,2.504046,2.519085,0.002023,0.009542
2085305,1762292587.684543,2.505006,2.519085,0.002503,0.009542
2085317,1762292587.696908,2.503086,2.520045,0.001543,0.010022
2085318,1762292587.697949,2.504046,2.519085,0.002023,0.009542
2085318,1762292587.697981,2.504046,2.519405,0.002023,0.009702
2085318,1762292587.697989,2.503086,2.520045,0.001543,0.010022
2085318,1762292587.697995,2.502126,2.518445,0.001063,0.009222
2085318,1762292587.698001,2.501486,2.518445,0.000743,0.009222
2085318,1762292587.698012,2.501806,2.519405,0.000903,0.009702
2085318,1762292587.698017,2.500846,2.518445,0.000423,0.009222
2085318,1762292587.698021,2.500206,2.519405,0.000103,0.009702
2085319,1762292587.698418,2.499886,2.518125,-0.000057,0.009062
2085334,1762292587.714121,2.499246,2.518125,-0.000377,0.009062
2085334,1762292587.714177,2.498606,2.519085,-0.000697,0.009542
2085334,1762292587.714259,2.498286,2.518125,-0.000857,0.009062
2085334,1762292587.714303,2.498286,2.517485,-0.000857,0.008742
2085334,1762292587.714337,2.497326,2.517805,-0.001337,0.008902
2085335,1762292587.714371,2.496366,2.517485,-0.001817,0.008742
2085335,1762292587.714410,2.496366,2.516525,-0.001817,0.008262
2085335,1762292587.714431,2.496366,2.515565,-0.001817,0.007782
2085335,1762292587.714437,2.495086,2.516845,-0.002457,0.008422
2085335,1762292587.714443,2.495086,2.516525,-0.002457,0.008262
2085349,1762292587.729073,2.495406,2.516205,-0.002297,0.008102
2085349,1762292587.729119,2.495406,2.515245,-0.002297,0.007622
2085349,1762292587.729127,2.494446,2.514285,-0.002777,0.007142
2085349,1762292587.729134,2.494766,2.514925,-0.002617,0.007462
2085349,1762292587.729139,2.494126,2.514285,-0.002937,0.007142
2085349,1762292587.729144,2.494126,2.513005,-0.002937,0.006503
2085349,1762292587.729149,2.493167,2.514925,-0.003417,0.007462
2085349,1762292587.729159,2.493167,2.513965,-0.003417,0.006983
2085349,1762292587.729164,2.495086,2.513005,-0.002457,0.006503
2085349,1762292587.729169,2.493167,2.514285,-0.003417,0.007142
2085350,1762292587.729426,2.493487,2.512365,-0.003257,0.006183
2085350,1762292587.729443,2.493806,2.513005,-0.003097,0.006503
2085350,1762292587.729449,2.493167,2.513005,-0.003417,0.006503
2085350,1762292587.729455,2.493487,2.511725,-0.003257,0.005863
2085350,1762292587.729460,2.493487,2.513965,-0.003257,0.006983
2085350,1762292587.729465,2.493806,2.511405,-0.003097,0.005703
2085350,1762292587.729470,2.494446,2.512365,-0.002777,0.006183
2085350,1762292587.729475,2.492847,2.512045,-0.003577,0.006023
2085350,1762292587.729480,2.494446,2.511085,-0.002777,0.005543
2085350,1762292587.729485,2.494446,2.511725,-0.002777,0.005863
2085365,1762292587.744949,2.493806,2.511085,-0.003097,0.005543
2085365,1762292587.744998,2.494446,2.510765,-0.002777,0.005383
2085365,1762292587.745009,2.492847,2.512045,-0.003577,0.006023
2085365,1762292587.745019,2.493806,2.516845,-0.003097,0.008422
2085365,1762292587.745027,2.494766,2.510445,-0.002617,0.005223
2085365,1762292587.745031,2.493806,2.511085,-0.003097,0.005543
2085365,1762292587.745035,2.495406,2.509165,-0.002297,0.004583
2085365,1762292587.745039,2.494446,2.510445,-0.002777,0.005223
2085365,1762292587.745044,2.494766,2.510765,-0.002617,0.005383
2085365,1762292587.745048,2.495086,2.510445,-0.002457,0.005223
2085380,1762292587.760214,2.494126,2.504686,-0.002937,0.002343
2085381,1762292587.761284,2.494446,2.509485,-0.002777,0.004743
2085381,1762292587.761326,2.495086,2.510125,-0.002457,0.005063
2085382,1762292587.761412,2.494446,2.510445,-0.002777,0.005223
2085382,1762292587.761438,2.495406,2.509805,-0.002297,0.004903
2085385,1762292587.764961,2.496686,2.509485,-0.001657,0.004743
2085385,1762292587.764989,2.494766,2.510765,-0.002617,0.005383
2085386,1762292587.765492,2.496046,2.507885,-0.001977,0.003943
2085386,1762292587.765538,2.496686,2.509805,-0.001657,0.004903
2085386,1762292587.765878,2.496366,2.509485,-0.001817,0.004743
2085387,1762292587.766749,2.496366,2.509485,-0.001817,0.004743
2085389,1762292587.768657,2.497326,2.509165,-0.001337,0.004583
2085389,1762292587.768712,2.497326,2.509165,-0.001337,0.004583
2085389,1762292587.768731,2.497966,2.508845,-0.001017,0.004423
2085389,1762292587.768807,2.497006,2.509165,-0.001497,0.004583
2085389,1762292587.768822,2.498606,2.508205,-0.000697,0.004103
2085389,1762292587.768836,2.498926,2.508205,-0.000537,0.004103
2085389,1762292587.768855,2.499566,2.507885,-0.000217,0.003943
2085389,1762292587.768872,2.499246,2.507565,-0.000377,0.003783
2085389,1762292587.768887,2.500206,2.507565,0.000103,0.003783
2085400,1762292587.779432,2.499886,2.525164,-0.000057,0.012582
2085400,1762292587.779871,2.500526,2.510445,0.000263,0.005223
2085400,1762292587.779888,2.501166,2.506926,0.000583,0.003463
2085400,1762292587.779897,2.500846,2.512685,0.000423,0.006343
2085400,1762292587.779905,2.501806,2.506926,0.000903,0.003463
2085400,1762292587.779917,2.502126,2.505966,0.001063,0.002983
2085400,1762292587.779986,2.502126,2.507246,0.001063,0.003623
2085400,1762292587.780037,2.502446,2.512365,0.001223,0.006183
2085400,1762292587.780071,2.502446,2.509805,0.001223,0.004903
2085400,1762292587.780140,2.503406,2.513005,0.001703,0.006503
2085401,1762292587.780377,2.502126,2.509165,0.001063,0.004583
2085401,1762292587.780394,2.502126,2.505006,0.001063,0.002503
2085401,1762292587.780426,2.503406,2.505006,0.001703,0.002503
2085401,1762292587.780451,2.503406,2.514605,0.001703,0.007302
2085401,1762292587.780457,2.503406,2.510765,0.001703,0.005383
2085401,1762292587.780495,2.503406,2.504366,0.001703,0.002183
2085401,1762292587.781173,2.504046,2.495726,0.002023,-0.002137
2085401,1762292587.781181,2.504686,2.502126,0.002343,0.001063
2085401,1762292587.781187,2.504366,2.506926,0.002183,0.003463
2085401,1762292587.781271,2.504046,2.521005,0.002023,0.010502
2085412,1762292587.792346,2.504366,2.502126,0.002183,0.001063
2085413,1762292587.792401,2.504686,2.502446,0.002343,0.001223
2085413,1762292587.792448,2.504366,2.503086,0.002183,0.001543
2085413,1762292587.793226,2.505646,2.505326,0.002823,0.002663
2085413,1762292587.793238,2.505006,2.500846,0.002503,0.000423
2085413,1762292587.793245,2.505326,2.511085,0.002663,0.005543
2085413,1762292587.793252,2.506606,2.505006,0.003303,0.002503
2085413,1762292587.793257,2.505966,2.500206,0.002983,0.000103
2085413,1762292587.793263,2.507246,2.509485,0.003623,0.004743
2085413,1762292587.793272,2.506606,2.509165,0.003303,0.004583
2085429,1762292587.808373,2.506606,2.513325,0.003303,0.006663
2085429,1762292587.808399,2.507885,2.505646,0.003943,0.002823
2085429,1762292587.808404,2.507246,2.506606,0.003623,0.003303
2085429,1762292587.808408,2.507885,2.507565,0.003943,0.003783
2085429,1762292587.808412,2.508525,2.503406,0.004263,0.001703
2085429,1762292587.808416,2.508205,2.500526,0.004103,0.000263
2085429,1762292587.808419,2.508205,2.518445,0.004103,0.009222
2085429,1762292587.808423,2.508205,2.511725,0.004103,0.005863
2085429,1762292587.808426,2.509485,2.510125,0.004743,0.005063
2085429,1762292587.808430,2.510445,2.504686,0.005223,0.002343
2085429,1762292587.808557,2.509485,2.506286,0.004743,0.003143
2085429,1762292587.808563,2.509805,2.506926,0.004903,0.003463
2085429,1762292587.808568,2.510445,2.505966,0.005223,0.002983
2085429,1762292587.808571,2.509805,2.505646,0.004903,0.002823
2085429,1762292587.808574,2.509805,2.517165,0.004903,0.008582
2085429,1762292587.808578,2.510765,2.510765,0.005383,0.005383
2085429,1762292587.808581,2.509805,2.504686,0.004903,0.002343
