time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1834490,1762292336.269718,ACCEL,0,0.00000,0.12000,0.06749,1834490
1834495,1762292336.370985,ACCEL,0,0.00000,0.12000,0.06749,1834495
1834500,1762292336.371007,ACCEL,1,0.00491,0.12000,0.06763,1834500
1834505,1762292336.371019,ACCEL,1,0.00491,0.12000,0.06763,1834505
1834510,1762292336.371029,ACCEL,1,0.00491,0.12000,0.06763,1834510
1834515,1762292336.371039,ACCEL,1,0.00491,0.12000,0.06763,1834515
1834520,1762292336.371048,ACCEL,1,0.00491,0.12000,0.06763,1834520
1834525,1762292336.371056,ACCEL,1,0.00491,0.12000,0.06763,1834525
1834530,1762292336.371065,ACCEL,1,0.00491,0.12000,0.06763,1834530
1834535,1762292336.371074,ACCEL,1,0.00491,0.12000,0.06763,1834535
1834540,1762292336.371083,ACCEL,2,0.00982,0.12000,0.06776,1834540
1834545,1762292336.371092,ACCEL,2,0.00982,0.12000,0.06776,1834545
1834550,1762292336.371100,ACCEL,2,0.00982,0.12000,0.06776,1834550
1834555,1762292336.371108,ACCEL,2,0.00982,0.12000,0.06776,1834555
1834560,1762292336.371116,ACCEL,2,0.00982,0.12000,0.06776,1834560
1834565,1762292336.371124,ACCEL,2,0.00982,0.12000,0.06776,1834565
1834570,1762292336.371132,ACCEL,2,0.00982,0.12000,0.06776,1834570
1834575,1762292336.371141,ACCEL,2,0.00982,0.12000,0.06776,1834575
1834580,1762292336.371149,ACCEL,3,0.01473,0.12000,0.06790,1834580
1834585,1762292336.371157,ACCEL,3,0.01473,0.12000,0.06790,1834585
1834590,1762292336.371165,ACCEL,3,0.01473,0.12000,0.06790,1834590
1834595,1762292336.371174,ACCEL,3,0.01473,0.12000,0.06790,1834595
1834600,1762292336.371190,ACCEL,3,0.01473,0.12000,0.06790,1834600
1834605,1762292336.371199,ACCEL,3,0.01473,0.12000,0.06790,1834605
1834610,1762292336.371207,ACCEL,3,0.01473,0.12000,0.06790,1834610
1834615,1762292336.371215,ACCEL,3,0.01473,0.12000,0.06790,1834615
1834620,1762292336.371223,ACCEL,4,0.01963,0.12000,0.06803,1834620
1834625,1762292336.371232,ACCEL,4,0.01963,0.12000,0.06803,1834625
1834630,1762292336.371240,ACCEL,4,0.01963,0.12000,0.06803,1834630
1834635,1762292336.371248,ACCEL,4,0.01963,0.12000,0.06803,1834635
1834640,1762292336.371256,ACCEL,4,0.01963,0.12000,0.06803,1834640
1834645,1762292336.371264,ACCEL,4,0.01963,0.12000,0.06803,1834645
1834650,1762292336.371272,ACCEL,4,0.01963,0.12000,0.06803,1834650
1834655,1762292336.371283,ACCEL,4,0.01963,0.12000,0.06803,1834655
1834660,1762292336.371291,ACCEL,4,0.01963,0.12000,0.06803,1834660
1834665,1762292336.371300,ACCEL,5,0.02454,0.12000,0.06817,1834665
1834670,1762292336.371307,ACCEL,5,0.02454,0.12000,0.06817,1834670
1834675,1762292336.371315,ACCEL,5,0.02454,0.12000,0.06817,1834675
1834680,1762292336.371323,ACCEL,5,0.02454,0.12000,0.06817,1834680
1834685,1762292336.371332,ACCEL,5,0.02454,0.12000,0.06817,1834685
1834690,1762292336.371340,ACCEL,5,0.02454,0.12000,0.06817,1834690
1834695,1762292336.371348,ACCEL,5,0.02454,0.12000,0.06817,1834695
1834700,1762292336.371361,ACCEL,5,0.02454,0.12000,0.06817,1834700
1834705,1762292336.371369,ACCEL,6,0.02945,0.12000,0.06831,1834705
1834710,1762292336.371377,ACCEL,6,0.02945,0.12000,0.06831,1834710
1834715,1762292336.371384,ACCEL,6,0.02945,0.12000,0.06831,1834715
1834720,1762292336.371391,ACCEL,6,0.02945,0.12000,0.06831,1834720
1834725,1762292336.371398,ACCEL,6,0.02945,0.12000,0.06831,1834725
1834840,1762292336.641890,ACCEL,9,0.04418,0.12000,0.06872,1834840
1834845,1762292336.641916,ACCEL,9,0.04418,0.12000,0.06872,1834845
1834850,1762292336.645080,ACCEL,9,0.04418,0.12000,0.06872,1834850
1834855,1762292336.645095,ACCEL,9,0.04418,0.12000,0.06872,1834855
1834860,1762292336.645106,ACCEL,9,0.04418,0.12000,0.06872,1834860
1834865,1762292336.645116,ACCEL,9,0.04418,0.12000,0.06872,1834865
1834870,1762292336.645125,ACCEL,10,0.04909,0.12000,0.06885,1834870
1834875,1762292336.645134,ACCEL,10,0.04909,0.12000,0.06885,1834875
1834880,1762292336.645142,ACCEL,10,0.04909,0.12000,0.06885,1834880
1834885,1762292336.645150,ACCEL,10,0.04909,0.12000,0.06885,1834885
1834890,1762292336.645158,ACCEL,10,0.04909,0.12000,0.06885,1834890
1834895,1762292336.645166,ACCEL,10,0.04909,0.12000,0.06885,1834895
1834900,1762292336.645174,ACCEL,10,0.04909,0.12000,0.06885,1834900
1834905,1762292336.645181,ACCEL,10,0.04909,0.12000,0.06885,1834905
1834910,1762292336.645188,ACCEL,11,0.05400,0.12000,0.06899,1834910
1834915,1762292336.645196,ACCEL,11,0.05400,0.12000,0.06899,1834915
1834920,1762292336.645203,ACCEL,11,0.05400,0.12000,0.06899,1834920
1834925,1762292336.645212,ACCEL,11,0.05400,0.12000,0.06899,1834925
1834930,1762292336.645219,ACCEL,11,0.05400,0.12000,0.06899,1834930
