time_ms,time_ts,v4,v5,g4,g5
1834506,1762292336.457632,2.508205,2.516845,0.004103,0.008422
1834506,1762292336.457692,2.506606,2.516205,0.003303,0.008102
1834506,1762292336.457706,2.507246,2.516205,0.003623,0.008102
1834506,1762292336.457730,2.507885,2.517165,0.003943,0.008582
1834506,1762292336.457764,2.507246,2.518125,0.003623,0.009062
1834506,1762292336.457794,2.508205,2.517805,0.004103,0.008902
1834506,1762292336.458213,2.507885,2.519725,0.003943,0.009862
1834506,1762292336.458318,2.507246,2.519405,0.003623,0.009702
1834507,1762292336.458689,2.508525,2.519725,0.004263,0.009862
1834510,1762292336.461902,2.507565,2.520045,0.003783,0.010022
1834521,1762292336.473411,2.506926,2.520045,0.003463,0.010022
1834521,1762292336.473454,2.508205,2.521324,0.004103,0.010662
1834521,1762292336.473467,2.508205,2.520045,0.004103,0.010022
1834521,1762292336.473534,2.508205,2.521005,0.004103,0.010502
1834522,1762292336.473593,2.507885,2.521324,0.003943,0.010662
1834522,1762292336.473658,2.508525,2.522284,0.004263,0.011142
1834522,1762292336.473693,2.508525,2.522284,0.004263,0.011142
1834522,1762292336.473701,2.509165,2.522924,0.004583,0.011462
1834522,1762292336.473705,2.508845,2.523884,0.004423,0.011942
1834522,1762292336.473709,2.508205,2.523564,0.004103,0.011782
1834536,1762292336.488441,2.510125,2.524524,0.005063,0.012262
1834538,1762292336.490186,2.509165,2.523564,0.004583,0.011782
1834538,1762292336.490337,2.508205,2.523564,0.004103,0.011782
1834538,1762292336.490419,2.508845,2.524524,0.004423,0.012262
1834538,1762292336.490443,2.508525,2.525164,0.004263,0.012582
1834538,1762292336.490450,2.509485,2.523564,0.004743,0.011782
1834543,1762292336.495252,2.509485,2.526124,0.004743,0.013062
1834544,1762292336.495722,2.508845,2.526124,0.004423,0.013062
1834544,1762292336.495730,2.508525,2.526124,0.004263,0.013062
1834544,1762292336.495736,2.508845,2.525804,0.004423,0.012902
1834552,1762292336.503640,2.510445,2.525804,0.005223,0.012902
1834552,1762292336.503707,2.509165,2.526124,0.004583,0.013062
1834552,1762292336.503734,2.507565,2.525804,0.003783,0.012902
1834552,1762292336.503746,2.508525,2.526444,0.004263,0.013222
1834552,1762292336.503752,2.508845,2.526764,0.004423,0.013382
1834552,1762292336.503758,2.507885,2.526124,0.003943,0.013062
1834552,1762292336.503803,2.507246,2.526764,0.003623,0.013382
1834552,1762292336.504155,2.506926,2.525804,0.003463,0.012902
1834552,1762292336.504171,2.507246,2.526444,0.003623,0.013222
1834552,1762292336.504189,2.507565,2.526444,0.003783,0.013222
1834552,1762292336.504413,2.506606,2.527084,0.003303,0.013542
1834552,1762292336.504423,2.506926,2.526124,0.003463,0.013062
1834552,1762292336.504429,2.507565,2.526444,0.003783,0.013222
1834552,1762292336.504434,2.507246,2.525164,0.003623,0.012582
1834552,1762292336.504439,2.506926,2.525804,0.003463,0.012902
1834552,1762292336.504444,2.506926,2.525804,0.003463,0.012902
1834552,1762292336.504449,2.506926,2.525484,0.003463,0.012742
1834552,1762292336.504454,2.505966,2.524844,0.002983,0.012422
1834552,1762292336.504460,2.506286,2.525484,0.003143,0.012742
1834552,1762292336.504469,2.506286,2.524524,0.003143,0.012262
1834567,1762292336.519386,2.506286,2.524524,0.003143,0.012262
1834567,1762292336.519415,2.506286,2.524844,0.003143,0.012422
1834567,1762292336.519423,2.505966,2.523244,0.002983,0.011622
1834567,1762292336.519430,2.506606,2.523244,0.003303,0.011622
1834567,1762292336.519508,2.505326,2.523244,0.002663,0.011622
1834567,1762292336.519528,2.505646,2.522284,0.002823,0.011142
1834567,1762292336.519534,2.505646,2.522924,0.002823,0.011462
1834567,1762292336.519539,2.505326,2.521964,0.002663,0.010982
1834568,1762292336.519579,2.506606,2.521324,0.003303,0.010662
1834568,1762292336.519615,2.504686,2.522604,0.002343,0.011302
1834582,1762292336.534399,2.505326,2.520685,0.002663,0.010342
1834582,1762292336.534426,2.505646,2.521644,0.002823,0.010822
1834582,1762292336.534432,2.505006,2.521324,0.002503,0.010662
1834582,1762292336.534438,2.505326,2.521324,0.002663,0.010662
1834582,1762292336.534455,2.505326,2.520365,0.002663,0.010182
1834582,1762292336.534479,2.504366,2.521005,0.002183,0.010502
1834582,1762292336.534538,2.504366,2.520685,0.002183,0.010342
1834583,1762292336.534550,2.503726,2.521005,0.001863,0.010502
1834583,1762292336.534557,2.503086,2.519725,0.001543,0.009862
1834583,1762292336.534565,2.504046,2.519405,0.002023,0.009702
1834583,1762292336.534810,2.502126,2.520045,0.001063,0.010022
1834583,1762292336.534840,2.502446,2.519725,0.001223,0.009862
1834583,1762292336.534845,2.503086,2.519085,0.001543,0.009542
1834583,1762292336.534849,2.502126,2.519405,0.001063,0.009702
1834583,1762292336.534853,2.501486,2.519085,0.000743,0.009542
1834583,1762292336.534856,2.501166,2.518765,0.000583,0.009382
1834583,1762292336.534860,2.500846,2.519405,0.000423,0.009702
1834583,1762292336.534866,2.500846,2.519085,0.000423,0.009542
1834583,1762292336.534869,2.500206,2.518125,0.000103,0.009062
1834583,1762292336.534873,2.500846,2.519085,0.000423,0.009542
1834600,1762292336.552157,2.499566,2.518125,-0.000217,0.009062
1834600,1762292336.552208,2.500206,2.519085,0.000103,0.009542
1834600,1762292336.552223,2.499246,2.517805,-0.000377,0.008902
1834600,1762292336.552236,2.499246,2.517805,-0.000377,0.008902
1834600,1762292336.552251,2.499566,2.518765,-0.000217,0.009382
1834600,1762292336.552265,2.498926,2.518125,-0.000537,0.009062
1834600,1762292336.552275,2.498926,2.517165,-0.000537,0.008582
1834600,1762292336.552288,2.498606,2.518445,-0.000697,0.009222
1834601,1762292336.553012,2.498926,2.517805,-0.000537,0.008902
1834605,1762292336.557232,2.499566,2.518765,-0.000217,0.009382
1834614,1762292336.566375,2.498926,2.517485,-0.000537,0.008742
1834614,1762292336.566401,2.499246,2.517485,-0.000377,0.008742
1834614,1762292336.566410,2.497646,2.517805,-0.001177,0.008902
1834614,1762292336.566428,2.498606,2.517485,-0.000697,0.008742
1834614,1762292336.566435,2.498286,2.518445,-0.000857,0.009222
1834614,1762292336.566441,2.498926,2.518445,-0.000537,0.009222
1834614,1762292336.566447,2.499246,2.518125,-0.000377,0.009062
1834614,1762292336.566455,2.497966,2.517485,-0.001017,0.008742
1834614,1762292336.566462,2.498286,2.517805,-0.000857,0.008902
1834614,1762292336.566903,2.498286,2.518445,-0.000857,0.009222
1834615,1762292336.567151,2.498286,2.517165,-0.000857,0.008582
