time_ms,time_ts,chatter
1762285673615,1762285673.615103,"-- Current Config --"
1762285673615,1762285673.615623,"MOTOR_STEP_DEG=1.800"
1762285673616,1762285673.616041,"WHEEL_DIAM_IN=3.750"
1762285673617,1762285673.617155,"ACCEL_FT=4.000"
1762285673617,1762285673.617211,"CRUISE_FT=10.000"
1762285673617,1762285673.617253,"DECEL_FT=4.000"
1762285673617,1762285673.617302,"VMAX_FPS=3.000"
1762285673617,1762285673.617350,"PAUSE_MS=10000"
1762285673617,1762285673.617412,"REWIND_TIME_S=30"
1762285673617,1762285673.617451,"DIR_INV=0"
1762285673617,1762285673.617497,"RATE_HZ=200"
1762285673617,1762285673.617540,"REWIND_CAL_IN=1.000"
1762285673677,1762285673.677485,"START received."
1762285673677,1762285673.677940,"=== PLAN (before motion) ==="
1762285673682,1762285673.682422,"Wheel dia=3.750 in, circ=0.98175 ft"
1762285673682,1762285673.682780,"steps/rev=200.0, steps/ft=203.72"
1762285673682,1762285673.682830,"Vpeak (ft/s)=3.000"
1762285673683,1762285673.683131,"Accel a (ft/s^2)=1.125"
1762285673683,1762285673.683196,"Decel d (ft/s^2)=1.125"
1762285673683,1762285673.683496,"Times: accel≈2.67s, cruise≈3.33s, decel≈2.67s, pause=10s, rewind≈30.00s, TOTAL≈48.67s"
1762285673683,1762285673.683786,"Rewind early-stop (in): 1.000"
1762285673684,1762285673.684850,"=== END PLAN ==="
1762285673684,1762285673.684897,"=== COUNTDOWN ==="
1762285673684,1762285673.684945,"5"
1762285674682,1762285674.682464,"4"
1762285675672,1762285675.672043,"3"
1762285676675,1762285676.675669,"WHISTLE!"
1762285677678,1762285677.678006,"1"
1762285678894,1762285678.894704,"START t_ms=2892548, t_s=2892.55"
2894218,1762285680.587456,"0.07305,2894233"
2896883,1762285683.276781,"0.71131,0.55390,2896918"
2897423,1762285683.797641,"1.08088,0.90261,2897438"
2900328,1762285686.729427,"0.00000,2900363"
2901423,1762285687.814667,"3.00000,0.00000,2901448"
2902763,1762285689.169882,"15.89940,2.17402,-1.86090,2902798"
2903308,1762285689.722489,"1.22873,2903338"
2911528,1762285697.955658,"0.00000,0.00000,2911553"
2912628,1762285699.067790,"0.00000,0.00000,2912663"
2914558,1762285700.988610,"0.00000,2914598"
2915103,1762285701.536298,"0.00000,2915128"
2917048,1762285703.502072,"0.00000,2917083"
2917328,1762285703.786694,"0.00000,2917368"
2919853,1762285706.283970,"1.00000,0.00000,2919878"
2920393,1762285706.829088,"0.00000,2920423"
2921208,1762285707.649626,"11.01030,-1.00000,0.00000,2921243"
2921488,1762285707.935412,"0.00000,2921508"
2923713,1762285710.163272,"1.00000,0.00000,2923758"
2925648,1762285712.099988,"1.00000,0.00000,2925673"
2927263,1762285713.694605,"4.93819,-1.00000,0.00000,2927283"
2928858,1762285715.309951,"0.00000,2928883"
2932158,1762285718.422746,"0.00000,2932193"
2932203,1762285718.423367,"=== RUN END ==="
2932203,1762285718.458576,"Type START to run again, or SHOW to view config."
