time_ms,time_ts,v4,v5,g4,g5
2945898,1762285732.500333,2.498606,2.534124,-0.000697,0.017062
2945898,1762285732.500397,2.499246,2.535403,-0.000377,0.017702
2945898,1762285732.500422,2.499246,2.535403,-0.000377,0.017702
2945898,1762285732.500438,2.498926,2.535403,-0.000537,0.017702
2945898,1762285732.500451,2.499566,2.535403,-0.000217,0.017702
2945898,1762285732.500473,2.499886,2.535723,-0.000057,0.017862
2945898,1762285732.500492,2.499566,2.537003,-0.000217,0.018502
2945898,1762285732.500507,2.499886,2.537643,-0.000057,0.018822
2945898,1762285732.500549,2.500526,2.537643,0.000263,0.018822
2945901,1762285732.503797,2.499566,2.538603,-0.000217,0.019302
2945914,1762285732.515986,2.500526,2.539563,0.000263,0.019782
2945914,1762285732.516029,2.499566,2.539883,-0.000217,0.019942
2945914,1762285732.516041,2.500526,2.539243,0.000263,0.019622
2945914,1762285732.516046,2.501166,2.540523,0.000583,0.020262
2945914,1762285732.516049,2.500846,2.540843,0.000423,0.020422
2945914,1762285732.516053,2.501486,2.541163,0.000743,0.020582
2945914,1762285732.516057,2.502126,2.541483,0.001063,0.020742
2945914,1762285732.516064,2.502126,2.541483,0.001063,0.020742
2945914,1762285732.516067,2.502126,2.543723,0.001063,0.021861
2945914,1762285732.516071,2.501806,2.543083,0.000903,0.021541
2945931,1762285732.533281,2.502766,2.543723,0.001383,0.021861
2945931,1762285732.533365,2.502766,2.543083,0.001383,0.021541
2945931,1762285732.533386,2.502766,2.544043,0.001383,0.022021
2945931,1762285732.533392,2.502766,2.545003,0.001383,0.022501
2945931,1762285732.533399,2.502766,2.545003,0.001383,0.022501
2945931,1762285732.533404,2.503086,2.544043,0.001543,0.022021
2945932,1762285732.534239,2.502766,2.545963,0.001383,0.022981
2945934,1762285732.536604,2.503406,2.545323,0.001703,0.022661
2945935,1762285732.537150,2.502766,2.545643,0.001383,0.022821
2945935,1762285732.537182,2.502446,2.546283,0.001223,0.023141
2945948,1762285732.550698,2.502446,2.546603,0.001223,0.023301
2945948,1762285732.550725,2.503726,2.546923,0.001863,0.023461
2945948,1762285732.550793,2.503086,2.546603,0.001543,0.023301
2945948,1762285732.550812,2.503406,2.546603,0.001703,0.023301
2945948,1762285732.550827,2.504366,2.546603,0.002183,0.023301
2945948,1762285732.550833,2.504046,2.545963,0.002023,0.022981
2945948,1762285732.550838,2.504046,2.546603,0.002023,0.023301
2945948,1762285732.550844,2.504046,2.546603,0.002023,0.023301
2945948,1762285732.550849,2.503726,2.545643,0.001863,0.022821
2945948,1762285732.550854,2.503726,2.546603,0.001863,0.023301
2945949,1762285732.551039,2.504046,2.545643,0.002023,0.022821
2945949,1762285732.551404,2.503726,2.545643,0.001863,0.022821
2945949,1762285732.551411,2.504366,2.546283,0.002183,0.023141
2945949,1762285732.551417,2.503726,2.545963,0.001863,0.022981
2945949,1762285732.551421,2.504686,2.545643,0.002343,0.022821
2945949,1762285732.551427,2.504046,2.545963,0.002023,0.022981
2945949,1762285732.551432,2.503726,2.546603,0.001863,0.023301
2945949,1762285732.551436,2.504366,2.545643,0.002183,0.022821
2945949,1762285732.551442,2.504046,2.545963,0.002023,0.022981
2945949,1762285732.551447,2.503726,2.546283,0.001863,0.023141
2945962,1762285732.563993,2.503406,2.545963,0.001703,0.022981
2945962,1762285732.564016,2.503406,2.546603,0.001703,0.023301
2945962,1762285732.564037,2.501486,2.546603,0.000743,0.023301
2945962,1762285732.564085,2.503406,2.545643,0.001703,0.022821
2945962,1762285732.564114,2.504366,2.545003,0.002183,0.022501
2945962,1762285732.564121,2.501486,2.546603,0.000743,0.023301
2945962,1762285732.564126,2.503406,2.545963,0.001703,0.022981
2945962,1762285732.564132,2.503726,2.545643,0.001863,0.022821
