time_ms,time_ts,chatter
1762285206507,1762285206.507642,"-- Current Config --"
1762285206510,1762285206.510533,"MOTOR_STEP_DEG=1.800"
1762285206510,1762285206.510609,"WHEEL_DIAM_IN=3.750"
1762285206510,1762285206.510650,"ACCEL_FT=4.000"
1762285206511,1762285206.511053,"CRUISE_FT=10.000"
1762285206511,1762285206.511099,"DECEL_FT=4.000"
1762285206511,1762285206.511132,"VMAX_FPS=3.000"
1762285206511,1762285206.511162,"PAUSE_MS=10000"
1762285206511,1762285206.511238,"REWIND_TIME_S=30"
1762285206511,1762285206.511274,"DIR_INV=0"
1762285206511,1762285206.511310,"RATE_HZ=200"
1762285206511,1762285206.511345,"REWIND_CAL_IN=1.000"
1762285206564,1762285206.564607,"START received."
1762285206568,1762285206.568061,"=== PLAN (before motion) ==="
1762285206572,1762285206.572174,"Wheel dia=3.750 in, circ=0.98175 ft"
1762285206572,1762285206.572214,"steps/rev=200.0, steps/ft=203.72"
1762285206572,1762285206.572244,"Vpeak (ft/s)=3.000"
1762285206572,1762285206.572271,"Accel a (ft/s^2)=1.125"
1762285206572,1762285206.572841,"Decel d (ft/s^2)=1.125"
1762285206573,1762285206.573220,"Times: accel≈2.67s, cruise≈3.33s, decel≈2.67s, pause=10s, rewind≈30.00s, TOTAL≈48.67s"
1762285206573,1762285206.573566,"Rewind early-stop (in): 1.000"
1762285206573,1762285206.573598,"=== END PLAN ==="
1762285206573,1762285206.573621,"=== COUNTDOWN ==="
1762285206573,1762285206.573643,"5"
1762285207575,1762285207.575187,"4"
1762285208559,1762285208.559460,"3"
1762285210560,1762285210.560372,"1"
2426423,1762285212.168239,"0.06872,2426548"
2429728,1762285215.382400,"0.40155,0.28224,2429758"
2432413,1762285218.059991,"3.00000,0.00000,2432433"
2433198,1762285218.873186,"0.00000,2433238"
2433748,1762285219.412873,"0.00000,2433773"
2435393,1762285221.060225,"0.00000,2435428"
2436208,1762285221.891372,"2.38708,-1.98488,2436233"
2438928,1762285224.613271,"0.00000,2438958"
2440588,1762285226.259222,"0.00000,2440618"
2441123,1762285226.806175,"0.00000,0.00000,2441148"
2441668,1762285227.357259,"0.00000,0.00000,2441698"
2443338,1762285229.037787,"0.00000,0.00000,2443373"
2447798,1762285233.506335,"0.00000,2447818"
2448653,1762285234.366575,"1.00000,0.00000,2448688"
2450943,1762285236.653891,"0.00000,2450983"
2454788,1762285240.493701,"0.00000,2454818"
2455608,1762285241.323746,"0.00000,2455643"
2455888,1762285241.587486,"0.00000,2455918"
2456428,1762285242.113068,"0.00000,2456443"
2458018,1762285243.712542,"0.00000,2458033"
2460753,1762285246.475141,"1.00000,0.00000,2460778"
2461308,1762285247.042925,"4.50622,-1.00000,0.00000,2461343"
2461588,1762285247.324479,"1.00000,0.00000,2461628"
2465828,1762285251.306837,"=== RUN END ==="
2465828,1762285251.355582,"Type START to run again, or SHOW to view config."
