time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
356270,1762288449.394254,ACCEL,0,0.00000,0.12000,0.03374,356270
356275,1762288449.495692,ACCEL,0,0.00000,0.12000,0.03374,356275
356280,1762288449.495713,ACCEL,1,0.00491,0.12000,0.03381,356280
356285,1762288449.495723,ACCEL,1,0.00491,0.12000,0.03381,356285
356290,1762288449.495732,ACCEL,1,0.00491,0.12000,0.03381,356290
356295,1762288449.495758,ACCEL,1,0.00491,0.12000,0.03381,356295
356300,1762288449.495814,ACCEL,1,0.00491,0.12000,0.03381,356300
356305,1762288449.495837,ACCEL,1,0.00491,0.12000,0.03381,356305
356310,1762288449.495849,ACCEL,1,0.00491,0.12000,0.03381,356310
356315,1762288449.495858,ACCEL,1,0.00491,0.12000,0.03381,356315
356320,1762288449.495866,ACCEL,2,0.00982,0.12000,0.03388,356320
356325,1762288449.495873,ACCEL,2,0.00982,0.12000,0.03388,356325
356330,1762288449.495880,ACCEL,2,0.00982,0.12000,0.03388,356330
356335,1762288449.495887,ACCEL,2,0.00982,0.12000,0.03388,356335
356340,1762288449.495893,ACCEL,2,0.00982,0.12000,0.03388,356340
356345,1762288449.495900,ACCEL,2,0.00982,0.12000,0.03388,356345
356350,1762288449.495906,ACCEL,2,0.00982,0.12000,0.03388,356350
356355,1762288449.495914,ACCEL,2,0.00982,0.12000,0.03388,356355
356360,1762288449.495926,ACCEL,3,0.01473,0.12000,0.03395,356360
356365,1762288449.495932,ACCEL,3,0.01473,0.12000,0.03395,356365
356370,1762288449.495938,ACCEL,3,0.01473,0.12000,0.03395,356370
356375,1762288449.495944,ACCEL,3,0.01473,0.12000,0.03395,356375
356380,1762288449.495950,ACCEL,3,0.01473,0.12000,0.03395,356380
356385,1762288449.495956,ACCEL,3,0.01473,0.12000,0.03395,356385
356390,1762288449.495962,ACCEL,3,0.01473,0.12000,0.03395,356390
356395,1762288449.495971,ACCEL,3,0.01473,0.12000,0.03395,356395
356400,1762288449.495977,ACCEL,4,0.01963,0.12000,0.03402,356400
356405,1762288449.495983,ACCEL,4,0.01963,0.12000,0.03402,356405
356410,1762288449.495990,ACCEL,4,0.01963,0.12000,0.03402,356410
356415,1762288449.495995,ACCEL,4,0.01963,0.12000,0.03402,356415
356420,1762288449.496001,ACCEL,4,0.01963,0.12000,0.03402,356420
356425,1762288449.496007,ACCEL,4,0.01963,0.12000,0.03402,356425
356430,1762288449.496013,ACCEL,4,0.01963,0.12000,0.03402,356430
356435,1762288449.496021,ACCEL,4,0.01963,0.12000,0.03402,356435
356440,1762288449.496135,ACCEL,4,0.01963,0.12000,0.03402,356440
356445,1762288449.496156,ACCEL,5,0.02454,0.12000,0.03409,356445
356450,1762288449.496165,ACCEL,5,0.02454,0.12000,0.03409,356450
356455,1762288449.496172,ACCEL,5,0.02454,0.12000,0.03409,356455
356460,1762288449.496179,ACCEL,5,0.02454,0.12000,0.03409,356460
356465,1762288449.496186,ACCEL,5,0.02454,0.12000,0.03409,356465
356470,1762288449.496192,ACCEL,5,0.02454,0.12000,0.03409,356470
356475,1762288449.496201,ACCEL,5,0.02454,0.12000,0.03409,356475
356480,1762288449.496207,ACCEL,5,0.02454,0.12000,0.03409,356480
356485,1762288449.496213,ACCEL,6,0.02945,0.12000,0.03415,356485
356490,1762288449.496219,ACCEL,6,0.02945,0.12000,0.03415,356490
356495,1762288449.496226,ACCEL,6,0.02945,0.12000,0.03415,356495
356500,1762288449.496232,ACCEL,6,0.02945,0.12000,0.03415,356500
356505,1762288449.496238,ACCEL,6,0.02945,0.12000,0.03415,356505
356630,1762288449.765790,ACCEL,9,0.04418,0.12000,0.03436,356630
356635,1762288449.765815,ACCEL,9,0.04418,0.12000,0.03436,356635
356640,1762288449.766486,ACCEL,9,0.04418,0.12000,0.03436,356640
356645,1762288449.766499,ACCEL,9,0.04418,0.12000,0.03436,356645
356651,1762288449.766508,ACCEL,10,0.04909,0.12000,0.03443,356651
356655,1762288449.766518,ACCEL,10,0.04909,0.12000,0.03443,356655
356660,1762288449.766526,ACCEL,10,0.04909,0.12000,0.03443,356660
356665,1762288449.766534,ACCEL,10,0.04909,0.12000,0.03443,356665
356670,1762288449.766541,ACCEL,10,0.04909,0.12000,0.03443,356670
356675,1762288449.766549,ACCEL,10,0.04909,0.12000,0.03443,356675
356680,1762288449.766556,ACCEL,10,0.04909,0.12000,0.03443,356680
356685,1762288449.766563,ACCEL,10,0.04909,0.12000,0.03443,356685
356691,1762288449.766570,ACCEL,11,0.05400,0.12000,0.03449,356691
356695,1762288449.766576,ACCEL,11,0.05400,0.12000,0.03449,356695
356700,1762288449.766583,ACCEL,11,0.05400,0.12000,0.03449,356700
356705,1762288449.766590,ACCEL,11,0.05400,0.12000,0.03449,356705
356710,1762288449.766596,ACCEL,11,0.05400,0.12000,0.03449,356710
356715,1762288449.766604,ACCEL,11,0.05400,0.12000,0.03449,356715
356720,1762288449.766611,ACCEL,11,0.05400,0.12000,0.03449,356720
356725,1762288449.766617,ACCEL,11,0.05400,0.12000,0.03449,356725
356730,1762288449.766623,ACCEL,12,0.05890,0.12000,0.03456,356730
356735,1762288449.766629,ACCEL,12,0.05890,0.12000,0.03456,356735
356741,1762288449.766635,ACCEL,12,0.05890,0.12000,0.03456,356741
356745,1762288449.766641,ACCEL,12,0.05890,0.12000,0.03456,356745
356750,1762288449.766647,ACCEL,12,0.05890,0.12000,0.03456,356750
356756,1762288449.766654,ACCEL,12,0.05890,0.12000,0.03456,356756
356760,1762288449.766660,ACCEL,12,0.05890,0.12000,0.03456,356760
356765,1762288449.766666,ACCEL,12,0.05890,0.12000,0.03456,356765
356771,1762288449.766672,ACCEL,13,0.06381,0.12000,0.03463,356771
356775,1762288449.766680,ACCEL,13,0.06381,0.12000,0.03463,356775
356780,1762288449.766687,ACCEL,13,0.06381,0.12000,0.03463,356780
356785,1762288449.766693,ACCEL,13,0.06381,0.12000,0.03463,356785
356790,1762288449.766699,ACCEL,13,0.06381,0.12000,0.03463,356790
356795,1762288449.766705,ACCEL,13,0.06381,0.12000,0.03463,356795
356801,1762288449.766711,ACCEL,13,0.06381,0.12000,0.03463,356801
356805,1762288449.766717,ACCEL,13,0.06381,0.12000,0.03463,356805
356810,1762288449.766724,ACCEL,14,0.06872,0.12000,0.03470,356810
356815,1762288449.766730,ACCEL,14,0.06872,0.12000,0.03470,356815
356820,1762288449.766736,ACCEL,14,0.06872,0.12000,0.03470,356820
356825,1762288449.766742,ACCEL,14,0.06872,0.12000,0.03470,356825
356830,1762288449.766748,ACCEL,14,0.06872,0.12000,0.03470,356830
356835,1762288449.766754,ACCEL,14,0.06872,0.12000,0.03470,356835
356840,1762288449.766760,ACCEL,14,0.06872,0.12000,0.03470,356840
356845,1762288449.766767,ACCEL,14,0.06872,0.12000,0.03470,356845
356850,1762288449.766774,ACCEL,15,0.07363,0.12000,0.03477,356850
356855,1762288449.766782,ACCEL,15,0.07363,0.12000,0.03477,356855
356860,1762288449.766789,ACCEL,15,0.07363,0.12000,0.03477,356860
356865,1762288449.766795,ACCEL,15,0.07363,0.12000,0.03477,356865
356870,1762288449.766802,ACCEL,15,0.07363,0.12000,0.03477,356870
356875,1762288449.766813,ACCEL,15,0.07363,0.12000,0.03477,356875
356900,1762288450.023707,ACCEL,16,0.07854,0.12000,0.03483,356900
356905,1762288450.023737,ACCEL,16,0.07854,0.12000,0.03483,356905
356910,1762288450.023799,ACCEL,16,0.07854,0.12000,0.03483,356910
356915,1762288450.023809,ACCEL,16,0.07854,0.12000,0.03483,356915
356920,1762288450.023817,ACCEL,16,0.07854,0.12000,0.03483,356920
356925,1762288450.023825,ACCEL,16,0.07854,0.12000,0.03483,356925
356930,1762288450.023833,ACCEL,16,0.07854,0.12000,0.03483,356930
356935,1762288450.023840,ACCEL,17,0.08345,0.12000,0.03490,356935
356940,1762288450.023849,ACCEL,17,0.08345,0.12000,0.03490,356940
356945,1762288450.023856,ACCEL,17,0.08345,0.12000,0.03490,356945
356950,1762288450.023864,ACCEL,17,0.08345,0.12000,0.03490,356950
356955,1762288450.023875,ACCEL,17,0.08345,0.12000,0.03490,356955
356960,1762288450.023882,ACCEL,17,0.08345,0.12000,0.03490,356960
356965,1762288450.023889,ACCEL,17,0.08345,0.12000,0.03490,356965
356970,1762288450.023896,ACCEL,17,0.08345,0.12000,0.03490,356970
356976,1762288450.023904,ACCEL,18,0.08836,0.12000,0.03497,356976
356980,1762288450.023911,ACCEL,18,0.08836,0.12000,0.03497,356980
356985,1762288450.023919,ACCEL,18,0.08836,0.12000,0.03497,356985
356990,1762288450.023926,ACCEL,18,0.08836,0.12000,0.03497,356990
356995,1762288450.023933,ACCEL,18,0.08836,0.12000,0.03497,356995
357000,1762288450.023940,ACCEL,18,0.08836,0.12000,0.03497,357000
357005,1762288450.023948,ACCEL,18,0.08836,0.12000,0.03497,357005
357010,1762288450.023955,ACCEL,18,0.08836,0.12000,0.03497,357010
357015,1762288450.023962,ACCEL,19,0.09327,0.12000,0.03504,357015
357020,1762288450.023970,ACCEL,19,0.09327,0.12000,0.03504,357020
357025,1762288450.023977,ACCEL,19,0.09327,0.12000,0.03504,357025
357030,1762288450.023984,ACCEL,19,0.09327,0.12000,0.03504,357030
357035,1762288450.023991,ACCEL,19,0.09327,0.12000,0.03504,357035
357041,1762288450.023997,ACCEL,19,0.09327,0.12000,0.03504,357041
357045,1762288450.024004,ACCEL,19,0.09327,0.12000,0.03504,357045
357050,1762288450.024011,ACCEL,19,0.09327,0.12000,0.03504,357050
357055,1762288450.024019,ACCEL,20,0.09817,0.12000,0.03511,357055
357060,1762288450.024026,ACCEL,20,0.09817,0.12000,0.03511,357060
357066,1762288450.024032,ACCEL,20,0.09817,0.12000,0.03511,357066
357070,1762288450.024039,ACCEL,20,0.09817,0.12000,0.03511,357070
357075,1762288450.024046,ACCEL,20,0.09817,0.12000,0.03511,357075
357080,1762288450.024053,ACCEL,20,0.09817,0.12000,0.03511,357080
357085,1762288450.024059,ACCEL,20,0.09817,0.12000,0.03511,357085
357090,1762288450.024107,ACCEL,20,0.09817,0.12000,0.03511,357090
357095,1762288450.024119,ACCEL,20,0.09817,0.12000,0.03511,357095
357100,1762288450.024126,ACCEL,21,0.10308,0.12000,0.03517,357100
357105,1762288450.024133,ACCEL,21,0.10308,0.12000,0.03517,357105
357110,1762288450.024139,ACCEL,21,0.10308,0.12000,0.03517,357110
357115,1762288450.024146,ACCEL,21,0.10308,0.12000,0.03517,357115
357120,1762288450.024153,ACCEL,21,0.10308,0.12000,0.03517,357120
357125,1762288450.024160,ACCEL,21,0.10308,0.12000,0.03517,357125
357130,1762288450.024167,ACCEL,21,0.10308,0.12000,0.03517,357130
357135,1762288450.024173,ACCEL,21,0.10308,0.12000,0.03517,357135
357140,1762288450.024180,ACCEL,22,0.10799,0.12000,0.03524,357140
357145,1762288450.024187,ACCEL,22,0.10799,0.12000,0.03524,357145
357160,1762288450.297349,ACCEL,22,0.10799,0.12000,0.03524,357160
357165,1762288450.297382,ACCEL,22,0.10799,0.12000,0.03524,357165
357170,1762288450.297482,ACCEL,22,0.10799,0.12000,0.03524,357170
357175,1762288450.297498,ACCEL,22,0.10799,0.12000,0.03524,357175
357180,1762288450.297540,ACCEL,23,0.11290,0.12000,0.03531,357180
357185,1762288450.297558,ACCEL,23,0.11290,0.12000,0.03531,357185
357190,1762288450.297570,ACCEL,23,0.11290,0.12000,0.03531,357190
357195,1762288450.297610,ACCEL,23,0.11290,0.12000,0.03531,357195
357200,1762288450.297621,ACCEL,23,0.11290,0.12000,0.03531,357200
357205,1762288450.297640,ACCEL,23,0.11290,0.12000,0.03531,357205
357210,1762288450.297734,ACCEL,23,0.11290,0.12000,0.03531,357210
357215,1762288450.297802,ACCEL,23,0.11290,0.12000,0.03531,357215
357220,1762288450.297816,ACCEL,24,0.11781,0.12000,0.03538,357220
357225,1762288450.297838,ACCEL,24,0.11781,0.12000,0.03538,357225
357230,1762288450.297857,ACCEL,24,0.11781,0.12000,0.03538,357230
357235,1762288450.297871,ACCEL,24,0.11781,0.12000,0.03538,357235
357240,1762288450.297881,ACCEL,24,0.11781,0.12000,0.03538,357240
357246,1762288450.297890,ACCEL,24,0.11781,0.12000,0.03538,357246
357250,1762288450.297899,ACCEL,24,0.11781,0.12000,0.03538,357250
