time_ms,time_ts,chatter
1762288508583,1762288508.583437,"-- Current Config --"
1762288508583,1762288508.583882,"MOTOR_STEP_DEG=1.800"
1762288508583,1762288508.583966,"WHEEL_DIAM_IN=3.750"
1762288508584,1762288508.584297,"ACCEL_FT=4.000"
1762288508584,1762288508.584353,"CRUISE_FT=10.000"
1762288508584,1762288508.584659,"DECEL_FT=4.000"
1762288508584,1762288508.584718,"VMAX_FPS=1.500"
1762288508585,1762288508.585005,"PAUSE_MS=10000"
1762288508585,1762288508.585060,"REWIND_TIME_S=30"
1762288508585,1762288508.585109,"DIR_INV=0"
1762288508585,1762288508.585142,"RATE_HZ=200"
1762288508586,1762288508.586519,"REWIND_CAL_IN=1.000"
1762288508586,1762288508.586571,"START received."
1762288508586,1762288508.586628,"=== PLAN (before motion) ==="
1762288508589,1762288508.589383,"Wheel dia=3.750 in, circ=0.98175 ft"
1762288508589,1762288508.589528,"steps/rev=200.0, steps/ft=203.72"
1762288508589,1762288508.589703,"Vpeak (ft/s)=1.500"
1762288508589,1762288508.589808,"Accel a (ft/s^2)=0.281"
1762288508590,1762288508.590150,"Decel d (ft/s^2)=0.281"
1762288508590,1762288508.590203,"Times: accel≈5.33s, cruise≈6.67s, decel≈5.33s, pause=10s, rewind≈30.00s, TOTAL≈57.33s"
1762288508590,1762288508.590242,"Rewind early-stop (in): 1.000"
1762288508590,1762288508.590322,"=== END PLAN ==="
1762288508590,1762288508.590636,"=== COUNTDOWN ==="
1762288508590,1762288508.590685,"5"
1762288509532,1762288509.532820,"4"
1762288512552,1762288512.552710,"1"
1762288513760,1762288513.760820,"START t_ms=420544, t_s=420.54"
421678,1762288514.932543,"0.03565,421693"
424583,1762288517.859266,"0.15510,0.05237,424603"
425658,1762288518.932966,"0.22341,0.07994,425678"
428873,1762288522.139440,"0.34373,428898"
429408,1762288522.689275,"1.00438,0.41414,429433"
429678,1762288522.950843,"1.12321,0.44197,429708"
433448,1762288526.731767,"0.00000,433473"
434268,1762288527.539010,"1.50000,0.00000,434283"
436693,1762288529.985297,"0.00000,436718"
438063,1762288531.363105,"1.25334,-0.50237,438093"
439713,1762288533.019259,"0.38741,439743"
441898,1762288535.192216,"0.00000,0.00000,441928"
442438,1762288535.752528,"0.00000,0.00000,442473"
443553,1762288536.874365,"0.00000,443593"
448078,1762288541.403761,"0.00000,0.00000,448118"
448363,1762288541.678593,"0.00000,448393"
448638,1762288541.950037,"0.00000,448668"
448913,1762288542.233546,"0.00000,448938"
450293,1762288543.618058,"0.00000,450338"
451398,1762288544.689465,"1.00000,0.00000,451413"
451658,1762288544.955119,"0.00000,451673"
451918,1762288545.241555,"0.00000,451938"
453258,1762288546.550722,"15.48707,-1.00000,0.00000,453273"
455133,1762288548.434947,"0.00000,455148"
455393,1762288548.703128,"0.00000,455413"
456198,1762288549.526793,"1.00000,0.00000,456223"
456468,1762288549.803601,"0.00000,456503"
458423,1762288551.765345,"1.00000,0.00000,458453"
460408,1762288553.759884,"0.00000,460453"
462053,1762288555.385326,"1.00000,0.00000,462088"
463153,1762288556.502180,"0.00000,463173"
464588,1762288557.949345,"1.00000,0.00000,464628"
464873,1762288558.236390,"1.00000,0.00000,464923"
465168,1762288558.521230,"1.00000,0.00000,465203"
465733,1762288559.061587,"0.00000,465763"
466843,1762288560.201302,"0.00000,466888"
468688,1762288561.809222,"=== RUN END ==="
468688,1762288561.822723,"Type START to run again, or SHOW to view config."
