time_ms,time_ts,v4,v5,g4,g5
420559,1762288513.955069,2.503086,2.553642,0.001543,0.026821
420559,1762288513.955128,2.504046,2.553002,0.002023,0.026501
420559,1762288513.955144,2.503406,2.553962,0.001703,0.026981
420559,1762288513.955153,2.502446,2.555882,0.001223,0.027941
420559,1762288513.955191,2.503726,2.555882,0.001863,0.027941
420559,1762288513.955226,2.503406,2.557802,0.001703,0.028901
420559,1762288513.955246,2.502766,2.556842,0.001383,0.028421
420559,1762288513.955255,2.502446,2.558442,0.001223,0.029221
420559,1762288513.955265,2.502126,2.557802,0.001063,0.028901
420559,1762288513.955274,2.502446,2.559722,0.001223,0.029861
420576,1762288513.972116,2.502766,2.559082,0.001383,0.029541
420577,1762288513.973069,2.503086,2.560682,0.001543,0.030341
420579,1762288513.975842,2.503086,2.560042,0.001543,0.030021
420579,1762288513.975883,2.503406,2.562601,0.001703,0.031301
420579,1762288513.975913,2.502766,2.564201,0.001383,0.032101
420579,1762288513.975924,2.503406,2.564201,0.001703,0.032101
420580,1762288513.976290,2.503406,2.564521,0.001703,0.032261
420580,1762288513.976299,2.503406,2.564521,0.001703,0.032261
420580,1762288513.976312,2.503406,2.566441,0.001703,0.033221
420580,1762288513.976320,2.504046,2.565801,0.002023,0.032901
420592,1762288513.988181,2.504366,2.566441,0.002183,0.033221
420592,1762288513.988228,2.503726,2.568041,0.001863,0.034021
420592,1762288513.988241,2.504046,2.569001,0.002023,0.034501
420592,1762288513.988272,2.504366,2.568681,0.002183,0.034341
420592,1762288513.988284,2.504366,2.569961,0.002183,0.034980
420592,1762288513.988296,2.505326,2.570281,0.002663,0.035140
420592,1762288513.988309,2.504686,2.571561,0.002343,0.035780
420592,1762288513.988319,2.505006,2.571881,0.002503,0.035940
420592,1762288513.988408,2.505966,2.571881,0.002983,0.035940
420592,1762288513.988425,2.505966,2.571561,0.002983,0.035780
420606,1762288514.002622,2.504686,2.572841,0.002343,0.036420
420606,1762288514.002656,2.505646,2.573481,0.002823,0.036740
420606,1762288514.002714,2.506286,2.574121,0.003143,0.037060
420606,1762288514.002737,2.505006,2.575081,0.002503,0.037540
420606,1762288514.002797,2.504686,2.574441,0.002343,0.037220
420606,1762288514.002812,2.505646,2.575081,0.002823,0.037540
420606,1762288514.002818,2.505326,2.575401,0.002663,0.037700
420606,1762288514.002822,2.505006,2.576041,0.002503,0.038020
420606,1762288514.002842,2.505006,2.576360,0.002503,0.038180
420606,1762288514.002878,2.505006,2.577640,0.002503,0.038820
420622,1762288514.018652,2.505646,2.577960,0.002823,0.038980
420622,1762288514.018690,2.506286,2.577320,0.003143,0.038660
420622,1762288514.018695,2.505326,2.577960,0.002663,0.038980
420622,1762288514.018699,2.505966,2.578280,0.002983,0.039140
420622,1762288514.018703,2.505006,2.577960,0.002503,0.038980
420622,1762288514.018707,2.505326,2.577640,0.002663,0.038820
420622,1762288514.018711,2.504366,2.577960,0.002183,0.038980
420622,1762288514.018715,2.505646,2.579240,0.002823,0.039620
420622,1762288514.018718,2.505646,2.579240,0.002823,0.039620
420622,1762288514.018722,2.504686,2.580200,0.002343,0.040100
420622,1762288514.018902,2.505646,2.579880,0.002823,0.039940
420622,1762288514.018909,2.505966,2.580520,0.002983,0.040260
420622,1762288514.018913,2.505646,2.580520,0.002823,0.040260
420622,1762288514.018918,2.505646,2.579880,0.002823,0.039940
420622,1762288514.018921,2.506606,2.580840,0.003303,0.040420
420622,1762288514.018924,2.506286,2.581160,0.003143,0.040580
420622,1762288514.018928,2.505646,2.581160,0.002823,0.040580
420622,1762288514.018931,2.505646,2.582760,0.002823,0.041380
420622,1762288514.018935,2.506606,2.583080,0.003303,0.041540
420622,1762288514.018939,2.505966,2.583400,0.002983,0.041700
420638,1762288514.034675,2.506606,2.583400,0.003303,0.041700
420639,1762288514.035769,2.505326,2.583400,0.002663,0.041700
420639,1762288514.035867,2.505646,2.584360,0.002823,0.042180
420639,1762288514.035908,2.505646,2.584360,0.002823,0.042180
420639,1762288514.035917,2.505006,2.585640,0.002503,0.042820
420639,1762288514.035926,2.505966,2.585640,0.002983,0.042820
420639,1762288514.035933,2.505966,2.586920,0.002983,0.043460
420644,1762288514.040190,2.506286,2.586920,0.003143,0.043460
420644,1762288514.040260,2.505326,2.587560,0.002663,0.043780
420644,1762288514.040270,2.505646,2.588840,0.002823,0.044420
420655,1762288514.051542,2.504686,2.588520,0.002343,0.044260
420655,1762288514.051576,2.505006,2.590119,0.002503,0.045060
420657,1762288514.053562,2.505646,2.590119,0.002823,0.045060
420657,1762288514.053581,2.505006,2.590759,0.002503,0.045380
420658,1762288514.054043,2.504366,2.590439,0.002183,0.045220
420658,1762288514.054049,2.505006,2.591719,0.002503,0.045860
420658,1762288514.054055,2.505326,2.591079,0.002663,0.045540
420658,1762288514.054064,2.505326,2.592039,0.002663,0.046020
420658,1762288514.054069,2.505326,2.592039,0.002663,0.046020
420658,1762288514.054115,2.505966,2.592359,0.002983,0.046180
420658,1762288514.054328,2.506286,2.592999,0.003143,0.046500
420658,1762288514.054650,2.505966,2.592999,0.002983,0.046500
420658,1762288514.054658,2.505326,2.594279,0.002663,0.047140
420658,1762288514.054693,2.505966,2.593639,0.002983,0.046820
420658,1762288514.054710,2.505966,2.594279,0.002983,0.047140
420658,1762288514.054715,2.505326,2.593319,0.002663,0.046660
420658,1762288514.054721,2.505326,2.594279,0.002663,0.047140
420658,1762288514.054726,2.505966,2.593959,0.002983,0.046980
420658,1762288514.054732,2.505006,2.594919,0.002503,0.047460
420658,1762288514.054760,2.505646,2.593639,0.002823,0.046820
420671,1762288514.066988,2.505326,2.595559,0.002663,0.047780
420671,1762288514.067047,2.505326,2.595879,0.002663,0.047940
420671,1762288514.067055,2.505326,2.595879,0.002663,0.047940
420671,1762288514.067063,2.506926,2.596839,0.003463,0.048420
420671,1762288514.067068,2.505646,2.595879,0.002823,0.047940
420671,1762288514.067074,2.505646,2.598119,0.002823,0.049059
420671,1762288514.067091,2.505646,2.595879,0.002823,0.047940
420671,1762288514.067096,2.505646,2.598439,0.002823,0.049219
420671,1762288514.067099,2.505006,2.598439,0.002503,0.049219
420671,1762288514.067151,2.505646,2.599399,0.002823,0.049699
420671,1762288514.067575,2.505006,2.598439,0.002503,0.049219
420671,1762288514.067598,2.505646,2.600039,0.002823,0.050019
420671,1762288514.067605,2.505006,2.600359,0.002503,0.050179
420671,1762288514.067611,2.505646,2.600999,0.002823,0.050499
420671,1762288514.067615,2.505646,2.601639,0.002823,0.050819
420671,1762288514.067649,2.504686,2.600999,0.002343,0.050499
420671,1762288514.067657,2.505326,2.602599,0.002663,0.051299
420671,1762288514.067661,2.505646,2.602599,0.002823,0.051299
420671,1762288514.067680,2.505006,2.602919,0.002503,0.051459
420671,1762288514.067688,2.505966,2.603239,0.002983,0.051619
420686,1762288514.082223,2.505646,2.603878,0.002823,0.051939
420686,1762288514.082273,2.505326,2.603878,0.002663,0.051939
420686,1762288514.082285,2.504366,2.604198,0.002183,0.052099
420686,1762288514.082294,2.505646,2.605478,0.002823,0.052739
420686,1762288514.082304,2.504366,2.605798,0.002183,0.052899
420686,1762288514.082314,2.505326,2.605798,0.002663,0.052899
420686,1762288514.082324,2.505966,2.605478,0.002983,0.052739
420686,1762288514.082334,2.505326,2.605478,0.002663,0.052739
420686,1762288514.082343,2.506286,2.606118,0.003143,0.053059
420686,1762288514.082352,2.505326,2.605798,0.002663,0.052899
420703,1762288514.099467,2.504366,2.605478,0.002183,0.052739
420703,1762288514.099536,2.505006,2.606438,0.002503,0.053219
420703,1762288514.099548,2.504366,2.607078,0.002183,0.053539
420703,1762288514.099553,2.504366,2.606758,0.002183,0.053379
420703,1762288514.099580,2.504366,2.606758,0.002183,0.053379
420703,1762288514.099611,2.505326,2.607078,0.002663,0.053539
420703,1762288514.099617,2.505326,2.607398,0.002663,0.053699
420704,1762288514.100477,2.505326,2.607078,0.002663,0.053539
420706,1762288514.102675,2.505966,2.606758,0.002983,0.053379
420706,1762288514.102710,2.505326,2.606758,0.002663,0.053379
420708,1762288514.104283,2.505966,2.606438,0.002983,0.053219
420708,1762288514.104303,2.504686,2.606758,0.002343,0.053379
420708,1762288514.104310,2.504686,2.605798,0.002343,0.052899
420708,1762288514.104316,2.503406,2.606118,0.001703,0.053059
420708,1762288514.104371,2.505326,2.607078,0.002663,0.053539
420708,1762288514.104390,2.504686,2.607078,0.002343,0.053539
420708,1762288514.104396,2.504686,2.605798,0.002343,0.052899
420708,1762288514.104403,2.504366,2.607078,0.002183,0.053539
420708,1762288514.104408,2.504366,2.607078,0.002183,0.053539
420708,1762288514.104414,2.505006,2.606758,0.002503,0.053379
420720,1762288514.116051,2.504366,2.606758,0.002183,0.053379
420720,1762288514.116085,2.504686,2.606758,0.002343,0.053379
420720,1762288514.116091,2.504686,2.606438,0.002343,0.053219
420720,1762288514.116118,2.505646,2.606118,0.002823,0.053059
420720,1762288514.116158,2.506286,2.606438,0.003143,0.053219
420720,1762288514.116204,2.504686,2.605158,0.002343,0.052579
420720,1762288514.116224,2.504686,2.605478,0.002343,0.052739
420720,1762288514.116231,2.504366,2.604838,0.002183,0.052419
420720,1762288514.116236,2.504366,2.604198,0.002183,0.052099
420720,1762288514.116245,2.504046,2.603878,0.002023,0.051939
420720,1762288514.116474,2.504366,2.603559,0.002183,0.051779
420720,1762288514.116492,2.504686,2.603878,0.002343,0.051939
420720,1762288514.116499,2.505006,2.603878,0.002503,0.051939
420720,1762288514.116917,2.504686,2.603559,0.002343,0.051779
420720,1762288514.116935,2.504046,2.601959,0.002023,0.050979
420720,1762288514.116967,2.504366,2.602919,0.002183,0.051459
420721,1762288514.117015,2.504366,2.602599,0.002183,0.051299
420721,1762288514.117056,2.504366,2.602599,0.002183,0.051299
420721,1762288514.117082,2.504686,2.601639,0.002343,0.050819
420721,1762288514.117100,2.505646,2.601639,0.002823,0.050819
420733,1762288514.129422,2.504366,2.601639,0.002183,0.050819
420733,1762288514.129480,2.504686,2.600679,0.002343,0.050339
420733,1762288514.129498,2.505646,2.600999,0.002823,0.050499
420733,1762288514.129505,2.505326,2.600999,0.002663,0.050499
420733,1762288514.129511,2.504686,2.601959,0.002343,0.050979
420733,1762288514.129516,2.504686,2.599719,0.002343,0.049859
420733,1762288514.129521,2.504686,2.600359,0.002343,0.050179
420733,1762288514.129526,2.505646,2.599719,0.002823,0.049859
420733,1762288514.129531,2.504366,2.600359,0.002183,0.050179
420733,1762288514.129536,2.504366,2.600359,0.002183,0.050179
420748,1762288514.144748,2.504686,2.600039,0.002343,0.050019
420748,1762288514.144779,2.504686,2.599719,0.002343,0.049859
420748,1762288514.144784,2.505006,2.600359,0.002503,0.050179
420748,1762288514.144792,2.505326,2.600039,0.002663,0.050019
420748,1762288514.144796,2.505006,2.600999,0.002503,0.050499
420748,1762288514.144800,2.505326,2.600999,0.002663,0.050499
420748,1762288514.144804,2.505006,2.601639,0.002503,0.050819
420748,1762288514.144808,2.504366,2.601959,0.002183,0.050979
420748,1762288514.144812,2.504686,2.601959,0.002343,0.050979
420748,1762288514.144815,2.504686,2.603559,0.002343,0.051779
420764,1762288514.159997,2.505326,2.611558,0.002663,0.055779
420764,1762288514.160026,2.504686,2.603559,0.002343,0.051779
420764,1762288514.160031,2.504686,2.603559,0.002343,0.051779
420764,1762288514.160034,2.505006,2.604518,0.002503,0.052259
420764,1762288514.160038,2.505006,2.603559,0.002503,0.051779
420764,1762288514.160042,2.504686,2.605798,0.002343,0.052899
420764,1762288514.160046,2.504686,2.605158,0.002343,0.052579
420764,1762288514.160049,2.503726,2.606118,0.001863,0.053059
420764,1762288514.160053,2.504686,2.606118,0.002343,0.053059
420764,1762288514.160057,2.504366,2.602279,0.002183,0.051139
420765,1762288514.161453,2.504366,2.608358,0.002183,0.054179
420765,1762288514.161536,2.505646,2.608358,0.002823,0.054179
420766,1762288514.162053,2.504046,2.610598,0.002023,0.055299
420766,1762288514.162062,2.504046,2.607718,0.002023,0.053859
420766,1762288514.162067,2.503406,2.611238,0.001703,0.055619
420766,1762288514.162084,2.504046,2.610278,0.002023,0.055139
420766,1762288514.162090,2.504046,2.612198,0.002023,0.056099
420766,1762288514.162095,2.504046,2.611238,0.002023,0.055619
420766,1762288514.162100,2.503726,2.612198,0.001863,0.056099
420766,1762288514.162116,2.503726,2.612518,0.001863,0.056259
420780,1762288514.176438,2.504686,2.613478,0.002343,0.056739
420780,1762288514.176911,2.505326,2.614758,0.002663,0.057379
420780,1762288514.176921,2.504366,2.615078,0.002183,0.057539
420780,1762288514.176926,2.504366,2.615718,0.002183,0.057859
420780,1762288514.176958,2.504046,2.616358,0.002023,0.058179
420781,1762288514.176992,2.504046,2.616998,0.002023,0.058499
420781,1762288514.177000,2.504046,2.622757,0.002023,0.061379
420781,1762288514.177005,2.503406,2.616998,0.001703,0.058499
420781,1762288514.177010,2.503406,2.617318,0.001703,0.058659
420781,1762288514.177015,2.504046,2.617957,0.002023,0.058979
420781,1762288514.177814,2.503726,2.628517,0.001863,0.064258
420781,1762288514.177824,2.503406,2.616998,0.001703,0.058499
420781,1762288514.177830,2.503406,2.622437,0.001703,0.061219
420781,1762288514.177835,2.503406,2.626597,0.001703,0.063298
420781,1762288514.177880,2.503726,2.613478,0.001863,0.056739
420781,1762288514.177925,2.503086,2.610918,0.001543,0.055459
420781,1762288514.177945,2.503726,2.623077,0.001863,0.061539
420781,1762288514.177952,2.503406,2.620837,0.001703,0.060419
420781,1762288514.177958,2.504046,2.618277,0.002023,0.059139
420782,1762288514.177984,2.503406,2.624037,0.001703,0.062019
