time_ms,time_ts,chatter
1762287755006,1762287755.006141,"-- Current Config --"
1762287755006,1762287755.006295,"MOTOR_STEP_DEG=1.800"
1762287755006,1762287755.006367,"WHEEL_DIAM_IN=3.750"
1762287755006,1762287755.006406,"ACCEL_FT=4.000"
1762287755006,1762287755.006437,"CRUISE_FT=10.000"
1762287755006,1762287755.006464,"DECEL_FT=4.000"
1762287755006,1762287755.006989,"VMAX_FPS=6.000"
1762287755009,1762287755.009539,"PAUSE_MS=10000"
1762287755009,1762287755.009671,"REWIND_TIME_S=30"
1762287755010,1762287755.010017,"DIR_INV=0"
1762287755010,1762287755.010091,"RATE_HZ=200"
1762287755010,1762287755.010135,"REWIND_CAL_IN=1.000"
1762287755062,1762287755.062141,"START received."
1762287755063,1762287755.063352,"=== PLAN (before motion) ==="
1762287755067,1762287755.067331,"Wheel dia=3.750 in, circ=0.98175 ft"
1762287755067,1762287755.067679,"steps/rev=200.0, steps/ft=203.72"
1762287755068,1762287755.068023,"Vpeak (ft/s)=6.000"
1762287755068,1762287755.068400,"Accel a (ft/s^2)=4.499"
1762287755068,1762287755.068480,"Decel d (ft/s^2)=4.499"
1762287755069,1762287755.069510,"Times: accel≈1.33s, cruise≈1.67s, decel≈1.33s, pause=10s, rewind≈30.00s, TOTAL≈44.33s"
1762287755069,1762287755.069588,"Rewind early-stop (in): 1.000"
1762287755069,1762287755.069643,"=== END PLAN ==="
1762287755069,1762287755.069692,"=== COUNTDOWN ==="
1762287755069,1762287755.069740,"5"
1762287756068,1762287756.068039,"4"
1762287759069,1762287759.069625,"1"
20107,1762287762.551131,"0.63370,0.85844,20132"
22817,1762287765.234057,"6.00000,0.00000,22832"
24957,1762287767.388326,"0.00000,24982"
25767,1762287768.225561,"0.00000,25802"
29302,1762287771.744203,"18.00034,0.00000,0.00000,29317"
31517,1762287773.977228,"18.00034,0.00000,0.00000,31547"
33167,1762287775.647408,"0.00000,33202"
35132,1762287777.603771,"17.31803,-1.00000,0.00000,35162"
40147,1762287782.632554,"12.27675,-1.00000,0.00000,40182"
42347,1762287784.828496,"0.00000,42382"
42897,1762287785.363297,"0.00000,42927"
43717,1762287786.178245,"1.00000,0.00000,43732"
44252,1762287786.711209,"0.00000,44272"
45327,1762287787.790369,"0.00000,45342"
46677,1762287789.167962,"1.00000,0.00000,46712"
49077,1762287791.548245,"0.00000,49092"
49877,1762287792.355100,"0.00000,49897"
50417,1762287792.892765,"1.00000,0.00000,50432"
50952,1762287793.436917,"1.00000,0.00000,50977"
52402,1762287794.656968,"=== RUN END ==="
52402,1762287794.709592,"Type START to run again, or SHOW to view config."
