time_ms,time_ts,chatter
1762284403810,1762284403.810461,"-- Current Config --"
1762284403810,1762284403.810632,"MOTOR_STEP_DEG=1.800"
1762284403811,1762284403.811854,"WHEEL_DIAM_IN=3.750"
1762284403811,1762284403.811921,"ACCEL_FT=4.000"
1762284403811,1762284403.811987,"CRUISE_FT=10.000"
1762284403812,1762284403.812040,"DECEL_FT=4.000"
1762284403812,1762284403.812101,"VMAX_FPS=3.000"
1762284403814,1762284403.814388,"PAUSE_MS=10000"
1762284403815,1762284403.815125,"REWIND_TIME_S=30"
1762284403815,1762284403.815684,"DIR_INV=0"
1762284403816,1762284403.816101,"RATE_HZ=200"
1762284403816,1762284403.816558,"REWIND_CAL_IN=1.000"
1762284404856,1762284404.856252,"4"
1762284407863,1762284407.863384,"1"
1762284409083,1762284409.083891,"START t_ms=1624772, t_s=1624.77"
1626742,1762284411.068105,"0.08768,1626757"
1627537,1762284411.871543,"0.15315,1627557"
1628582,1762284412.931246,"0.74122,0.47862,0.34667,1628607"
1629122,1762284413.475796,"0.55743,1629147"
1629392,1762284413.747697,"0.71458,1629417"
1631002,1762284415.350915,"0.00000,1631022"
1633457,1762284417.812913,"3.00000,0.00000,1633482"
1635602,1762284419.961330,"1.14077,1635632"
1635877,1762284420.234811,"1.19354,-0.83892,1635892"
1636672,1762284421.034977,"0.00000,1636692"
1638557,1762284422.920702,"0.00000,1638572"
1640182,1762284424.557961,"0.00000,0.00000,1640212"
1641842,1762284426.229965,"0.00000,1641877"
1643222,1762284427.600499,"18.00034,0.00000,0.00000,1643242"
1643767,1762284428.168900,"0.00000,1643807"
1644052,1762284428.446296,"0.00000,1644087"
1645422,1762284429.818124,"0.00000,1645452"
1647077,1762284431.470838,"0.00000,1647107"
1647352,1762284431.751556,"0.00000,1647382"
1648192,1762284432.575644,"1.00000,0.00000,1648217"
1649562,1762284433.972655,"0.00000,1649607"
1650392,1762284434.796407,"1.00000,0.00000,1650427"
1651497,1762284435.895621,"12.94434,-1.00000,0.00000,1651542"
1652327,1762284436.719903,"12.13440,-1.00000,0.00000,1652347"
1654517,1762284438.895312,"0.00000,1654537"
1659052,1762284443.448571,"0.00000,1659072"
1659317,1762284443.719946,"1.00000,0.00000,1659342"
1660402,1762284444.807339,"0.00000,1660432"
1660947,1762284445.351510,"3.47048,-1.00000,0.00000,1660972"
1661217,1762284445.629606,"0.00000,1661242"
1661487,1762284445.904482,"2.91579,-1.00000,0.00000,1661522"
1664427,1762284448.606523,"=== RUN END ==="
1664427,1762284448.656183,"Type START to run again, or SHOW to view config."
