time_ms,time_ts,chatter
1762283908089,1762283908.089898,"-- Current Config --"
1762283908090,1762283908.090438,"MOTOR_STEP_DEG=1.800"
1762283908090,1762283908.090801,"WHEEL_DIAM_IN=3.750"
1762283908091,1762283908.091408,"ACCEL_FT=4.000"
1762283908092,1762283908.092444,"CRUISE_FT=10.000"
1762283908092,1762283908.092488,"DECEL_FT=4.000"
1762283908092,1762283908.092541,"VMAX_FPS=3.000"
1762283908092,1762283908.092610,"PAUSE_MS=10000"
1762283908092,1762283908.092665,"REWIND_TIME_S=30"
1762283908093,1762283908.093464,"DIR_INV=0"
1762283908095,1762283908.095378,"RATE_HZ=200"
1762283908095,1762283908.095427,"REWIND_CAL_IN=1.000"
1762283908148,1762283908.148138,"START received."
1762283908149,1762283908.149894,"=== PLAN (before motion) ==="
1762283908153,1762283908.153230,"Wheel dia=3.750 in, circ=0.98175 ft"
1762283908153,1762283908.153293,"steps/rev=200.0, steps/ft=203.72"
1762283908153,1762283908.153352,"Vpeak (ft/s)=3.000"
1762283908153,1762283908.153401,"Accel a (ft/s^2)=1.125"
1762283908153,1762283908.153759,"Decel d (ft/s^2)=1.125"
1762283908153,1762283908.153818,"Times: accel≈2.67s, cruise≈3.33s, decel≈2.67s, pause=10s, rewind≈30.00s, TOTAL≈48.67s"
1762283908153,1762283908.153893,"Rewind early-stop (in): 1.000"
1762283908153,1762283908.153940,"=== END PLAN ==="
1762283908154,1762283908.154253,"=== COUNTDOWN ==="
1762283908154,1762283908.154316,"5"
1762283909153,1762283909.153422,"4"
1762283911154,1762283911.154394,"WHISTLE!"
1762283912158,1762283912.158190,"1"
1139321,1762283922.871956,"13.89173,3.00000,0.00000,1139351"
1139856,1762283923.423258,"2.00121,1139881"
1144166,1762283927.726938,"0.00000,0.00000,1144191"
1144976,1762283928.540120,"0.00000,1144991"
1146621,1762283930.185985,"18.00034,0.00000,0.00000,1146641"
1146886,1762283930.460086,"0.00000,1146911"
1147156,1762283930.730683,"18.00034,0.00000,0.00000,1147186"
1147431,1762283931.008108,"0.00000,1147456"
1147981,1762283931.564589,"0.00000,1148011"
1149086,1762283932.662660,"0.00000,1149106"
1149351,1762283932.937640,"0.00000,0.00000,1149386"
1150756,1762283934.361537,"0.00000,1150801"
1153561,1762283937.152334,"0.00000,1153586"
1156046,1762283939.641510,"0.00000,1156081"
1156326,1762283939.910830,"0.00000,1156351"
1157131,1762283940.728646,"1.00000,0.00000,1157161"
1157406,1762283940.993817,"12.13931,-1.00000,0.00000,1157441"
1158236,1762283941.847733,"0.00000,1158271"
1158801,1762283942.401450,"0.00000,1158836"
1160706,1762283944.303194,"1.00000,0.00000,1160741"
1162336,1762283945.951170,"7.19621,-1.00000,0.00000,1162361"
1164791,1762283948.386024,"0.00000,1164811"
1165331,1762283948.931781,"0.00000,1165356"
1167271,1762283950.880898,"1.00000,0.00000,1167296"
1169481,1762283952.899279,"1.00000,0.00000,1169521"
1169526,1762283952.899549,"=== RUN END ==="
1169526,1762283952.947711,"Type START to run again, or SHOW to view config."
