time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
3198748,1762285985.575811,ACCEL,0,0.00000,0.12000,0.06749,3198748
3198753,1762285985.676693,ACCEL,0,0.00000,0.12000,0.06749,3198753
3198758,1762285985.676734,ACCEL,1,0.00491,0.12000,0.06763,3198758
3198763,1762285985.676757,ACCEL,1,0.00491,0.12000,0.06763,3198763
3198768,1762285985.676775,ACCEL,1,0.00491,0.12000,0.06763,3198768
3198773,1762285985.676791,ACCEL,1,0.00491,0.12000,0.06763,3198773
3198778,1762285985.676806,ACCEL,1,0.00491,0.12000,0.06763,3198778
3198783,1762285985.676821,ACCEL,1,0.00491,0.12000,0.06763,3198783
3198788,1762285985.676835,ACCEL,1,0.00491,0.12000,0.06763,3198788
3198793,1762285985.676851,ACCEL,1,0.00491,0.12000,0.06763,3198793
3198798,1762285985.676865,ACCEL,2,0.00982,0.12000,0.06776,3198798
3198803,1762285985.676879,ACCEL,2,0.00982,0.12000,0.06776,3198803
3198808,1762285985.676893,ACCEL,2,0.00982,0.12000,0.06776,3198808
3198813,1762285985.676906,ACCEL,2,0.00982,0.12000,0.06776,3198813
3198818,1762285985.676919,ACCEL,2,0.00982,0.12000,0.06776,3198818
3198823,1762285985.676933,ACCEL,2,0.00982,0.12000,0.06776,3198823
3198828,1762285985.676945,ACCEL,2,0.00982,0.12000,0.06776,3198828
3198833,1762285985.676957,ACCEL,2,0.00982,0.12000,0.06776,3198833
3198838,1762285985.676968,ACCEL,3,0.01473,0.12000,0.06790,3198838
3198843,1762285985.676978,ACCEL,3,0.01473,0.12000,0.06790,3198843
3198848,1762285985.676988,ACCEL,3,0.01473,0.12000,0.06790,3198848
3198853,1762285985.676999,ACCEL,3,0.01473,0.12000,0.06790,3198853
3198858,1762285985.677010,ACCEL,3,0.01473,0.12000,0.06790,3198858
3198863,1762285985.677021,ACCEL,3,0.01473,0.12000,0.06790,3198863
3198868,1762285985.677032,ACCEL,3,0.01473,0.12000,0.06790,3198868
3198873,1762285985.677047,ACCEL,3,0.01473,0.12000,0.06790,3198873
3198878,1762285985.677057,ACCEL,4,0.01963,0.12000,0.06803,3198878
3198883,1762285985.677068,ACCEL,4,0.01963,0.12000,0.06803,3198883
3198888,1762285985.677078,ACCEL,4,0.01963,0.12000,0.06803,3198888
3198893,1762285985.677089,ACCEL,4,0.01963,0.12000,0.06803,3198893
3198898,1762285985.677099,ACCEL,4,0.01963,0.12000,0.06803,3198898
3198903,1762285985.677110,ACCEL,4,0.01963,0.12000,0.06803,3198903
3198908,1762285985.677121,ACCEL,4,0.01963,0.12000,0.06803,3198908
3198913,1762285985.677134,ACCEL,4,0.01963,0.12000,0.06803,3198913
3198918,1762285985.677145,ACCEL,4,0.01963,0.12000,0.06803,3198918
3198923,1762285985.677155,ACCEL,5,0.02454,0.12000,0.06817,3198923
3198928,1762285985.677167,ACCEL,5,0.02454,0.12000,0.06817,3198928
3198933,1762285985.677177,ACCEL,5,0.02454,0.12000,0.06817,3198933
3198938,1762285985.677188,ACCEL,5,0.02454,0.12000,0.06817,3198938
3198943,1762285985.677200,ACCEL,5,0.02454,0.12000,0.06817,3198943
3198948,1762285985.677211,ACCEL,5,0.02454,0.12000,0.06817,3198948
3198953,1762285985.677222,ACCEL,5,0.02454,0.12000,0.06817,3198953
3198958,1762285985.677233,ACCEL,5,0.02454,0.12000,0.06817,3198958
3198963,1762285985.677248,ACCEL,6,0.02945,0.12000,0.06831,3198963
3198968,1762285985.677258,ACCEL,6,0.02945,0.12000,0.06831,3198968
3198973,1762285985.677269,ACCEL,6,0.02945,0.12000,0.06831,3198973
3198978,1762285985.677280,ACCEL,6,0.02945,0.12000,0.06831,3198978
3198983,1762285985.677291,ACCEL,6,0.02945,0.12000,0.06831,3198983
3199108,1762285985.949325,ACCEL,9,0.04418,0.12000,0.06872,3199108
3199113,1762285985.949349,ACCEL,9,0.04418,0.12000,0.06872,3199113
3199118,1762285985.952477,ACCEL,9,0.04418,0.12000,0.06872,3199118
3199123,1762285985.952490,ACCEL,9,0.04418,0.12000,0.06872,3199123
3199128,1762285985.952501,ACCEL,10,0.04909,0.12000,0.06885,3199128
3199133,1762285985.952555,ACCEL,10,0.04909,0.12000,0.06885,3199133
3199138,1762285985.952581,ACCEL,10,0.04909,0.12000,0.06885,3199138
3199143,1762285985.952592,ACCEL,10,0.04909,0.12000,0.06885,3199143
3199148,1762285985.952599,ACCEL,10,0.04909,0.12000,0.06885,3199148
3199153,1762285985.952649,ACCEL,10,0.04909,0.12000,0.06885,3199153
3199158,1762285985.952658,ACCEL,10,0.04909,0.12000,0.06885,3199158
3199163,1762285985.952667,ACCEL,10,0.04909,0.12000,0.06885,3199163
3199168,1762285985.952675,ACCEL,11,0.05400,0.12000,0.06899,3199168
3199173,1762285985.952683,ACCEL,11,0.05400,0.12000,0.06899,3199173
3199178,1762285985.952691,ACCEL,11,0.05400,0.12000,0.06899,3199178
3199183,1762285985.952699,ACCEL,11,0.05400,0.12000,0.06899,3199183
3199188,1762285985.952706,ACCEL,11,0.05400,0.12000,0.06899,3199188
3199193,1762285985.952716,ACCEL,11,0.05400,0.12000,0.06899,3199193
3199198,1762285985.952723,ACCEL,11,0.05400,0.12000,0.06899,3199198
3199203,1762285985.952731,ACCEL,11,0.05400,0.12000,0.06899,3199203
3199208,1762285985.952739,ACCEL,12,0.05890,0.12000,0.06912,3199208
3199213,1762285985.952746,ACCEL,12,0.05890,0.12000,0.06912,3199213
3199218,1762285985.952757,ACCEL,12,0.05890,0.12000,0.06912,3199218
