time_ms,time_ts,v4,v5,g4,g5
3198759,1762285985.779165,2.501486,2.507885,0.000743,0.003943
3198759,1762285985.779216,2.500846,2.508205,0.000423,0.004103
3198759,1762285985.779229,2.500526,2.508205,0.000263,0.004103
3198759,1762285985.779237,2.500526,2.509165,0.000263,0.004583
3198759,1762285985.779245,2.500206,2.508525,0.000103,0.004263
3198759,1762285985.779252,2.500526,2.508845,0.000263,0.004423
3198759,1762285985.779259,2.500846,2.508525,0.000423,0.004263
3198759,1762285985.779266,2.499246,2.509485,-0.000377,0.004743
3198759,1762285985.779273,2.499886,2.508845,-0.000057,0.004423
3198762,1762285985.782390,2.500206,2.508845,0.000103,0.004423
3198775,1762285985.795176,2.499246,2.509485,-0.000377,0.004743
3198776,1762285985.796185,2.499566,2.509165,-0.000217,0.004583
3198776,1762285985.796204,2.499566,2.509165,-0.000217,0.004583
3198776,1762285985.796213,2.499246,2.509485,-0.000377,0.004743
3198776,1762285985.796226,2.499566,2.509805,-0.000217,0.004903
3198776,1762285985.796230,2.499566,2.509805,-0.000217,0.004903
3198776,1762285985.796235,2.498606,2.509485,-0.000697,0.004743
3198776,1762285985.796246,2.498606,2.509485,-0.000697,0.004743
3198776,1762285985.796250,2.499886,2.509805,-0.000057,0.004903
3198776,1762285985.796253,2.498926,2.509165,-0.000537,0.004583
3198791,1762285985.811396,2.498606,2.509165,-0.000697,0.004583
3198793,1762285985.813260,2.499246,2.508525,-0.000377,0.004263
3198793,1762285985.813706,2.499246,2.508525,-0.000377,0.004263
3198793,1762285985.813727,2.498926,2.509165,-0.000537,0.004583
3198793,1762285985.813733,2.497966,2.508845,-0.001017,0.004423
3198793,1762285985.813740,2.498606,2.508525,-0.000697,0.004263
3198793,1762285985.813745,2.499246,2.509165,-0.000377,0.004583
3198793,1762285985.813751,2.498606,2.508525,-0.000697,0.004263
3198793,1762285985.813756,2.498606,2.507565,-0.000697,0.003783
3198793,1762285985.813761,2.499246,2.508205,-0.000377,0.004103
3198806,1762285985.826488,2.498606,2.508205,-0.000697,0.004103
3198806,1762285985.826548,2.498606,2.508205,-0.000697,0.004103
3198806,1762285985.826555,2.498606,2.507246,-0.000697,0.003623
3198806,1762285985.826564,2.499886,2.507246,-0.000057,0.003623
3198806,1762285985.826615,2.500206,2.506926,0.000103,0.003463
3198806,1762285985.826630,2.499246,2.506926,-0.000377,0.003463
3198806,1762285985.826664,2.499886,2.506606,-0.000057,0.003303
3198806,1762285985.826678,2.499886,2.507565,-0.000057,0.003783
3198806,1762285985.826692,2.499246,2.506926,-0.000377,0.003463
3198806,1762285985.826713,2.500526,2.505966,0.000263,0.002983
3198821,1762285985.841192,2.500526,2.506606,0.000263,0.003303
3198821,1762285985.841233,2.499886,2.506926,-0.000057,0.003463
3198821,1762285985.841273,2.500206,2.505966,0.000103,0.002983
3198821,1762285985.841331,2.500846,2.505966,0.000423,0.002983
3198821,1762285985.841348,2.500846,2.505646,0.000423,0.002823
3198821,1762285985.841353,2.501166,2.505646,0.000583,0.002823
3198821,1762285985.841357,2.501486,2.506606,0.000743,0.003303
3198821,1762285985.841361,2.501166,2.505966,0.000583,0.002983
3198821,1762285985.841364,2.501806,2.506286,0.000903,0.003143
3198821,1762285985.841368,2.501806,2.505966,0.000903,0.002983
3198821,1762285985.841508,2.502126,2.505326,0.001063,0.002663
3198821,1762285985.841515,2.502126,2.505326,0.001063,0.002663
3198821,1762285985.841518,2.502446,2.505646,0.001223,0.002823
3198821,1762285985.841523,2.502126,2.505966,0.001063,0.002983
3198821,1762285985.841527,2.503086,2.505646,0.001543,0.002823
3198821,1762285985.841530,2.502446,2.506606,0.001223,0.003303
3198821,1762285985.841533,2.502126,2.505326,0.001063,0.002663
3198821,1762285985.841537,2.502766,2.505646,0.001383,0.002823
3198821,1762285985.841541,2.503086,2.505646,0.001543,0.002823
3198821,1762285985.841544,2.502766,2.505326,0.001383,0.002663
3198838,1762285985.858209,2.504046,2.505326,0.002023,0.002663
3198838,1762285985.858243,2.503726,2.505646,0.001863,0.002823
3198838,1762285985.858249,2.503406,2.506606,0.001703,0.003303
3198838,1762285985.858255,2.503086,2.505646,0.001543,0.002823
3198838,1762285985.858294,2.504366,2.505646,0.002183,0.002823
3198838,1762285985.858333,2.505326,2.506606,0.002663,0.003303
3198839,1762285985.859214,2.504366,2.506286,0.002183,0.003143
3198839,1762285985.859241,2.504046,2.506286,0.002023,0.003143
3198839,1762285985.859254,2.505646,2.505966,0.002823,0.002983
3198839,1762285985.859300,2.504046,2.506926,0.002023,0.003463
3198853,1762285985.873442,2.504366,2.505966,0.002183,0.002983
3198853,1762285985.873475,2.504686,2.506606,0.002343,0.003303
3198853,1762285985.873498,2.505326,2.507565,0.002663,0.003783
3198853,1762285985.873552,2.505006,2.508205,0.002503,0.004103
3198853,1762285985.873560,2.504686,2.507246,0.002343,0.003623
3198853,1762285985.873574,2.505646,2.507885,0.002823,0.003943
3198853,1762285985.873591,2.505006,2.508205,0.002503,0.004103
3198853,1762285985.873600,2.504366,2.508525,0.002183,0.004263
3198853,1762285985.873614,2.505326,2.508205,0.002663,0.004103
3198853,1762285985.873665,2.506286,2.508845,0.003143,0.004423
3198853,1762285985.873841,2.505006,2.509165,0.002503,0.004583
3198854,1762285985.873888,2.505966,2.508205,0.002983,0.004103
3198854,1762285985.874408,2.505646,2.509485,0.002823,0.004743
3198854,1762285985.874427,2.505006,2.508845,0.002503,0.004423
3198854,1762285985.874434,2.504366,2.509165,0.002183,0.004583
3198854,1762285985.874439,2.505006,2.510125,0.002503,0.005063
3198854,1762285985.874468,2.505006,2.510765,0.002503,0.005383
3198854,1762285985.874476,2.505006,2.510445,0.002503,0.005223
3198854,1762285985.874482,2.504686,2.510445,0.002343,0.005223
3198854,1762285985.874487,2.505006,2.511085,0.002503,0.005543
3198854,1762285985.874660,2.505006,2.510445,0.002503,0.005223
3198854,1762285985.874681,2.505646,2.510765,0.002823,0.005383
3198854,1762285985.874696,2.505326,2.511725,0.002663,0.005863
3198854,1762285985.874707,2.504686,2.512045,0.002343,0.006023
3198854,1762285985.874712,2.505326,2.511725,0.002663,0.005863
3198854,1762285985.874717,2.506926,2.511725,0.003463,0.005863
3198854,1762285985.874722,2.505326,2.513645,0.002663,0.006823
3198856,1762285985.875985,2.505966,2.512045,0.002983,0.006023
3198856,1762285985.876015,2.505646,2.512365,0.002823,0.006183
3198856,1762285985.876092,2.505006,2.512365,0.002503,0.006183
3198869,1762285985.889620,2.505006,2.513005,0.002503,0.006503
3198869,1762285985.889670,2.504686,2.512045,0.002343,0.006023
3198869,1762285985.889677,2.505326,2.513645,0.002663,0.006823
3198869,1762285985.889682,2.505966,2.512365,0.002983,0.006183
3198869,1762285985.889688,2.505966,2.512045,0.002983,0.006023
3198869,1762285985.889693,2.505326,2.513005,0.002663,0.006503
3198869,1762285985.889699,2.505646,2.513325,0.002823,0.006663
3198869,1762285985.889704,2.505966,2.513325,0.002983,0.006663
3198869,1762285985.889709,2.506286,2.513325,0.003143,0.006663
3198869,1762285985.889716,2.505326,2.513005,0.002663,0.006503
3198885,1762285985.905203,2.506286,2.512365,0.003143,0.006183
3198885,1762285985.905231,2.505966,2.512365,0.002983,0.006183
