time_ms,time_ts,chatter
1762286176091,1762286176.091684,"-- Current Config --"
1762286176092,1762286176.092446,"MOTOR_STEP_DEG=1.800"
1762286176092,1762286176.092811,"WHEEL_DIAM_IN=3.750"
1762286176093,1762286176.093950,"ACCEL_FT=4.000"
1762286176094,1762286176.094016,"CRUISE_FT=10.000"
1762286176094,1762286176.094111,"DECEL_FT=4.000"
1762286176094,1762286176.094244,"VMAX_FPS=3.000"
1762286176094,1762286176.094320,"PAUSE_MS=10000"
1762286176094,1762286176.094897,"REWIND_TIME_S=30"
1762286176095,1762286176.095335,"DIR_INV=0"
1762286176095,1762286176.095652,"RATE_HZ=200"
1762286176096,1762286176.096821,"REWIND_CAL_IN=1.000"
1762286176150,1762286176.150685,"START received."
1762286176151,1762286176.151298,"=== PLAN (before motion) ==="
1762286176154,1762286176.154894,"Wheel dia=3.750 in, circ=0.98175 ft"
1762286176155,1762286176.155205,"steps/rev=200.0, steps/ft=203.72"
1762286176155,1762286176.155484,"Vpeak (ft/s)=3.000"
1762286176155,1762286176.155548,"Accel a (ft/s^2)=1.125"
1762286176156,1762286176.156298,"Decel d (ft/s^2)=1.125"
1762286176157,1762286176.157326,"Times: accel≈2.67s, cruise≈3.33s, decel≈2.67s, pause=10s, rewind≈30.00s, TOTAL≈48.67s"
1762286176157,1762286176.157381,"Rewind early-stop (in): 1.000"
1762286176157,1762286176.157426,"=== END PLAN ==="
1762286176157,1762286176.157483,"=== COUNTDOWN ==="
1762286176157,1762286176.157523,"5"
1762286177152,1762286177.152212,"4"
1762286180151,1762286180.151631,"1"
1762286181365,1762286181.365313,"START t_ms=3394231, t_s=3394.23"
3395371,1762286182.527317,"0.07130,3395386"
3395891,1762286183.048466,"0.07305,3395906"
3396681,1762286183.854392,"0.19428,0.12366,3396711"
3398806,1762286185.988072,"0.69209,3398841"
3401761,1762286188.938252,"8.11414,3.00000,0.00000,3401786"
3404706,1762286191.903353,"1.57325,3404746"
3406076,1762286193.266652,"18.00034,0.00000,0.00000,3406101"
3407716,1762286194.909435,"18.00034,0.00000,0.00000,3407736"
3409876,1762286197.083874,"18.00034,0.00000,0.00000,3409891"
3412926,1762286200.154568,"0.00000,0.00000,3412961"
3413771,1762286200.994047,"0.00000,0.00000,3413811"
3414326,1762286201.535026,"0.00000,0.00000,3414341"
3415451,1762286202.683853,"0.00000,3415491"
3416296,1762286203.513727,"1.00000,0.00000,3416326"
3417406,1762286204.623161,"1.00000,0.00000,3417436"
3417681,1762286204.886482,"16.25774,-1.00000,0.00000,3417701"
3417946,1762286205.171492,"0.00000,3417966"
3418211,1762286205.460479,"1.00000,0.00000,3418251"
3419071,1762286206.316896,"0.00000,3419111"
3419641,1762286206.859830,"0.00000,3419661"
3420181,1762286207.408361,"1.00000,0.00000,3420216"
3423256,1762286210.460596,"0.00000,3423271"
3424331,1762286211.581188,"0.00000,3424361"
3425686,1762286212.934117,"0.00000,3425726"
3427906,1762286215.146087,"0.00000,3427936"
3428456,1762286215.680237,"1.00000,0.00000,3428471"
3428716,1762286215.956305,"5.16399,-1.00000,0.00000,3428741"
3430621,1762286217.864068,"1.00000,0.00000,3430651"
3431716,1762286218.958654,"1.00000,0.00000,3431741"
3433886,1762286220.906600,"=== RUN END ==="
3433886,1762286220.954768,"Type START to run again, or SHOW to view config."
