time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1249014,1762295159.075012,ACCEL,0,0.00000,0.12000,0.06749,1249014
1249019,1762295159.178914,ACCEL,0,0.00000,0.12000,0.06749,1249019
1249024,1762295159.178935,ACCEL,1,0.00491,0.12000,0.06763,1249024
1249029,1762295159.178946,ACCEL,1,0.00491,0.12000,0.06763,1249029
1249034,1762295159.178955,ACCEL,1,0.00491,0.12000,0.06763,1249034
1249039,1762295159.178962,ACCEL,1,0.00491,0.12000,0.06763,1249039
1249044,1762295159.178970,ACCEL,1,0.00491,0.12000,0.06763,1249044
1249049,1762295159.178977,ACCEL,1,0.00491,0.12000,0.06763,1249049
1249054,1762295159.178984,ACCEL,1,0.00491,0.12000,0.06763,1249054
1249059,1762295159.178992,ACCEL,1,0.00491,0.12000,0.06763,1249059
1249064,1762295159.178999,ACCEL,2,0.00982,0.12000,0.06776,1249064
1249069,1762295159.179006,ACCEL,2,0.00982,0.12000,0.06776,1249069
1249074,1762295159.179013,ACCEL,2,0.00982,0.12000,0.06776,1249074
1249079,1762295159.179020,ACCEL,2,0.00982,0.12000,0.06776,1249079
1249084,1762295159.179027,ACCEL,2,0.00982,0.12000,0.06776,1249084
1249089,1762295159.179033,ACCEL,2,0.00982,0.12000,0.06776,1249089
1249094,1762295159.179045,ACCEL,2,0.00982,0.12000,0.06776,1249094
1249099,1762295159.179053,ACCEL,2,0.00982,0.12000,0.06776,1249099
1249104,1762295159.179060,ACCEL,3,0.01473,0.12000,0.06790,1249104
1249109,1762295159.179067,ACCEL,3,0.01473,0.12000,0.06790,1249109
1249114,1762295159.179074,ACCEL,3,0.01473,0.12000,0.06790,1249114
1249119,1762295159.179080,ACCEL,3,0.01473,0.12000,0.06790,1249119
1249124,1762295159.179087,ACCEL,3,0.01473,0.12000,0.06790,1249124
1249129,1762295159.179094,ACCEL,3,0.01473,0.12000,0.06790,1249129
1249134,1762295159.179100,ACCEL,3,0.01473,0.12000,0.06790,1249134
1249139,1762295159.179107,ACCEL,3,0.01473,0.12000,0.06790,1249139
1249144,1762295159.179114,ACCEL,4,0.01963,0.12000,0.06803,1249144
1249149,1762295159.179121,ACCEL,4,0.01963,0.12000,0.06803,1249149
1249154,1762295159.179127,ACCEL,4,0.01963,0.12000,0.06803,1249154
1249159,1762295159.179134,ACCEL,4,0.01963,0.12000,0.06803,1249159
1249164,1762295159.179140,ACCEL,4,0.01963,0.12000,0.06803,1249164
1249169,1762295159.179147,ACCEL,4,0.01963,0.12000,0.06803,1249169
1249174,1762295159.179153,ACCEL,4,0.01963,0.12000,0.06803,1249174
1249179,1762295159.179161,ACCEL,4,0.01963,0.12000,0.06803,1249179
1249184,1762295159.179168,ACCEL,4,0.01963,0.12000,0.06803,1249184
1249189,1762295159.179174,ACCEL,5,0.02454,0.12000,0.06817,1249189
1249194,1762295159.179181,ACCEL,5,0.02454,0.12000,0.06817,1249194
1249199,1762295159.179188,ACCEL,5,0.02454,0.12000,0.06817,1249199
1249204,1762295159.179194,ACCEL,5,0.02454,0.12000,0.06817,1249204
1249209,1762295159.179200,ACCEL,5,0.02454,0.12000,0.06817,1249209
1249214,1762295159.179206,ACCEL,5,0.02454,0.12000,0.06817,1249214
1249219,1762295159.179213,ACCEL,5,0.02454,0.12000,0.06817,1249219
1249224,1762295159.179219,ACCEL,5,0.02454,0.12000,0.06817,1249224
1249229,1762295159.179224,ACCEL,6,0.02945,0.12000,0.06831,1249229
1249234,1762295159.179230,ACCEL,6,0.02945,0.12000,0.06831,1249234
1249239,1762295159.179236,ACCEL,6,0.02945,0.12000,0.06831,1249239
1249244,1762295159.179241,ACCEL,6,0.02945,0.12000,0.06831,1249244
1249249,1762295159.179247,ACCEL,6,0.02945,0.12000,0.06831,1249249
1249254,1762295159.179253,ACCEL,6,0.02945,0.12000,0.06831,1249254
1249259,1762295159.179258,ACCEL,6,0.02945,0.12000,0.06831,1249259
1249389,1762295159.436239,ACCEL,9,0.04418,0.12000,0.06872,1249389
1249394,1762295159.436264,ACCEL,10,0.04909,0.12000,0.06885,1249394
1249399,1762295159.436273,ACCEL,10,0.04909,0.12000,0.06885,1249399
1249404,1762295159.436283,ACCEL,10,0.04909,0.12000,0.06885,1249404
1249409,1762295159.436290,ACCEL,10,0.04909,0.12000,0.06885,1249409
1249414,1762295159.436298,ACCEL,10,0.04909,0.12000,0.06885,1249414
1249419,1762295159.436304,ACCEL,10,0.04909,0.12000,0.06885,1249419
1249424,1762295159.436312,ACCEL,10,0.04909,0.12000,0.06885,1249424
1249429,1762295159.436319,ACCEL,10,0.04909,0.12000,0.06885,1249429
1249434,1762295159.436326,ACCEL,11,0.05400,0.12000,0.06899,1249434
1249439,1762295159.436332,ACCEL,11,0.05400,0.12000,0.06899,1249439
1249444,1762295159.436341,ACCEL,11,0.05400,0.12000,0.06899,1249444
1249449,1762295159.436383,ACCEL,11,0.05400,0.12000,0.06899,1249449
1249454,1762295159.436390,ACCEL,11,0.05400,0.12000,0.06899,1249454
1249459,1762295159.436396,ACCEL,11,0.05400,0.12000,0.06899,1249459
1249464,1762295159.436405,ACCEL,11,0.05400,0.12000,0.06899,1249464
1249469,1762295159.436413,ACCEL,11,0.05400,0.12000,0.06899,1249469
1249474,1762295159.436420,ACCEL,12,0.05890,0.12000,0.06912,1249474
1249479,1762295159.436426,ACCEL,12,0.05890,0.12000,0.06912,1249479
1249484,1762295159.436433,ACCEL,12,0.05890,0.12000,0.06912,1249484
1249489,1762295159.436440,ACCEL,12,0.05890,0.12000,0.06912,1249489
1249494,1762295159.436446,ACCEL,12,0.05890,0.12000,0.06912,1249494
1249499,1762295159.436452,ACCEL,12,0.05890,0.12000,0.06912,1249499
1249504,1762295159.436459,ACCEL,12,0.05890,0.12000,0.06912,1249504
1249509,1762295159.436465,ACCEL,12,0.05890,0.12000,0.06912,1249509
1249514,1762295159.436472,ACCEL,13,0.06381,0.12000,0.06926,1249514
1249519,1762295159.436479,ACCEL,13,0.06381,0.12000,0.06926,1249519
1249524,1762295159.436487,ACCEL,13,0.06381,0.12000,0.06926,1249524
1249529,1762295159.436494,ACCEL,13,0.06381,0.12000,0.06926,1249529
1249534,1762295159.436500,ACCEL,13,0.06381,0.12000,0.06926,1249534
1249539,1762295159.436507,ACCEL,13,0.06381,0.12000,0.06926,1249539
1249544,1762295159.436513,ACCEL,13,0.06381,0.12000,0.06926,1249544
1249549,1762295159.436520,ACCEL,13,0.06381,0.12000,0.06926,1249549
1249554,1762295159.436526,ACCEL,14,0.06872,0.12000,0.06940,1249554
1249559,1762295159.436533,ACCEL,14,0.06872,0.12000,0.06940,1249559
1249564,1762295159.436539,ACCEL,14,0.06872,0.12000,0.06940,1249564
1249569,1762295159.436545,ACCEL,14,0.06872,0.12000,0.06940,1249569
1249574,1762295159.436551,ACCEL,14,0.06872,0.12000,0.06940,1249574
1249579,1762295159.436557,ACCEL,14,0.06872,0.12000,0.06940,1249579
1249584,1762295159.436563,ACCEL,14,0.06872,0.12000,0.06940,1249584
1249589,1762295159.436570,ACCEL,14,0.06872,0.12000,0.06940,1249589
1249594,1762295159.436575,ACCEL,15,0.07363,0.12000,0.06953,1249594
1249599,1762295159.436584,ACCEL,15,0.07363,0.12000,0.06953,1249599
1249604,1762295159.436591,ACCEL,15,0.07363,0.12000,0.06953,1249604
1249609,1762295159.436597,ACCEL,15,0.07363,0.12000,0.06953,1249609
1249614,1762295159.436603,ACCEL,15,0.07363,0.12000,0.06953,1249614
1249619,1762295159.436609,ACCEL,15,0.07363,0.12000,0.06953,1249619
1249624,1762295159.436616,ACCEL,15,0.07363,0.12000,0.06953,1249624
1249629,1762295159.436623,ACCEL,15,0.07363,0.12000,0.06953,1249629
1249644,1762295159.710397,ACCEL,16,0.07854,0.12000,0.06967,1249644
1249649,1762295159.710483,ACCEL,16,0.07854,0.12000,0.06967,1249649
1249654,1762295159.710495,ACCEL,16,0.07854,0.12000,0.06967,1249654
1249659,1762295159.710505,ACCEL,16,0.07854,0.12000,0.06967,1249659
1249664,1762295159.710515,ACCEL,16,0.07854,0.12000,0.06967,1249664
1249669,1762295159.710524,ACCEL,16,0.07854,0.12000,0.06967,1249669
1249674,1762295159.710533,ACCEL,16,0.07854,0.12000,0.06967,1249674
1249679,1762295159.710541,ACCEL,17,0.08345,0.12000,0.06980,1249679
1249684,1762295159.710550,ACCEL,17,0.08345,0.12000,0.06980,1249684
1249689,1762295159.710558,ACCEL,17,0.08345,0.12000,0.06980,1249689
1249694,1762295159.710569,ACCEL,17,0.08345,0.12000,0.06980,1249694
1249699,1762295159.710577,ACCEL,17,0.08345,0.12000,0.06980,1249699
1249704,1762295159.710585,ACCEL,17,0.08345,0.12000,0.06980,1249704
1249709,1762295159.710592,ACCEL,17,0.08345,0.12000,0.06980,1249709
1249714,1762295159.710598,ACCEL,17,0.08345,0.12000,0.06980,1249714
1249719,1762295159.710605,ACCEL,18,0.08836,0.12000,0.06994,1249719
1249724,1762295159.710613,ACCEL,18,0.08836,0.12000,0.06994,1249724
1249729,1762295159.710620,ACCEL,18,0.08836,0.12000,0.06994,1249729
1249734,1762295159.710627,ACCEL,18,0.08836,0.12000,0.06994,1249734
1249739,1762295159.710639,ACCEL,18,0.08836,0.12000,0.06994,1249739
1249744,1762295159.710647,ACCEL,18,0.08836,0.12000,0.06994,1249744
1249749,1762295159.710655,ACCEL,18,0.08836,0.12000,0.06994,1249749
1249754,1762295159.710663,ACCEL,18,0.08836,0.12000,0.06994,1249754
1249759,1762295159.710670,ACCEL,19,0.09327,0.12000,0.07008,1249759
1249764,1762295159.710677,ACCEL,19,0.09327,0.12000,0.07008,1249764
1249769,1762295159.710684,ACCEL,19,0.09327,0.12000,0.07008,1249769
1249774,1762295159.710692,ACCEL,19,0.09327,0.12000,0.07008,1249774
1249779,1762295159.710699,ACCEL,19,0.09327,0.12000,0.07008,1249779
1249784,1762295159.710706,ACCEL,19,0.09327,0.12000,0.07008,1249784
1249789,1762295159.710713,ACCEL,19,0.09327,0.12000,0.07008,1249789
1249794,1762295159.710721,ACCEL,19,0.09327,0.12000,0.07008,1249794
1249799,1762295159.710728,ACCEL,20,0.09817,0.12000,0.07021,1249799
1249804,1762295159.710735,ACCEL,20,0.09817,0.12000,0.07021,1249804
1249809,1762295159.710742,ACCEL,20,0.09817,0.12000,0.07021,1249809
1249814,1762295159.710749,ACCEL,20,0.09817,0.12000,0.07021,1249814
1249819,1762295159.710756,ACCEL,20,0.09817,0.12000,0.07021,1249819
1249824,1762295159.710763,ACCEL,20,0.09817,0.12000,0.07021,1249824
1249829,1762295159.710769,ACCEL,20,0.09817,0.12000,0.07021,1249829
1249834,1762295159.710776,ACCEL,20,0.09817,0.12000,0.07021,1249834
1249839,1762295159.710783,ACCEL,20,0.09817,0.12000,0.07021,1249839
1249844,1762295159.710790,ACCEL,21,0.10308,0.12000,0.07035,1249844
1249849,1762295159.710797,ACCEL,21,0.10308,0.12000,0.07035,1249849
1249854,1762295159.710804,ACCEL,21,0.10308,0.12000,0.07035,1249854
1249859,1762295159.710811,ACCEL,21,0.10308,0.12000,0.07035,1249859
