time_ms,time_ts,chatter
1762294895956,1762294895.956944,"-- Current Config --"
1762294895957,1762294895.957133,"MOTOR_STEP_DEG=1.800"
1762294895958,1762294895.958206,"WHEEL_DIAM_IN=3.750"
1762294895958,1762294895.958799,"ACCEL_FT=4.000"
1762294895959,1762294895.959341,"CRUISE_FT=10.000"
1762294895959,1762294895.959647,"DECEL_FT=4.000"
1762294895960,1762294895.960722,"VMAX_FPS=3.000"
1762294895960,1762294895.960773,"PAUSE_MS=10000"
1762294895960,1762294895.960843,"REWIND_TIME_S=30"
1762294895960,1762294895.960880,"DIR_INV=0"
1762294895960,1762294895.960914,"RATE_HZ=200"
1762294895960,1762294895.960941,"REWIND_CAL_IN=1.000"
1762294896017,1762294896.017334,"START received."
1762294896018,1762294896.018080,"=== PLAN (before motion) ==="
1762294896022,1762294896.022000,"Wheel dia=3.750 in, circ=0.98175 ft"
1762294896022,1762294896.022372,"steps/rev=200.0, steps/ft=203.72"
1762294896022,1762294896.022731,"Vpeak (ft/s)=3.000"
1762294896022,1762294896.022825,"Accel a (ft/s^2)=1.125"
1762294896023,1762294896.023159,"Decel d (ft/s^2)=1.125"
1762294896023,1762294896.023474,"Times: accel≈2.67s, cruise≈3.33s, decel≈2.67s, pause=10s, rewind≈30.00s, TOTAL≈48.67s"
1762294896024,1762294896.024615,"Rewind early-stop (in): 1.000"
1762294896024,1762294896.024684,"=== END PLAN ==="
1762294896024,1762294896.024804,"=== COUNTDOWN ==="
1762294896024,1762294896.024959,"5"
1762294897016,1762294897.016911,"4"
1762294899014,1762294899.014207,"WHISTLE!"
1762294900022,1762294900.022858,"1"
1762294901231,1762294901.231045,"START t_ms=991595, t_s=991.59"
992195,1762294901.852144,"0.07363,0.12000,0.06953,992209"
996964,1762294906.646516,"1.66593,1.42184,996994"
999639,1762294909.336778,"3.00000,0.00000,999659"
1000189,1762294909.875569,"3.00000,0.00000,1000219"
1000724,1762294910.423811,"0.00000,1000749"
1004229,1762294913.922662,"0.00000,1004254"
1004764,1762294914.459412,"0.00000,1004784"
1006139,1762294915.849578,"0.00000,0.00000,1006164"
1006689,1762294916.381489,"0.00000,0.00000,1006714"
1006959,1762294916.657613,"0.00000,1006974"
1008044,1762294917.748560,"0.00000,1008064"
1008309,1762294918.018062,"18.00034,0.00000,0.00000,1008339"
1011034,1762294920.769340,"0.00000,0.00000,1011074"
1014904,1762294924.642670,"0.00000,1014944"
1016319,1762294926.063217,"0.00000,1016354"
1017459,1762294927.203286,"0.00000,1017499"
1018024,1762294927.741129,"0.00000,1018049"
1022124,1762294931.841120,"1.00000,0.00000,1022139"
1022654,1762294932.390173,"0.00000,1022689"
1022934,1762294932.647965,"1.00000,0.00000,1022954"
1023459,1762294933.193154,"0.00000,1023484"
1025909,1762294935.640066,"0.00000,1025929"
1027819,1762294937.556839,"0.00000,1027839"
1030559,1762294940.323855,"1.00000,0.00000,1030594"
1030839,1762294940.610586,"1.00000,0.00000,1030879"
1031249,1762294940.774011,"=== RUN END ==="
1031249,1762294940.823702,"Type START to run again, or SHOW to view config."
