time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1099416,1762295009.226523,ACCEL,0,0.00000,0.12000,0.06749,1099416
1099421,1762295009.327701,ACCEL,1,0.00491,0.12000,0.06763,1099421
1099426,1762295009.327738,ACCEL,1,0.00491,0.12000,0.06763,1099426
1099431,1762295009.327759,ACCEL,1,0.00491,0.12000,0.06763,1099431
1099436,1762295009.327775,ACCEL,1,0.00491,0.12000,0.06763,1099436
1099441,1762295009.327790,ACCEL,1,0.00491,0.12000,0.06763,1099441
1099446,1762295009.327803,ACCEL,1,0.00491,0.12000,0.06763,1099446
1099451,1762295009.327816,ACCEL,1,0.00491,0.12000,0.06763,1099451
1099456,1762295009.327829,ACCEL,1,0.00491,0.12000,0.06763,1099456
1099461,1762295009.327852,ACCEL,2,0.00982,0.12000,0.06776,1099461
1099466,1762295009.327866,ACCEL,2,0.00982,0.12000,0.06776,1099466
1099471,1762295009.327878,ACCEL,2,0.00982,0.12000,0.06776,1099471
1099476,1762295009.327891,ACCEL,2,0.00982,0.12000,0.06776,1099476
1099481,1762295009.327903,ACCEL,2,0.00982,0.12000,0.06776,1099481
1099486,1762295009.327915,ACCEL,2,0.00982,0.12000,0.06776,1099486
1099491,1762295009.327927,ACCEL,2,0.00982,0.12000,0.06776,1099491
1099496,1762295009.327938,ACCEL,2,0.00982,0.12000,0.06776,1099496
1099501,1762295009.327951,ACCEL,3,0.01473,0.12000,0.06790,1099501
1099506,1762295009.327963,ACCEL,3,0.01473,0.12000,0.06790,1099506
1099511,1762295009.327975,ACCEL,3,0.01473,0.12000,0.06790,1099511
1099516,1762295009.327986,ACCEL,3,0.01473,0.12000,0.06790,1099516
1099521,1762295009.327998,ACCEL,3,0.01473,0.12000,0.06790,1099521
1099526,1762295009.328010,ACCEL,3,0.01473,0.12000,0.06790,1099526
1099531,1762295009.328023,ACCEL,3,0.01473,0.12000,0.06790,1099531
1099536,1762295009.328035,ACCEL,3,0.01473,0.12000,0.06790,1099536
1099541,1762295009.328056,ACCEL,4,0.01963,0.12000,0.06803,1099541
1099546,1762295009.328068,ACCEL,4,0.01963,0.12000,0.06803,1099546
1099551,1762295009.328080,ACCEL,4,0.01963,0.12000,0.06803,1099551
1099556,1762295009.328092,ACCEL,4,0.01963,0.12000,0.06803,1099556
1099561,1762295009.328104,ACCEL,4,0.01963,0.12000,0.06803,1099561
1099566,1762295009.328115,ACCEL,4,0.01963,0.12000,0.06803,1099566
1099571,1762295009.328126,ACCEL,4,0.01963,0.12000,0.06803,1099571
1099576,1762295009.328138,ACCEL,4,0.01963,0.12000,0.06803,1099576
1099581,1762295009.328153,ACCEL,4,0.01963,0.12000,0.06803,1099581
1099586,1762295009.328164,ACCEL,5,0.02454,0.12000,0.06817,1099586
1099591,1762295009.328176,ACCEL,5,0.02454,0.12000,0.06817,1099591
1099596,1762295009.328187,ACCEL,5,0.02454,0.12000,0.06817,1099596
1099601,1762295009.328199,ACCEL,5,0.02454,0.12000,0.06817,1099601
1099606,1762295009.328211,ACCEL,5,0.02454,0.12000,0.06817,1099606
1099611,1762295009.328223,ACCEL,5,0.02454,0.12000,0.06817,1099611
1099616,1762295009.328233,ACCEL,5,0.02454,0.12000,0.06817,1099616
1099621,1762295009.328246,ACCEL,5,0.02454,0.12000,0.06817,1099621
1099626,1762295009.328257,ACCEL,6,0.02945,0.12000,0.06831,1099626
1099631,1762295009.328269,ACCEL,6,0.02945,0.12000,0.06831,1099631
1099636,1762295009.328280,ACCEL,6,0.02945,0.12000,0.06831,1099636
1099641,1762295009.328292,ACCEL,6,0.02945,0.12000,0.06831,1099641
1099646,1762295009.328303,ACCEL,6,0.02945,0.12000,0.06831,1099646
1099651,1762295009.328314,ACCEL,6,0.02945,0.12000,0.06831,1099651
1099656,1762295009.328325,ACCEL,6,0.02945,0.12000,0.06831,1099656
1099661,1762295009.328336,ACCEL,6,0.02945,0.12000,0.06831,1099661
1099776,1762295009.587046,ACCEL,9,0.04418,0.12000,0.06872,1099776
1099781,1762295009.587075,ACCEL,9,0.04418,0.12000,0.06872,1099781
1099786,1762295009.587085,ACCEL,9,0.04418,0.12000,0.06872,1099786
