time_ms,time_ts,v4,v5,g4,g5
2645258,1762293148.444854,2.505006,2.550122,0.002503,0.025061
2645258,1762293148.444915,2.504046,2.551082,0.002023,0.025541
2645258,1762293148.444928,2.505966,2.550762,0.002983,0.025381
2645258,1762293148.444937,2.505646,2.551082,0.002823,0.025541
2645258,1762293148.444944,2.505646,2.553642,0.002823,0.026821
2645258,1762293148.445401,2.505646,2.575081,0.002823,0.037540
2645258,1762293148.445415,2.506926,2.553642,0.003463,0.026821
2645259,1762293148.446359,2.506926,2.553642,0.003463,0.026821
2645259,1762293148.446371,2.507246,2.560362,0.003623,0.030181
2645262,1762293148.449470,2.508205,2.554922,0.004103,0.027461
2645273,1762293148.459741,2.507885,2.555242,0.003943,0.027621
2645273,1762293148.459788,2.509165,2.555562,0.004583,0.027781
2645273,1762293148.460334,2.508845,2.555882,0.004423,0.027941
2645273,1762293148.460372,2.511405,2.556202,0.005703,0.028101
2645273,1762293148.460386,2.511405,2.557162,0.005703,0.028581
2645273,1762293148.460413,2.512365,2.559082,0.006183,0.029541
2645273,1762293148.460430,2.513645,2.557162,0.006823,0.028581
2645273,1762293148.460446,2.512685,2.558122,0.006343,0.029061
2645273,1762293148.460461,2.515245,2.558122,0.007622,0.029061
2645273,1762293148.460498,2.517165,2.559082,0.008582,0.029541
2645275,1762293148.461671,2.515885,2.565481,0.007942,0.032741
2645275,1762293148.461691,2.518765,2.560362,0.009382,0.030181
2645275,1762293148.461699,2.518445,2.561322,0.009222,0.030661
2645275,1762293148.461704,2.521324,2.563881,0.010662,0.031941
2645275,1762293148.461709,2.519725,2.563561,0.009862,0.031781
2645275,1762293148.461715,2.521964,2.561642,0.010982,0.030821
2645275,1762293148.461721,2.524204,2.562601,0.012102,0.031301
2645275,1762293148.461727,2.524204,2.580200,0.012102,0.040100
2645275,1762293148.461732,2.527084,2.564201,0.013542,0.032101
2645275,1762293148.461738,2.525804,2.564521,0.012902,0.032261
2645287,1762293148.473939,2.527724,2.567081,0.013862,0.033541
2645287,1762293148.473993,2.528044,2.563881,0.014022,0.031941
2645287,1762293148.474046,2.529644,2.587240,0.014822,0.043620
2645287,1762293148.474074,2.530924,2.565161,0.015462,0.032581
2645287,1762293148.474085,2.531564,2.585320,0.015782,0.042660
2645287,1762293148.474094,2.532204,2.570281,0.016102,0.035140
2645287,1762293148.474102,2.532844,2.592039,0.016422,0.046020
2645287,1762293148.474110,2.534764,2.570281,0.017382,0.035140
2645287,1762293148.474117,2.535403,2.563881,0.017702,0.031941
2645287,1762293148.474125,2.535723,2.569001,0.017862,0.034501
2645303,1762293148.489655,2.537963,2.573481,0.018982,0.036740
2645303,1762293148.489689,2.536043,2.592359,0.018022,0.046180
2645303,1762293148.489694,2.538923,2.575401,0.019462,0.037700
2645303,1762293148.489699,2.537643,2.569001,0.018822,0.034501
2645303,1762293148.489704,2.539243,2.581160,0.019622,0.040580
2645303,1762293148.489709,2.541483,2.569321,0.020742,0.034661
2645303,1762293148.489713,2.540203,2.570921,0.020102,0.035460
2645303,1762293148.489717,2.541483,2.569321,0.020742,0.034661
2645303,1762293148.489721,2.542123,2.575081,0.021061,0.037540
2645303,1762293148.489725,2.541483,2.573161,0.020742,0.036580
2645318,1762293148.504702,2.542763,2.570921,0.021381,0.035460
2645318,1762293148.504745,2.542443,2.574441,0.021221,0.037220
2645319,1762293148.505779,2.542763,2.570601,0.021381,0.035300
2645319,1762293148.505800,2.542763,2.573161,0.021381,0.036580
2645319,1762293148.505860,2.543403,2.572201,0.021701,0.036100
2645319,1762293148.505881,2.543403,2.570281,0.021701,0.035140
2645319,1762293148.505889,2.543403,2.574121,0.021701,0.037060
2645319,1762293148.505896,2.543083,2.565801,0.021541,0.032901
2645319,1762293148.505902,2.542763,2.576360,0.021381,0.038180
2645319,1762293148.505908,2.543403,2.572521,0.021701,0.036260
2645334,1762293148.520815,2.543083,2.580200,0.021541,0.040100
2645334,1762293148.520876,2.542763,2.581800,0.021381,0.040900
2645334,1762293148.520927,2.542443,2.575081,0.021221,0.037540
