time_ms,time_ts,chatter
1762294600378,1762294600.378831,"-- Current Config --"
1762294600379,1762294600.379227,"MOTOR_STEP_DEG=1.800"
1762294600380,1762294600.380275,"WHEEL_DIAM_IN=3.750"
1762294600380,1762294600.380466,"ACCEL_FT=4.000"
1762294600380,1762294600.380615,"CRUISE_FT=10.000"
1762294600380,1762294600.380720,"DECEL_FT=4.000"
1762294600380,1762294600.380803,"VMAX_FPS=3.000"
1762294600382,1762294600.382436,"PAUSE_MS=10000"
1762294600382,1762294600.382904,"REWIND_TIME_S=30"
1762294600382,1762294600.382967,"DIR_INV=0"
1762294600383,1762294600.383113,"RATE_HZ=200"
1762294600383,1762294600.383165,"REWIND_CAL_IN=1.000"
1762294600437,1762294600.437682,"START received."
1762294600437,1762294600.437871,"=== PLAN (before motion) ==="
1762294600441,1762294600.441111,"Wheel dia=3.750 in, circ=0.98175 ft"
1762294600441,1762294600.441175,"steps/rev=200.0, steps/ft=203.72"
1762294600441,1762294600.441219,"Vpeak (ft/s)=3.000"
1762294600441,1762294600.441258,"Accel a (ft/s^2)=1.125"
1762294600441,1762294600.441291,"Decel d (ft/s^2)=1.125"
1762294600441,1762294600.441324,"Times: accel≈2.67s, cruise≈3.33s, decel≈2.67s, pause=10s, rewind≈30.00s, TOTAL≈48.67s"
1762294600441,1762294600.441364,"Rewind early-stop (in): 1.000"
1762294600441,1762294600.441427,"=== END PLAN ==="
1762294600441,1762294600.441458,"=== COUNTDOWN ==="
1762294600441,1762294600.441508,"5"
1762294601443,1762294601.443216,"4"
1762294602431,1762294602.431527,"3"
1762294603439,1762294603.439896,"WHISTLE!"
1762294604445,1762294604.445255,"1"
696736,1762294606.036739,"0.06872,696851"
697626,1762294606.891665,"0.12000,0.07143,697666"
697911,1762294607.169710,"0.12000,0.07251,697971"
702351,1762294611.600342,"2.50354,1.82511,702386"
704021,1762294613.261869,"0.00000,704046"
705706,1762294614.926176,"3.00000,0.00000,705731"
706236,1762294615.458217,"2.71397,-1.95798,706251"
708486,1762294617.756957,"0.00000,708526"
709071,1762294618.296773,"0.00000,709096"
709341,1762294618.578519,"0.00000,709356"
710716,1762294619.995395,"0.00000,710746"
712476,1762294621.744144,"0.00000,0.00000,712536"
714966,1762294624.201400,"0.00000,0.00000,714991"
715236,1762294624.469309,"0.00000,715256"
716626,1762294625.950422,"0.00000,0.00000,716706"
717241,1762294626.541040,"0.00000,717296"
718401,1762294627.694679,"1.00000,0.00000,718456"
718701,1762294627.962705,"1.00000,0.00000,718736"
719531,1762294628.849704,"0.00000,719581"
720996,1762294630.287673,"0.00000,721021"
726666,1762294635.966027,"1.00000,0.00000,726736"
727246,1762294636.566265,"1.00000,0.00000,727301"
728966,1762294638.277445,"7.14221,-1.00000,0.00000,729021"
729266,1762294638.596837,"6.85751,-1.00000,0.00000,729306"
732556,1762294641.892035,"0.00000,732606"
732851,1762294642.243768,"0.00000,732921"
733816,1762294643.183326,"0.00000,733896"
734451,1762294643.829619,"0.00000,734501"
734746,1762294644.104738,"0.00000,734846"
735091,1762294644.401852,"1.00000,0.00000,735121"
736136,1762294645.222071,"=== RUN END ==="
736136,1762294645.274953,"Type START to run again, or SHOW to view config."
