time_ms,time_ts,chatter
1762294375204,1762294375.204415,"-- Current Config --"
1762294375205,1762294375.205019,"MOTOR_STEP_DEG=1.800"
1762294375205,1762294375.205135,"WHEEL_DIAM_IN=3.750"
1762294375205,1762294375.205198,"ACCEL_FT=4.000"
1762294375205,1762294375.205245,"CRUISE_FT=10.000"
1762294375206,1762294375.206378,"DECEL_FT=4.000"
1762294375206,1762294375.206926,"VMAX_FPS=3.000"
1762294375207,1762294375.207223,"PAUSE_MS=10000"
1762294375207,1762294375.207515,"REWIND_TIME_S=30"
1762294375207,1762294375.207798,"DIR_INV=0"
1762294375208,1762294375.208898,"RATE_HZ=200"
1762294375208,1762294375.208958,"REWIND_CAL_IN=1.000"
1762294375260,1762294375.260922,"START received."
1762294375261,1762294375.261062,"=== PLAN (before motion) ==="
1762294375264,1762294375.264564,"Wheel dia=3.750 in, circ=0.98175 ft"
1762294375265,1762294375.265527,"steps/rev=200.0, steps/ft=203.72"
1762294375265,1762294375.265572,"Vpeak (ft/s)=3.000"
1762294375265,1762294375.265632,"Accel a (ft/s^2)=1.125"
1762294375265,1762294375.265679,"Decel d (ft/s^2)=1.125"
1762294375266,1762294375.266926,"Times: accel≈2.67s, cruise≈3.33s, decel≈2.67s, pause=10s, rewind≈30.00s, TOTAL≈48.67s"
1762294375266,1762294375.266964,"Rewind early-stop (in): 1.000"
1762294375267,1762294375.267060,"=== END PLAN ==="
1762294375267,1762294375.267215,"=== COUNTDOWN ==="
1762294375267,1762294375.267293,"5"
1762294376265,1762294376.265289,"4"
1762294380476,1762294380.476560,"START t_ms=471643, t_s=471.64"
472242,1762294381.121141,"0.06953,472262"
473332,1762294382.189317,"0.12085,0.07371,473347"
473852,1762294382.709858,"0.27980,0.16638,0.10425,473867"
474647,1762294383.511136,"0.27406,0.18187,474667"
478877,1762294387.762208,"3.00000,0.00000,478902"
479147,1762294388.039889,"0.00000,479167"
484872,1762294393.768759,"0.00000,0.00000,484897"
485957,1762294394.844208,"0.00000,0.00000,485982"
486762,1762294395.677924,"0.00000,486792"
488427,1762294397.348738,"0.00000,0.00000,488457"
488987,1762294397.908102,"0.00000,489022"
489547,1762294398.457642,"0.00000,489572"
489817,1762294398.733078,"0.00000,0.00000,489847"
490092,1762294399.012733,"0.00000,0.00000,490122"
492562,1762294401.481903,"18.00034,0.00000,0.00000,492592"
493397,1762294402.333749,"1.00000,0.00000,493442"
495097,1762294403.998520,"16.24792,-1.00000,0.00000,495122"
497862,1762294406.815201,"1.00000,0.00000,497907"
498707,1762294407.621903,"12.62527,-1.00000,0.00000,498727"
498972,1762294407.886421,"1.00000,0.00000,498997"
499242,1762294408.165673,"1.00000,0.00000,499262"
499792,1762294408.717957,"1.00000,0.00000,499812"
503067,1762294412.001238,"1.00000,0.00000,503107"
506297,1762294415.204389,"0.00000,506312"
506557,1762294415.478056,"0.00000,506572"
506817,1762294415.754274,"0.00000,506842"
507917,1762294416.846088,"0.00000,507937"
508727,1762294417.658045,"0.00000,508747"
509827,1762294418.806697,"1.00000,0.00000,509877"
511267,1762294420.002876,"0.00000,511297"
511267,1762294420.003239,"=== RUN END ==="
511267,1762294420.050257,"Type START to run again, or SHOW to view config."
