time_ms,time_ts,chatter
1762295882668,1762295882.668668,"-- Current Config --"
1762295882671,1762295882.671567,"MOTOR_STEP_DEG=1.800"
1762295882671,1762295882.671704,"WHEEL_DIAM_IN=3.750"
1762295882671,1762295882.671750,"ACCEL_FT=4.000"
1762295882671,1762295882.671791,"CRUISE_FT=10.000"
1762295882671,1762295882.671836,"DECEL_FT=4.000"
1762295882672,1762295882.672440,"VMAX_FPS=3.000"
1762295882672,1762295882.672805,"PAUSE_MS=10000"
1762295882672,1762295882.672864,"REWIND_TIME_S=30"
1762295882672,1762295882.672902,"DIR_INV=0"
1762295882672,1762295882.672933,"RATE_HZ=200"
1762295882673,1762295882.673264,"REWIND_CAL_IN=1.000"
1762295884709,1762295884.709820,"3"
1762295885720,1762295885.720688,"WHISTLE!"
1762295886719,1762295886.719028,"1"
1977031,1762295888.335069,"0.06885,1977156"
1980876,1762295892.095078,"0.59471,0.44802,1980906"
1981951,1762295893.166316,"1.20645,1981976"
1982221,1762295893.422461,"1.51002,1982251"
1983311,1762295894.593621,"0.00000,1983376"
1984496,1762295895.785134,"8.82100,3.00000,0.00000,1984561"
1986521,1762295897.738558,"14.74094,2.70786,-1.96131,1986546"
1986791,1762295898.022842,"15.44289,2.39862,-1.98882,1986821"
1987916,1762295899.136235,"0.77613,1987951"
1989331,1762295900.584575,"18.00034,0.00000,0.00000,1989356"
1990441,1762295901.685352,"0.00000,0.00000,1990486"
1991306,1762295902.589587,"0.00000,1991356"
1995761,1762295907.050842,"0.00000,1995816"
1996666,1762295907.958408,"0.00000,0.00000,1996726"
1998186,1762295909.447576,"0.00000,1998241"
1999321,1762295910.555860,"0.00000,1999356"
2001896,1762295913.149799,"0.00000,2001936"
2003296,1762295914.567173,"0.00000,2003336"
2003581,1762295914.842807,"0.00000,2003621"
2006136,1762295917.431094,"0.00000,2006211"
2007626,1762295918.895751,"1.00000,0.00000,2007671"
2009316,1762295920.604260,"7.08822,-1.00000,0.00000,2009366"
2010171,1762295921.447773,"0.00000,2010191"
2011011,1762295922.275054,"0.00000,2011051"
2011296,1762295922.535105,"0.00000,2011316"
2012381,1762295923.641646,"1.00000,0.00000,2012406"
2012651,1762295923.948894,"3.76009,-1.00000,0.00000,2012681"
2013541,1762295924.838885,"0.00000,2013611"
2014411,1762295925.715783,"0.00000,2014446"
2016151,1762295927.419570,"1.00000,0.00000,2016186"
